ACT, Exposure to risk (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0              1911.57         1999.07         3910.65
  1971         1-4              6832.53         7293.65        14126.17
  1971         5-9              8197.79         8435.10        16632.89
  1971        10-14             7493.71         7871.22        15364.93
  1971        15-19             7074.97         7032.66        14107.63
  1971        20-24             8585.63         8614.81        17200.44
  1971        25-29             7377.98         7766.76        15144.74
  1971        30-34             5907.01         6330.22        12237.23
  1971        35-39             4788.22         5214.96        10003.18
  1971        40-44             4476.56         4978.88         9455.45
  1971        45-49             4270.48         4686.61         8957.09
  1971        50-54             2917.81         3273.70         6191.51
  1971        55-59             2059.72         2246.30         4306.02
  1971        60-64             1353.35         1416.97         2770.32
  1971        65-69              927.04          828.45         1755.49
  1971        70-74              703.83          467.52         1171.35
  1971        75-79              463.46          249.63          713.09
  1971        80-84              382.73          199.65          582.38
  1971        85-89              176.19           95.77          271.95
  1971        90-94               68.23           37.15          105.38
  1971        95-99                9.62            4.22           13.84
  1971       100-104               0.00            0.00            0.00
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0              1985.87         2059.14         4045.01
  1972         1-4              7510.69         8079.75        15590.44
  1972         5-9              8480.61         8802.52        17283.13
  1972        10-14             8051.54         8579.61        16631.15
  1972        15-19             7446.92         7389.57        14836.49
  1972        20-24             8990.61         8886.69        17877.30
  1972        25-29             8481.07         8917.10        17398.17
  1972        30-34             6456.53         6952.11        13408.64
  1972        35-39             5197.53         5608.00        10805.53
  1972        40-44             4613.10         5190.70         9803.79
  1972        45-49             4464.56         4881.58         9346.14
  1972        50-54             3379.53         3767.60         7147.13
  1972        55-59             2218.12         2394.56         4612.68
  1972        60-64             1492.63         1566.59         3059.23
  1972        65-69             1029.01          910.00         1939.01
  1972        70-74              756.00          526.98         1282.98
  1972        75-79              514.97          275.97          790.95
  1972        80-84              412.82          204.95          617.77
  1972        85-89              189.41           95.98          285.39
  1972        90-94               74.57           35.40          109.96
  1972        95-99               13.86            3.67           17.52
  1972       100-104               0.00            0.32            0.32
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0              2011.02         2149.35         4160.37
  1973         1-4              8275.59         8765.55        17041.14
  1973         5-9              8867.03         9453.07        18320.10
  1973        10-14             8610.57         9060.06        17670.63
  1973        15-19             8073.04         8069.11        16142.15
  1973        20-24             9561.49         9358.61        18920.11
  1973        25-29             9513.06        10018.64        19531.70
  1973        30-34             7108.53         7671.64        14780.17
  1973        35-39             5720.05         6141.66        11861.70
  1973        40-44             4809.59         5394.54        10204.13
  1973        45-49             4621.22         5108.46         9729.68
  1973        50-54             3792.54         4214.16         8006.70
  1973        55-59             2375.53         2518.22         4893.75
  1973        60-64             1652.12         1700.65         3352.77
  1973        65-69             1116.00         1004.52         2120.52
  1973        70-74              807.97          601.00         1408.97
  1973        75-79              556.44          297.98          854.42
  1973        80-84              440.58          210.84          651.42
  1973        85-89              205.72           98.59          304.31
  1973        90-94               74.88           37.10          111.98
  1973        95-99               19.64            1.16           20.80
  1973       100-104               0.00            0.27            0.27
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0              2072.50         2202.37         4274.87
  1974         1-4              8886.60         9311.62        18198.21
  1974         5-9              9402.55        10172.05        19574.60
  1974        10-14             9150.00         9512.09        18662.09
  1974        15-19             8701.55         8829.10        17530.65
  1974        20-24             9998.15         9553.62        19551.77
  1974        25-29            10477.10        11005.13        21482.23
  1974        30-34             7807.56         8434.07        16241.64
  1974        35-39             6330.07         6717.21        13047.28
  1974        40-44             5038.59         5643.53        10682.12
  1974        45-49             4783.67         5289.58        10073.25
  1974        50-54             4106.31         4606.68         8713.00
  1974        55-59             2584.46         2716.82         5301.28
  1974        60-64             1840.77         1856.37         3697.14
  1974        65-69             1205.53         1101.52         2307.04
  1974        70-74              856.50          655.50         1512.00
  1974        75-79              603.47          327.98          931.45
  1974        80-84              461.08          211.16          672.24
