ACT, Death rates (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.012555        0.026512        0.019690
  1971         1-4             0.000585        0.001097        0.000849
  1971         5-9             0.000488        0.000356        0.000421
  1971        10-14            0.000000        0.000508        0.000260
  1971        15-19            0.001131        0.002275        0.001701
  1971        20-24            0.000349        0.001393        0.000872
  1971        25-29            0.000949        0.001159        0.001056
  1971        30-34            0.001524        0.001738        0.001634
  1971        35-39            0.002088        0.001726        0.001899
  1971        40-44            0.002457        0.002410        0.002432
  1971        45-49            0.002107        0.005548        0.003908
  1971        50-54            0.003085        0.005498        0.004361
  1971        55-59            0.004855        0.017362        0.011379
  1971        60-64            0.011084        0.011292        0.011190
  1971        65-69            0.011866        0.031384        0.021077
  1971        70-74            0.041203        0.091974        0.061468
  1971        75-79            0.064730        0.108161        0.079934
  1971        80-84            0.054869        0.065114        0.058381
  1971        85-89            0.158921        0.093980        0.136053
  1971        90-94            0.102589        0.242294        0.151834
  1971        95-99            0.312012        0.000000        0.216763
  1971       100-104                 .              .              .
  1971       105-109                 .              .              .
  1971       110+                    .              .              .
  1972           0             0.012131        0.020397        0.016339
  1972         1-4             0.001202        0.001733        0.001477
  1972         5-9             0.001302        0.000227        0.000754
  1972        10-14            0.000748        0.001515        0.001144
  1972        15-19            0.001080        0.001353        0.001216
  1972        20-24            0.000893        0.001575        0.001232
  1972        25-29            0.000473        0.001234        0.000863
  1972        30-34            0.001399        0.001295        0.001345
  1972        35-39            0.000579        0.000892        0.000741
  1972        40-44            0.001960        0.003082        0.002554
  1972        45-49            0.002925        0.004097        0.003537
  1972        50-54            0.005051        0.007432        0.006306
  1972        55-59            0.007240        0.010023        0.008685
  1972        60-64            0.012113        0.030640        0.021600
  1972        65-69            0.011701        0.043956        0.026838
  1972        70-74            0.038492        0.053133        0.044506
  1972        75-79            0.054566        0.068847        0.059549
  1972        80-84            0.077782        0.087825        0.081114
  1972        85-89            0.068847        0.166704        0.101757
  1972        90-94            0.080733        0.395517        0.182061
  1972        95-99            0.072167        1.091405        0.285361
  1972       100-104                 .        0.000000        0.000000
  1972       105-109                 .              .              .
  1972       110+                    .              .              .
  1973           0             0.015415        0.015353        0.015383
  1973         1-4             0.000725        0.000456        0.000587
  1973         5-9             0.000226        0.000741        0.000491
  1973        10-14            0.001045        0.000883        0.000962
  1973        15-19            0.000619        0.002107        0.001363
  1973        20-24            0.000837        0.001389        0.001110
  1973        25-29            0.000736        0.000898        0.000819
  1973        30-34            0.000563        0.001043        0.000812
  1973        35-39            0.001573        0.002280        0.001939
  1973        40-44            0.002079        0.002224        0.002156
  1973        45-49            0.003462        0.003132        0.003289
  1973        50-54            0.003691        0.004983        0.004371
  1973        55-59            0.003789        0.013104        0.008582
  1973        60-64            0.009685        0.018228        0.014018
  1973        65-69            0.016129        0.028869        0.022164
  1973        70-74            0.037130        0.043261        0.039745
  1973        75-79            0.062900        0.090609        0.072564
  1973        80-84            0.052204        0.085371        0.062939
  1973        85-89            0.121523        0.091287        0.111728
  1973        90-94            0.227020        0.080863        0.178598
  1973        95-99            0.254626        3.438395        0.432692
  1973       100-104                 .        3.658537        3.658537
  1973       105-109                 .              .              .
  1973       110+                    .              .              .
  1974           0             0.011580        0.016800        0.014269
  1974         1-4             0.000563        0.000859        0.000714
  1974         5-9             0.000425        0.000393        0.000409
  1974        10-14            0.000000        0.001051        0.000536
  1974        15-19            0.000690        0.001925        0.001312
  1974        20-24            0.001000        0.001989        0.001483
  1974        25-29            0.000954        0.000545        0.000745
  1974        30-34            0.000897        0.000949        0.000924
  1974        35-39            0.001106        0.002531        0.001839
  1974        40-44            0.003572        0.003189        0.003370
  1974        45-49            0.002509        0.005293        0.003971
  1974        50-54            0.003409        0.007381        0.005509
  1974        55-59            0.007739        0.011778        0.009809
  1974        60-64            0.013581        0.025857        0.019745
  1974        65-69            0.019908        0.028143        0.023840
  1974        70-74            0.033859        0.061022        0.045635
  1974        75-79            0.064626        0.067077        0.065489
  1974        80-84            0.106272        0.085245        0.099667
  1974        85-89            0.121048        0.153940        0.131774
  1974        90-94            0.199362        0.265947        0.222981
  1974        95-99            0.211879        0.000000        0.192505
  1974       100-104           0.000000              .        0.000000
  1974       105-109                 .              .              .
  1974       110+                    .              .              .
  1975           0             0.010093        0.015479        0.012819
  1975         1-4             0.001300        0.000625        0.000956
  1975         5-9             0.000397        0.000548        0.000476
  1975        10-14            0.000105        0.000305        0.000207
  1975        15-19            0.000109        0.000948        0.000536
  1975        20-24            0.000588        0.001773        0.001162
  1975        25-29            0.000704        0.000944        0.000825
  1975        30-34            0.000707        0.001406        0.001072
  1975        35-39            0.001596        0.001381        0.001485
  1975        40-44            0.001922        0.002391        0.002171
  1975        45-49            0.001613        0.004440        0.003087
  1975        50-54            0.003450        0.007778        0.005740
  1975        55-59            0.003553        0.012824        0.008367
  1975        60-64            0.012740        0.020909        0.016792
  1975        65-69            0.012365        0.022416        0.017210
  1975        70-74            0.028776        0.041487        0.034321
  1975        75-79            0.040359        0.129486        0.071708
  1975        80-84            0.075320        0.081616        0.077231
  1975        85-89            0.093556        0.088799        0.091967
  1975        90-94            0.156545        0.138819        0.150477
  1975        95-99            0.325093        0.679887        0.393550
  1975       100-104           2.745995              .        2.745995
  1975       105-109                 .              .              .
  1975       110+                    .              .              .
  1976           0             0.015336        0.016436        0.015899
  1976         1-4             0.000768        0.000635        0.000701
  1976         5-9             0.000092        0.000688        0.000401
  1976        10-14            0.000828        0.000603        0.000714
  1976        15-19            0.000957        0.001505        0.001239
  1976        20-24            0.000880        0.001653        0.001256
  1976        25-29            0.000936        0.000949        0.000942
  1976        30-34            0.000428        0.001673        0.001077
  1976        35-39            0.001520        0.001961        0.001746
  1976        40-44            0.001666        0.002319        0.002010
  1976        45-49            0.002995        0.004578        0.003821
  1976        50-54            0.003943        0.007567        0.005841
  1976        55-59            0.006517        0.008713        0.007660
  1976        60-64            0.010849        0.024437        0.017511
  1976        65-69            0.014169        0.034129        0.023809
  1976        70-74            0.035399        0.048909        0.041352
  1976        75-79            0.052239        0.071706        0.059039
  1976        80-84            0.041652        0.122477        0.065600
  1976        85-89            0.130520        0.157825        0.139704
  1976        90-94            0.153276        0.283889        0.194599
  1976        95-99            0.323319        0.125997        0.275398
  1976       100-104           0.000000              .        0.000000
  1976       105-109                 .              .              .
  1976       110+                    .              .              .
  1977           0             0.009042        0.014252        0.011733
  1977         1-4             0.000455        0.000978        0.000723
  1977         5-9             0.000000        0.000498        0.000255
  1977        10-14            0.000515        0.000498        0.000506
  1977        15-19            0.000938        0.001565        0.001262
  1977        20-24            0.000877        0.002248        0.001546
  1977        25-29            0.000689        0.001246        0.000963
  1977        30-34            0.000878        0.001095        0.000990
  1977        35-39            0.001595        0.001508        0.001551
  1977        40-44            0.001398        0.001601        0.001504
  1977        45-49            0.001403        0.005858        0.003731
  1977        50-54            0.002979        0.007358        0.005243
  1977        55-59            0.005309        0.011909        0.008713
  1977        60-64            0.013433        0.022816        0.018050
  1977        65-69            0.011395        0.032300        0.021307
  1977        70-74            0.024248        0.041666        0.031943
  1977        75-79            0.023653        0.069932        0.040336
  1977        80-84            0.070470        0.073796        0.071484
  1977        85-89            0.109497        0.115312        0.111369
  1977        90-94            0.200729        0.117790        0.175050
  1977        95-99            0.508906        0.098280        0.377477
  1977       100-104           0.000000              .        0.000000
  1977       105-109                 .              .              .
  1977       110+                    .              .              .
  1978           0             0.010256        0.016874        0.013678
  1978         1-4             0.000702        0.000777        0.000741
  1978         5-9             0.000506        0.000572        0.000540
  1978        10-14            0.000714        0.000489        0.000599
  1978        15-19            0.000716        0.001750        0.001246
  1978        20-24            0.000590        0.001841        0.001203
  1978        25-29            0.000440        0.001280        0.000852
  1978        30-34            0.001202        0.001223        0.001213
  1978        35-39            0.001270        0.001585        0.001430
  1978        40-44            0.001646        0.003235        0.002467
  1978        45-49            0.001595        0.003125        0.002391
  1978        50-54            0.003598        0.004210        0.003912
  1978        55-59            0.006718        0.012194        0.009533
  1978        60-64            0.007905        0.019534        0.013596
  1978        65-69            0.015989        0.035861        0.025267
  1978        70-74            0.032455        0.047619        0.039070
  1978        75-79            0.059419        0.098232        0.074048
  1978        80-84            0.068504        0.122475        0.085725
  1978        85-89            0.126902        0.056211        0.104913
  1978        90-94            0.186091        0.099927        0.156715
  1978        95-99            0.161074        0.720659        0.352879
  1978       100-104           1.180521              .        1.180521
  1978       105-109                 .              .              .
  1978       110+                    .              .              .
  1979           0             0.012291        0.010753        0.011502
  1979         1-4             0.000716        0.000227        0.000465
  1979         5-9             0.000000        0.000245        0.000124
  1979        10-14            0.000200        0.000761        0.000487
  1979        15-19            0.000702        0.000977        0.000841
  1979        20-24            0.001384        0.001023        0.001207
  1979        25-29            0.000896        0.001040        0.000966
  1979        30-34            0.001157        0.001025        0.001090
  1979        35-39            0.001079        0.001414        0.001248
  1979        40-44            0.001091        0.001921        0.001517
  1979        45-49            0.001783        0.002725        0.002275
  1979        50-54            0.002329        0.007465        0.004959
  1979        55-59            0.004028        0.012719        0.008478
  1979        60-64            0.008636        0.016252        0.012330
  1979        65-69            0.016629        0.032385        0.023944
  1979        70-74            0.025316        0.043702        0.033258
  1979        75-79            0.033118        0.071495        0.047689
  1979        80-84            0.061997        0.086833        0.070160
  1979        85-89            0.101509        0.121553        0.107413
  1979        90-94            0.125947        0.209925        0.155878
  1979        95-99            0.000000        0.304208        0.085539
  1979       100-104           2.421796              .        2.421796
