label,value,year,Pop
infant mortlaiy initial,0.913899889973662,1959 - 1964,Bulgaria
infant mortlaiy initial,0.130485051464226,1964 - 1969,Bulgaria
infant mortlaiy initial,0.0886356665146885,1969 - 1974,Bulgaria
infant mortlaiy initial,0.179026084211566,1974 - 1979,Bulgaria
infant mortlaiy initial,0.125239010157787,1979 - 1984,Bulgaria
infant mortlaiy initial,0.0650452251336501,1984 - 1989,Bulgaria
infant mortlaiy initial,-0.0846385738799939,1989 - 1994,Bulgaria
infant mortlaiy initial,0.075472925703247,1994 - 1999,Bulgaria
infant mortlaiy initial,0.066471064525002,1999 - 2004,Bulgaria
infant mortlaiy initial,0.060843809800732,2004 - 2009,Bulgaria
infant mortlaiy initial,0.0193058201763926,2009 - 2014,Bulgaria
infant mortlaiy initial,0.0555005797909168,2014 - 2019,Bulgaria
infant mortality decrease,0.30669439837928,1959 - 1964,Bulgaria
infant mortality decrease,0.155066857687723,1964 - 1969,Bulgaria
infant mortality decrease,0.0747543535706104,1969 - 1974,Bulgaria
infant mortality decrease,-0.0891551577131416,1974 - 1979,Bulgaria
infant mortality decrease,-0.072727162410233,1979 - 1984,Bulgaria
infant mortality decrease,0.0415206940172159,1984 - 1989,Bulgaria
infant mortality decrease,0.0358959472035627,1989 - 1994,Bulgaria
infant mortality decrease,-0.000526474362265777,1994 - 1999,Bulgaria
infant mortality decrease,0.00819092476845617,1999 - 2004,Bulgaria
infant mortality decrease,0.0137565409226549,2004 - 2009,Bulgaria
infant mortality decrease,0.0495624129295956,2009 - 2014,Bulgaria
infant mortality decrease,0.0416556789222505,2014 - 2019,Bulgaria
Background,0.454285696886941,1959 - 1964,Bulgaria
Background,0.154829294705357,1964 - 1969,Bulgaria
Background,0.151135066520484,1969 - 1974,Bulgaria
Background,-0.0785769418598208,1974 - 1979,Bulgaria
Background,0.00601482544974129,1979 - 1984,Bulgaria
Background,-0.0767167631525654,1984 - 1989,Bulgaria
Background,-0.0162849303423423,1989 - 1994,Bulgaria
Background,0.00732548420238766,1994 - 1999,Bulgaria
Background,0.0691901390746963,1999 - 2004,Bulgaria
Background,0.0673131842398652,2004 - 2009,Bulgaria
Background,-0.00618713909499202,2009 - 2014,Bulgaria
Background,-0.0310819964097596,2014 - 2019,Bulgaria
Compression,0.165232497851926,1959 - 1964,Bulgaria
Compression,0.10263905126232,1964 - 1969,Bulgaria
Compression,0.045920531461228,1969 - 1974,Bulgaria
Compression,0.0509126029763632,1974 - 1979,Bulgaria
Compression,0.0258996712510916,1979 - 1984,Bulgaria
Compression,0.149342831565708,1984 - 1989,Bulgaria
Compression,-0.0989494946573914,1989 - 1994,Bulgaria
Compression,0.082619026848555,1994 - 1999,Bulgaria
Compression,0.0311919859988819,1999 - 2004,Bulgaria
Compression,0.0233866496464757,2004 - 2009,Bulgaria
Compression,0.0330088235675404,2009 - 2014,Bulgaria
Compression,0.015538482535752,2014 - 2019,Bulgaria
Shift,2.07418878149706,1959 - 1964,Bulgaria
Shift,-0.823501436599694,1964 - 1969,Bulgaria
Shift,0.342411889432079,1969 - 1974,Bulgaria
Shift,-0.007489590278645,1974 - 1979,Bulgaria
Shift,0.195735650193559,1979 - 1984,Bulgaria
Shift,0.198276766788098,1984 - 1989,Bulgaria
Shift,0.217347704963966,1989 - 1994,Bulgaria
Shift,0.0325483291737011,1994 - 1999,Bulgaria
Shift,0.850444519563805,1999 - 2004,Bulgaria
Shift,0.782154271192152,2004 - 2009,Bulgaria
Shift,0.554987820778054,2009 - 2014,Bulgaria
Shift,0.624588106776138,2014 - 2019,Bulgaria
infant mortlaiy initial,0.0311426386898907,1959 - 1964,Czechia
infant mortlaiy initial,-0.0802103674680563,1964 - 1969,Czechia
infant mortlaiy initial,0.046756448717088,1969 - 1974,Czechia
infant mortlaiy initial,0.085956159842559,1974 - 1979,Czechia
infant mortlaiy initial,0.0312795953933351,1979 - 1984,Czechia
infant mortlaiy initial,0.0959293066397119,1984 - 1989,Czechia
infant mortlaiy initial,0.0420089292228742,1989 - 1994,Czechia
infant mortlaiy initial,0.0574802387945001,1994 - 1999,Czechia
