label,value,year,Pop
infant mortlaiy initial,0.0157081739027223,2009 - 2010,Switzerland
infant mortlaiy initial,-0.0061103133716742,2010 - 2011,Switzerland
infant mortlaiy initial,0.00422336719748573,2011 - 2012,Switzerland
infant mortlaiy initial,-0.00753225691410332,2012 - 2013,Switzerland
infant mortlaiy initial,-0.00263768063151173,2013 - 2014,Switzerland
infant mortlaiy initial,-0.000376860711710193,2014 - 2015,Switzerland
infant mortlaiy initial,0.0162930476222579,2015 - 2016,Switzerland
infant mortlaiy initial,-0.00860533421376453,2016 - 2017,Switzerland
infant mortlaiy initial,0.00859428295441391,2017 - 2018,Switzerland
infant mortlaiy initial,0.0010368037191312,2018 - 2019,Switzerland
infant mortlaiy initial,-0.00782189805260357,2019 - 2020,Switzerland
infant mortlaiy initial,0.00523481842709237,2020 - 2021,Switzerland
infant mortality decrease,1.83541994122744e-09,2009 - 2010,Switzerland
infant mortality decrease,-5.54434523111025e-11,2010 - 2011,Switzerland
infant mortality decrease,-1.80595851165112e-10,2011 - 2012,Switzerland
infant mortality decrease,5.54385829514536e-11,2012 - 2013,Switzerland
infant mortality decrease,-7.46399082303662e-10,2013 - 2014,Switzerland
infant mortality decrease,3.72659253696494e-10,2014 - 2015,Switzerland
infant mortality decrease,3.24122893874992e-10,2015 - 2016,Switzerland
infant mortality decrease,-2.54854371594387e-10,2016 - 2017,Switzerland
infant mortality decrease,-0.0161612444371994,2017 - 2018,Switzerland
infant mortality decrease,0.0148385614496149,2018 - 2019,Switzerland
infant mortality decrease,1.90559217337858e-09,2019 - 2020,Switzerland
infant mortality decrease,6.81308580672148e-11,2020 - 2021,Switzerland
Background,0.231689348959724,2009 - 2010,Switzerland
Background,-0.101132060507485,2010 - 2011,Switzerland
Background,0.0503863910963044,2011 - 2012,Switzerland
Background,-0.037332188654401,2012 - 2013,Switzerland
Background,0.14854151959771,2013 - 2014,Switzerland
Background,-0.138723170402787,2014 - 2015,Switzerland
Background,0.168306069591051,2015 - 2016,Switzerland
Background,-0.136221217718421,2016 - 2017,Switzerland
Background,-0.0112263823643058,2017 - 2018,Switzerland
Background,0.0810023961619604,2018 - 2019,Switzerland
Background,-0.154042869088037,2019 - 2020,Switzerland
Background,0.129335410710781,2020 - 2021,Switzerland
Compression,0.0228468277671957,2009 - 2010,Switzerland
Compression,0.0361411037730226,2010 - 2011,Switzerland
Compression,0.0456556199227312,2011 - 2012,Switzerland
Compression,0.0234391933967007,2012 - 2013,Switzerland
Compression,-0.0326885016184329,2013 - 2014,Switzerland
Compression,0.0946870621079704,2014 - 2015,Switzerland
Compression,-0.0259999628159479,2015 - 2016,Switzerland
Compression,0.0299301513236723,2016 - 2017,Switzerland
Compression,0.0133738995832537,2017 - 2018,Switzerland
Compression,0.0163316332436571,2018 - 2019,Switzerland
Compression,0.198149416299318,2019 - 2020,Switzerland
Compression,-0.253576917480251,2020 - 2021,Switzerland
Shift,0.0620365421144611,2009 - 2010,Switzerland
Shift,0.359068287190898,2010 - 2011,Switzerland
Shift,0.042515703782607,2011 - 2012,Switzerland
Shift,0.117142029039798,2012 - 2013,Switzerland
Shift,0.325255661010421,2013 - 2014,Switzerland
Shift,-0.186443480565536,2014 - 2015,Switzerland
Shift,0.603747246397234,2015 - 2016,Switzerland
Shift,-0.0191911611354903,2016 - 2017,Switzerland
Shift,0.264537988653179,2017 - 2018,Switzerland
Shift,0.145316577318668,2018 - 2019,Switzerland
Shift,-0.911561145874519,2019 - 2020,Switzerland
Shift,0.743699063588103,2020 - 2021,Switzerland
infant mortlaiy initial,0.0105170593649794,2009 - 2010,Chile
infant mortlaiy initial,0.000422859655632733,2010 - 2011,Chile
infant mortlaiy initial,0.00464222131710431,2011 - 2012,Chile
infant mortlaiy initial,-0.00103936145419217,2012 - 2013,Chile
infant mortlaiy initial,0.000508532616129586,2013 - 2014,Chile
infant mortlaiy initial,0.00352376314929278,2014 - 2015,Chile
infant mortlaiy initial,0.00211834372258368,2015 - 2016,Chile
infant mortlaiy initial,-0.000303581897518896,2016 - 2017,Chile
infant mortlaiy initial,0.00352076296368337,2017 - 2018,Chile
infant mortlaiy initial,0.00475930554583167,2018 - 2019,Chile
infant mortlaiy initial,0.0100065904830467,2019 - 2020,Chile
infant mortality decrease,0.0343090833036672,2009 - 2010,Chile
infant mortality decrease,-0.0354206381407028,2010 - 2011,Chile
infant mortality decrease,-0.0174796783946551,2011 - 2012,Chile
infant mortality decrease,0.00554230937869734,2012 - 2013,Chile
infant mortality decrease,0.0474313325254927,2013 - 2014,Chile
infant mortality decrease,-0.0312922331290822,2014 - 2015,Chile
infant mortality decrease,0.0305892596820323,2015 - 2016,Chile
infant mortality decrease,-8.96394446650931e-10,2016 - 2017,Chile
infant mortality decrease,-0.000639104091551243,2017 - 2018,Chile
infant mortality decrease,-0.00854165356411248,2018 - 2019,Chile
infant mortality decrease,0.00830446472024301,2019 - 2020,Chile
Background,-0.0688445332488561,2009 - 2010,Chile
Background,0.117616578784484,2010 - 2011,Chile
Background,0.0906259287091587,2011 - 2012,Chile
Background,0.0369166976010556,2012 - 2013,Chile
Background,-0.130353708962704,2013 - 2014,Chile
Background,0.0861934021305382,2014 - 2015,Chile
Background,-0.0895769347410222,2015 - 2016,Chile
Background,-0.0329713938372929,2016 - 2017,Chile
Background,-0.134144562500948,2017 - 2018,Chile
Background,-0.116090499635645,2018 - 2019,Chile
Background,0.305625679852764,2019 - 2020,Chile
Compression,0.20687503560602,2009 - 2010,Chile
Compression,-0.0452135125137516,2010 - 2011,Chile
Compression,0.0568259951254375,2011 - 2012,Chile
Compression,-0.0735264026452816,2012 - 2013,Chile
Compression,0.0799755217131011,2013 - 2014,Chile
Compression,-0.037739801488556,2014 - 2015,Chile
Compression,0.0956934623753668,2015 - 2016,Chile
Compression,0.116830941844899,2016 - 2017,Chile
Compression,0.0341225168930473,2017 - 2018,Chile
Compression,0.00508845595465758,2018 - 2019,Chile
