NSW, Deaths (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0               738.07          990.44         1728.51
  1971         1-4               115.00          156.06          271.06
  1971         5-9                67.00           93.04          160.04
  1971        10-14               49.01          116.05          165.06
  1971        15-19              121.00          309.14          430.14
  1971        20-24              110.00          382.18          492.18
  1971        25-29              115.02          271.12          386.14
  1971        30-34              138.00          226.09          364.09
  1971        35-39              200.02          322.14          522.16
  1971        40-44              349.04          517.23          866.27
  1971        45-49              565.05          917.40         1482.45
  1971        50-54              738.08         1291.57         2029.65
  1971        55-59             1079.12         1950.85         3029.97
  1971        60-64             1336.14         2488.10         3824.24
  1971        65-69             1587.16         2875.26         4462.42
  1971        70-74             2382.24         2903.28         5285.52
  1971        75-79             3019.31         2787.24         5806.55
  1971        80-84             3137.34         2288.02         5425.36
  1971        85-89             2152.23         1305.58         3457.81
  1971        90-94              878.09          431.20         1309.29
  1971        95-99              239.02           66.03          305.05
  1971       100-104              18.01            1.00           19.01
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0               690.15          993.30         1683.45
  1972         1-4               118.03          163.05          281.08
  1972         5-9                56.01           98.02          154.03
  1972        10-14               54.00           78.03          132.03
  1972        15-19               96.03          278.08          374.11
  1972        20-24              104.03          334.10          438.13
  1972        25-29              102.03          245.08          347.11
  1972        30-34              132.04          215.08          347.12
  1972        35-39              190.04          313.10          503.14
  1972        40-44              328.08          522.15          850.23
  1972        45-49              535.12          985.29         1520.41
  1972        50-54              771.16         1287.39         2058.55
  1972        55-59              991.21         1904.56         2895.77
  1972        60-64             1314.29         2666.81         3981.10
  1972        65-69             1665.35         2835.87         4501.22
  1972        70-74             2264.50         3084.93         5349.43
  1972        75-79             2878.62         2856.86         5735.48
  1972        80-84             3059.65         2343.71         5403.36
  1972        85-89             2186.47         1323.42         3509.89
  1972        90-94              879.19          476.14         1355.33
  1972        95-99              242.04          100.02          342.06
  1972       100-104              31.68            2.01           33.69
  1972       105-109               1.33            0.00            1.33
  1972       110+                  0.00            0.00            0.00
  1973           0               616.27          879.31         1495.58
  1973         1-4               114.04          176.05          290.09
  1973         5-9                64.04           81.01          145.05
  1973        10-14               56.01           77.02          133.03
  1973        15-19              112.05          279.10          391.15
  1973        20-24              103.05          349.13          452.18
  1973        25-29              112.05          255.09          367.14
  1973        30-34              136.07          229.08          365.15
  1973        35-39              180.06          290.11          470.17
  1973        40-44              295.14          566.22          861.36
  1973        45-49              526.22          924.30         1450.52
  1973        50-54              703.30         1345.49         2048.79
  1973        55-59              994.41         1807.63         2802.04
  1973        60-64             1304.57         2662.92         3967.49
  1973        65-69             1643.70         2992.06         4635.76
  1973        70-74             2179.95         3067.08         5247.03
  1973        75-79             2733.19         2663.93         5397.12
  1973        80-84             3071.32         2313.82         5385.14
  1973        85-89             2247.96         1290.46         3538.42
  1973        90-94              993.43          430.16         1423.59
  1973        95-99              258.12           82.03          340.15
  1973       100-104              38.17           10.00           48.17
  1973       105-109               1.85            0.00            1.85
  1973       110+                  0.00            0.00            0.00
  1974           0               589.18          856.53         1445.71
  1974         1-4               124.04          166.09          290.13
  1974         5-9                65.02           96.06          161.08
  1974        10-14               68.03           80.05          148.08
  1974        15-19              104.04          299.19          403.23
  1974        20-24              101.04          350.22          451.26
  1974        25-29              118.05          287.18          405.23
  1974        30-34              122.04          265.17          387.21
  1974        35-39              208.06          287.16          495.22
  1974        40-44              321.09          513.34          834.43
  1974        45-49              551.16          941.59         1492.75
  1974        50-54              823.25         1405.87         2229.12
  1974        55-59              993.29         1923.20         2916.49
  1974        60-64             1478.45         2784.73         4263.18
  1974        65-69             1821.54         3118.93         4940.47
  1974        70-74             2276.70         3270.02         5546.72
  1974        75-79             2870.88         2924.83         5795.71
  1974        80-84             3180.95         2514.56         5695.51
  1974        85-89             2545.77         1506.94         4052.71
  1974        90-94             1169.35          540.34         1709.69
  1974        95-99              325.09           82.07          407.16
  1974       100-104              26.35            9.01           35.36
  1974       105-109               0.65            0.00            0.65
  1974       110+                  0.00            0.00            0.00
  1975           0               497.11          754.50         1251.61
  1975         1-4               107.01          145.11          252.12
  1975         5-9                52.02           71.05          123.07
  1975        10-14               48.00           75.03          123.03
  1975        15-19              108.02          335.22          443.24
  1975        20-24              107.03          349.22          456.25
  1975        25-29              122.02          262.17          384.19
  1975        30-34              120.04          243.17          363.21
  1975        35-39              217.06          304.22          521.28
  1975        40-44              277.07          449.32          726.39
  1975        45-49              476.10          924.63         1400.73
  1975        50-54              678.16         1456.98         2135.14
  1975        55-59              936.21         1830.22         2766.43
  1975        60-64             1334.31         2500.67         3834.98
  1975        65-69             1767.39         2905.95         4673.34
  1975        70-74             2230.48         3080.08         5310.56
  1975        75-79             2593.56         2666.80         5260.36
