NSW, Exposure to risk (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             45375.85        47363.28        92739.14
  1971         1-4            166855.85       174927.68       341783.53
  1971         5-9            209529.50       221257.69       430787.19
  1971        10-14           213183.38       224481.91       437665.29
  1971        15-19           197106.20       205692.09       402798.29
  1971        20-24           199789.73       211612.32       411402.04
  1971        25-29           176086.44       189362.91       365449.36
  1971        30-34           147539.61       158642.61       306182.22
  1971        35-39           135324.24       144138.12       279462.36
  1971        40-44           142710.07       153159.13       295869.20
  1971        45-49           145699.88       150971.87       296671.75
  1971        50-54           128355.01       128134.63       256489.64
  1971        55-59           117692.29       114617.82       232310.10
  1971        60-64           100756.81        92996.37       193753.17
  1971        65-69            78968.74        69019.43       147988.17
  1971        70-74            63684.73        45889.69       109574.42
  1971        75-79            47020.88        28215.81        75236.69
  1971        80-84            31164.65        16609.35        47774.00
  1971        85-89            13291.91         6138.50        19430.41
  1971        90-94             3875.15         1461.57         5336.72
  1971        95-99              626.42          206.07          832.49
  1971       100-104              48.61            5.85           54.46
  1971       105-109               0.52            0.00            0.52
  1971       110+                  0.00            0.00            0.00
  1972           0             45610.05        47562.69        93172.74
  1972         1-4            173009.47       180530.38       353539.84
  1972         5-9            204926.34       216525.12       421451.46
  1972        10-14           217107.62       228782.81       445890.43
  1972        15-19           200573.71       209074.18       409647.89
  1972        20-24           198675.00       208826.67       407501.67
  1972        25-29           186687.30       200143.44       386830.74
  1972        30-34           151555.76       162991.83       314547.59
  1972        35-39           136691.30       145088.32       281779.63
  1972        40-44           139955.61       150342.59       290298.19
  1972        45-49           144884.77       151129.85       296014.62
  1972        50-54           133371.55       134046.12       267417.68
  1972        55-59           118655.66       114945.00       233600.66
  1972        60-64           104493.81        96328.58       200822.39
  1972        65-69            82250.44        71618.28       153868.72
  1972        70-74            65245.14        47789.85       113034.99
  1972        75-79            47369.98        27994.59        75364.58
  1972        80-84            31821.87        16721.31        48543.18
  1972        85-89            13958.42         6265.67        20224.08
  1972        90-94             4128.06         1524.37         5652.44
  1972        95-99              675.12          215.91          891.03
  1972       100-104              55.00           11.33           66.33
  1972       105-109               1.17            0.00            1.17
  1972       110+                  0.00            0.00            0.00
  1973           0             42675.73        44956.27        87632.00
  1973         1-4            177314.01       184711.71       362025.72
  1973         5-9            202852.45       213927.08       416779.53
  1973        10-14           217685.12       229946.79       447631.91
  1973        15-19           203761.28       212150.77       415912.05
  1973        20-24           199643.08       207965.49       407608.57
  1973        25-29           192749.27       205391.73       398141.00
  1973        30-34           155995.48       167464.67       323460.15
  1973        35-39           139370.86       147640.27       287011.13
  1973        40-44           136619.38       146209.81       282829.18
  1973        45-49           144189.06       151740.85       295929.91
  1973        50-54           137284.99       138687.03       275972.02
  1973        55-59           118792.44       114515.97       233308.40
  1973        60-64           107649.41        98972.07       206621.49
  1973        65-69            85100.19        73796.83       158897.02
  1973        70-74            66929.03        49593.91       116522.94
  1973        75-79            47655.64        28122.83        75778.47
  1973        80-84            32363.18        16663.63        49026.80
  1973        85-89            14738.65         6482.28        21220.93
  1973        90-94             4377.11         1597.34         5974.46
  1973        95-99              736.94          217.98          954.92
  1973       100-104              51.76           15.39           67.15
  1973       105-109               0.76            0.00            0.76
  1973       110+                  0.00            0.00            0.00
  1974           0             40715.06        43193.35        83908.41
  1974         1-4            178123.39       185762.68       363886.06
  1974         5-9            203180.03       213802.30       416982.33
  1974        10-14           216133.12       228992.29       445125.40
  1974        15-19           206884.83       215431.02       422315.84
  1974        20-24           200846.00       206805.29       407651.29
  1974        25-29           198031.24       208629.08       406660.31
  1974        30-34           161826.93       172948.55       334775.47
  1974        35-39           142740.58       151213.03       293953.61
  1974        40-44           133888.49       142698.89       276587.38
  1974        45-49           143054.05       151900.73       294954.78
  1974        50-54           139994.60       141790.74       281785.34
  1974        55-59           119393.06       114830.88       234223.94
  1974        60-64           110641.74       101390.57       212032.31
  1974        65-69            87697.79        75821.77       163519.56
  1974        70-74            68013.52        51163.73       119177.25
  1974        75-79            49001.49        29078.43        78079.92
  1974        80-84            32698.13        16253.82        48951.96
  1974        85-89            15430.45         6681.67        22112.12
  1974        90-94             4562.09         1658.98         6221.07
  1974        95-99              782.09          225.78         1007.87
  1974       100-104              48.09           18.57           66.66
  1974       105-109               0.31            0.00            0.31
  1974       110+                  0.00            0.00            0.00
  1975           0             39429.58        41070.89        80500.47
  1975         1-4            174886.63       182921.46       357808.09
  1975         5-9            206641.47       216860.64       423502.11
  1975        10-14           211976.11       224902.72       436878.82
  1975        15-19           210263.40       219173.15       429436.54
  1975        20-24           200952.57       204772.76       405725.32
  1975        25-29           202848.39       210253.76       413102.15
  1975        30-34           167020.43       177714.50       344734.93
  1975        35-39           145556.22       154292.66       299848.88
  1975        40-44           132113.52       140190.61       272304.13
  1975        45-49           141328.32       150993.97       292322.29
  1975        50-54           141199.83       143167.98       284367.81
  1975        55-59           121458.58       117401.80       238860.38
  1975        60-64           112576.83       102969.59       215546.42
  1975        65-69            90567.10        77832.38       168399.48
  1975        70-74            68801.08        52497.51       121298.59
  1975        75-79            51216.59        30689.35        81905.94
  1975        80-84            33072.63        15845.42        48918.05
  1975        85-89            16091.64         6832.79        22924.42
  1975        90-94             4809.02         1696.82         6505.84
  1975        95-99              830.20          237.06         1067.26
  1975       100-104              53.11           20.95           74.06
  1975       105-109               0.18            0.00            0.18
  1975       110+                  0.00            0.00            0.00
  1976           0             38258.69        39623.91        77882.60
  1976         1-4            168271.83       175867.46       344139.29
  1976         5-9            213059.00       222705.84       435764.85
  1976        10-14           207530.03       219955.75       427485.78
  1976        15-19           214729.80       224355.65       439085.46
  1976        20-24           201511.51       205157.41       406668.93
  1976        25-29           203504.74       208405.87       411910.61
  1976        30-34           175686.57       185742.41       361428.98
  1976        35-39           147931.58       156616.28       304547.86
  1976        40-44           132434.40       139890.47       272324.87
  1976        45-49           138843.56       148322.70       287166.25
  1976        50-54           141200.51       143992.42       285192.94
  1976        55-59           124749.44       120813.02       245562.46
  1976        60-64           113444.90       103878.18       217323.09
  1976        65-69            93847.92        80193.37       174041.29
  1976        70-74            70543.38        54297.44       124840.82
  1976        75-79            52388.05        31928.45        84316.50
  1976        80-84            33497.60        15657.53        49155.13
  1976        85-89            16741.23         6944.42        23685.65
  1976        90-94             5105.44         1736.68         6842.12
  1976        95-99              884.71          253.78         1138.49
  1976       100-104              64.80           21.77           86.57
  1976       105-109               0.43            0.00            0.43
  1976       110+                  0.00            0.00            0.00
  1977           0             37953.67        39600.80        77554.47
  1977         1-4            161768.83       168904.46       330673.29
  1977         5-9            219037.07       228447.45       447484.52
  1977        10-14           204654.06       216247.30       420901.36
  1977        15-19           218143.89       228387.67       446531.56
  1977        20-24           204111.69       208557.73       412669.42
  1977        25-29           202968.27       206665.07       409633.33
  1977        30-34           186894.16       195823.28       382717.43
  1977        35-39           150668.61       159035.42       309704.03
  1977        40-44           134345.67       141509.73       275855.40
  1977        45-49           135973.76       144610.34       280584.09
  1977        50-54           140752.80       144417.77       285170.57
  1977        55-59           128545.52       124489.98       253035.50
  1977        60-64           113851.46       104560.38       218411.84
  1977        65-69            97095.59        82667.12       179762.71
