NT, Deaths (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0                84.35           93.25          177.60
  1971         1-4                25.40           18.07           43.47
  1971         5-9                 3.05            5.01            8.06
  1971        10-14                0.00            6.02            6.02
  1971        15-19                7.10           15.04           22.14
  1971        20-24               13.20           15.03           28.23
  1971        25-29                9.15           16.04           25.19
  1971        30-34               12.19            9.02           21.21
  1971        35-39                8.13           12.03           20.16
  1971        40-44                9.14            9.03           18.17
  1971        45-49               16.28           25.06           41.34
  1971        50-54               18.29           28.08           46.37
  1971        55-59               13.20           14.05           27.25
  1971        60-64               23.39           16.05           39.44
  1971        65-69               12.20           24.04           36.24
  1971        70-74               11.18           24.08           35.26
  1971        75-79                9.15           29.08           38.23
  1971        80-84               10.17            8.03           18.20
  1971        85-89                7.09            7.02           14.11
  1971        90-94                4.06            4.00            8.06
  1971        95-99                0.00            0.00            0.00
  1971       100-104               0.00            0.00            0.00
  1971       105-109               0.00            0.00            0.00
  1971       110+                  0.00            0.00            0.00
  1972           0                49.00           68.00          117.00
  1972         1-4                24.00           15.00           39.00
  1972         5-9                 1.00            7.00            8.00
  1972        10-14                0.00            4.00            4.00
  1972        15-19                7.00           15.00           22.00
  1972        20-24                8.00           19.00           27.00
  1972        25-29                7.00            7.00           14.00
  1972        30-34                5.00           10.00           15.00
  1972        35-39               14.00           14.00           28.00
  1972        40-44               10.00           19.00           29.00
  1972        45-49               13.00           32.00           45.00
  1972        50-54               16.00           20.00           36.00
  1972        55-59               14.00           19.00           33.00
  1972        60-64               14.00           17.00           31.00
  1972        65-69               19.00           11.00           30.00
  1972        70-74               15.00           27.00           42.00
  1972        75-79                9.00           20.00           29.00
  1972        80-84                7.00            8.00           15.00
  1972        85-89                5.00            0.00            5.00
  1972        90-94                0.00            3.00            3.00
  1972        95-99                0.00            3.00            3.00
  1972       100-104               0.00            0.00            0.00
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0                45.00           59.00          104.00
  1973         1-4                17.00           17.00           34.00
  1973         5-9                11.00            6.00           17.00
  1973        10-14                2.00            4.00            6.00
  1973        15-19                7.00           11.00           18.00
  1973        20-24                8.00           18.00           26.00
  1973        25-29               11.00           17.00           28.00
  1973        30-34                2.00           23.00           25.00
  1973        35-39               15.00           12.00           27.00
  1973        40-44               15.00           18.00           33.00
  1973        45-49               13.00           23.00           36.00
  1973        50-54               16.00           39.00           55.00
  1973        55-59               13.00           30.00           43.00
  1973        60-64               12.00           16.00           28.00
  1973        65-69               13.00           16.00           29.00
  1973        70-74               10.00           18.00           28.00
  1973        75-79               11.00           17.00           28.00
  1973        80-84                8.00            5.00           13.00
  1973        85-89                4.00            9.00           13.00
  1973        90-94                1.00            4.00            5.00
  1973        95-99                1.00            1.00            2.00
  1973       100-104               0.00              .              .
  1973       105-109               0.00              .              .
  1973       110+                  0.00              .              .
  1974           0                41.00           65.66          106.66
  1974         1-4                 6.00           17.17           23.17
  1974         5-9                 0.00            9.09            9.09
  1974        10-14                3.00            9.09           12.09
  1974        15-19                3.00           15.16           18.16
  1974        20-24                7.00           12.14           19.14
  1974        25-29                6.00           15.15           21.15
  1974        30-34                9.00           16.16           25.16
  1974        35-39               13.00           14.15           27.15
  1974        40-44               13.00           20.21           33.21
  1974        45-49               12.00           30.31           42.31
  1974        50-54               14.00           23.23           37.23
  1974        55-59                8.00           26.26           34.26
  1974        60-64               13.00           28.28           41.28
  1974        65-69               18.00           16.17           34.17
  1974        70-74               14.00           34.35           48.35
  1974        75-79                9.00           14.14           23.14
  1974        80-84                9.00           10.10           19.10
  1974        85-89               10.00           12.12           22.12
  1974        90-94                4.00            0.00            4.00
  1974        95-99                0.00            0.00            0.00
  1974       100-104               3.00            0.00            3.00
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0                31.00           30.00           61.00
  1975         1-4                21.00           12.00           33.00
  1975         5-9                 4.00            7.00           11.00
  1975        10-14                0.00            8.00            8.00
  1975        15-19                4.00            6.00           10.00
  1975        20-24               10.00           14.00           24.00
  1975        25-29               10.00           16.00           26.00
  1975        30-34               18.00           22.00           40.00
  1975        35-39               14.00           23.00           37.00
  1975        40-44               16.00           32.00           48.00
  1975        45-49               11.00           40.00           51.00
  1975        50-54               16.00           45.00           61.00
  1975        55-59               18.00           37.00           55.00
  1975        60-64               17.00           28.00           45.00
  1975        65-69               11.00           13.00           24.00
  1975        70-74               12.00           26.00           38.00
  1975        75-79               14.00           20.00           34.00
  1975        80-84               18.00           14.00           32.00
  1975        85-89                2.00           11.00           13.00
  1975        90-94               11.00            1.00           12.00
  1975        95-99                5.00            0.00            5.00
  1975       100-104               0.00            0.00            0.00
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0                33.00           30.00           63.00
  1976         1-4                 4.00           18.00           22.00
  1976         5-9                 3.00            4.00            7.00
  1976        10-14                4.00            5.00            9.00
  1976        15-19                8.00            7.00           15.00
  1976        20-24                8.00           23.00           31.00
  1976        25-29                8.00           28.00           36.00
  1976        30-34                6.00           19.00           25.00
  1976        35-39                7.00           26.00           33.00
  1976        40-44               11.00           26.00           37.00
  1976        45-49               12.00           28.00           40.00
  1976        50-54               10.00           32.00           42.00
  1976        55-59               20.00           27.00           47.00
  1976        60-64               13.00           30.00           43.00
  1976        65-69               15.00           21.00           36.00
  1976        70-74               20.00           15.00           35.00
  1976        75-79               20.00           18.00           38.00
  1976        80-84               11.00           10.00           21.00
  1976        85-89                3.00            5.00            8.00
  1976        90-94                4.00            4.00            8.00
  1976        95-99                0.00            0.00            0.00
  1976       100-104               0.00            0.00            0.00
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0                40.00           70.56          110.56
  1977         1-4                18.00           18.14           36.14
  1977         5-9                 7.00            6.05           13.05
  1977        10-14               11.00           13.10           24.10
  1977        15-19               13.00           17.13           30.13
  1977        20-24                7.00           13.11           20.11
  1977        25-29                6.00           15.13           21.13
  1977        30-34               11.00           21.16           32.16
  1977        35-39               12.00           33.25           45.25
  1977        40-44               11.00           31.26           42.26
  1977        45-49               17.00           39.32           56.32
  1977        50-54               20.00           38.31           58.31
  1977        55-59               17.00           42.33           59.33
  1977        60-64               13.00           45.37           58.37
  1977        65-69               13.00           26.22           39.22
  1977        70-74               11.00           34.26           45.26
  1977        75-79               19.00           26.19           45.19
  1977        80-84               14.00           16.11           30.11
  1977        85-89                8.00            8.07           16.07
  1977        90-94                4.00            4.02            8.02
  1977        95-99                3.00            0.00            3.00
  1977       100-104               0.00            1.01            1.01
  1977       105-109               0.00            0.00            0.00
  1977       110+                  0.00            0.00            0.00
  1978           0                27.00           29.37           56.37
  1978         1-4                14.00            8.10           22.10
  1978         5-9                 2.00           10.12           12.12
  1978        10-14                4.00            9.11           13.11
  1978        15-19                9.00           10.13           19.13
  1978        20-24               11.00           13.16           24.16
  1978        25-29               12.00           16.19           28.19
  1978        30-34               12.00           28.36           40.36
  1978        35-39               15.00           20.27           35.27
  1978        40-44               13.00           18.23           31.23
  1978        45-49               12.00           17.21           29.21
  1978        50-54               19.00           21.28           40.28
  1978        55-59               19.00           33.41           52.41
  1978        60-64               10.00           28.34           38.34
  1978        65-69               13.00           20.24           33.24
  1978        70-74               12.00           14.17           26.17
  1978        75-79               12.00           15.18           27.18
  1978        80-84                7.00            9.12           16.12
  1978        85-89                7.00            9.11           16.11
  1978        90-94                1.00            0.00            1.00
  1978        95-99                0.00            0.00            0.00
  1978       100-104               0.00            0.00            0.00
  1978       105-109               0.00            0.00            0.00
  1978       110+                  0.00            0.00            0.00
  1979           0                34.50           28.23           62.73
  1979         1-4                12.17           15.12           27.29
  1979         5-9                14.21           11.09           25.30
  1979        10-14                4.06           16.13           20.19
  1979        15-19                2.03            9.06           11.09
  1979        20-24                6.08           13.10           19.18
  1979        25-29                6.09           20.18           26.27
  1979        30-34                8.11           16.13           24.24
  1979        35-39                5.06           28.23           33.29
  1979        40-44               11.17           12.10           23.27
  1979        45-49               13.20           26.22           39.42
  1979        50-54               11.17           36.28           47.45
  1979        55-59               12.18           30.23           42.41
  1979        60-64               15.22           24.19           39.41
  1979        65-69               19.28           28.23           47.51
  1979        70-74               18.29           14.12           32.41
  1979        75-79               16.25           15.13           31.38
  1979        80-84               20.30           14.10           34.40
  1979        85-89                4.06           11.07           15.13
  1979        90-94                3.05            4.04            7.09
  1979        95-99                3.05            0.00            3.05
  1979       100-104               0.00            0.00            0.00
  1979       105-109               0.00            0.00            0.00
  1979       110+                  0.00            0.00            0.00
  1980           0                17.00           20.00           37.00
  1980         1-4                 5.00           17.00           22.00
  1980         5-9                 5.00            1.00            6.00
  1980        10-14                5.00           15.00           20.00
  1980        15-19                6.00           11.00           17.00
  1980        20-24               14.00           22.00           36.00
  1980        25-29                7.00           16.00           23.00
  1980        30-34               12.00           20.00           32.00
  1980        35-39                7.00           15.00           22.00
  1980        40-44               11.00            9.00           20.00
  1980        45-49                8.00           20.00           28.00
  1980        50-54               14.00           40.00           54.00
  1980        55-59               13.00           25.00           38.00
  1980        60-64               15.00           19.00           34.00
  1980        65-69               15.00           14.00           29.00
  1980        70-74                8.00           11.00           19.00
  1980        75-79               17.00           15.00           32.00
  1980        80-84               15.00           19.00           34.00
  1980        85-89                6.00            9.00           15.00
  1980        90-94                1.00            2.00            3.00
  1980        95-99                0.00            0.00            0.00
  1980       100-104               0.00            0.00            0.00
  1980       105-109               0.00            0.00            0.00
  1980       110+                  0.00            0.00            0.00
  1981           0                38.00           35.00           73.00
  1981         1-4                16.00           11.00           27.00
  1981         5-9                11.00           15.00           26.00
  1981        10-14                3.00           11.00           14.00
  1981        15-19                4.00           21.00           25.00
  1981        20-24               15.00           25.00           40.00
  1981        25-29               11.00           34.00           45.00
  1981        30-34                9.00           33.00           42.00
  1981        35-39                8.00           40.00           48.00
  1981        40-44               16.00           34.00           50.00
  1981        45-49               18.00           30.00           48.00
  1981        50-54               13.00           43.00           56.00
  1981        55-59               29.00           47.00           76.00
  1981        60-64               24.00           40.00           64.00
  1981        65-69               23.00           41.00           64.00
  1981        70-74               15.00           37.00           52.00
  1981        75-79               11.00           32.00           43.00
  1981        80-84               10.00           15.00           25.00
  1981        85-89                7.00           13.00           20.00
  1981        90-94                0.00           11.00           11.00
  1981        95-99                3.00            1.00            4.00
  1981       100-104               0.00            0.00            0.00
  1981       105-109               0.00            0.00            0.00
  1981       110+                  0.00            0.00            0.00
  1982           0                26.00           32.00           58.00
  1982         1-4                10.00           10.00           20.00
  1982         5-9                 2.00            1.00            3.00
