NT, Death rates (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             0.064275        0.067175        0.065766
  1971         1-4             0.005274        0.003629        0.004438
  1971         5-9             0.000617        0.000965        0.000795
  1971        10-14            0.000000        0.001532        0.000787
  1971        15-19            0.002286        0.004481        0.003426
  1971        20-24            0.002733        0.002562        0.002639
  1971        25-29            0.002057        0.002584        0.002364
  1971        30-34            0.003911        0.001914        0.002709
  1971        35-39            0.003507        0.003491        0.003498
  1971        40-44            0.004821        0.003017        0.003717
  1971        45-49            0.010452        0.010479        0.010468
  1971        50-54            0.015167        0.016295        0.015831
  1971        55-59            0.017087        0.012319        0.014244
  1971        60-64            0.042211        0.022510        0.031126
  1971        65-69            0.036595        0.050120        0.044574
  1971        70-74            0.046267        0.079160        0.064598
  1971        75-79            0.077969        0.187345        0.140254
  1971        80-84            0.114420        0.081102        0.096863
  1971        85-89            0.139466        0.209396        0.167256
  1971        90-94            0.449861        0.378967        0.411645
  1971        95-99            0.000000              .              .
  1971       100-104                 .              .              .
  1971       105-109                 .              .              .
  1971       110+                    .              .              .
  1972           0             0.035432        0.046640        0.041184
  1972         1-4             0.004761        0.002834        0.003774
  1972         5-9             0.000191        0.001263        0.000742
  1972        10-14            0.000000        0.000928        0.000476
  1972        15-19            0.002028        0.004110        0.003098
  1972        20-24            0.001597        0.003237        0.002482
  1972        25-29            0.001365        0.001049        0.001186
  1972        30-34            0.001451        0.001962        0.001756
  1972        35-39            0.005572        0.003817        0.004530
  1972        40-44            0.005048        0.006279        0.005792
  1972        45-49            0.007819        0.012795        0.010808
  1972        50-54            0.012341        0.010457        0.011218
  1972        55-59            0.016063        0.015650        0.015822
  1972        60-64            0.022440        0.021532        0.021933
  1972        65-69            0.052351        0.021549        0.034348
  1972        70-74            0.063846        0.087401        0.077226
  1972        75-79            0.074716        0.139932        0.110106
  1972        80-84            0.068081        0.076152        0.072160
  1972        85-89            0.096659        0.000000        0.057598
  1972        90-94            0.000000        0.265408        0.145466
  1972        95-99            0.000000              .              .
  1972       100-104                 .              .              .
  1972       105-109                 .              .              .
  1972       110+                    .              .              .
  1973           0             0.033434        0.040607        0.037157
  1973         1-4             0.003210        0.003034        0.003120
  1973         5-9             0.002004        0.001030        0.001503
  1973        10-14            0.000456        0.000874        0.000670
  1973        15-19            0.001854        0.002817        0.002343
  1973        20-24            0.001530        0.002952        0.002295
  1973        25-29            0.001924        0.002423        0.002199
  1973        30-34            0.000521        0.004252        0.002703
  1973        35-39            0.005597        0.003069        0.004097
  1973        40-44            0.007281        0.005901        0.006457
  1973        45-49            0.007405        0.008942        0.008319
  1973        50-54            0.011875        0.019224        0.016291
  1973        55-59            0.013633        0.023570        0.019314
  1973        60-64            0.017489        0.018833        0.018233
  1973        65-69            0.032831        0.030162        0.031303
  1973        70-74            0.045256        0.055909        0.051573
  1973        75-79            0.094458        0.126447        0.111600
  1973        80-84            0.070799        0.044137        0.057451
  1973        85-89            0.080602        0.226131        0.145371
  1973        90-94            0.061463        0.414436        0.192889
  1973        95-99            0.228920              .              .
  1973       100-104           0.000000              .              .
  1973       105-109                 .              .              .
  1973       110+                    .              .              .
  1974           0             0.033998        0.048773        0.041791
  1974         1-4             0.001180        0.003066        0.002169
  1974         5-9             0.000000        0.001547        0.000802
  1974        10-14            0.000690        0.001959        0.001346
  1974        15-19            0.000809        0.003913        0.002395
  1974        20-24            0.001432        0.002118        0.001802
  1974        25-29            0.001089        0.002251        0.001728
  1974        30-34            0.002337        0.003018        0.002733
  1974        35-39            0.004865        0.003567        0.004090
  1974        40-44            0.006449        0.006927        0.006732
  1974        45-49            0.007036        0.011978        0.009988
  1974        50-54            0.010939        0.011628        0.011359
  1974        55-59            0.008325        0.020307        0.015198
  1974        60-64            0.019890        0.033089        0.027369
  1974        65-69            0.046277        0.031158        0.037635
  1974        70-74            0.068475        0.112844        0.095017
  1974        75-79            0.080024        0.103630        0.092964
  1974        80-84            0.075277        0.085365        0.080295
  1974        85-89            0.240452        0.268023        0.254814
  1974        90-94            0.160160        0.000000        0.116364
  1974        95-99            0.000000        0.000000        0.000000
  1974       100-104           3.781513              .        3.781513
  1974       105-109                 .              .              .
  1974       110+                    .              .              .
  1975           0             0.027626        0.023974        0.025701
  1975         1-4             0.004439        0.002216        0.003252
  1975         5-9             0.000740        0.001165        0.000964
  1975        10-14            0.000000        0.001726        0.000895
  1975        15-19            0.001126        0.001557        0.001350
  1975        20-24            0.002139        0.002616        0.002394
  1975        25-29            0.001908        0.002482        0.002225
