QLD, Exposure to risk (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0             18839.28        19627.62        38466.90
  1971         1-4             71414.75        74449.32       145864.06
  1971         5-9             89875.70        94320.85       184196.54
  1971        10-14            91329.10        95960.82       187289.92
  1971        15-19            82320.86        84337.55       166658.42
  1971        20-24            75766.61        79826.16       155592.77
  1971        25-29            65074.85        68986.02       134060.87
  1971        30-34            54446.63        57682.04       112128.68
  1971        35-39            50301.52        52691.41       102992.94
  1971        40-44            52464.27        55326.98       107791.25
  1971        45-49            52723.96        55351.48       108075.44
  1971        50-54            48543.39        49039.01        97582.41
  1971        55-59            44740.12        44573.73        89313.85
  1971        60-64            38152.94        37420.93        75573.87
  1971        65-69            30566.89        29090.41        59657.30
  1971        70-74            25337.25        20637.13        45974.38
  1971        75-79            17980.67        12565.82        30546.49
  1971        80-84            11497.10         7444.53        18941.62
  1971        85-89             4925.74         2783.08         7708.82
  1971        90-94             1475.14          641.23         2116.36
  1971        95-99              235.75           78.61          314.35
  1971       100-104              26.36            4.80           31.16
  1971       105-109               0.16            0.00            0.16
  1971       110+                  0.00            0.00            0.00
  1972           0             19133.14        19889.61        39022.75
  1972         1-4             74517.94        77561.53       152079.47
  1972         5-9             89216.71        93841.25       183057.96
  1972        10-14            94008.56        98650.67       192659.23
  1972        15-19            85204.63        87725.16       172929.79
  1972        20-24            77705.78        81789.43       159495.21
  1972        25-29            70588.86        74883.73       145472.59
  1972        30-34            57200.82        60663.84       117864.66
  1972        35-39            51476.82        54215.67       105692.49
  1972        40-44            52168.76        55121.67       107290.43
  1972        45-49            52983.73        55776.36       108760.09
  1972        50-54            50251.76        51333.91       101585.67
  1972        55-59            45961.38        45086.50        91047.87
  1972        60-64            39848.23        38717.42        78565.65
  1972        65-69            31768.53        30176.20        61944.72
  1972        70-74            25929.79        21433.90        47363.70
  1972        75-79            18578.65        12723.50        31302.15
  1972        80-84            11854.12         7482.89        19337.01
  1972        85-89             5187.23         2945.18         8132.41
  1972        90-94             1550.07          670.42         2220.49
  1972        95-99              251.85           93.36          345.21
  1972       100-104              23.44            8.13           31.57
  1972       105-109               0.05            0.00            0.05
  1972       110+                  0.00            0.00            0.00
  1973           0             18574.50        19475.04        38049.54
  1973         1-4             77390.43        80464.53       157854.97
  1973         5-9             89982.72        94697.82       184680.54
  1973        10-14            95760.52       100732.23       196492.76
  1973        15-19            87947.18        90845.76       178792.94
  1973        20-24            80407.78        84359.64       164767.42
  1973        25-29            75086.74        79812.31       154899.04
  1973        30-34            60413.42        64037.01       124450.43
  1973        35-39            53471.91        56334.73       109806.64
  1973        40-44            51779.22        54922.57       106701.79
  1973        45-49            53665.76        56638.49       110304.25
  1973        50-54            51626.45        53157.35       104783.80
  1973        55-59            46577.01        45391.22        91968.24
  1973        60-64            41715.98        40066.67        81782.65
  1973        65-69            33037.55        31155.83        64193.38
  1973        70-74            26416.83        22173.05        48589.88
  1973        75-79            18902.19        12906.60        31808.79
  1973        80-84            12171.54         7525.55        19697.08
  1973        85-89             5497.78         3104.37         8602.15
  1973        90-94             1632.04          725.32         2357.36
  1973        95-99              281.46          104.23          385.68
  1973       100-104              21.95            8.46           30.41
  1973       105-109               0.05            0.00            0.05
  1973       110+                  0.00            0.00            0.00
  1974           0             18078.39        19049.78        37128.16
  1974         1-4             78694.72        81822.54       160517.27
  1974         5-9             91813.82        96800.33       188614.15
  1974        10-14            96571.55       101633.13       198204.67
  1974        15-19            90345.25        93781.89       184127.14
  1974        20-24            82814.79        86499.03       169313.82
  1974        25-29            78834.30        83277.46       162111.76
  1974        30-34            64051.82        67937.57       131989.39
  1974        35-39            55910.43        58872.43       114782.86
  1974        40-44            51639.38        54747.90       106387.28
  1974        45-49            54102.79        57254.40       111357.19
  1974        50-54            52832.85        54667.19       107500.03
  1974        55-59            47117.50        45732.52        92850.02
  1974        60-64            43523.23        41432.57        84955.80
  1974        65-69            34211.96        32245.49        66457.45
  1974        70-74            26762.85        22631.67        49394.52
  1974        75-79            19579.73        13459.73        33039.46
  1974        80-84            12389.57         7487.76        19877.33
  1974        85-89             5769.47         3167.79         8937.25
  1974        90-94             1715.10          771.41         2486.51
  1974        95-99              299.93          103.76          403.69
  1974       100-104              21.14            5.52           26.66
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0             17662.32        18446.53        36108.85
  1975         1-4             78310.65        81287.33       159597.98
  1975         5-9             94754.73        99943.43       194698.15
  1975        10-14            96129.03       101113.17       197242.20
  1975        15-19            92610.17        96429.28       189039.45
  1975        20-24            84615.23        88347.00       172962.23
  1975        25-29            82075.25        85951.51       168026.77
  1975        30-34            67439.48        71431.44       138870.93
  1975        35-39            58018.49        61168.98       119187.47
  1975        40-44            51837.43        54785.42       106622.85
  1975        45-49            54163.67        57455.44       111619.10
  1975        50-54            53711.28        55806.36       109517.64
  1975        55-59            48221.28        46883.38        95104.66
  1975        60-64            44802.03        42286.16        87088.18
  1975        65-69            35500.50        33510.34        69010.83
  1975        70-74            27132.45        22977.10        50109.55
  1975        75-79            20440.01        14265.68        34705.69
  1975        80-84            12675.67         7433.70        20109.37
  1975        85-89             6057.02         3220.21         9277.23
  1975        90-94             1829.08          807.97         2637.05
  1975        95-99              325.42          102.11          427.53
  1975       100-104              21.88            3.37           25.25
  1975       105-109               0.00            0.00            0.00
  1975       110+                  0.00            0.00            0.00
  1976           0             17302.45        17985.75        35288.20
  1976         1-4             76306.06        79217.10       155523.15
  1976         5-9             98374.37       103198.93       201573.30
  1976        10-14            95537.50       100315.11       195852.61
  1976        15-19            95578.20        99472.94       195051.13
  1976        20-24            86136.77        90188.40       176325.16
  1976        25-29            83772.23        87527.81       171300.03
  1976        30-34            71943.98        75680.46       147624.44
  1976        35-39            59936.45        63142.86       123079.31
  1976        40-44            52679.02        55627.13       108306.15
  1976        45-49            53947.00        57212.30       111159.30
  1976        50-54            54041.94        56526.77       110568.71
  1976        55-59            49654.84        48620.35        98275.19
  1976        60-64            45825.35        42761.56        88586.91
  1976        65-69            37000.29        34567.53        71567.82
  1976        70-74            27760.68        23781.22        51541.90
  1976        75-79            21039.08        14780.15        35819.24
  1976        80-84            13134.67         7442.06        20576.73
  1976        85-89             6337.92         3283.69         9621.61
  1976        90-94             1962.23          862.06         2824.29
  1976        95-99              362.37          107.68          470.05
  1976       100-104              23.31            4.93           28.24
  1976       105-109               0.00            0.00            0.00
  1976       110+                  0.00            0.00            0.00
  1977           0             17106.03        17944.32        35050.35
  1977         1-4             73797.48        76904.57       150702.05
  1977         5-9            101702.67       105753.89       207456.56
  1977        10-14            95512.53        99887.63       195400.17
  1977        15-19            98406.68       102489.92       200896.61
  1977        20-24            88090.73        92161.65       180252.38
  1977        25-29            84690.31        88551.46       173241.77
  1977        30-34            77280.51        80856.42       158136.92
  1977        35-39            62063.44        65301.85       127365.29
  1977        40-44            53959.56        56965.79       110925.34
  1977        45-49            53650.06        56674.68       110324.75
  1977        50-54            54219.13        56853.50       111072.62
  1977        55-59            51126.81        50359.32       101486.12
  1977        60-64            46580.12        43306.90        89887.03
  1977        65-69            38580.80        35382.99        73963.79
  1977        70-74            28707.11        24756.38        53463.49
  1977        75-79            21416.67        15192.87        36609.54
  1977        80-84            13574.55         7526.10        21100.65
  1977        85-89             6572.10         3317.31         9889.41
  1977        90-94             2108.50          920.63         3029.13
  1977        95-99              392.86          116.20          509.06
  1977       100-104              29.69            5.79           35.48
  1977       105-109               0.00            0.00            0.00
  1977       110+                  0.00            0.00            0.00
  1978           0             17055.94        18026.16        35082.10
  1978         1-4             72220.45        75374.06       147594.50
  1978         5-9            103357.76       107294.70       210652.46
  1978        10-14            96152.07       100313.64       196465.71
  1978        15-19           100520.22       104667.37       205187.59
  1978        20-24            90927.90        95165.88       186093.78
  1978        25-29            86366.82        90167.43       176534.25
  1978        30-34            81393.40        85025.97       166419.37
  1978        35-39            64694.56        68041.45       132736.01
  1978        40-44            55694.61        58658.42       114353.03
  1978        45-49            53310.52        56090.57       109401.09
  1978        50-54            54680.72        57253.73       111934.45
