SA, Deaths (period 5x1), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1971           0               161.00          200.00          361.00
  1971         1-4                24.00           43.00           67.00
  1971         5-9                19.00           20.00           39.00
  1971        10-14                5.00           15.00           20.00
  1971        15-19               41.00           89.00          130.00
  1971        20-24               36.00           74.00          110.00
  1971        25-29               27.00           49.00           76.00
  1971        30-34               36.00           53.00           89.00
  1971        35-39               36.00           73.00          109.00
  1971        40-44               66.00          106.00          172.00
  1971        45-49              101.00          188.00          289.00
  1971        50-54              152.00          259.00          411.00
  1971        55-59              192.00          452.00          644.00
  1971        60-64              262.00          510.00          772.00
  1971        65-69              377.00          639.00         1016.00
  1971        70-74              540.00          719.00         1259.00
  1971        75-79              673.00          672.00         1345.00
  1971        80-84              713.00          611.00         1324.00
  1971        85-89              560.00          377.00          937.00
  1971        90-94              264.00          113.00          377.00
  1971        95-99               65.00           23.00           88.00
  1971       100-104              16.27            3.00           19.27
  1971       105-109               0.75            0.00            0.75
  1971       110+                  0.00            0.00            0.00
  1972           0               153.00          204.00          357.00
  1972         1-4                28.00           44.00           72.00
  1972         5-9                15.00           20.00           35.00
  1972        10-14               18.00           27.00           45.00
  1972        15-19               26.00           76.00          102.00
  1972        20-24               20.00           69.00           89.00
  1972        25-29               26.00           47.00           73.00
  1972        30-34               27.00           45.00           72.00
  1972        35-39               35.00           58.00           93.00
  1972        40-44               57.00          120.00          177.00
  1972        45-49              110.00          214.00          324.00
  1972        50-54              139.00          309.00          448.00
  1972        55-59              233.00          443.00          676.00
  1972        60-64              273.00          586.00          859.00
  1972        65-69              349.00          703.00         1052.00
  1972        70-74              477.00          679.00         1156.00
  1972        75-79              667.00          687.00         1354.00
  1972        80-84              745.00          596.00         1341.00
  1972        85-89              541.00          368.00          909.00
  1972        90-94              265.00          123.00          388.00
  1972        95-99               60.00           22.00           82.00
  1972       100-104               8.00            2.99           10.99
  1972       105-109               0.00            0.00            0.00
  1972       110+                  0.00            0.00            0.00
  1973           0               101.00          172.00          273.00
  1973         1-4                28.00           46.00           74.00
  1973         5-9                12.00           15.00           27.00
  1973        10-14               12.00           15.00           27.00
  1973        15-19               27.00           91.00          118.00
  1973        20-24               18.00           69.00           87.00
  1973        25-29               23.00           56.00           79.00
  1973        30-34               17.00           43.00           60.00
  1973        35-39               27.00           60.00           87.00
  1973        40-44               65.00           97.00          162.00
  1973        45-49              115.00          197.00          312.00
  1973        50-54              150.00          318.00          468.00
  1973        55-59              191.00          437.00          628.00
  1973        60-64              302.00          594.00          896.00
  1973        65-69              374.00          723.00         1097.00
  1973        70-74              513.00          764.00         1277.00
  1973        75-79              672.00          660.00         1332.00
  1973        80-84              753.00          617.00         1370.00
  1973        85-89              616.00          382.00          998.00
  1973        90-94              250.00          116.00          366.00
  1973        95-99               70.00           19.00           89.00
  1973       100-104               8.01            0.00            8.01
  1973       105-109               0.00            0.00            0.00
  1973       110+                  0.00            0.00            0.00
  1974           0               122.00          185.00          307.00
  1974         1-4                23.00           36.00           59.00
  1974         5-9                 9.00           23.00           32.00
  1974        10-14                6.00           17.00           23.00
  1974        15-19               18.00          112.00          130.00
  1974        20-24               31.00           85.00          116.00
  1974        25-29               22.00           63.00           85.00
  1974        30-34               37.00           43.00           80.00
  1974        35-39               28.00           86.00          114.00
  1974        40-44               50.00          107.00          157.00
  1974        45-49               95.00          231.00          326.00
  1974        50-54              170.00          317.00          487.00
  1974        55-59              186.00          448.00          634.00
  1974        60-64              305.00          612.00          917.00
  1974        65-69              360.00          722.00         1082.00
  1974        70-74              519.00          769.00         1288.00
  1974        75-79              697.00          669.00         1366.00
  1974        80-84              740.00          614.00         1354.00
  1974        85-89              678.00          396.00         1074.00
  1974        90-94              291.00          138.00          429.00
  1974        95-99               79.00           23.00          102.00
  1974       100-104              11.99            1.00           12.99
  1974       105-109               0.00            0.00            0.00
  1974       110+                  0.00            0.00            0.00
  1975           0                91.00          126.00          217.00
  1975         1-4                25.00           44.00           69.00
  1975         5-9                15.00           19.00           34.00
  1975        10-14               14.00           18.00           32.00
  1975        15-19               31.00           99.00          130.00
  1975        20-24               17.00           79.00           96.00
  1975        25-29               19.00           69.00           88.00
  1975        30-34               24.00           62.00           86.00
  1975        35-39               32.00           62.00           94.00
  1975        40-44               64.00           88.00          152.00
  1975        45-49              109.00          193.00          302.00
  1975        50-54              168.00          329.00          497.00
  1975        55-59              219.00          398.00          617.00
