AK: Alaska, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03568	0.03462	0.15	100000	3462	97049	6764306	67.64
1960-1964	1	0.00384	0.00383	0.5	96538	370	96353	6667257	69.06
1960-1964	2	0.00213	0.00212	0.5	96168	204	96066	6570904	68.33
1960-1964	3	0.00145	0.00145	0.5	95964	139	95894	6474839	67.47
1960-1964	4	0.00105	0.00105	0.5	95825	100	95774	6378944	66.57
1960-1964	5	0.00090	0.00090	0.5	95724	86	95681	6283170	65.64
1960-1964	6	0.00091	0.00091	0.5	95638	87	95594	6187489	64.70
1960-1964	7	0.00056	0.00056	0.5	95551	54	95524	6091895	63.76
1960-1964	8	0.00074	0.00074	0.5	95497	70	95462	5996371	62.79
1960-1964	9	0.00090	0.00090	0.5	95427	85	95384	5900909	61.84
1960-1964	10	0.00099	0.00099	0.5	95341	94	95294	5805525	60.89
1960-1964	11	0.00066	0.00066	0.5	95247	63	95215	5710231	59.95
1960-1964	12	0.00059	0.00059	0.5	95184	56	95156	5615015	58.99
1960-1964	13	0.00081	0.00081	0.5	95128	77	95089	5519859	58.03
1960-1964	14	0.00082	0.00082	0.5	95051	78	95012	5424770	57.07
1960-1964	15	0.00063	0.00063	0.5	94973	60	94943	5329758	56.12
1960-1964	16	0.00058	0.00058	0.5	94914	55	94886	5234815	55.15
1960-1964	17	0.00078	0.00078	0.5	94859	74	94822	5139929	54.19
1960-1964	18	0.00145	0.00145	0.5	94784	137	94716	5045107	53.23
1960-1964	19	0.00204	0.00204	0.5	94647	193	94550	4950392	52.30
1960-1964	20	0.00198	0.00198	0.5	94454	187	94361	4855841	51.41
1960-1964	21	0.00179	0.00179	0.5	94267	169	94183	4761481	50.51
1960-1964	22	0.00166	0.00166	0.5	94099	156	94020	4667298	49.60
1960-1964	23	0.00151	0.00151	0.5	93942	142	93871	4573277	48.68
1960-1964	24	0.00198	0.00198	0.5	93800	186	93707	4479406	47.75
1960-1964	25	0.00202	0.00202	0.5	93615	189	93520	4385699	46.85
1960-1964	26	0.00159	0.00158	0.5	93425	148	93351	4292179	45.94
1960-1964	27	0.00221	0.00221	0.5	93277	206	93174	4198827	45.01
1960-1964	28	0.00231	0.00231	0.5	93071	215	92964	4105653	44.11
1960-1964	29	0.00197	0.00197	0.5	92857	183	92765	4012689	43.21
1960-1964	30	0.00247	0.00247	0.5	92674	229	92559	3919924	42.30
1960-1964	31	0.00200	0.00200	0.5	92445	185	92352	3827365	41.40
1960-1964	32	0.00319	0.00318	0.5	92260	294	92113	3735012	40.48
1960-1964	33	0.00241	0.00240	0.5	91966	221	91856	3642899	39.61
1960-1964	34	0.00233	0.00233	0.5	91745	214	91639	3551043	38.71
1960-1964	35	0.00314	0.00313	0.5	91532	287	91389	3459404	37.79
1960-1964	36	0.00294	0.00293	0.5	91245	268	91112	3368016	36.91
1960-1964	37	0.00314	0.00314	0.5	90978	285	90835	3276904	36.02
1960-1964	38	0.00311	0.00311	0.5	90693	282	90552	3186069	35.13
1960-1964	39	0.00436	0.00435	0.5	90411	393	90214	3095517	34.24
1960-1964	40	0.00358	0.00357	0.5	90017	321	89856	3005304	33.39
1960-1964	41	0.00386	0.00385	0.5	89696	345	89523	2915447	32.50
1960-1964	42	0.00531	0.00530	0.5	89350	473	89114	2825924	31.63
1960-1964	43	0.00488	0.00487	0.5	88877	432	88661	2736810	30.79
1960-1964	44	0.00594	0.00593	0.5	88445	524	88183	2648150	29.94
1960-1964	45	0.00581	0.00580	0.5	87920	510	87666	2559967	29.12
1960-1964	46	0.00649	0.00647	0.5	87411	566	87128	2472301	28.28
1960-1964	47	0.00679	0.00676	0.5	86845	587	86552	2385173	27.46
1960-1964	48	0.00615	0.00613	0.5	86258	529	85993	2298622	26.65
1960-1964	49	0.00586	0.00584	0.5	85729	501	85478	2212628	25.81
1960-1964	50	0.00732	0.00730	0.5	85228	622	84917	2127150	24.96
1960-1964	51	0.00943	0.00938	0.5	84606	794	84209	2042233	24.14
1960-1964	52	0.01017	0.01012	0.5	83812	848	83388	1958024	23.36
1960-1964	53	0.01116	0.01109	0.5	82964	920	82504	1874636	22.60
