PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AK,m,1959,0,0.04443,0.04283,0.16,100000,4283,96420,6616615,66.17
AK,m,1959,1,0.00196,0.00196,0.5,95717,188,95623,6520195,68.12
AK,m,1959,2,0.00147,0.00147,0.5,95529,140,95459,6424572,67.25
AK,m,1959,3,0.00123,0.00122,0.5,95389,117,95330,6329113,66.35
AK,m,1959,4,0.00096,0.00096,0.5,95272,91,95226,6233783,65.43
AK,m,1959,5,0.00169,0.00169,0.5,95181,161,95100,6138557,64.49
AK,m,1959,6,0.00145,0.00145,0.5,95020,138,94951,6043456,63.60
AK,m,1959,7,0.00000,0.00000,0.5,94882,0,94882,5948505,62.69
AK,m,1959,8,0.00126,0.00126,0.5,94882,120,94823,5853623,61.69
AK,m,1959,9,0.00044,0.00044,0.5,94763,42,94742,5758800,60.77
AK,m,1959,10,0.00133,0.00133,0.5,94721,126,94657,5664058,59.80
AK,m,1959,11,0.00047,0.00047,0.5,94594,44,94572,5569401,58.88
AK,m,1959,12,0.00104,0.00104,0.5,94550,98,94501,5474829,57.90
AK,m,1959,13,0.00301,0.00301,0.5,94452,284,94310,5380327,56.96
AK,m,1959,14,0.00134,0.00134,0.5,94168,126,94105,5286017,56.13
AK,m,1959,15,0.00196,0.00196,0.5,94043,184,93951,5191912,55.21
AK,m,1959,16,0.00120,0.00120,0.5,93859,113,93802,5097961,54.32
AK,m,1959,17,0.00130,0.00130,0.5,93746,122,93685,5004159,53.38
AK,m,1959,18,0.00061,0.00061,0.5,93624,57,93595,4910474,52.45
AK,m,1959,19,0.00187,0.00187,0.5,93567,175,93479,4816879,51.48
AK,m,1959,20,0.00145,0.00145,0.5,93392,136,93324,4723399,50.58
AK,m,1959,21,0.00138,0.00137,0.5,93256,128,93192,4630076,49.65
AK,m,1959,22,0.00175,0.00175,0.5,93128,163,93046,4536884,48.72
AK,m,1959,23,0.00131,0.00131,0.5,92965,122,92904,4443838,47.80
AK,m,1959,24,0.00252,0.00251,0.5,92843,233,92726,4350934,46.86
AK,m,1959,25,0.00124,0.00124,0.5,92609,115,92552,4258208,45.98
AK,m,1959,26,0.00219,0.00219,0.5,92494,203,92393,4165656,45.04
AK,m,1959,27,0.00179,0.00178,0.5,92292,165,92209,4073263,44.13
AK,m,1959,28,0.00168,0.00168,0.5,92127,155,92050,3981054,43.21
AK,m,1959,29,0.00244,0.00244,0.5,91972,224,91860,3889004,42.28
AK,m,1959,30,0.00426,0.00425,0.5,91748,390,91553,3797144,41.39
AK,m,1959,31,0.00135,0.00135,0.5,91358,123,91296,3705591,40.56
AK,m,1959,32,0.00332,0.00331,0.5,91235,302,91084,3614295,39.62
AK,m,1959,33,0.00204,0.00204,0.5,90932,186,90839,3523211,38.75
AK,m,1959,34,0.00591,0.00589,0.5,90747,535,90479,3432372,37.82
AK,m,1959,35,0.00370,0.00369,0.5,90212,333,90045,3341893,37.04
AK,m,1959,36,0.00304,0.00304,0.5,89879,273,89742,3251847,36.18
AK,m,1959,37,0.00295,0.00295,0.5,89606,264,89474,3162105,35.29
AK,m,1959,38,0.00350,0.00349,0.5,89342,312,89186,3072632,34.39
AK,m,1959,39,0.00326,0.00325,0.5,89030,290,88885,2983446,33.51
AK,m,1959,40,0.00302,0.00302,0.5,88740,268,88606,2894561,32.62
AK,m,1959,41,0.00358,0.00358,0.5,88473,316,88314,2805954,31.72
AK,m,1959,42,0.00494,0.00493,0.5,88156,434,87939,2717640,30.83
AK,m,1959,43,0.00529,0.00527,0.5,87722,462,87490,2629701,29.98
AK,m,1959,44,0.00612,0.00610,0.5,87259,532,86993,2542210,29.13
AK,m,1959,45,0.00878,0.00874,0.5,86727,758,86348,2455217,28.31
AK,m,1959,46,0.01083,0.01077,0.5,85969,926,85506,2368869,27.55
AK,m,1959,47,0.00815,0.00812,0.5,85043,690,84698,2283363,26.85
AK,m,1959,48,0.01098,0.01092,0.5,84353,921,83892,2198665,26.07
AK,m,1959,49,0.00699,0.00696,0.5,83431,581,83141,2114773,25.35
AK,m,1959,50,0.00683,0.00681,0.5,82850,564,82568,2031633,24.52
AK,m,1959,51,0.00857,0.00853,0.5,82286,702,81935,1949065,23.69
AK,m,1959,52,0.01115,0.01109,0.5,81584,905,81132,1867129,22.89
AK,m,1959,53,0.01450,0.01440,0.5,80680,1162,80099,1785998,22.14
AK,m,1959,54,0.01711,0.01697,0.5,79518,1349,78843,1705899,21.45
AK,m,1959,55,0.01150,0.01144,0.5,78169,894,77722,1627055,20.81
AK,m,1959,56,0.01420,0.01410,0.5,77275,1089,76730,1549334,20.05
AK,m,1959,57,0.01450,0.01440,0.5,76185,1097,75637,1472604,19.33
AK,m,1959,58,0.01796,0.01780,0.5,75088,1337,74420,1396967,18.60
AK,m,1959,59,0.01321,0.01312,0.5,73751,968,73267,1322547,17.93
AK,m,1959,60,0.02523,0.02492,0.5,72784,1813,71877,1249279,17.16
AK,m,1959,61,0.02515,0.02484,0.5,70970,1763,70089,1177403,16.59
AK,m,1959,62,0.02605,0.02571,0.5,69207,1779,68317,1107314,16.00
AK,m,1959,63,0.01397,0.01387,0.5,67428,935,66960,1038997,15.41
AK,m,1959,64,0.02871,0.02830,0.5,66493,1882,65552,972036,14.62
AK,m,1959,65,0.04413,0.04318,0.5,64611,2790,63216,906485,14.03
AK,m,1959,66,0.02538,0.02506,0.5,61821,1549,61046,843269,13.64
AK,m,1959,67,0.03486,0.03426,0.5,60272,2065,59239,782222,12.98
AK,m,1959,68,0.04029,0.03950,0.5,58207,2299,57058,722983,12.42
AK,m,1959,69,0.03588,0.03525,0.5,55908,1971,54923,665925,11.91
AK,m,1959,70,0.03814,0.03743,0.5,53937,2019,52928,611003,11.33
AK,m,1959,71,0.04707,0.04599,0.5,51918,2388,50725,558075,10.75
AK,m,1959,72,0.07945,0.07642,0.5,49531,3785,47638,507350,10.24
AK,m,1959,73,0.06647,0.06433,0.5,45746,2943,44274,459712,10.05
AK,m,1959,74,0.07978,0.07672,0.5,42803,3284,41161,415438,9.71
AK,m,1959,75,0.04661,0.04554,0.5,39519,1800,38619,374277,9.47
AK,m,1959,76,0.04088,0.04006,0.5,37719,1511,36964,335658,8.90
AK,m,1959,77,0.06632,0.06419,0.5,36208,2324,35046,298694,8.25
AK,m,1959,78,0.20074,0.18243,0.5,33884,6181,30793,263648,7.78
AK,m,1959,79,0.06835,0.06609,0.5,27702,1831,26787,232855,8.41
AK,m,1959,80,0.11794,0.11137,0.5,25871,2881,24431,206068,7.97
AK,m,1959,81,0.11899,0.11231,0.5,22990,2582,21699,181637,7.90
AK,m,1959,82,0.12004,0.11324,0.5,20408,2311,19253,159938,7.84
AK,m,1959,83,0.12110,0.11419,0.5,18097,2066,17064,140686,7.77
AK,m,1959,84,0.12217,0.11513,0.5,16031,1846,15108,123622,7.71
AK,m,1959,85,0.12324,0.11609,0.5,14185,1647,13362,108514,7.65
AK,m,1959,86,0.12433,0.11705,0.5,12538,1468,11804,95152,7.59
AK,m,1959,87,0.12542,0.11802,0.5,11071,1307,10417,83348,7.53
AK,m,1959,88,0.12652,0.11899,0.5,9764,1162,9183,72931,7.47
AK,m,1959,89,0.12763,0.11998,0.5,8602,1032,8086,63747,7.41
AK,m,1959,90,0.12875,0.12096,0.5,7570,916,7112,55661,7.35
AK,m,1959,91,0.12988,0.12196,0.5,6654,812,6249,48549,7.30
AK,m,1959,92,0.13101,0.12296,0.5,5843,718,5484,42300,7.24
AK,m,1959,93,0.13215,0.12396,0.5,5124,635,4807,36817,7.18
AK,m,1959,94,0.13330,0.12497,0.5,4489,561,4209,32010,7.13
AK,m,1959,95,0.13446,0.12599,0.5,3928,495,3681,27801,7.08
AK,m,1959,96,0.13563,0.12702,0.5,3433,436,3215,24120,7.03
AK,m,1959,97,0.13681,0.12805,0.5,2997,384,2805,20905,6.97
AK,m,1959,98,0.13799,0.12909,0.5,2613,337,2445,18100,6.93
AK,m,1959,99,0.13919,0.13013,0.5,2276,296,2128,15655,6.88
AK,m,1959,100,0.14039,0.13118,0.5,1980,260,1850,13527,6.83
AK,m,1959,101,0.14160,0.13224,0.5,1720,227,1606,11677,6.79
AK,m,1959,102,0.14282,0.13330,0.5,1493,199,1393,10071,6.75
AK,m,1959,103,0.14405,0.13437,0.5,1294,174,1207,8677,6.71
AK,m,1959,104,0.14529,0.13545,0.5,1120,152,1044,7471,6.67
AK,m,1959,105,0.14653,0.13653,0.5,968,132,902,6427,6.64
AK,m,1959,106,0.14779,0.13762,0.5,836,115,778,5525,6.61
AK,m,1959,107,0.14905,0.13871,0.5,721,100,671,4746,6.58
AK,m,1959,108,0.15032,0.13982,0.5,621,87,578,4075,6.56
AK,m,1959,109,0.15161,0.14092,0.5,534,75,496,3498,6.55
AK,m,1959,110+,0.15290,1.00000,6.54,459,459,3001,3001,6.54
AK,m,1960,0,0.04507,0.04344,0.17,100000,4344,96377,6469093,64.69
AK,m,1960,1,0.00382,0.00381,0.5,95656,365,95474,6372716,66.62
AK,m,1960,2,0.00225,0.00225,0.5,95292,214,95185,6277242,65.87
AK,m,1960,3,0.00205,0.00205,0.5,95078,195,94980,6182057,65.02
AK,m,1960,4,0.00092,0.00092,0.5,94883,87,94839,6087077,64.15
AK,m,1960,5,0.00128,0.00128,0.5,94795,121,94735,5992238,63.21
AK,m,1960,6,0.00102,0.00102,0.5,94674,96,94626,5897503,62.29
AK,m,1960,7,0.00109,0.00109,0.5,94578,103,94526,5802877,61.36
AK,m,1960,8,0.00078,0.00078,0.5,94475,73,94438,5708351,60.42
AK,m,1960,9,0.00210,0.00210,0.5,94402,198,94302,5613913,59.47
AK,m,1960,10,0.00131,0.00131,0.5,94203,124,94141,5519610,58.59
AK,m,1960,11,0.00000,0.00000,0.5,94080,0,94080,5425469,57.67
AK,m,1960,12,0.00044,0.00044,0.5,94080,41,94059,5331389,56.67
AK,m,1960,13,0.00098,0.00098,0.5,94038,93,93992,5237331,55.69
AK,m,1960,14,0.00000,0.00000,0.5,93946,0,93946,5143339,54.75
AK,m,1960,15,0.00064,0.00064,0.5,93946,61,93915,5049393,53.75
AK,m,1960,16,0.00000,0.00000,0.5,93885,0,93885,4955478,52.78
AK,m,1960,17,0.00174,0.00174,0.5,93885,163,93803,4861593,51.78
AK,m,1960,18,0.00128,0.00128,0.5,93722,120,93661,4767790,50.87
AK,m,1960,19,0.00184,0.00184,0.5,93601,172,93515,4674128,49.94
AK,m,1960,20,0.00244,0.00244,0.5,93429,228,93315,4580613,49.03
AK,m,1960,21,0.00118,0.00118,0.5,93202,110,93147,4487297,48.15
AK,m,1960,22,0.00139,0.00139,0.5,93092,129,93027,4394151,47.20
AK,m,1960,23,0.00246,0.00246,0.5,92962,228,92848,4301124,46.27
AK,m,1960,24,0.00298,0.00297,0.5,92734,276,92596,4208276,45.38
AK,m,1960,25,0.00182,0.00182,0.5,92458,168,92374,4115680,44.51
AK,m,1960,26,0.00166,0.00166,0.5,92290,153,92214,4023305,43.59
AK,m,1960,27,0.00307,0.00307,0.5,92137,283,91996,3931092,42.67
AK,m,1960,28,0.00223,0.00223,0.5,91854,205,91752,3839096,41.80
AK,m,1960,29,0.00084,0.00084,0.5,91650,77,91611,3747344,40.89
AK,m,1960,30,0.00205,0.00205,0.5,91573,187,91479,3655733,39.92
AK,m,1960,31,0.00299,0.00299,0.5,91385,273,91249,3564254,39.00
AK,m,1960,32,0.00317,0.00317,0.5,91112,289,90968,3473005,38.12
AK,m,1960,33,0.00382,0.00381,0.5,90823,346,90650,3382038,37.24
AK,m,1960,34,0.00155,0.00154,0.5,90477,140,90408,3291387,36.38
AK,m,1960,35,0.00162,0.00162,0.5,90338,146,90265,3200980,35.43
AK,m,1960,36,0.00371,0.00370,0.5,90192,334,90025,3110715,34.49
AK,m,1960,37,0.00560,0.00559,0.5,89858,502,89607,3020690,33.62
AK,m,1960,38,0.00347,0.00347,0.5,89356,310,89201,2931084,32.80
AK,m,1960,39,0.00706,0.00704,0.5,89046,627,88733,2841883,31.91
AK,m,1960,40,0.00604,0.00602,0.5,88419,532,88153,2753150,31.14
AK,m,1960,41,0.00365,0.00364,0.5,87887,320,87727,2664997,30.32
AK,m,1960,42,0.00543,0.00541,0.5,87567,474,87330,2577270,29.43
AK,m,1960,43,0.00563,0.00561,0.5,87093,489,86848,2489940,28.59
AK,m,1960,44,0.00467,0.00465,0.5,86604,403,86402,2403091,27.75
AK,m,1960,45,0.01034,0.01029,0.5,86201,887,85757,2316689,26.88
AK,m,1960,46,0.00963,0.00958,0.5,85314,817,84905,2230931,26.15
AK,m,1960,47,0.01496,0.01485,0.5,84497,1255,83869,2146026,25.40
AK,m,1960,48,0.01077,0.01071,0.5,83242,892,82796,2062157,24.77
AK,m,1960,49,0.00342,0.00342,0.5,82350,282,82209,1979361,24.04
AK,m,1960,50,0.01417,0.01407,0.5,82068,1155,81491,1897152,23.12
AK,m,1960,51,0.01098,0.01092,0.5,80913,884,80471,1815661,22.44
AK,m,1960,52,0.01089,0.01084,0.5,80030,867,79596,1735190,21.68
AK,m,1960,53,0.01824,0.01807,0.5,79162,1431,78447,1655594,20.91
AK,m,1960,54,0.01983,0.01964,0.5,77732,1526,76968,1577147,20.29
AK,m,1960,55,0.01376,0.01367,0.5,76205,1042,75684,1500179,19.69
AK,m,1960,56,0.01571,0.01559,0.5,75164,1171,74578,1424494,18.95
