AL: Alabama, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03315	0.03223	0.14	100000	3223	97228	6825415	68.25
1959	1-4	0.00134	0.00535	1.49	96777	518	385806	6728187	69.52
1959	5-9	0.00059	0.00294	2.3	96259	283	480532	6342382	65.89
1959	10-14	0.00054	0.00268	2.66	95976	257	479282	5861850	61.08
1959	15-19	0.00124	0.00617	2.76	95719	590	477272	5382569	56.23
1959	20-24	0.00184	0.00914	2.44	95129	869	473423	4905297	51.56
1959	25-29	0.00191	0.00952	2.54	94260	897	469092	4431874	47.02
1959	30-34	0.00248	0.01234	2.66	93362	1152	464117	3962782	42.45
1959	35-39	0.00334	0.01657	2.61	92210	1528	457399	3498664	37.94
1959	40-44	0.00477	0.02359	2.61	90683	2139	448309	3041265	33.54
1959	45-49	0.00690	0.03395	2.64	88544	3007	435620	2592956	29.28
1959	50-54	0.01038	0.05066	2.62	85538	4333	417375	2157336	25.22
1959	55-59	0.01646	0.07933	2.74	81204	6442	391464	1739960	21.43
1959	60-64	0.02138	0.10162	2.57	74762	7597	355313	1348496	18.04
1959	65-69	0.03248	0.15046	2.56	67165	10106	311148	993183	14.79
1959	70-74	0.04515	0.20273	2.49	57059	11568	256206	682035	11.95
1959	75-79	0.06715	0.28844	2.56	45492	13122	195401	425829	9.36
1959	80-84	0.10832	0.42498	2.47	32370	13757	126995	230428	7.12
1959	85-89	0.15883	0.55809	2.34	18613	10388	65402	103433	5.56
1959	90-94	0.19424	0.63032	2.22	8225	5185	26693	38031	4.62
1959	95-99	0.25059	0.72520	2.1	3041	2205	8800	11339	3.73
1959	100-104	0.31622	0.80617	1.96	836	674	2130	2539	3.04
1959	105-109	0.38945	0.86923	1.82	162	141	361	409	2.52
1959	110+	0.44925	1.00000	2.23	21	21	47	47	2.23
1960	0	0.03321	0.03229	0.14	100000	3229	97225	6790738	67.91
1960	1-4	0.00141	0.00564	1.59	96771	545	385769	6693513	69.17
1960	5-9	0.00061	0.00304	2.29	96226	292	480336	6307744	65.55
1960	10-14	0.00052	0.00261	2.67	95934	250	479084	5827408	60.74
1960	15-19	0.00124	0.00618	2.87	95683	592	477156	5348324	55.90
1960	20-24	0.00187	0.00928	2.58	95091	883	473320	4871169	51.23
1960	25-29	0.00181	0.00900	2.62	94209	848	469022	4397849	46.68
1960	30-34	0.00234	0.01165	2.69	93361	1088	464289	3928827	42.08
1960	35-39	0.00323	0.01600	2.65	92273	1477	457899	3464538	37.55
1960	40-44	0.00476	0.02352	2.62	90796	2135	448895	3006639	33.11
1960	45-49	0.00708	0.03482	2.67	88661	3088	436121	2557744	28.85
1960	50-54	0.01069	0.05211	2.6	85573	4459	417145	2121623	24.79
1960	55-59	0.01574	0.07587	2.62	81114	6154	390909	1704478	21.01
1960	60-64	0.02370	0.11194	2.53	74960	8391	354105	1313569	17.52
1960	65-69	0.03299	0.15252	2.53	66568	10153	307746	959464	14.41
1960	70-74	0.04820	0.21511	2.5	56416	12136	251778	651718	11.55
1960	75-79	0.07034	0.30019	2.56	44280	13292	188965	399939	9.03
1960	80-84	0.11413	0.44333	2.48	30987	13738	120370	210974	6.81
1960	85-89	0.16679	0.57331	2.27	17250	9889	59291	90605	5.25
1960	90-94	0.21291	0.66572	2.19	7360	4900	23014	31313	4.25
1960	95-99	0.27959	0.76544	2.04	2460	1883	6736	8299	3.37
1960	100-104	0.35747	0.84574	1.89	577	488	1365	1563	2.71
1960	105-109	0.44373	0.90354	1.72	89	80	181	198	2.22
1960	110+	0.51502	1.00000	1.94	9	9	17	17	1.94
1961	0	0.03206	0.03119	0.14	100000	3119	97307	6856067	68.56
1961	1-4	0.00138	0.00548	1.5	96881	531	386195	6758760	69.76
1961	5-9	0.00054	0.00271	2.23	96349	262	481021	6372566	66.14
1961	10-14	0.00049	0.00245	2.64	96088	236	479883	5891545	61.31
1961	15-19	0.00100	0.00497	2.89	95852	476	478254	5411662	56.46
1961	20-24	0.00152	0.00755	2.51	95376	721	475081	4933408	51.73
