AL: Alabama, Lifetables (period 1x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03638	0.03528	0.14	100000	3528	96975	6511517	65.12
1959	1	0.00237	0.00237	0.5	96472	229	96357	6414542	66.49
1959	2	0.00155	0.00155	0.5	96243	149	96169	6318185	65.65
1959	3	0.00084	0.00084	0.5	96094	81	96054	6222016	64.75
1959	4	0.00087	0.00087	0.5	96014	84	95972	6125962	63.80
1959	5	0.00047	0.00047	0.5	95930	45	95907	6029990	62.86
1959	6	0.00081	0.00081	0.5	95885	77	95846	5934083	61.89
1959	7	0.00058	0.00058	0.5	95808	55	95780	5838237	60.94
1959	8	0.00053	0.00053	0.5	95752	51	95727	5742457	59.97
1959	9	0.00047	0.00047	0.5	95702	45	95679	5646730	59.00
1959	10	0.00072	0.00072	0.5	95656	69	95622	5551051	58.03
1959	11	0.00051	0.00051	0.5	95588	49	95563	5455429	57.07
1959	12	0.00071	0.00071	0.5	95538	68	95504	5359866	56.10
1959	13	0.00073	0.00073	0.5	95470	70	95435	5264362	55.14
1959	14	0.00084	0.00084	0.5	95401	80	95361	5168926	54.18
1959	15	0.00134	0.00134	0.5	95320	128	95256	5073566	53.23
1959	16	0.00144	0.00144	0.5	95192	137	95124	4978309	52.30
1959	17	0.00185	0.00185	0.5	95056	176	94968	4883185	51.37
1959	18	0.00215	0.00215	0.5	94880	204	94778	4788218	50.47
1959	19	0.00230	0.00230	0.5	94676	218	94567	4693440	49.57
1959	20	0.00214	0.00214	0.5	94458	202	94357	4598873	48.69
1959	21	0.00304	0.00303	0.5	94256	286	94113	4504516	47.79
1959	22	0.00285	0.00284	0.5	93970	267	93836	4410404	46.93
1959	23	0.00260	0.00260	0.5	93702	243	93581	4316568	46.07
1959	24	0.00221	0.00220	0.5	93459	206	93356	4222987	45.19
1959	25	0.00217	0.00216	0.5	93253	202	93152	4129631	44.28
1959	26	0.00250	0.00250	0.5	93051	233	92935	4036479	43.38
1959	27	0.00291	0.00291	0.5	92819	270	92684	3943544	42.49
1959	28	0.00332	0.00332	0.5	92549	307	92395	3850860	41.61
1959	29	0.00206	0.00206	0.5	92242	190	92147	3758465	40.75
1959	30	0.00256	0.00256	0.5	92052	236	91934	3666319	39.83
1959	31	0.00306	0.00305	0.5	91816	280	91676	3574385	38.93
1959	32	0.00325	0.00324	0.5	91536	297	91387	3482709	38.05
1959	33	0.00348	0.00347	0.5	91239	317	91080	3391322	37.17
1959	34	0.00288	0.00288	0.5	90922	262	90791	3300241	36.30
1959	35	0.00319	0.00318	0.5	90660	288	90516	3209450	35.40
1959	36	0.00378	0.00377	0.5	90372	341	90201	3118934	34.51
1959	37	0.00434	0.00433	0.5	90031	390	89836	3028733	33.64
1959	38	0.00468	0.00467	0.5	89641	419	89432	2938897	32.79
1959	39	0.00441	0.00440	0.5	89223	392	89026	2849465	31.94
1959	40	0.00492	0.00491	0.5	88830	436	88612	2760439	31.08
1959	41	0.00445	0.00444	0.5	88394	392	88198	2671827	30.23
1959	42	0.00651	0.00649	0.5	88001	571	87716	2583629	29.36
1959	43	0.00632	0.00630	0.5	87430	551	87155	2495913	28.55
1959	44	0.00640	0.00638	0.5	86879	554	86602	2408759	27.73
1959	45	0.00760	0.00757	0.5	86325	654	85998	2322157	26.90
1959	46	0.00858	0.00855	0.5	85672	732	85305	2236158	26.10
1959	47	0.00814	0.00811	0.5	84939	689	84595	2150853	25.32
1959	48	0.00978	0.00973	0.5	84251	820	83841	2066258	24.53
1959	49	0.01002	0.00997	0.5	83431	832	83014	1982417	23.76
