PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AR,f,1959,0,0.02461,0.02409,0.12,100000,2409,97884,7372365,73.72
AR,f,1959,1,0.00217,0.00217,0.5,97591,212,97485,7274480,74.54
AR,f,1959,2,0.00104,0.00104,0.5,97379,102,97328,7176996,73.70
AR,f,1959,3,0.00069,0.00069,0.5,97277,67,97244,7079668,72.78
AR,f,1959,4,0.00063,0.00063,0.5,97211,61,97180,6982423,71.83
AR,f,1959,5,0.00063,0.00063,0.5,97150,61,97119,6885243,70.87
AR,f,1959,6,0.00060,0.00060,0.5,97089,58,97060,6788124,69.92
AR,f,1959,7,0.00050,0.00050,0.5,97031,48,97007,6691064,68.96
AR,f,1959,8,0.00044,0.00044,0.5,96983,43,96961,6594058,67.99
AR,f,1959,9,0.00022,0.00022,0.5,96939,21,96929,6497097,67.02
AR,f,1959,10,0.00070,0.00069,0.5,96918,67,96884,6400168,66.04
AR,f,1959,11,0.00037,0.00037,0.5,96851,35,96833,6303284,65.08
AR,f,1959,12,0.00027,0.00027,0.5,96815,26,96802,6206451,64.11
AR,f,1959,13,0.00040,0.00040,0.5,96789,39,96770,6109649,63.12
AR,f,1959,14,0.00055,0.00055,0.5,96750,53,96724,6012879,62.15
AR,f,1959,15,0.00067,0.00067,0.5,96698,65,96665,5916155,61.18
AR,f,1959,16,0.00038,0.00038,0.5,96633,37,96614,5819490,60.22
AR,f,1959,17,0.00090,0.00090,0.5,96596,87,96552,5722876,59.25
AR,f,1959,18,0.00111,0.00111,0.5,96509,107,96455,5626323,58.30
AR,f,1959,19,0.00122,0.00122,0.5,96402,118,96343,5529868,57.36
AR,f,1959,20,0.00065,0.00065,0.5,96284,63,96253,5433525,56.43
AR,f,1959,21,0.00117,0.00117,0.5,96222,113,96165,5337272,55.47
AR,f,1959,22,0.00123,0.00123,0.5,96109,118,96050,5241107,54.53
AR,f,1959,23,0.00062,0.00062,0.5,95991,60,95961,5145057,53.60
AR,f,1959,24,0.00134,0.00134,0.5,95931,129,95867,5049096,52.63
AR,f,1959,25,0.00042,0.00042,0.5,95803,40,95783,4953229,51.70
AR,f,1959,26,0.00062,0.00062,0.5,95763,59,95733,4857446,50.72
AR,f,1959,27,0.00093,0.00093,0.5,95703,89,95659,4761713,49.75
AR,f,1959,28,0.00042,0.00042,0.5,95614,40,95594,4666054,48.80
AR,f,1959,29,0.00141,0.00141,0.5,95574,135,95507,4570460,47.82
AR,f,1959,30,0.00100,0.00100,0.5,95440,95,95392,4474953,46.89
AR,f,1959,31,0.00107,0.00107,0.5,95345,102,95294,4379561,45.93
AR,f,1959,32,0.00113,0.00113,0.5,95243,108,95189,4284267,44.98
AR,f,1959,33,0.00112,0.00112,0.5,95135,106,95082,4189078,44.03
AR,f,1959,34,0.00210,0.00209,0.5,95029,199,94929,4093996,43.08
AR,f,1959,35,0.00174,0.00173,0.5,94830,164,94748,3999067,42.17
AR,f,1959,36,0.00211,0.00211,0.5,94665,199,94566,3904319,41.24
AR,f,1959,37,0.00172,0.00172,0.5,94466,163,94384,3809754,40.33
AR,f,1959,38,0.00252,0.00252,0.5,94303,238,94184,3715369,39.40
AR,f,1959,39,0.00287,0.00287,0.5,94065,270,93930,3621185,38.50
AR,f,1959,40,0.00195,0.00195,0.5,93795,183,93704,3527255,37.61
AR,f,1959,41,0.00252,0.00252,0.5,93613,236,93495,3433550,36.68
AR,f,1959,42,0.00254,0.00253,0.5,93377,237,93259,3340055,35.77
AR,f,1959,43,0.00273,0.00273,0.5,93140,254,93013,3246797,34.86
AR,f,1959,44,0.00284,0.00284,0.5,92886,264,92754,3153783,33.95
AR,f,1959,45,0.00282,0.00282,0.5,92622,261,92492,3061029,33.05
AR,f,1959,46,0.00354,0.00354,0.5,92361,327,92198,2968537,32.14
AR,f,1959,47,0.00459,0.00458,0.5,92035,422,91824,2876339,31.25
AR,f,1959,48,0.00459,0.00458,0.5,91613,420,91403,2784516,30.39
AR,f,1959,49,0.00439,0.00438,0.5,91193,400,90993,2693113,29.53
AR,f,1959,50,0.00595,0.00593,0.5,90793,539,90524,2602119,28.66
AR,f,1959,51,0.00478,0.00476,0.5,90255,430,90040,2511595,27.83
AR,f,1959,52,0.00610,0.00608,0.5,89825,546,89552,2421556,26.96
AR,f,1959,53,0.00526,0.00524,0.5,89279,468,89045,2332004,26.12
AR,f,1959,54,0.00823,0.00819,0.5,88811,728,88447,2242960,25.26
AR,f,1959,55,0.00760,0.00757,0.5,88083,667,87750,2154513,24.46
AR,f,1959,56,0.00839,0.00836,0.5,87416,730,87051,2066763,23.64
AR,f,1959,57,0.00646,0.00644,0.5,86686,558,86407,1979712,22.84
AR,f,1959,58,0.01191,0.01184,0.5,86128,1019,85618,1893306,21.98
AR,f,1959,59,0.01141,0.01135,0.5,85108,966,84626,1807687,21.24
AR,f,1959,60,0.01062,0.01056,0.5,84143,889,83698,1723062,20.48
AR,f,1959,61,0.01105,0.01099,0.5,83254,915,82797,1639363,19.69
AR,f,1959,62,0.01500,0.01489,0.5,82339,1226,81726,1556567,18.90
AR,f,1959,63,0.01197,0.01190,0.5,81113,966,80630,1474840,18.18
AR,f,1959,64,0.01366,0.01357,0.5,80148,1087,79604,1394210,17.40
AR,f,1959,65,0.01652,0.01638,0.5,79060,1295,78413,1314606,16.63
AR,f,1959,66,0.01670,0.01656,0.5,77765,1288,77121,1236193,15.90
AR,f,1959,67,0.02002,0.01982,0.5,76477,1516,75719,1159072,15.16
AR,f,1959,68,0.01907,0.01889,0.5,74961,1416,74253,1083353,14.45
AR,f,1959,69,0.02736,0.02699,0.5,73545,1985,72553,1009100,13.72
AR,f,1959,70,0.03014,0.02969,0.5,71561,2125,70498,936547,13.09
AR,f,1959,71,0.02667,0.02632,0.5,69436,1828,68522,866049,12.47
AR,f,1959,72,0.03236,0.03185,0.5,67608,2153,66531,797527,11.80
AR,f,1959,73,0.03685,0.03618,0.5,65455,2368,64271,730995,11.17
AR,f,1959,74,0.03855,0.03782,0.5,63087,2386,61894,666725,10.57
AR,f,1959,75,0.05044,0.04920,0.5,60701,2986,59208,604831,9.96
AR,f,1959,76,0.04028,0.03948,0.5,57715,2279,56575,545623,9.45
AR,f,1959,77,0.05915,0.05745,0.5,55436,3185,53843,489048,8.82
AR,f,1959,78,0.06169,0.05984,0.5,52251,3127,50687,435205,8.33
AR,f,1959,79,0.07667,0.07384,0.5,49124,3627,47310,384517,7.83
AR,f,1959,80,0.08347,0.08013,0.5,45497,3645,43674,337207,7.41
AR,f,1959,81,0.07346,0.07085,0.5,41851,2965,40369,293533,7.01
AR,f,1959,82,0.10308,0.09803,0.5,38886,3812,36980,253165,6.51
AR,f,1959,83,0.10228,0.09730,0.5,35074,3413,33368,216185,6.16
AR,f,1959,84,0.13030,0.12233,0.5,31661,3873,29725,182817,5.77
AR,f,1959,85,0.11882,0.11215,0.5,27788,3116,26230,153093,5.51
AR,f,1959,86,0.15088,0.14030,0.5,24671,3461,22941,126863,5.14
AR,f,1959,87,0.15995,0.14810,0.5,21210,3141,19639,103922,4.90
AR,f,1959,88,0.16223,0.15005,0.5,18069,2711,16713,84283,4.66
AR,f,1959,89,0.17563,0.16145,0.5,15357,2480,14118,67570,4.40
AR,f,1959,90,0.18990,0.17343,0.5,12878,2233,11761,53452,4.15
AR,f,1959,91,0.20503,0.18597,0.5,10645,1980,9655,41691,3.92
AR,f,1959,92,0.22104,0.19904,0.5,8665,1725,7803,32036,3.70
AR,f,1959,93,0.23793,0.21263,0.5,6940,1476,6202,24233,3.49
AR,f,1959,94,0.25568,0.22670,0.5,5465,1239,4845,18031,3.30
AR,f,1959,95,0.27428,0.24121,0.5,4226,1019,3716,13185,3.12
AR,f,1959,96,0.29371,0.25610,0.5,3206,821,2796,9469,2.95
AR,f,1959,97,0.31391,0.27132,0.5,2385,647,2062,6673,2.80
AR,f,1959,98,0.33484,0.28682,0.5,1738,499,1489,4612,2.65
AR,f,1959,99,0.35644,0.30253,0.5,1240,375,1052,3123,2.52
AR,f,1959,100,0.37865,0.31837,0.5,865,275,727,2071,2.40
AR,f,1959,101,0.40137,0.33428,0.5,589,197,491,1344,2.28
AR,f,1959,102,0.42453,0.35019,0.5,392,137,324,853,2.17
AR,f,1959,103,0.44802,0.36603,0.5,255,93,208,529,2.08
AR,f,1959,104,0.47175,0.38171,0.5,162,62,131,321,1.99
AR,f,1959,105,0.49560,0.39718,0.5,100,40,80,190,1.90
AR,f,1959,106,0.51947,0.41237,0.5,60,25,48,110,1.83
AR,f,1959,107,0.54326,0.42722,0.5,35,15,28,62,1.76
AR,f,1959,108,0.56685,0.44167,0.5,20,9,16,35,1.71
AR,f,1959,109,0.59014,0.45568,0.5,11,5,9,19,1.66
AR,f,1959,110+,0.61304,1.00000,1.63,6,6,10,10,1.63
AR,f,1960,0,0.02421,0.02371,0.12,100000,2371,97916,7363029,73.63
AR,f,1960,1,0.00221,0.00221,0.5,97629,216,97521,7265113,74.42
AR,f,1960,2,0.00124,0.00124,0.5,97413,121,97353,7167592,73.58
AR,f,1960,3,0.00120,0.00120,0.5,97292,117,97234,7070239,72.67
AR,f,1960,4,0.00084,0.00084,0.5,97175,82,97134,6973005,71.76
AR,f,1960,5,0.00063,0.00063,0.5,97093,61,97063,6875871,70.82
AR,f,1960,6,0.00042,0.00042,0.5,97033,41,97012,6778808,69.86
AR,f,1960,7,0.00054,0.00054,0.5,96992,53,96965,6681796,68.89
AR,f,1960,8,0.00044,0.00044,0.5,96939,43,96918,6584830,67.93
AR,f,1960,9,0.00050,0.00050,0.5,96896,49,96872,6487913,66.96
AR,f,1960,10,0.00028,0.00028,0.5,96848,27,96834,6391041,65.99
AR,f,1960,11,0.00027,0.00027,0.5,96821,26,96808,6294207,65.01
AR,f,1960,12,0.00037,0.00037,0.5,96795,36,96777,6197399,64.03
AR,f,1960,13,0.00027,0.00027,0.5,96759,26,96746,6100622,63.05
AR,f,1960,14,0.00041,0.00041,0.5,96733,39,96713,6003876,62.07
AR,f,1960,15,0.00080,0.00080,0.5,96694,77,96655,5907162,61.09
AR,f,1960,16,0.00068,0.00068,0.5,96617,66,96584,5810507,60.14
AR,f,1960,17,0.00089,0.00089,0.5,96551,86,96508,5713923,59.18
AR,f,1960,18,0.00119,0.00119,0.5,96465,115,96407,5617415,58.23
AR,f,1960,19,0.00080,0.00080,0.5,96350,77,96312,5521008,57.30
AR,f,1960,20,0.00070,0.00070,0.5,96273,67,96239,5424696,56.35
AR,f,1960,21,0.00093,0.00093,0.5,96206,89,96161,5328457,55.39
AR,f,1960,22,0.00068,0.00068,0.5,96116,66,96083,5232296,54.44
AR,f,1960,23,0.00061,0.00061,0.5,96050,59,96021,5136212,53.47
AR,f,1960,24,0.00041,0.00041,0.5,95991,40,95972,5040191,52.51
AR,f,1960,25,0.00124,0.00124,0.5,95952,119,95892,4944220,51.53
AR,f,1960,26,0.00052,0.00052,0.5,95833,50,95808,4848327,50.59
AR,f,1960,27,0.00052,0.00052,0.5,95783,49,95758,4752519,49.62
AR,f,1960,28,0.00093,0.00093,0.5,95734,89,95689,4656761,48.64
AR,f,1960,29,0.00104,0.00104,0.5,95645,99,95595,4561072,47.69
AR,f,1960,30,0.00171,0.00171,0.5,95545,163,95464,4465477,46.74
AR,f,1960,31,0.00149,0.00149,0.5,95382,142,95311,4370013,45.82
AR,f,1960,32,0.00136,0.00136,0.5,95240,129,95175,4274702,44.88
AR,f,1960,33,0.00151,0.00151,0.5,95111,144,95039,4179526,43.94
AR,f,1960,34,0.00140,0.00140,0.5,94967,133,94901,4084487,43.01
AR,f,1960,35,0.00192,0.00192,0.5,94835,182,94744,3989586,42.07
AR,f,1960,36,0.00137,0.00137,0.5,94653,130,94588,3894843,41.15
AR,f,1960,37,0.00174,0.00174,0.5,94523,165,94441,3800255,40.20
