AR: Arkansas, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03011	0.02933	0.13	100000	2933	97436	6729270	67.29
1959	1-4	0.00132	0.00524	1.46	97067	509	386972	6631835	68.32
1959	5-9	0.00045	0.00225	2.57	96558	217	482259	6244862	64.68
1959	10-14	0.00077	0.00386	2.92	96340	372	480925	5762603	59.82
1959	15-19	0.00183	0.00909	2.57	95968	872	477721	5281678	55.04
1959	20-24	0.00250	0.01241	2.46	95096	1180	472479	4803957	50.52
1959	25-29	0.00241	0.01198	2.57	93916	1125	466843	4331478	46.12
1959	30-34	0.00269	0.01336	2.52	92790	1240	460880	3864635	41.65
1959	35-39	0.00345	0.01710	2.62	91551	1566	454034	3403756	37.18
1959	40-44	0.00491	0.02427	2.66	89985	2184	444812	2949721	32.78
1959	45-49	0.00747	0.03670	2.59	87801	3222	431229	2504909	28.53
1959	50-54	0.01105	0.05384	2.65	84579	4554	412187	2073681	24.52
1959	55-59	0.01537	0.07425	2.72	80025	5942	386567	1661494	20.76
1959	60-64	0.02443	0.11534	2.58	74083	8545	349766	1274927	17.21
1959	65-69	0.03619	0.16612	2.54	65538	10887	300857	925161	14.12
1959	70-74	0.05033	0.22464	2.61	54651	12277	243912	624304	11.42
1959	75-79	0.07145	0.30357	2.53	42374	12864	180034	380392	8.98
1959	80-84	0.11528	0.44475	2.43	29510	13125	113848	200357	6.79
1959	85-89	0.16634	0.57075	2.25	16386	9352	56224	86510	5.28
1959	90-94	0.21084	0.66150	2.18	7033	4653	22067	30286	4.31
1959	95-99	0.27307	0.75652	2.05	2381	1801	6596	8219	3.45
1959	100-104	0.34538	0.83472	1.91	580	484	1401	1623	2.80
1959	105-109	0.42553	0.89293	1.75	96	86	201	222	2.32
1959	110+	0.49152	1.00000	2.03	10	10	21	21	2.03
1960	0	0.03176	0.03091	0.13	100000	3091	97312	6655637	66.56
1960	1-4	0.00149	0.00594	1.56	96909	575	386232	6558326	67.68
1960	5-9	0.00081	0.00404	2.28	96334	389	480608	6172093	64.07
