AZ: Arizona, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02998	0.02922	0.13	100000	2922	97463	6938021	69.38
1960-1964	1	0.00291	0.00290	0.5	97078	282	96937	6840559	70.46
1960-1964	2	0.00156	0.00156	0.5	96796	151	96721	6743622	69.67
1960-1964	3	0.00107	0.00107	0.5	96645	104	96593	6646901	68.78
1960-1964	4	0.00080	0.00080	0.5	96541	77	96503	6550308	67.85
1960-1964	5	0.00071	0.00071	0.5	96464	68	96430	6453805	66.90
1960-1964	6	0.00050	0.00050	0.5	96396	48	96372	6357375	65.95
1960-1964	7	0.00053	0.00053	0.5	96348	51	96322	6261003	64.98
1960-1964	8	0.00037	0.00037	0.5	96297	36	96279	6164681	64.02
1960-1964	9	0.00045	0.00045	0.5	96261	43	96239	6068402	63.04
1960-1964	10	0.00041	0.00041	0.5	96218	40	96198	5972163	62.07
1960-1964	11	0.00043	0.00043	0.5	96178	41	96157	5875965	61.09
1960-1964	12	0.00048	0.00048	0.5	96137	46	96114	5779808	60.12
1960-1964	13	0.00054	0.00054	0.5	96090	52	96065	5683694	59.15
1960-1964	14	0.00064	0.00064	0.5	96039	62	96008	5587629	58.18
1960-1964	15	0.00084	0.00084	0.5	95977	81	95937	5491621	57.22
1960-1964	16	0.00110	0.00110	0.5	95896	106	95843	5395684	56.27
1960-1964	17	0.00126	0.00126	0.5	95791	120	95730	5299841	55.33
1960-1964	18	0.00121	0.00121	0.5	95670	115	95613	5204110	54.40
1960-1964	19	0.00161	0.00161	0.5	95555	153	95478	5108498	53.46
1960-1964	20	0.00167	0.00167	0.5	95402	159	95322	5013020	52.55
1960-1964	21	0.00155	0.00155	0.5	95242	147	95169	4917698	51.63
1960-1964	22	0.00178	0.00178	0.5	95095	169	95010	4822529	50.71
1960-1964	23	0.00179	0.00179	0.5	94926	170	94841	4727519	49.80
1960-1964	24	0.00155	0.00155	0.5	94756	147	94682	4632678	48.89
1960-1964	25	0.00178	0.00178	0.5	94609	168	94525	4537996	47.97
1960-1964	26	0.00156	0.00156	0.5	94441	147	94367	4443471	47.05
1960-1964	27	0.00147	0.00147	0.5	94293	138	94224	4349104	46.12
1960-1964	28	0.00182	0.00182	0.5	94155	171	94069	4254880	45.19
1960-1964	29	0.00198	0.00197	0.5	93984	186	93891	4160810	44.27
1960-1964	30	0.00213	0.00213	0.5	93798	200	93698	4066919	43.36
1960-1964	31	0.00176	0.00176	0.5	93598	165	93516	3973221	42.45
1960-1964	32	0.00211	0.00211	0.5	93434	197	93335	3879705	41.52
1960-1964	33	0.00223	0.00223	0.5	93237	208	93133	3786370	40.61
1960-1964	34	0.00260	0.00260	0.5	93029	242	92908	3693237	39.70
1960-1964	35	0.00206	0.00206	0.5	92787	191	92691	3600329	38.80
1960-1964	36	0.00279	0.00279	0.5	92595	258	92466	3507638	37.88
1960-1964	37	0.00271	0.00271	0.5	92337	250	92212	3415172	36.99
1960-1964	38	0.00300	0.00300	0.5	92087	276	91949	3322960	36.08
1960-1964	39	0.00276	0.00276	0.5	91811	253	91684	3231011	35.19
1960-1964	40	0.00340	0.00339	0.5	91558	310	91403	3139326	34.29
1960-1964	41	0.00329	0.00329	0.5	91248	300	91097	3047924	33.40
1960-1964	42	0.00420	0.00419	0.5	90947	381	90757	2956826	32.51
1960-1964	43	0.00451	0.00450	0.5	90566	408	90362	2866069	31.65
1960-1964	44	0.00500	0.00499	0.5	90158	450	89934	2775707	30.79
1960-1964	45	0.00548	0.00547	0.5	89709	491	89463	2685774	29.94
1960-1964	46	0.00547	0.00545	0.5	89218	487	88975	2596310	29.10
1960-1964	47	0.00644	0.00642	0.5	88731	570	88447	2507336	28.26
1960-1964	48	0.00643	0.00641	0.5	88162	565	87879	2418889	27.44
1960-1964	49	0.00734	0.00732	0.5	87597	641	87276	2331010	26.61
1960-1964	50	0.00873	0.00869	0.5	86956	756	86578	2243733	25.80
1960-1964	51	0.00892	0.00888	0.5	86200	766	85817	2157156	25.03
1960-1964	52	0.00962	0.00957	0.5	85434	818	85025	2071338	24.24
1960-1964	53	0.01062	0.01056	0.5	84616	894	84169	1986313	23.47
1960-1964	54	0.01130	0.01124	0.5	83722	941	83252	1902144	22.72
1960-1964	55	0.01206	0.01198	0.5	82782	992	82286	1818892	21.97
1960-1964	56	0.01305	0.01297	0.5	81789	1061	81259	1736606	21.23
1960-1964	57	0.01483	0.01472	0.5	80729	1189	80134	1655347	20.51
1960-1964	58	0.01498	0.01487	0.5	79540	1183	78949	1575213	19.80
1960-1964	59	0.01603	0.01590	0.5	78357	1246	77734	1496264	19.10
1960-1964	60	0.01714	0.01699	0.5	77111	1310	76456	1418530	18.40
1960-1964	61	0.01832	0.01815	0.5	75801	1376	75113	1342074	17.71
1960-1964	62	0.02081	0.02059	0.5	74425	1533	73659	1266961	17.02
1960-1964	63	0.02228	0.02203	0.5	72892	1606	72089	1193302	16.37
1960-1964	64	0.02428	0.02399	0.5	71286	1710	70431	1121213	15.73
1960-1964	65	0.02722	0.02685	0.5	69576	1868	68642	1050782	15.10
1960-1964	66	0.02928	0.02885	0.5	67707	1954	66731	982140	14.51
1960-1964	67	0.03133	0.03085	0.5	65754	2028	64740	915409	13.92
1960-1964	68	0.03189	0.03139	0.5	63726	2000	62725	850670	13.35
1960-1964	69	0.03633	0.03568	0.5	61725	2203	60624	787944	12.77
1960-1964	70	0.03802	0.03731	0.5	59523	2221	58412	727320	12.22
1960-1964	71	0.04127	0.04043	0.5	57302	2317	56143	668908	11.67
1960-1964	72	0.04618	0.04514	0.5	54985	2482	53744	612765	11.14
1960-1964	73	0.04710	0.04602	0.5	52503	2416	51295	559021	10.65
1960-1964	74	0.05287	0.05151	0.5	50087	2580	48797	507727	10.14
1960-1964	75	0.05941	0.05769	0.5	47507	2741	46136	458930	9.66
1960-1964	76	0.05684	0.05527	0.5	44766	2474	43529	412794	9.22
1960-1964	77	0.06763	0.06541	0.5	42292	2767	40909	369265	8.73
1960-1964	78	0.07216	0.06965	0.5	39525	2753	38149	328356	8.31
1960-1964	79	0.07850	0.07553	0.5	36772	2777	35384	290207	7.89
1960-1964	80	0.08449	0.08107	0.5	33995	2756	32617	254823	7.50
1960-1964	81	0.09143	0.08744	0.5	31239	2731	29873	222206	7.11
1960-1964	82	0.09889	0.09423	0.5	28508	2686	27164	192333	6.75
1960-1964	83	0.10689	0.10147	0.5	25821	2620	24511	165168	6.40
1960-1964	84	0.11546	0.10916	0.5	23201	2533	21935	140657	6.06
1960-1964	85	0.12463	0.11732	0.5	20669	2425	19456	118722	5.74
1960-1964	86	0.13444	0.12597	0.5	18244	2298	17095	99266	5.44
1960-1964	87	0.14489	0.13510	0.5	15946	2154	14868	82171	5.15
1960-1964	88	0.15602	0.14473	0.5	13791	1996	12793	67303	4.88
1960-1964	89	0.16786	0.15486	0.5	11795	1827	10882	54510	4.62
1960-1964	90	0.18041	0.16548	0.5	9969	1650	9144	43628	4.38
1960-1964	91	0.19370	0.17660	0.5	8319	1469	7584	34484	4.15
1960-1964	92	0.20774	0.18819	0.5	6850	1289	6205	26899	3.93
1960-1964	93	0.22253	0.20025	0.5	5561	1114	5004	20694	3.72
1960-1964	94	0.23808	0.21275	0.5	4447	946	3974	15690	3.53
1960-1964	95	0.25437	0.22567	0.5	3501	790	3106	11716	3.35
1960-1964	96	0.27141	0.23898	0.5	2711	648	2387	8610	3.18
1960-1964	97	0.28916	0.25264	0.5	2063	521	1803	6223	3.02
1960-1964	98	0.30761	0.26661	0.5	1542	411	1336	4420	2.87
1960-1964	99	0.32672	0.28084	0.5	1131	318	972	3084	2.73
1960-1964	100	0.34645	0.29529	0.5	813	240	693	2112	2.60
1960-1964	101	0.36674	0.30991	0.5	573	178	484	1419	2.48
1960-1964	102	0.38754	0.32463	0.5	395	128	331	934	2.36
1960-1964	103	0.40878	0.33941	0.5	267	91	222	603	2.26
1960-1964	104	0.43039	0.35417	0.5	176	62	145	381	2.16
1960-1964	105	0.45230	0.36888	0.5	114	42	93	236	2.07
1960-1964	106	0.47441	0.38345	0.5	72	28	58	143	1.99
1960-1964	107	0.49665	0.39785	0.5	44	18	36	85	1.92
1960-1964	108	0.51892	0.41202	0.5	27	11	21	50	1.86
