AZ: Arizona, Lifetables (period 1x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.03102	0.03020	0.13	100000	3020	97367	6605472	66.05
1960-1969	1	0.00289	0.00289	0.5	96980	280	96840	6508105	67.11
1960-1969	2	0.00160	0.00160	0.5	96700	154	96622	6411266	66.30
1960-1969	3	0.00116	0.00115	0.5	96545	111	96489	6314643	65.41
1960-1969	4	0.00082	0.00082	0.5	96434	79	96394	6218154	64.48
1960-1969	5	0.00075	0.00075	0.5	96355	72	96319	6121759	63.53
1960-1969	6	0.00061	0.00061	0.5	96283	59	96253	6025441	62.58
1960-1969	7	0.00058	0.00058	0.5	96224	56	96196	5929187	61.62
1960-1969	8	0.00046	0.00046	0.5	96168	44	96146	5832991	60.65
1960-1969	9	0.00062	0.00062	0.5	96124	60	96094	5736845	59.68
1960-1969	10	0.00043	0.00043	0.5	96064	42	96043	5640752	58.72
1960-1969	11	0.00047	0.00047	0.5	96022	45	96000	5544709	57.74
1960-1969	12	0.00051	0.00051	0.5	95977	49	95953	5448709	56.77
1960-1969	13	0.00068	0.00067	0.5	95929	65	95896	5352756	55.80
1960-1969	14	0.00076	0.00076	0.5	95864	73	95828	5256860	54.84
1960-1969	15	0.00090	0.00090	0.5	95791	86	95748	5161033	53.88
1960-1969	16	0.00139	0.00139	0.5	95705	133	95639	5065284	52.93
1960-1969	17	0.00172	0.00172	0.5	95572	164	95490	4969646	52.00
1960-1969	18	0.00169	0.00169	0.5	95408	161	95328	4874156	51.09
1960-1969	19	0.00216	0.00216	0.5	95247	206	95144	4778828	50.17
1960-1969	20	0.00245	0.00245	0.5	95041	233	94925	4683684	49.28
1960-1969	21	0.00231	0.00231	0.5	94809	219	94699	4588759	48.40
1960-1969	22	0.00262	0.00262	0.5	94590	248	94466	4494059	47.51
1960-1969	23	0.00254	0.00254	0.5	94342	240	94222	4399593	46.63
1960-1969	24	0.00219	0.00218	0.5	94102	205	94000	4305371	45.75
1960-1969	25	0.00241	0.00240	0.5	93897	226	93784	4211371	44.85
1960-1969	26	0.00221	0.00220	0.5	93671	207	93568	4117587	43.96
1960-1969	27	0.00229	0.00229	0.5	93465	214	93358	4024019	43.05
1960-1969	28	0.00248	0.00248	0.5	93251	231	93135	3930661	42.15
1960-1969	29	0.00268	0.00267	0.5	93019	249	92895	3837526	41.26
1960-1969	30	0.00281	0.00281	0.5	92771	261	92640	3744631	40.36
1960-1969	31	0.00222	0.00222	0.5	92510	205	92408	3651991	39.48
1960-1969	32	0.00275	0.00275	0.5	92305	254	92178	3559583	38.56
1960-1969	33	0.00279	0.00278	0.5	92052	256	91923	3467405	37.67
1960-1969	34	0.00276	0.00275	0.5	91795	253	91669	3375482	36.77
1960-1969	35	0.00269	0.00269	0.5	91542	246	91419	3283813	35.87
1960-1969	36	0.00310	0.00310	0.5	91296	283	91155	3192393	34.97
1960-1969	37	0.00363	0.00362	0.5	91014	330	90849	3101238	34.07
1960-1969	38	0.00384	0.00384	0.5	90684	348	90510	3010389	33.20
1960-1969	39	0.00341	0.00341	0.5	90336	308	90182	2919879	32.32
1960-1969	40	0.00414	0.00413	0.5	90029	372	89843	2829697	31.43
1960-1969	41	0.00418	0.00417	0.5	89657	374	89470	2739854	30.56
1960-1969	42	0.00511	0.00510	0.5	89283	455	89055	2650384	29.69
1960-1969	43	0.00574	0.00573	0.5	88828	509	88573	2561329	28.83
1960-1969	44	0.00646	0.00644	0.5	88319	568	88035	2472756	28.00
1960-1969	45	0.00636	0.00634	0.5	87751	556	87472	2384721	27.18
1960-1969	46	0.00697	0.00695	0.5	87194	606	86891	2297248	26.35
1960-1969	47	0.00830	0.00826	0.5	86588	715	86230	2210357	25.53
1960-1969	48	0.00832	0.00828	0.5	85873	711	85517	2124127	24.74
1960-1969	49	0.00953	0.00949	0.5	85161	808	84757	2038610	23.94
1960-1969	50	0.01073	0.01067	0.5	84353	900	83903	1953852	23.16
1960-1969	51	0.01193	0.01186	0.5	83453	990	82958	1869949	22.41
1960-1969	52	0.01250	0.01242	0.5	82464	1024	81951	1786991	21.67
1960-1969	53	0.01332	0.01323	0.5	81439	1078	80900	1705039	20.94
1960-1969	54	0.01529	0.01517	0.5	80362	1219	79752	1624139	20.21
1960-1969	55	0.01667	0.01653	0.5	79142	1308	78488	1544387	19.51
1960-1969	56	0.01730	0.01715	0.5	77834	1335	77167	1465898	18.83
1960-1969	57	0.01898	0.01880	0.5	76500	1439	75780	1388732	18.15
1960-1969	58	0.02032	0.02012	0.5	75061	1510	74306	1312951	17.49
1960-1969	59	0.02250	0.02225	0.5	73551	1636	72733	1238645	16.84
1960-1969	60	0.02421	0.02392	0.5	71914	1721	71054	1165913	16.21
1960-1969	61	0.02540	0.02509	0.5	70194	1761	69313	1094859	15.60
1960-1969	62	0.02829	0.02789	0.5	68433	1909	67479	1025545	14.99
1960-1969	63	0.02965	0.02922	0.5	66524	1944	65552	958066	14.40
1960-1969	64	0.03238	0.03187	0.5	64581	2058	63552	892514	13.82
1960-1969	65	0.03615	0.03551	0.5	62522	2220	61413	828962	13.26
1960-1969	66	0.03872	0.03798	0.5	60303	2290	59157	767550	12.73
1960-1969	67	0.04126	0.04043	0.5	58012	2345	56840	708392	12.21
1960-1969	68	0.04489	0.04391	0.5	55667	2444	54445	651553	11.70
1960-1969	69	0.04743	0.04633	0.5	53223	2466	51990	597108	11.22
1960-1969	70	0.05169	0.05039	0.5	50757	2557	49478	545118	10.74
1960-1969	71	0.05454	0.05309	0.5	48199	2559	46920	495640	10.28
1960-1969	72	0.06078	0.05899	0.5	45640	2692	44294	448720	9.83
1960-1969	73	0.06184	0.05999	0.5	42948	2576	41660	404426	9.42
1960-1969	74	0.06690	0.06474	0.5	40372	2614	39065	362766	8.99
1960-1969	75	0.07536	0.07263	0.5	37758	2742	36387	323701	8.57
1960-1969	76	0.07488	0.07217	0.5	35016	2527	33752	287314	8.21
1960-1969	77	0.08598	0.08244	0.5	32489	2678	31150	253561	7.80
1960-1969	78	0.08928	0.08547	0.5	29810	2548	28536	222412	7.46
1960-1969	79	0.09399	0.08977	0.5	27263	2447	26039	193875	7.11
1960-1969	80	0.09950	0.09478	0.5	24815	2352	23639	167837	6.76
1960-1969	81	0.10735	0.10189	0.5	22463	2289	21319	144197	6.42
1960-1969	82	0.11575	0.10942	0.5	20175	2208	19071	122878	6.09
1960-1969	83	0.12472	0.11740	0.5	17967	2109	16912	103808	5.78
1960-1969	84	0.13427	0.12582	0.5	15858	1995	14860	86895	5.48
1960-1969	85	0.14443	0.13471	0.5	13862	1867	12929	72035	5.20
1960-1969	86	0.15523	0.14405	0.5	11995	1728	11131	59106	4.93
1960-1969	87	0.16667	0.15385	0.5	10267	1580	9477	47975	4.67
1960-1969	88	0.17878	0.16411	0.5	8688	1426	7975	38498	4.43
1960-1969	89	0.19157	0.17483	0.5	7262	1270	6627	30523	4.20
1960-1969	90	0.20505	0.18598	0.5	5992	1114	5435	23896	3.99
1960-1969	91	0.21921	0.19756	0.5	4878	964	4396	18461	3.78
1960-1969	92	0.23407	0.20954	0.5	3914	820	3504	14065	3.59
1960-1969	93	0.24961	0.22191	0.5	3094	687	2751	10561	3.41
1960-1969	94	0.26582	0.23464	0.5	2407	565	2125	7810	3.24
1960-1969	95	0.28269	0.24768	0.5	1843	456	1614	5685	3.09
1960-1969	96	0.30019	0.26102	0.5	1386	362	1205	4071	2.94
1960-1969	97	0.31830	0.27460	0.5	1024	281	884	2866	2.80
1960-1969	98	0.33697	0.28838	0.5	743	214	636	1982	2.67
1960-1969	99	0.35617	0.30233	0.5	529	160	449	1346	2.55
1960-1969	100	0.37584	0.31638	0.5	369	117	311	897	2.43
1960-1969	101	0.39592	0.33050	0.5	252	83	211	587	2.33
1960-1969	102	0.41637	0.34462	0.5	169	58	140	376	2.23
1960-1969	103	0.43710	0.35871	0.5	111	40	91	236	2.14
1960-1969	104	0.45806	0.37270	0.5	71	26	58	146	2.05
1960-1969	105	0.47917	0.38656	0.5	45	17	36	88	1.97
1960-1969	106	0.50035	0.40023	0.5	27	11	22	52	1.90
1960-1969	107	0.52153	0.41366	0.5	16	7	13	30	1.84
1960-1969	108	0.54264	0.42683	0.5	10	4	8	17	1.78
1960-1969	109	0.56359	0.43969	0.5	6	2	4	10	1.74
1960-1969	110+	0.58432	1.00000	1.71	3	3	5	5	1.71
1970-1979	0	0.01761	0.01734	0.09	100000	1734	98426	6885298	68.85
1970-1979	1	0.00178	0.00178	0.5	98266	175	98179	6786872	69.07
1970-1979	2	0.00117	0.00117	0.5	98091	114	98034	6688693	68.19
1970-1979	3	0.00104	0.00104	0.5	97977	102	97926	6590659	67.27
1970-1979	4	0.00063	0.00063	0.5	97875	62	97844	6492733	66.34
1970-1979	5	0.00070	0.00070	0.5	97813	69	97779	6394889	65.38
1970-1979	6	0.00056	0.00056	0.5	97745	55	97717	6297110	64.42
1970-1979	7	0.00046	0.00046	0.5	97690	45	97667	6199393	63.46
1970-1979	8	0.00044	0.00044	0.5	97645	43	97623	6101725	62.49
1970-1979	9	0.00038	0.00038	0.5	97602	37	97583	6004102	61.52
1970-1979	10	0.00052	0.00052	0.5	97565	50	97540	5906519	60.54
1970-1979	11	0.00045	0.00045	0.5	97514	44	97492	5808979	59.57
1970-1979	12	0.00045	0.00045	0.5	97470	44	97448	5711487	58.60
1970-1979	13	0.00069	0.00069	0.5	97427	67	97393	5614038	57.62
1970-1979	14	0.00074	0.00074	0.5	97360	72	97324	5516645	56.66
1970-1979	15	0.00103	0.00103	0.5	97287	100	97237	5419322	55.70
1970-1979	16	0.00150	0.00150	0.5	97187	146	97115	5322084	54.76
1970-1979	17	0.00181	0.00180	0.5	97042	175	96954	5224970	53.84
1970-1979	18	0.00233	0.00233	0.5	96867	226	96754	5128016	52.94
1970-1979	19	0.00285	0.00285	0.5	96641	275	96503	5031262	52.06
1970-1979	20	0.00285	0.00285	0.5	96366	274	96229	4934759	51.21
1970-1979	21	0.00245	0.00245	0.5	96091	235	95974	4838530	50.35
1970-1979	22	0.00275	0.00275	0.5	95856	264	95724	4742556	49.48
1970-1979	23	0.00286	0.00285	0.5	95593	273	95456	4646832	48.61
1970-1979	24	0.00259	0.00259	0.5	95320	246	95196	4551376	47.75
1970-1979	25	0.00267	0.00266	0.5	95073	253	94947	4456180	46.87
1970-1979	26	0.00238	0.00238	0.5	94820	225	94708	4361233	45.99
1970-1979	27	0.00227	0.00227	0.5	94595	215	94487	4266525	45.10
1970-1979	28	0.00237	0.00237	0.5	94380	223	94268	4172038	44.20
