PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CA,b,1960-1969,0,0.02178,0.02137,0.11,100000,2137,98096,7114136,71.14
CA,b,1960-1969,1,0.00136,0.00136,0.5,97863,133,97796,7016040,71.69
CA,b,1960-1969,2,0.00092,0.00092,0.5,97730,90,97685,6918243,70.79
CA,b,1960-1969,3,0.00069,0.00069,0.5,97640,67,97606,6820559,69.85
CA,b,1960-1969,4,0.00059,0.00059,0.5,97573,57,97544,6722952,68.90
CA,b,1960-1969,5,0.00050,0.00050,0.5,97516,49,97491,6625408,67.94
CA,b,1960-1969,6,0.00045,0.00045,0.5,97467,43,97445,6527917,66.98
CA,b,1960-1969,7,0.00040,0.00040,0.5,97423,39,97404,6430472,66.01
CA,b,1960-1969,8,0.00037,0.00037,0.5,97384,36,97366,6333068,65.03
CA,b,1960-1969,9,0.00033,0.00033,0.5,97349,32,97333,6235701,64.06
CA,b,1960-1969,10,0.00030,0.00030,0.5,97317,29,97302,6138369,63.08
CA,b,1960-1969,11,0.00031,0.00031,0.5,97287,31,97272,6041067,62.10
CA,b,1960-1969,12,0.00033,0.00033,0.5,97257,32,97241,5943795,61.11
CA,b,1960-1969,13,0.00039,0.00039,0.5,97224,38,97205,5846554,60.13
CA,b,1960-1969,14,0.00045,0.00045,0.5,97186,43,97164,5749349,59.16
CA,b,1960-1969,15,0.00057,0.00057,0.5,97143,55,97115,5652184,58.18
CA,b,1960-1969,16,0.00079,0.00079,0.5,97087,77,97049,5555069,57.22
CA,b,1960-1969,17,0.00095,0.00095,0.5,97010,92,96965,5458021,56.26
CA,b,1960-1969,18,0.00117,0.00117,0.5,96919,113,96862,5361056,55.31
CA,b,1960-1969,19,0.00126,0.00126,0.5,96805,122,96744,5264194,54.38
CA,b,1960-1969,20,0.00128,0.00128,0.5,96684,123,96622,5167449,53.45
CA,b,1960-1969,21,0.00134,0.00134,0.5,96560,129,96496,5070828,52.51
CA,b,1960-1969,22,0.00132,0.00132,0.5,96431,127,96367,4974332,51.58
CA,b,1960-1969,23,0.00133,0.00133,0.5,96303,128,96239,4877965,50.65
CA,b,1960-1969,24,0.00126,0.00126,0.5,96175,121,96115,4781725,49.72
CA,b,1960-1969,25,0.00129,0.00129,0.5,96055,124,95993,4685610,48.78
CA,b,1960-1969,26,0.00126,0.00126,0.5,95930,121,95870,4589618,47.84
CA,b,1960-1969,27,0.00131,0.00131,0.5,95810,125,95747,4493748,46.90
CA,b,1960-1969,28,0.00133,0.00133,0.5,95685,128,95621,4398000,45.96
CA,b,1960-1969,29,0.00138,0.00138,0.5,95557,132,95491,4302380,45.02
CA,b,1960-1969,30,0.00140,0.00140,0.5,95425,134,95359,4206888,44.09
CA,b,1960-1969,31,0.00148,0.00148,0.5,95292,141,95222,4111530,43.15
CA,b,1960-1969,32,0.00160,0.00160,0.5,95151,153,95075,4016308,42.21
CA,b,1960-1969,33,0.00172,0.00172,0.5,94999,163,94917,3921233,41.28
