PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CA,m,1959,0,0.02713,0.02650,0.12,100000,2650,97662,6791351,67.91
CA,m,1959,1,0.00153,0.00153,0.5,97350,149,97276,6693688,68.76
CA,m,1959,2,0.00111,0.00111,0.5,97201,108,97147,6596413,67.86
CA,m,1959,3,0.00084,0.00084,0.5,97093,82,97052,6499266,66.94
CA,m,1959,4,0.00069,0.00068,0.5,97011,66,96978,6402214,65.99
CA,m,1959,5,0.00064,0.00064,0.5,96945,62,96914,6305235,65.04
CA,m,1959,6,0.00056,0.00056,0.5,96882,54,96855,6208322,64.08
CA,m,1959,7,0.00036,0.00036,0.5,96828,35,96811,6111466,63.12
CA,m,1959,8,0.00033,0.00033,0.5,96793,32,96777,6014655,62.14
CA,m,1959,9,0.00033,0.00033,0.5,96761,32,96745,5917878,61.16
CA,m,1959,10,0.00042,0.00042,0.5,96729,40,96709,5821133,60.18
CA,m,1959,11,0.00040,0.00040,0.5,96689,39,96669,5724424,59.20
CA,m,1959,12,0.00040,0.00040,0.5,96650,39,96630,5627755,58.23
CA,m,1959,13,0.00063,0.00063,0.5,96611,61,96581,5531124,57.25
CA,m,1959,14,0.00067,0.00067,0.5,96550,65,96518,5434544,56.29
CA,m,1959,15,0.00094,0.00094,0.5,96485,91,96440,5338026,55.32
CA,m,1959,16,0.00087,0.00087,0.5,96394,84,96353,5241586,54.38
CA,m,1959,17,0.00107,0.00107,0.5,96311,103,96259,5145233,53.42
CA,m,1959,18,0.00134,0.00134,0.5,96208,129,96144,5048974,52.48
CA,m,1959,19,0.00146,0.00146,0.5,96079,141,96009,4952830,51.55
CA,m,1959,20,0.00165,0.00165,0.5,95939,158,95860,4856821,50.62
CA,m,1959,21,0.00167,0.00167,0.5,95781,160,95701,4760962,49.71
CA,m,1959,22,0.00144,0.00144,0.5,95621,138,95552,4665261,48.79
CA,m,1959,23,0.00166,0.00166,0.5,95483,159,95404,4569709,47.86
CA,m,1959,24,0.00119,0.00119,0.5,95325,114,95268,4474305,46.94
CA,m,1959,25,0.00128,0.00128,0.5,95211,122,95150,4379037,45.99
CA,m,1959,26,0.00146,0.00146,0.5,95089,139,95019,4283888,45.05
CA,m,1959,27,0.00167,0.00166,0.5,94950,158,94871,4188868,44.12
