CO: Colorado, Lifetables (period 1x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02451	0.02399	0.12	100000	2399	97882	7137698	71.38
1960-1969	1	0.00156	0.00156	0.5	97601	152	97525	7039817	72.13
1960-1969	2	0.00099	0.00098	0.5	97449	96	97401	6942292	71.24
1960-1969	3	0.00075	0.00075	0.5	97353	73	97316	6844891	70.31
1960-1969	4	0.00064	0.00064	0.5	97279	63	97248	6747575	69.36
1960-1969	5	0.00057	0.00057	0.5	97217	55	97189	6650327	68.41
1960-1969	6	0.00046	0.00046	0.5	97162	45	97139	6553138	67.45
1960-1969	7	0.00038	0.00038	0.5	97117	37	97098	6455999	66.48
1960-1969	8	0.00037	0.00037	0.5	97079	36	97061	6358901	65.50
1960-1969	9	0.00035	0.00035	0.5	97043	34	97026	6261839	64.53
1960-1969	10	0.00037	0.00037	0.5	97009	36	96991	6164813	63.55
1960-1969	11	0.00036	0.00036	0.5	96973	35	96955	6067823	62.57
1960-1969	12	0.00042	0.00042	0.5	96938	41	96918	5970867	61.59
1960-1969	13	0.00043	0.00043	0.5	96897	42	96876	5873950	60.62
1960-1969	14	0.00053	0.00053	0.5	96855	51	96830	5777074	59.65
1960-1969	15	0.00077	0.00077	0.5	96804	74	96767	5680244	58.68
1960-1969	16	0.00091	0.00091	0.5	96730	88	96686	5583477	57.72
1960-1969	17	0.00106	0.00106	0.5	96642	102	96591	5486791	56.77
1960-1969	18	0.00125	0.00125	0.5	96540	120	96480	5390200	55.83
1960-1969	19	0.00125	0.00125	0.5	96419	120	96359	5293720	54.90
1960-1969	20	0.00132	0.00132	0.5	96299	127	96236	5197361	53.97
1960-1969	21	0.00150	0.00150	0.5	96173	144	96100	5101125	53.04
1960-1969	22	0.00139	0.00139	0.5	96028	134	95962	5005025	52.12
1960-1969	23	0.00136	0.00136	0.5	95895	130	95830	4909063	51.19
1960-1969	24	0.00122	0.00121	0.5	95765	116	95707	4813233	50.26
1960-1969	25	0.00132	0.00132	0.5	95649	126	95585	4717527	49.32
1960-1969	26	0.00139	0.00139	0.5	95522	133	95456	4621941	48.39
1960-1969	27	0.00112	0.00112	0.5	95389	107	95336	4526485	47.45
1960-1969	28	0.00131	0.00130	0.5	95282	124	95220	4431149	46.51
1960-1969	29	0.00144	0.00144	0.5	95158	137	95089	4335929	45.57
1960-1969	30	0.00134	0.00134	0.5	95021	127	94957	4240840	44.63
1960-1969	31	0.00142	0.00142	0.5	94894	135	94826	4145883	43.69
1960-1969	32	0.00154	0.00153	0.5	94759	145	94686	4051056	42.75
1960-1969	33	0.00161	0.00161	0.5	94613	152	94537	3956370	41.82
1960-1969	34	0.00186	0.00185	0.5	94461	175	94374	3861833	40.88
1960-1969	35	0.00182	0.00182	0.5	94286	172	94200	3767459	39.96
1960-1969	36	0.00199	0.00199	0.5	94114	187	94021	3673259	39.03
1960-1969	37	0.00218	0.00218	0.5	93927	204	93825	3579239	38.11
1960-1969	38	0.00241	0.00240	0.5	93723	225	93610	3485414	37.19
1960-1969	39	0.00266	0.00266	0.5	93497	249	93373	3391804	36.28
1960-1969	40	0.00284	0.00284	0.5	93249	264	93117	3298431	35.37
1960-1969	41	0.00299	0.00299	0.5	92984	278	92845	3205314	34.47
1960-1969	42	0.00328	0.00328	0.5	92706	304	92554	3112469	33.57
1960-1969	43	0.00365	0.00364	0.5	92402	336	92234	3019914	32.68
1960-1969	44	0.00404	0.00403	0.5	92066	371	91880	2927680	31.80
1960-1969	45	0.00437	0.00436	0.5	91695	400	91495	2835800	30.93
1960-1969	46	0.00464	0.00463	0.5	91295	422	91083	2744306	30.06
1960-1969	47	0.00531	0.00530	0.5	90872	482	90631	2653222	29.20
1960-1969	48	0.00598	0.00597	0.5	90391	539	90121	2562591	28.35
1960-1969	49	0.00638	0.00636	0.5	89851	571	89566	2472470	27.52
1960-1969	50	0.00657	0.00654	0.5	89280	584	88988	2382904	26.69
1960-1969	51	0.00731	0.00729	0.5	88696	646	88373	2293916	25.86
1960-1969	52	0.00797	0.00793	0.5	88050	699	87700	2205543	25.05
1960-1969	53	0.00889	0.00885	0.5	87351	773	86964	2117843	24.25
1960-1969	54	0.00968	0.00963	0.5	86578	834	86161	2030879	23.46
1960-1969	55	0.01011	0.01006	0.5	85744	863	85313	1944718	22.68
1960-1969	56	0.01115	0.01108	0.5	84881	941	84411	1859405	21.91
1960-1969	57	0.01153	0.01147	0.5	83940	962	83459	1774995	21.15
1960-1969	58	0.01276	0.01268	0.5	82978	1052	82452	1691535	20.39
