PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CO,b,1960-1964,0,0.02627,0.02568,0.12,100000,2568,97744,7102941,71.03
CO,b,1960-1964,1-4,0.00106,0.00425,1.68,97432,414,388767,7005196,71.90
CO,b,1960-1964,5-9,0.00047,0.00233,2.24,97018,226,484469,6616429,68.20
CO,b,1960-1964,10-14,0.00045,0.00224,2.64,96793,217,483452,6131960,63.35
CO,b,1960-1964,15-19,0.00106,0.00527,2.73,96576,509,481725,5648508,58.49
CO,b,1960-1964,20-24,0.00137,0.00681,2.4,96067,654,478633,5166783,53.78
CO,b,1960-1964,25-29,0.00133,0.00665,2.55,95413,635,475511,4688150,49.14
CO,b,1960-1964,30-34,0.00156,0.00777,2.69,94778,736,472192,4212639,44.45
CO,b,1960-1964,35-39,0.00225,0.01119,2.7,94042,1052,467789,3740447,39.77
CO,b,1960-1964,40-44,0.00339,0.01682,2.7,92990,1564,461348,3272658,35.19
CO,b,1960-1964,45-49,0.00549,0.02709,2.71,91426,2477,451448,2811310,30.75
CO,b,1960-1964,50-54,0.00814,0.03997,2.67,88949,3555,436466,2359862,26.53
CO,b,1960-1964,55-59,0.01233,0.05988,2.62,85395,5114,414805,1923397,22.52
CO,b,1960-1964,60-64,0.01775,0.08516,2.64,80281,6837,385284,1508591,18.79
CO,b,1960-1964,65-69,0.02687,0.12625,2.61,73444,9272,345089,1123308,15.29
CO,b,1960-1964,70-74,0.04169,0.18952,2.61,64171,12162,291741,778219,12.13
CO,b,1960-1964,75-79,0.06405,0.27686,2.55,52010,14399,224809,486478,9.35
CO,b,1960-1964,80-84,0.10219,0.40655,2.49,37610,15291,149624,261669,6.96
CO,b,1960-1964,85-89,0.16577,0.57425,2.33,22320,12817,77321,112045,5.02
CO,b,1960-1964,90-94,0.24905,0.72858,2.15,9503,6923,27800,34724,3.65
CO,b,1960-1964,95-99,0.35735,0.85016,1.92,2579,2193,6136,6924,2.68
CO,b,1960-1964,100-104,0.48254,0.92527,1.67,386,358,741,788,2.04
CO,b,1960-1964,105-109,0.61080,0.96346,1.45,29,28,46,47,1.63
CO,b,1960-1964,110+,0.71046,1.00000,1.41,1,1,1,1,1.41
CO,b,1965-1969,0,0.02246,0.02202,0.11,100000,2202,98044,7172937,71.73
CO,b,1965-1969,1-4,0.00090,0.00360,1.56,97798,353,390333,7074893,72.34
CO,b,1965-1969,5-9,0.00039,0.00197,2.27,97446,192,486707,6684560,68.60
CO,b,1965-1969,10-14,0.00040,0.00200,2.72,97254,194,485828,6197853,63.73
CO,b,1965-1969,15-19,0.00104,0.00518,2.76,97060,503,484172,5712026,58.85
CO,b,1965-1969,20-24,0.00135,0.00672,2.48,96557,649,481153,5227854,54.14
CO,b,1965-1969,25-29,0.00130,0.00648,2.49,95908,622,477983,4746700,49.49
CO,b,1965-1969,30-34,0.00155,0.00770,2.62,95287,733,474685,4268717,44.80
CO,b,1965-1969,35-39,0.00218,0.01082,2.67,94553,1023,470384,3794032,40.13
CO,b,1965-1969,40-44,0.00333,0.01654,2.66,93530,1547,464024,3323649,35.54
CO,b,1965-1969,45-49,0.00520,0.02567,2.68,91983,2361,454430,2859625,31.09
CO,b,1965-1969,50-54,0.00800,0.03929,2.68,89623,3521,439955,2405194,26.84
CO,b,1965-1969,55-59,0.01159,0.05643,2.66,86101,4859,419140,1965239,22.82
CO,b,1965-1969,60-64,0.01789,0.08577,2.6,81242,6968,389492,1546099,19.03
