PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CO,f,1959,0,0.02431,0.02381,0.12,100000,2381,97908,7446669,74.47
CO,f,1959,1-4,0.00090,0.00359,1.59,97619,350,389633,7348761,75.28
CO,f,1959,5-9,0.00030,0.00148,2.11,97269,144,485930,6959128,71.54
CO,f,1959,10-14,0.00037,0.00184,2.49,97125,179,485177,6473198,66.65
CO,f,1959,15-19,0.00078,0.00390,2.63,96946,378,483835,5988021,61.77
CO,f,1959,20-24,0.00071,0.00352,2.4,96568,340,481955,5504186,57.00
CO,f,1959,25-29,0.00102,0.00510,2.68,96228,490,480001,5022230,52.19
CO,f,1959,30-34,0.00117,0.00582,2.44,95738,557,477264,4542229,47.44
CO,f,1959,35-39,0.00165,0.00822,2.74,95181,782,474137,4064966,42.71
CO,f,1959,40-44,0.00229,0.01140,2.6,94398,1076,469406,3590829,38.04
CO,f,1959,45-49,0.00338,0.01675,2.52,93322,1563,462739,3121423,33.45
CO,f,1959,50-54,0.00565,0.02790,2.63,91760,2560,452734,2658684,28.97
CO,f,1959,55-59,0.00865,0.04242,2.68,89200,3784,437227,2205950,24.73
CO,f,1959,60-64,0.01123,0.05470,2.67,85416,4672,416189,1768724,20.71
CO,f,1959,65-69,0.02113,0.10091,2.79,80744,8148,385697,1352535,16.75
CO,f,1959,70-74,0.03357,0.15540,2.61,72596,11281,336011,966837,13.32
CO,f,1959,75-79,0.05490,0.24328,2.66,61315,14917,271722,630827,10.29
CO,f,1959,80-84,0.08177,0.34247,2.63,46398,15890,194330,359104,7.74
CO,f,1959,85-89,0.14725,0.53153,2.38,30508,16216,110127,164774,5.40
CO,f,1959,90-94,0.23281,0.70594,2.21,14292,10089,43337,54648,3.82
CO,f,1959,95-99,0.35492,0.85041,1.94,4203,3574,10070,11311,2.69
CO,f,1959,100-104,0.49904,0.93331,1.65,629,587,1176,1241,1.97
CO,f,1959,105-109,0.64461,0.97047,1.4,42,41,63,65,1.54
CO,f,1959,110+,0.75394,1.00000,1.33,1,1,2,2,1.33
CO,f,1960,0,0.02341,0.02293,0.12,100000,2293,97979,7435515,74.36
CO,f,1960,1-4,0.00094,0.00374,1.76,97707,365,390010,7337537,75.10
CO,f,1960,5-9,0.00047,0.00236,1.97,97342,230,486011,6947527,71.37
CO,f,1960,10-14,0.00025,0.00124,2.75,97111,121,485286,6461516,66.54
CO,f,1960,15-19,0.00064,0.00319,3.03,96991,309,484344,5976230,61.62
CO,f,1960,20-24,0.00077,0.00383,2.62,96681,370,482525,5491886,56.80
