PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CT,b,1960-1964,0,0.02216,0.02173,0.11,100000,2173,98066,7121396,71.21
CT,b,1960-1964,1,0.00120,0.00120,0.5,97827,118,97768,7023330,71.79
CT,b,1960-1964,2,0.00079,0.00079,0.5,97709,77,97671,6925562,70.88
CT,b,1960-1964,3,0.00053,0.00053,0.5,97632,52,97606,6827891,69.93
CT,b,1960-1964,4,0.00046,0.00046,0.5,97580,45,97558,6730284,68.97
CT,b,1960-1964,5,0.00044,0.00044,0.5,97535,43,97514,6632727,68.00
CT,b,1960-1964,6,0.00042,0.00042,0.5,97492,41,97472,6535213,67.03
CT,b,1960-1964,7,0.00035,0.00035,0.5,97452,34,97434,6437741,66.06
CT,b,1960-1964,8,0.00030,0.00030,0.5,97417,29,97403,6340307,65.08
CT,b,1960-1964,9,0.00022,0.00022,0.5,97388,21,97378,6242904,64.10
CT,b,1960-1964,10,0.00026,0.00026,0.5,97367,26,97355,6145526,63.12
CT,b,1960-1964,11,0.00032,0.00032,0.5,97342,31,97326,6048171,62.13
CT,b,1960-1964,12,0.00032,0.00032,0.5,97311,31,97295,5950845,61.15
CT,b,1960-1964,13,0.00037,0.00037,0.5,97279,36,97261,5853550,60.17
CT,b,1960-1964,14,0.00035,0.00035,0.5,97243,34,97226,5756289,59.19
CT,b,1960-1964,15,0.00046,0.00046,0.5,97209,45,97187,5659063,58.22
CT,b,1960-1964,16,0.00057,0.00057,0.5,97164,56,97136,5561876,57.24
CT,b,1960-1964,17,0.00070,0.00070,0.5,97109,68,97074,5464740,56.27
CT,b,1960-1964,18,0.00069,0.00069,0.5,97040,67,97007,5367666,55.31
CT,b,1960-1964,19,0.00083,0.00082,0.5,96973,80,96933,5270659,54.35
CT,b,1960-1964,20,0.00094,0.00094,0.5,96893,91,96848,5173726,53.40
CT,b,1960-1964,21,0.00093,0.00093,0.5,96802,90,96757,5076878,52.45
CT,b,1960-1964,22,0.00098,0.00098,0.5,96712,94,96665,4980121,51.49
CT,b,1960-1964,23,0.00088,0.00088,0.5,96618,85,96575,4883456,50.54
