CT: Connecticut, Lifetables (period 1x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02430	0.02379	0.11	100000	2379	97884	6819205	68.19
1960-1969	1	0.00120	0.00119	0.5	97621	117	97563	6721322	68.85
1960-1969	2	0.00073	0.00073	0.5	97505	71	97469	6623759	67.93
1960-1969	3	0.00060	0.00060	0.5	97433	59	97404	6526290	66.98
1960-1969	4	0.00053	0.00053	0.5	97374	51	97349	6428886	66.02
1960-1969	5	0.00049	0.00049	0.5	97323	47	97300	6331537	65.06
1960-1969	6	0.00045	0.00045	0.5	97276	44	97254	6234238	64.09
1960-1969	7	0.00048	0.00048	0.5	97232	47	97208	6136984	63.12
1960-1969	8	0.00034	0.00034	0.5	97185	33	97169	6039775	62.15
1960-1969	9	0.00027	0.00027	0.5	97152	26	97139	5942607	61.17
1960-1969	10	0.00034	0.00034	0.5	97126	34	97109	5845468	60.18
1960-1969	11	0.00034	0.00034	0.5	97092	33	97076	5748359	59.21
1960-1969	12	0.00040	0.00040	0.5	97059	38	97040	5651283	58.23
1960-1969	13	0.00038	0.00038	0.5	97021	37	97002	5554243	57.25
1960-1969	14	0.00050	0.00050	0.5	96984	48	96960	5457241	56.27
1960-1969	15	0.00065	0.00064	0.5	96936	63	96904	5360282	55.30
1960-1969	16	0.00086	0.00086	0.5	96873	83	96831	5263377	54.33
1960-1969	17	0.00101	0.00101	0.5	96790	98	96741	5166546	53.38
1960-1969	18	0.00121	0.00121	0.5	96692	117	96634	5069805	52.43
1960-1969	19	0.00144	0.00143	0.5	96575	139	96506	4973171	51.50
1960-1969	20	0.00149	0.00149	0.5	96437	143	96365	4876665	50.57
1960-1969	21	0.00154	0.00154	0.5	96294	148	96219	4780300	49.64
1960-1969	22	0.00140	0.00140	0.5	96145	135	96078	4684080	48.72
1960-1969	23	0.00142	0.00142	0.5	96011	136	95943	4588002	47.79
1960-1969	24	0.00137	0.00137	0.5	95874	132	95808	4492060	46.85
1960-1969	25	0.00150	0.00150	0.5	95743	143	95671	4396251	45.92
1960-1969	26	0.00124	0.00124	0.5	95600	118	95540	4300580	44.99
1960-1969	27	0.00125	0.00125	0.5	95481	119	95422	4205040	44.04
1960-1969	28	0.00139	0.00139	0.5	95362	133	95296	4109618	43.09
1960-1969	29	0.00127	0.00127	0.5	95230	121	95169	4014322	42.15
1960-1969	30	0.00135	0.00135	0.5	95109	128	95045	3919153	41.21
1960-1969	31	0.00147	0.00147	0.5	94981	140	94911	3824108	40.26
1960-1969	32	0.00142	0.00142	0.5	94841	134	94774	3729197	39.32
1960-1969	33	0.00159	0.00159	0.5	94706	150	94631	3634424	38.38
1960-1969	34	0.00181	0.00181	0.5	94556	171	94470	3539792	37.44
1960-1969	35	0.00186	0.00186	0.5	94385	175	94297	3445322	36.50
1960-1969	36	0.00192	0.00191	0.5	94210	180	94120	3351025	35.57
1960-1969	37	0.00213	0.00212	0.5	94029	200	93930	3256905	34.64
1960-1969	38	0.00265	0.00264	0.5	93830	248	93706	3162976	33.71
1960-1969	39	0.00282	0.00282	0.5	93582	264	93450	3069270	32.80
1960-1969	40	0.00276	0.00276	0.5	93318	258	93189	2975820	31.89
1960-1969	41	0.00332	0.00331	0.5	93060	308	92906	2882631	30.98
1960-1969	42	0.00388	0.00387	0.5	92752	359	92573	2789725	30.08
1960-1969	43	0.00406	0.00405	0.5	92393	375	92206	2697152	29.19
1960-1969	44	0.00449	0.00448	0.5	92019	412	91812	2604946	28.31
1960-1969	45	0.00525	0.00524	0.5	91606	480	91366	2513133	27.43
1960-1969	46	0.00534	0.00533	0.5	91127	486	90884	2421767	26.58
1960-1969	47	0.00631	0.00629	0.5	90641	570	90356	2330883	25.72
1960-1969	48	0.00702	0.00700	0.5	90071	630	89756	2240527	24.88
1960-1969	49	0.00768	0.00765	0.5	89440	684	89099	2150772	24.05
1960-1969	50	0.00891	0.00887	0.5	88757	787	88363	2061673	23.23
1960-1969	51	0.00969	0.00964	0.5	87969	848	87545	1973310	22.43
1960-1969	52	0.01112	0.01106	0.5	87121	964	86639	1885765	21.65
1960-1969	53	0.01172	0.01165	0.5	86158	1004	85656	1799126	20.88
1960-1969	54	0.01313	0.01304	0.5	85154	1110	84599	1713470	20.12
1960-1969	55	0.01387	0.01378	0.5	84044	1158	83464	1628871	19.38
1960-1969	56	0.01596	0.01583	0.5	82885	1312	82229	1545407	18.65
1960-1969	57	0.01680	0.01666	0.5	81573	1359	80894	1463177	17.94
1960-1969	58	0.01918	0.01900	0.5	80215	1524	79453	1382283	17.23
1960-1969	59	0.02021	0.02001	0.5	78691	1574	77904	1302831	16.56
1960-1969	60	0.02288	0.02262	0.5	77116	1744	76244	1224927	15.88
1960-1969	61	0.02456	0.02426	0.5	75372	1828	74458	1148683	15.24
1960-1969	62	0.02697	0.02661	0.5	73544	1957	72565	1074225	14.61
1960-1969	63	0.03040	0.02995	0.5	71587	2144	70515	1001660	13.99
1960-1969	64	0.03234	0.03182	0.5	69443	2210	68338	931145	13.41
1960-1969	65	0.03560	0.03498	0.5	67233	2352	66057	862807	12.83
1960-1969	66	0.03821	0.03749	0.5	64881	2433	63665	796750	12.28
1960-1969	67	0.04218	0.04131	0.5	62448	2580	61159	733085	11.74
1960-1969	68	0.04455	0.04358	0.5	59869	2609	58564	671927	11.22
1960-1969	69	0.04785	0.04673	0.5	57260	2676	55922	613363	10.71
1960-1969	70	0.05392	0.05250	0.5	54584	2866	53151	557441	10.21
1960-1969	71	0.05646	0.05491	0.5	51718	2840	50298	504290	9.75
1960-1969	72	0.06210	0.06023	0.5	48878	2944	47406	453992	9.29
1960-1969	73	0.06618	0.06406	0.5	45934	2943	44463	406586	8.85
1960-1969	74	0.07075	0.06833	0.5	42992	2938	41523	362123	8.42
1960-1969	75	0.07877	0.07579	0.5	40054	3036	38536	320600	8.00
1960-1969	76	0.08002	0.07694	0.5	37018	2848	35594	282064	7.62
1960-1969	77	0.08911	0.08531	0.5	34170	2915	32713	246470	7.21
1960-1969	78	0.09240	0.08832	0.5	31255	2760	29875	213757	6.84
1960-1969	79	0.10186	0.09692	0.5	28495	2762	27114	183882	6.45
