CT: Connecticut, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02681	0.02619	0.12	100000	2619	97688	6809385	68.09
1959	1-4	0.00085	0.00341	1.75	97381	332	388776	6711697	68.92
1959	5-9	0.00055	0.00273	2.33	97049	264	484538	6322921	65.15
1959	10-14	0.00044	0.00219	2.69	96785	212	483433	5838383	60.32
1959	15-19	0.00090	0.00450	3.1	96572	434	482038	5354949	55.45
1959	20-24	0.00141	0.00702	2.21	96138	675	478810	4872911	50.69
1959	25-29	0.00102	0.00509	2.52	95463	486	476113	4394101	46.03
1959	30-34	0.00142	0.00709	2.51	94977	674	473211	3917988	41.25
1959	35-39	0.00201	0.01001	2.81	94304	944	469451	3444777	36.53
1959	40-44	0.00401	0.01986	2.72	93360	1854	462575	2975326	31.87
1959	45-49	0.00640	0.03157	2.79	91506	2889	451133	2512751	27.46
1959	50-54	0.01074	0.05243	2.78	88616	4646	432781	2061618	23.26
1959	55-59	0.01722	0.08274	2.63	83970	6948	403361	1628837	19.40
1959	60-64	0.02741	0.12877	2.65	77023	9918	361837	1225476	15.91
1959	65-69	0.04225	0.19114	2.51	67104	12826	303616	863638	12.87
1959	70-74	0.05826	0.25534	2.58	54278	13859	237873	560022	10.32
1959	75-79	0.08652	0.35409	2.44	40419	14312	165411	322149	7.97
1959	80-84	0.13165	0.49519	2.5	26107	12928	98199	156737	6.00
1959	85-89	0.19851	0.63819	2.2	13179	8411	42368	58539	4.44
1959	90-94	0.27450	0.76187	2.08	4768	3633	13234	16171	3.39
1959	95-99	0.37380	0.86146	1.87	1135	978	2617	2937	2.59
1959	100-104	0.48492	0.92498	1.66	157	146	300	320	2.03
1959	105-109	0.59807	0.96001	1.46	12	11	19	20	1.66
1959	110+	0.68710	1.00000	1.46	0	0	1	1	1.46
1960	0	0.02417	0.02367	0.11	100000	2367	97894	6798918	67.99
1960	1-4	0.00088	0.00350	1.45	97633	342	389663	6701024	68.63
1960	5-9	0.00045	0.00225	2.01	97292	219	485805	6311361	64.87
1960	10-14	0.00042	0.00210	2.7	97073	204	484896	5825556	60.01
1960	15-19	0.00099	0.00494	2.89	96869	478	483336	5340661	55.13
1960	20-24	0.00152	0.00759	2.39	96391	732	480045	4857325	50.39
1960	25-29	0.00128	0.00640	2.6	95659	612	476826	4377279	45.76
1960	30-34	0.00131	0.00655	2.6	95046	623	473740	3900454	41.04
1960	35-39	0.00244	0.01213	2.62	94424	1145	469388	3426714	36.29
1960	40-44	0.00393	0.01948	2.89	93279	1817	462551	2957326	31.70
1960	45-49	0.00644	0.03173	2.72	91462	2902	450691	2494775	27.28
1960	50-54	0.01103	0.05374	2.62	88560	4759	431481	2044084	23.08
1960	55-59	0.01716	0.08249	2.67	83800	6913	402873	1612603	19.24
1960	60-64	0.02757	0.12941	2.64	76887	9950	360913	1209730	15.73
1960	65-69	0.04196	0.19043	2.57	66937	12747	303773	848817	12.68
1960	70-74	0.06523	0.27976	2.46	54190	15160	232417	545044	10.06
1960	75-79	0.08951	0.36550	2.49	39030	14266	159379	312627	8.01
1960	80-84	0.12711	0.47993	2.45	24765	11885	93503	153247	6.19
1960	85-89	0.18580	0.62186	2.34	12879	8009	43105	59745	4.64
1960	90-94	0.27146	0.75852	2.09	4870	3694	13608	16639	3.42
1960	95-99	0.37482	0.86279	1.87	1176	1015	2707	3031	2.58
1960	100-104	0.49093	0.92783	1.65	161	150	305	324	2.01
1960	105-109	0.60863	0.96253	1.45	12	11	18	19	1.63
1960	110+	0.70058	1.00000	1.43	0	0	1	1	1.43
1961	0	0.02598	0.02540	0.11	100000	2540	97752	6841119	68.41
1961	1-4	0.00075	0.00299	1.7	97460	291	389171	6743367	69.19
1961	5-9	0.00032	0.00159	2.03	97169	154	485387	6354196	65.39
1961	10-14	0.00043	0.00216	2.86	97015	209	484626	5868809	60.49
1961	15-19	0.00094	0.00468	2.88	96806	453	483066	5384184	55.62
1961	20-24	0.00113	0.00564	2.47	96353	543	480391	4901117	50.87
1961	25-29	0.00102	0.00510	2.55	95810	489	477851	4420726	46.14
1961	30-34	0.00145	0.00725	2.64	95321	691	474970	3942875	41.36
1961	35-39	0.00175	0.00872	2.65	94630	825	471212	3467905	36.65
1961	40-44	0.00387	0.01920	2.67	93805	1801	464827	2996693	31.95
1961	45-49	0.00624	0.03074	2.69	92004	2828	453489	2531866	27.52
1961	50-54	0.01092	0.05324	2.63	89175	4748	434639	2078378	23.31
1961	55-59	0.01688	0.08117	2.66	84427	6853	406067	1643739	19.47
1961	60-64	0.02723	0.12826	2.74	77574	9950	365398	1237672	15.95
1961	65-69	0.04212	0.19136	2.61	67625	12941	307236	872275	12.90
1961	70-74	0.05849	0.25521	2.51	54684	13956	238605	565039	10.33
1961	75-79	0.08475	0.34882	2.47	40728	14207	167641	326434	8.01
1961	80-84	0.13168	0.49103	2.41	26521	13023	98899	158794	5.99
1961	85-89	0.19635	0.64726	2.37	13499	8737	44499	59894	4.44
1961	90-94	0.28909	0.78117	2.06	4761	3720	12866	15396	3.23
1961	95-99	0.40005	0.88112	1.83	1042	918	2295	2529	2.43
1961	100-104	0.52242	0.93976	1.59	124	116	223	234	1.89
1961	105-109	0.64297	0.96925	1.4	7	7	11	12	1.55
1961	110+	0.73486	1.00000	1.36	0	0	0	0	1.36
1962	0	0.02561	0.02504	0.11	100000	2504	97781	6812883	68.13
1962	1-4	0.00082	0.00327	1.75	97496	319	389266	6715103	68.88
1962	5-9	0.00050	0.00250	2.1	97177	243	485178	6325836	65.10
1962	10-14	0.00044	0.00218	2.82	96933	211	484206	5840658	60.25
1962	15-19	0.00090	0.00449	2.71	96722	434	482615	5356453	55.38
1962	20-24	0.00147	0.00731	2.46	96288	704	479652	4873837	50.62
1962	25-29	0.00109	0.00541	2.07	95584	517	476408	4394185	45.97
1962	30-34	0.00105	0.00523	2.89	95067	497	474286	3917777	41.21
1962	35-39	0.00242	0.01203	2.64	94570	1138	470163	3443492	36.41
1962	40-44	0.00351	0.01742	2.7	93432	1628	463414	2973329	31.82
