DC: Washington DC, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03708	0.03595	0.15	100000	3595	96947	6627143	66.27
1960-1964	1	0.00176	0.00176	0.5	96405	170	96320	6530196	67.74
1960-1964	2	0.00089	0.00089	0.5	96235	86	96192	6433876	66.86
1960-1964	3	0.00088	0.00088	0.5	96150	84	96107	6337683	65.91
1960-1964	4	0.00053	0.00053	0.5	96065	51	96040	6241576	64.97
1960-1964	5	0.00075	0.00075	0.5	96014	72	95978	6145536	64.01
1960-1964	6	0.00047	0.00047	0.5	95942	45	95920	6049558	63.05
1960-1964	7	0.00071	0.00071	0.5	95897	68	95863	5953638	62.08
1960-1964	8	0.00038	0.00038	0.5	95829	37	95811	5857775	61.13
1960-1964	9	0.00048	0.00048	0.5	95792	46	95769	5761965	60.15
1960-1964	10	0.00033	0.00032	0.5	95747	31	95731	5666195	59.18
1960-1964	11	0.00034	0.00034	0.5	95716	33	95699	5570464	58.20
1960-1964	12	0.00038	0.00038	0.5	95683	36	95665	5474765	57.22
1960-1964	13	0.00043	0.00043	0.5	95647	41	95626	5379100	56.24
1960-1964	14	0.00047	0.00047	0.5	95606	45	95583	5283474	55.26
1960-1964	15	0.00053	0.00053	0.5	95560	51	95535	5187891	54.29
1960-1964	16	0.00048	0.00048	0.5	95510	46	95487	5092356	53.32
1960-1964	17	0.00090	0.00090	0.5	95464	86	95421	4996869	52.34
1960-1964	18	0.00101	0.00101	0.5	95378	97	95329	4901449	51.39
1960-1964	19	0.00108	0.00107	0.5	95281	102	95230	4806119	50.44
1960-1964	20	0.00120	0.00120	0.5	95179	114	95122	4710890	49.50
1960-1964	21	0.00134	0.00134	0.5	95065	127	95001	4615768	48.55
1960-1964	22	0.00123	0.00123	0.5	94938	117	94879	4520767	47.62
1960-1964	23	0.00148	0.00147	0.5	94821	140	94751	4425887	46.68
1960-1964	24	0.00130	0.00130	0.5	94681	123	94620	4331136	45.74
1960-1964	25	0.00175	0.00175	0.5	94558	166	94476	4236517	44.80
1960-1964	26	0.00161	0.00161	0.5	94393	152	94317	4142041	43.88
1960-1964	27	0.00194	0.00194	0.5	94240	183	94149	4047724	42.95
1960-1964	28	0.00174	0.00173	0.5	94058	163	93976	3953575	42.03
1960-1964	29	0.00240	0.00240	0.5	93895	225	93782	3859599	41.11
1960-1964	30	0.00225	0.00225	0.5	93670	210	93565	3765817	40.20
1960-1964	31	0.00236	0.00235	0.5	93459	220	93349	3672252	39.29
1960-1964	32	0.00284	0.00283	0.5	93239	264	93107	3578902	38.38
1960-1964	33	0.00322	0.00322	0.5	92975	299	92826	3485795	37.49
1960-1964	34	0.00375	0.00374	0.5	92676	347	92503	3392969	36.61
1960-1964	35	0.00388	0.00387	0.5	92329	358	92150	3300466	35.75
1960-1964	36	0.00462	0.00461	0.5	91972	424	91760	3208316	34.88
1960-1964	37	0.00474	0.00473	0.5	91548	433	91331	3116556	34.04
1960-1964	38	0.00530	0.00528	0.5	91115	481	90874	3025225	33.20
1960-1964	39	0.00601	0.00600	0.5	90633	543	90362	2934351	32.38
1960-1964	40	0.00610	0.00608	0.5	90090	548	89816	2843990	31.57
1960-1964	41	0.00604	0.00602	0.5	89542	539	89272	2754174	30.76
1960-1964	42	0.00765	0.00762	0.5	89003	678	88664	2664902	29.94
1960-1964	43	0.00805	0.00802	0.5	88325	708	87971	2576238	29.17
1960-1964	44	0.00761	0.00758	0.5	87616	664	87284	2488267	28.40
1960-1964	45	0.00788	0.00785	0.5	86952	682	86611	2400983	27.61
1960-1964	46	0.00982	0.00977	0.5	86270	843	85849	2314372	26.83
1960-1964	47	0.01035	0.01029	0.5	85427	879	84988	2228523	26.09
1960-1964	48	0.01053	0.01048	0.5	84548	886	84105	2143536	25.35
1960-1964	49	0.01099	0.01093	0.5	83662	915	83205	2059431	24.62
1960-1964	50	0.01279	0.01271	0.5	82747	1052	82222	1976226	23.88
1960-1964	51	0.01204	0.01197	0.5	81696	978	81207	1894004	23.18
1960-1964	52	0.01452	0.01442	0.5	80718	1164	80136	1812798	22.46
1960-1964	53	0.01504	0.01493	0.5	79554	1187	78960	1732662	21.78
1960-1964	54	0.01594	0.01581	0.5	78367	1239	77747	1653702	21.10
1960-1964	55	0.01589	0.01576	0.5	77128	1216	76520	1575955	20.43
1960-1964	56	0.01772	0.01756	0.5	75912	1333	75245	1499435	19.75
1960-1964	57	0.01949	0.01930	0.5	74579	1439	73859	1424190	19.10
1960-1964	58	0.02007	0.01988	0.5	73139	1454	72413	1350330	18.46
1960-1964	59	0.02243	0.02218	0.5	71686	1590	70891	1277918	17.83
1960-1964	60	0.02226	0.02201	0.5	70096	1543	69324	1207027	17.22
1960-1964	61	0.02175	0.02152	0.5	68553	1475	67815	1137703	16.60
1960-1964	62	0.02622	0.02588	0.5	67078	1736	66210	1069887	15.95
1960-1964	63	0.02789	0.02751	0.5	65342	1797	64443	1003677	15.36
1960-1964	64	0.02894	0.02853	0.5	63545	1813	62638	939234	14.78
1960-1964	65	0.03299	0.03245	0.5	61732	2003	60730	876595	14.20
1960-1964	66	0.03006	0.02962	0.5	59729	1769	58844	815865	13.66
1960-1964	67	0.03495	0.03435	0.5	57960	1991	56964	757021	13.06
1960-1964	68	0.03639	0.03574	0.5	55969	2000	54968	700057	12.51
1960-1964	69	0.03782	0.03712	0.5	53968	2003	52967	645089	11.95
1960-1964	70	0.04500	0.04401	0.5	51965	2287	50821	592122	11.39
