PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
DC,b,1960-1969,0,0.03446,0.03348,0.14,100000,3348,97133,6599249,65.99
DC,b,1960-1969,1-4,0.00106,0.00422,1.6,96652,408,385631,6502115,67.27
DC,b,1960-1969,5-9,0.00052,0.00262,2.32,96245,252,480547,6116485,63.55
DC,b,1960-1969,10-14,0.00039,0.00192,2.68,95993,185,479535,5635937,58.71
DC,b,1960-1969,15-19,0.00089,0.00444,2.8,95808,426,478104,5156402,53.82
DC,b,1960-1969,20-24,0.00152,0.00755,2.63,95382,721,475204,4678298,49.05
DC,b,1960-1969,25-29,0.00213,0.01057,2.58,94662,1001,470881,4203095,44.40
DC,b,1960-1969,30-34,0.00321,0.01594,2.69,93661,1493,464852,3732214,39.85
DC,b,1960-1969,35-39,0.00525,0.02593,2.68,92168,2390,455286,3267362,35.45
DC,b,1960-1969,40-44,0.00770,0.03783,2.62,89778,3396,440819,2812076,31.32
DC,b,1960-1969,45-49,0.01056,0.05147,2.6,86382,4447,421235,2371257,27.45
DC,b,1960-1969,50-54,0.01445,0.06982,2.59,81936,5721,395874,1950023,23.80
DC,b,1960-1969,55-59,0.01936,0.09250,2.6,76215,7050,364144,1554149,20.39
DC,b,1960-1969,60-64,0.02581,0.12149,2.58,69165,8403,325516,1190005,17.21
DC,b,1960-1969,65-69,0.03512,0.16148,2.51,60762,9812,279381,864489,14.23
DC,b,1960-1969,70-74,0.04720,0.21124,2.52,50950,10763,228021,585108,11.48
DC,b,1960-1969,75-79,0.06876,0.29330,2.5,40187,11787,171427,357087,8.89
DC,b,1960-1969,80-84,0.12087,0.45971,2.4,28400,13056,108014,185661,6.54
DC,b,1960-1969,85-89,0.16978,0.58147,2.29,15344,8922,52552,77646,5.06
DC,b,1960-1969,90-94,0.23378,0.70181,2.15,6422,4507,19279,25094,3.91
DC,b,1960-1969,95-99,0.31344,0.80572,1.98,1915,1543,4923,5815,3.04
DC,b,1960-1969,100-104,0.40662,0.88312,1.8,372,329,808,893,2.40
DC,b,1960-1969,105-109,0.50800,0.93317,1.61,43,41,80,85,1.95
DC,b,1960-1969,110+,0.59146,1.00000,1.69,3,3,5,5,1.69
DC,b,1970-1979,0,0.03099,0.03018,0.13,100000,3018,97387,6720613,67.21
DC,b,1970-1979,1-4,0.00105,0.00417,1.57,96982,405,386945,6623226,68.29
DC,b,1970-1979,5-9,0.00050,0.00251,2.21,96578,243,482213,6236280,64.57
DC,b,1970-1979,10-14,0.00041,0.00204,2.53,96335,197,481190,5754068,59.73
DC,b,1970-1979,15-19,0.00085,0.00425,2.83,96138,408,479806,5272878,54.85
DC,b,1970-1979,20-24,0.00163,0.00811,2.6,95730,776,476788,4793072,50.07
DC,b,1970-1979,25-29,0.00199,0.00989,2.57,94954,939,472487,4316285,45.46
DC,b,1970-1979,30-34,0.00293,0.01454,2.71,94015,1367,466952,3843798,40.88
DC,b,1970-1979,35-39,0.00464,0.02296,2.72,92648,2127,458387,3376846,36.45
DC,b,1970-1979,40-44,0.00705,0.03466,2.6,90521,3138,445075,2918460,32.24
DC,b,1970-1979,45-49,0.01040,0.05076,2.63,87383,4436,426410,2473385,28.30
DC,b,1970-1979,50-54,0.01419,0.06855,2.55,82948,5686,400828,2046974,24.68
DC,b,1970-1979,55-59,0.01821,0.08722,2.59,77261,6739,370064,1646147,21.31
DC,b,1970-1979,60-64,0.02358,0.11147,2.56,70523,7861,333402,1276083,18.09
DC,b,1970-1979,65-69,0.03252,0.15038,2.5,62662,9423,289746,942681,15.04
DC,b,1970-1979,70-74,0.04435,0.20003,2.55,53239,10649,240093,652935,12.26
DC,b,1970-1979,75-79,0.06069,0.26358,2.51,42589,11226,184955,412842,9.69
DC,b,1970-1979,80-84,0.10400,0.41044,2.43,31364,12873,123775,227887,7.27
DC,b,1970-1979,85-89,0.14735,0.52936,2.34,18491,9788,66431,104112,5.63
DC,b,1970-1979,90-94,0.20591,0.65439,2.22,8703,5695,27657,37681,4.33
DC,b,1970-1979,95-99,0.28141,0.76938,2.05,3008,2314,8223,10024,3.33
DC,b,1970-1979,100-104,0.37288,0.85978,1.87,694,596,1599,1801,2.60
DC,b,1970-1979,105-109,0.47564,0.92037,1.67,97,90,188,202,2.08
DC,b,1970-1979,110+,0.56142,1.00000,1.78,8,8,14,14,1.78
DC,b,1980-1989,0,0.02561,0.02504,0.12,100000,2504,97794,6882815,68.83
DC,b,1980-1989,1-4,0.00065,0.00262,1.61,97496,255,389372,6785021,69.59
DC,b,1980-1989,5-9,0.00036,0.00177,2.49,97241,172,485769,6395648,65.77
DC,b,1980-1989,10-14,0.00033,0.00166,2.68,97068,161,484966,5909879,60.88
DC,b,1980-1989,15-19,0.00094,0.00471,2.78,96907,457,483519,5424913,55.98
DC,b,1980-1989,20-24,0.00144,0.00718,2.64,96450,692,480616,4941393,51.23
DC,b,1980-1989,25-29,0.00212,0.01054,2.71,95758,1010,476481,4460777,46.58
DC,b,1980-1989,30-34,0.00329,0.01630,2.62,94748,1545,470069,3984296,42.05
DC,b,1980-1989,35-39,0.00455,0.02248,2.58,93203,2095,460953,3514227,37.70
DC,b,1980-1989,40-44,0.00590,0.02908,2.6,91108,2649,449184,3053275,33.51
DC,b,1980-1989,45-49,0.00865,0.04239,2.64,88459,3750,433458,2604090,29.44
DC,b,1980-1989,50-54,0.01193,0.05801,2.62,84709,4914,411836,2170632,25.62
DC,b,1980-1989,55-59,0.01617,0.07782,2.6,79795,6210,384059,1758796,22.04
DC,b,1980-1989,60-64,0.02252,0.10673,2.57,73585,7854,348807,1374737,18.68
DC,b,1980-1989,65-69,0.03020,0.14067,2.57,65731,9246,306206,1025930,15.61
DC,b,1980-1989,70-74,0.04069,0.18489,2.54,56485,10444,256684,719725,12.74
DC,b,1980-1989,75-79,0.05695,0.24870,2.45,46041,11450,201052,463041,10.06
DC,b,1980-1989,80-84,0.09672,0.38818,2.46,34591,13427,138824,261989,7.57
DC,b,1980-1989,85-89,0.14014,0.51165,2.36,21164,10828,77269,123165,5.82
DC,b,1980-1989,90-94,0.19904,0.64191,2.23,10335,6634,33331,45895,4.44
DC,b,1980-1989,95-99,0.27516,0.76175,2.07,3701,2819,10246,12564,3.39
DC,b,1980-1989,100-104,0.36761,0.85590,1.88,882,755,2053,2319,2.63
DC,b,1980-1989,105-109,0.47186,0.91885,1.68,127,117,247,266,2.09
DC,b,1980-1989,110+,0.55916,1.00000,1.79,10,10,18,18,1.79
DC,b,1990-1999,0,0.02231,0.02188,0.11,100000,2188,98052,6872234,68.72
DC,b,1990-1999,1-4,0.00083,0.00333,1.54,97812,325,390447,6774182,69.26
DC,b,1990-1999,5-9,0.00028,0.00141,2.14,97487,138,487039,6383735,65.48
DC,b,1990-1999,10-14,0.00041,0.00204,3.14,97349,198,486376,5896696,60.57
DC,b,1990-1999,15-19,0.00249,0.01239,2.87,97151,1204,483184,5410320,55.69
DC,b,1990-1999,20-24,0.00228,0.01132,2.41,95947,1086,476917,4927136,51.35
DC,b,1990-1999,25-29,0.00231,0.01151,2.66,94861,1092,471755,4450219,46.91
DC,b,1990-1999,30-34,0.00378,0.01873,2.7,93769,1756,464806,3978464,42.43
DC,b,1990-1999,35-39,0.00575,0.02836,2.59,92013,2609,453767,3513658,38.19
DC,b,1990-1999,40-44,0.00735,0.03609,2.52,89404,3226,439030,3059891,34.23
DC,b,1990-1999,45-49,0.00881,0.04314,2.54,86177,3718,421752,2620861,30.41
DC,b,1990-1999,50-54,0.01084,0.05284,2.61,82460,4357,401900,2199109,26.67
DC,b,1990-1999,55-59,0.01428,0.06905,2.63,78103,5393,377711,1797209,23.01
DC,b,1990-1999,60-64,0.02113,0.10047,2.57,72710,7305,345787,1419498,19.52
DC,b,1990-1999,65-69,0.02731,0.12809,2.58,65405,8378,306742,1073711,16.42
DC,b,1990-1999,70-74,0.03688,0.16925,2.57,57027,9652,261716,766969,13.45
DC,b,1990-1999,75-79,0.05062,0.22473,2.51,47376,10647,210347,505253,10.66
DC,b,1990-1999,80-84,0.08673,0.35621,2.49,36729,13083,150841,294906,8.03
DC,b,1990-1999,85-89,0.12997,0.48557,2.4,23646,11482,88341,144065,6.09
DC,b,1990-1999,90-94,0.19011,0.62527,2.26,12164,7606,40006,55724,4.58
DC,b,1990-1999,95-99,0.26932,0.75493,2.09,4558,3441,12777,15718,3.45
DC,b,1990-1999,100-104,0.36669,0.85588,1.89,1117,956,2607,2941,2.63
DC,b,1990-1999,105-109,0.47696,0.92161,1.67,161,148,311,333,2.07
DC,b,1990-1999,110+,0.56937,1.00000,1.76,13,13,22,22,1.76
DC,b,2000-2009,0,0.01300,0.01285,0.08,100000,1285,98824,7359940,73.60
DC,b,2000-2009,1-4,0.00040,0.00160,1.68,98715,158,394495,7261116,73.56
DC,b,2000-2009,5-9,0.00025,0.00126,2.45,98557,125,492468,6866622,69.67
DC,b,2000-2009,10-14,0.00029,0.00144,2.87,98433,142,491861,6374154,64.76
DC,b,2000-2009,15-19,0.00106,0.00528,2.67,98290,519,490245,5882293,59.85
DC,b,2000-2009,20-24,0.00133,0.00662,2.49,97771,647,487233,5392048,55.15
DC,b,2000-2009,25-29,0.00131,0.00653,2.59,97125,634,484091,4904815,50.50
DC,b,2000-2009,30-34,0.00169,0.00841,2.72,96490,811,480598,4420724,45.82
DC,b,2000-2009,35-39,0.00279,0.01386,2.75,95679,1326,475416,3940126,41.18
DC,b,2000-2009,40-44,0.00488,0.02415,2.67,94353,2278,466451,3464710,36.72
DC,b,2000-2009,45-49,0.00700,0.03440,2.6,92074,3168,452766,2998259,32.56
DC,b,2000-2009,50-54,0.00956,0.04672,2.54,88907,4154,434333,2545493,28.63
DC,b,2000-2009,55-59,0.01158,0.05634,2.6,84753,4775,412322,2111160,24.91
DC,b,2000-2009,60-64,0.01493,0.07207,2.63,79978,5764,386200,1698838,21.24
DC,b,2000-2009,65-69,0.02163,0.10280,2.6,74214,7629,352790,1312638,17.69
DC,b,2000-2009,70-74,0.03075,0.14296,2.55,66584,9519,309573,959848,14.42
DC,b,2000-2009,75-79,0.04432,0.19980,2.54,57066,11402,257246,650274,11.40
DC,b,2000-2009,80-84,0.07377,0.31235,2.55,45664,14263,193345,393029,8.61
DC,b,2000-2009,85-89,0.11851,0.45494,2.45,31401,14285,120541,199684,6.36
DC,b,2000-2009,90-94,0.18469,0.61602,2.3,17115,10543,57087,79143,4.62
DC,b,2000-2009,95-99,0.27588,0.76557,2.09,6572,5031,18237,22056,3.36
DC,b,2000-2009,100-104,0.39057,0.87548,1.85,1541,1349,3453,3819,2.48
