PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
DC,f,1960-1964,0,0.03326,0.03234,0.15,100000,3234,97238,6998345,69.98
DC,f,1960-1964,1-4,0.00092,0.00368,1.69,96766,356,386241,6901106,71.32
DC,f,1960-1964,5-9,0.00053,0.00264,2.09,96410,255,481308,6514866,67.57
DC,f,1960-1964,10-14,0.00029,0.00144,2.72,96155,138,480460,6033558,62.75
DC,f,1960-1964,15-19,0.00063,0.00314,3.09,96017,302,479508,5553098,57.83
DC,f,1960-1964,20-24,0.00089,0.00444,2.7,95715,425,477597,5073590,53.01
DC,f,1960-1964,25-29,0.00150,0.00748,2.78,95290,713,474867,4595993,48.23
DC,f,1960-1964,30-34,0.00243,0.01209,2.81,94578,1144,470386,4121126,43.57
DC,f,1960-1964,35-39,0.00391,0.01936,2.66,93434,1809,462929,3650741,39.07
DC,f,1960-1964,40-44,0.00590,0.02910,2.59,91625,2666,451694,3187812,34.79
DC,f,1960-1964,45-49,0.00734,0.03604,2.56,88959,3206,436986,2736118,30.76
DC,f,1960-1964,50-54,0.00943,0.04610,2.6,85753,3953,419267,2299131,26.81
DC,f,1960-1964,55-59,0.01240,0.06023,2.65,81800,4927,397421,1879864,22.98
DC,f,1960-1964,60-64,0.01734,0.08324,2.61,76873,6399,369101,1482443,19.28
DC,f,1960-1964,65-69,0.02384,0.11274,2.6,70475,7945,333266,1113342,15.80
DC,f,1960-1964,70-74,0.03763,0.17230,2.55,62530,10774,286297,780076,12.48
DC,f,1960-1964,75-79,0.05767,0.25271,2.55,51756,13079,226787,493779,9.54
DC,f,1960-1964,80-84,0.10822,0.42406,2.45,38677,16401,151549,266991,6.90
DC,f,1960-1964,85-89,0.16160,0.56442,2.33,22275,12573,77803,115442,5.18
DC,f,1960-1964,90-94,0.23370,0.70325,2.17,9703,6823,29197,37639,3.88
DC,f,1960-1964,95-99,0.32480,0.81879,1.97,2879,2357,7258,8442,2.93
DC,f,1960-1964,100-104,0.43105,0.89890,1.76,522,469,1088,1184,2.27
DC,f,1960-1964,105-109,0.54431,0.94604,1.55,53,50,92,96,1.82
DC,f,1960-1964,110+,0.63597,1.00000,1.57,3,3,4,4,1.57
DC,f,1965-1969,0,0.02728,0.02665,0.13,100000,2665,97680,7017352,70.17
DC,f,1965-1969,1-4,0.00100,0.00397,1.75,97335,387,388470,6919672,71.09
DC,f,1965-1969,5-9,0.00046,0.00229,2.25,96949,222,484133,6531202,67.37
DC,f,1965-1969,10-14,0.00037,0.00184,2.69,96727,178,483222,6047069,62.52
DC,f,1965-1969,15-19,0.00050,0.00250,2.64,96548,242,482170,5563847,57.63
DC,f,1965-1969,20-24,0.00111,0.00555,2.89,96307,535,480405,5081677,52.77
DC,f,1965-1969,25-29,0.00151,0.00750,2.45,95772,719,477030,4601272,48.04
DC,f,1965-1969,30-34,0.00263,0.01305,2.69,95053,1240,472398,4124242,43.39
DC,f,1965-1969,35-39,0.00410,0.02030,2.69,93813,1905,464673,3651843,38.93
DC,f,1965-1969,40-44,0.00601,0.02963,2.59,91908,2724,452978,3187171,34.68
DC,f,1965-1969,45-49,0.00804,0.03942,2.59,89184,3515,437459,2734193,30.66
DC,f,1965-1969,50-54,0.01060,0.05167,2.55,85669,4427,417505,2296734,26.81
DC,f,1965-1969,55-59,0.01259,0.06109,2.59,81242,4963,394240,1879229,23.13
DC,f,1965-1969,60-64,0.01698,0.08153,2.56,76279,6219,366247,1484989,19.47
DC,f,1965-1969,65-69,0.02538,0.11949,2.55,70060,8371,329786,1118742,15.97
DC,f,1965-1969,70-74,0.03468,0.15995,2.58,61689,9867,284561,788955,12.79
DC,f,1965-1969,75-79,0.05547,0.24442,2.57,51822,12666,228351,504395,9.73
DC,f,1965-1969,80-84,0.10761,0.42163,2.43,39155,16509,153419,276043,7.05
DC,f,1965-1969,85-89,0.15477,0.54755,2.33,22646,12400,80121,122625,5.41
DC,f,1965-1969,90-94,0.21710,0.67444,2.19,10246,6910,31831,42503,4.15
DC,f,1965-1969,95-99,0.29523,0.78583,2.02,3336,2621,8879,10673,3.20
DC,f,1965-1969,100-104,0.38720,0.87008,1.84,714,622,1605,1794,2.51
DC,f,1965-1969,105-109,0.48797,0.92534,1.65,93,86,176,188,2.03
DC,f,1965-1969,110+,0.57102,1.00000,1.75,7,7,12,12,1.75
DC,f,1970-1974,0,0.02735,0.02672,0.13,100000,2672,97675,7070079,70.70
DC,f,1970-1974,1-4,0.00107,0.00427,1.65,97328,415,388336,6972404,71.64
DC,f,1970-1974,5-9,0.00039,0.00196,2.33,96913,190,484059,6584068,67.94
DC,f,1970-1974,10-14,0.00028,0.00139,2.61,96724,135,483296,6100009,63.07
DC,f,1970-1974,15-19,0.00066,0.00329,2.9,96589,317,482276,5616713,58.15
DC,f,1970-1974,20-24,0.00104,0.00518,2.39,96271,499,480053,5134437,53.33
DC,f,1970-1974,25-29,0.00124,0.00621,2.54,95773,594,477398,4654384,48.60
DC,f,1970-1974,30-34,0.00227,0.01127,2.66,95178,1073,473380,4176986,43.89
DC,f,1970-1974,35-39,0.00369,0.01829,2.75,94105,1722,466654,3703606,39.36
DC,f,1970-1974,40-44,0.00523,0.02580,2.53,92384,2384,456024,3236952,35.04
DC,f,1970-1974,45-49,0.00832,0.04079,2.61,90000,3671,441221,2780929,30.90
DC,f,1970-1974,50-54,0.01061,0.05172,2.6,86329,4465,420907,2339707,27.10
DC,f,1970-1974,55-59,0.01301,0.06304,2.55,81863,5161,396664,1918801,23.44
DC,f,1970-1974,60-64,0.01685,0.08094,2.57,76702,6209,368454,1522137,19.84
DC,f,1970-1974,65-69,0.02457,0.11570,2.49,70494,8156,332025,1153683,16.37
DC,f,1970-1974,70-74,0.03521,0.16221,2.58,62337,10112,287200,821658,13.18
DC,f,1970-1974,75-79,0.05106,0.22742,2.6,52225,11877,232623,534458,10.23
DC,f,1970-1974,80-84,0.09674,0.38859,2.47,40348,15679,162080,301835,7.48
DC,f,1970-1974,85-89,0.14394,0.52180,2.36,24669,12873,89427,139754,5.67
DC,f,1970-1974,90-94,0.20831,0.65972,2.22,11797,7783,37361,50328,4.27
DC,f,1970-1974,95-99,0.29098,0.78182,2.04,4014,3138,10785,12967,3.23
DC,f,1970-1974,100-104,0.38982,0.87278,1.84,876,764,1961,2182,2.49
DC,f,1970-1974,105-109,0.49863,0.93022,1.63,111,104,208,221,1.98
DC,f,1970-1974,110+,0.58837,1.00000,1.7,8,8,13,13,1.70
DC,f,1975-1979,0,0.02734,0.02671,0.13,100000,2671,97675,7291260,72.91
DC,f,1975-1979,1-4,0.00073,0.00290,1.53,97329,282,388621,7193585,73.91
DC,f,1975-1979,5-9,0.00046,0.00228,2.36,97047,221,484653,6804963,70.12
DC,f,1975-1979,10-14,0.00033,0.00165,2.15,96826,160,483676,6320310,65.27
DC,f,1975-1979,15-19,0.00033,0.00163,2.49,96667,158,482937,5836634,60.38
DC,f,1975-1979,20-24,0.00077,0.00386,2.66,96509,372,481675,5353697,55.47
DC,f,1975-1979,25-29,0.00098,0.00489,2.62,96137,470,479563,4872022,50.68
DC,f,1975-1979,30-34,0.00148,0.00740,2.77,95666,708,476752,4392459,45.91
DC,f,1975-1979,35-39,0.00239,0.01190,2.71,94959,1130,472204,3915707,41.24
DC,f,1975-1979,40-44,0.00386,0.01911,2.58,93829,1793,464812,3443503,36.70
DC,f,1975-1979,45-49,0.00647,0.03184,2.61,92036,2931,453186,2978690,32.36
DC,f,1975-1979,50-54,0.00913,0.04467,2.6,89105,3980,435960,2525505,28.34
DC,f,1975-1979,55-59,0.01200,0.05835,2.66,85124,4967,413984,2089545,24.55
DC,f,1975-1979,60-64,0.01466,0.07081,2.61,80158,5676,387220,1675561,20.90
DC,f,1975-1979,65-69,0.02132,0.10121,2.5,74482,7538,353551,1288341,17.30
DC,f,1975-1979,70-74,0.03157,0.14689,2.64,66943,9833,311477,934789,13.96
DC,f,1975-1979,75-79,0.04701,0.21054,2.53,57110,12024,255793,623313,10.91
DC,f,1975-1979,80-84,0.08357,0.34584,2.51,45086,15592,186572,367519,8.15
DC,f,1975-1979,85-89,0.12775,0.47989,2.41,29494,14154,110792,180948,6.14
DC,f,1975-1979,90-94,0.18985,0.62515,2.27,15340,9590,50513,70156,4.57
DC,f,1975-1979,95-99,0.27193,0.75876,2.09,5750,4363,16045,19643,3.42
DC,f,1975-1979,100-104,0.37252,0.86070,1.88,1387,1194,3205,3598,2.59
DC,f,1975-1979,105-109,0.48542,0.92534,1.66,193,179,368,393,2.04
DC,f,1975-1979,110+,0.57932,1.00000,1.73,14,14,25,25,1.73
DC,f,1980-1984,0,0.02161,0.02120,0.11,100000,2120,98120,7389293,73.89
DC,f,1980-1984,1-4,0.00053,0.00211,1.68,97880,207,391039,7291173,74.49
DC,f,1980-1984,5-9,0.00034,0.00168,2.08,97673,164,487886,6900134,70.65
DC,f,1980-1984,10-14,0.00029,0.00147,2.48,97509,143,487183,6412248,65.76
DC,f,1980-1984,15-19,0.00043,0.00216,2.69,97365,210,486342,5925065,60.85
DC,f,1980-1984,20-24,0.00062,0.00312,2.8,97155,303,485109,5438724,55.98
DC,f,1980-1984,25-29,0.00103,0.00512,2.77,96852,496,483152,4953614,51.15
DC,f,1980-1984,30-34,0.00156,0.00776,2.78,96356,747,480119,4470462,46.40
DC,f,1980-1984,35-39,0.00231,0.01150,2.64,95608,1099,475448,3990343,41.74
DC,f,1980-1984,40-44,0.00347,0.01719,2.63,94509,1624,468699,3514895,37.19
DC,f,1980-1984,45-49,0.00539,0.02662,2.72,92885,2472,458799,3046195,32.80
DC,f,1980-1984,50-54,0.00784,0.03851,2.62,90413,3481,443778,2587397,28.62
DC,f,1980-1984,55-59,0.01185,0.05764,2.62,86931,5010,422722,2143619,24.66
DC,f,1980-1984,60-64,0.01547,0.07452,2.55,81921,6105,394655,1720897,21.01
DC,f,1980-1984,65-69,0.02150,0.10221,2.59,75816,7749,360409,1326242,17.49
DC,f,1980-1984,70-74,0.03138,0.14592,2.6,68067,9932,316522,965833,14.19
DC,f,1980-1984,75-79,0.04423,0.19880,2.46,58135,11557,261264,649311,11.17
DC,f,1980-1984,80-84,0.08171,0.33938,2.51,46578,15808,193463,388047,8.33
DC,f,1980-1984,85-89,0.12327,0.46734,2.41,30770,14380,116650,194584,6.32
DC,f,1980-1984,90-94,0.18130,0.60736,2.28,16390,9955,54906,77933,4.75
DC,f,1980-1984,95-99,0.25792,0.73930,2.11,6435,4758,18447,23027,3.58
DC,f,1980-1984,100-104,0.35234,0.84392,1.91,1678,1416,4018,4580,2.73
DC,f,1980-1984,105-109,0.45972,0.91356,1.7,262,239,520,562,2.14
DC,f,1980-1984,110+,0.54963,1.00000,1.82,23,23,41,41,1.82
DC,f,1985-1989,0,0.02378,0.02329,0.12,100000,2329,97949,7341313,73.41
DC,f,1985-1989,1-4,0.00053,0.00212,1.6,97671,208,390184,7243364,74.16
DC,f,1985-1989,5-9,0.00038,0.00191,3.1,97463,186,486962,6853179,70.32
DC,f,1985-1989,10-14,0.00021,0.00106,2.24,97277,103,486100,6366218,65.44
DC,f,1985-1989,15-19,0.00046,0.00229,2.52,97174,223,485316,5880118,60.51
DC,f,1985-1989,20-24,0.00066,0.00329,2.64,96951,319,484001,5394801,55.64
DC,f,1985-1989,25-29,0.00106,0.00529,2.69,96632,511,481978,4910800,50.82
DC,f,1985-1989,30-34,0.00182,0.00907,2.61,96121,872,478522,4428822,46.08
DC,f,1985-1989,35-39,0.00265,0.01316,2.61,95249,1253,473247,3950300,41.47
DC,f,1985-1989,40-44,0.00346,0.01716,2.54,93995,1613,466009,3477053,36.99
DC,f,1985-1989,45-49,0.00570,0.02813,2.67,92382,2599,455866,3011045,32.59
DC,f,1985-1989,50-54,0.00813,0.03988,2.62,89783,3580,440408,2555178,28.46
DC,f,1985-1989,55-59,0.01050,0.05120,2.54,86203,4414,420168,2114770,24.53
DC,f,1985-1989,60-64,0.01620,0.07796,2.6,81789,6376,393672,1694602,20.72
DC,f,1985-1989,65-69,0.02290,0.10852,2.59,75413,8184,357363,1300930,17.25
DC,f,1985-1989,70-74,0.03177,0.14733,2.54,67230,9905,311816,943567,14.03
DC,f,1985-1989,75-79,0.04500,0.20256,2.54,57325,11612,258030,631751,11.02
DC,f,1985-1989,80-84,0.08408,0.34741,2.5,45713,15881,188879,373721,8.18
DC,f,1985-1989,85-89,0.12681,0.47708,2.41,29832,14232,112235,184842,6.20
DC,f,1985-1989,90-94,0.18630,0.61765,2.27,15600,9635,51719,72607,4.65
DC,f,1985-1989,95-99,0.26454,0.74848,2.1,5965,4464,16876,20888,3.50
DC,f,1985-1989,100-104,0.36047,0.85075,1.9,1500,1276,3541,4012,2.67
DC,f,1985-1989,105-109,0.46885,0.91784,1.69,224,206,438,471,2.10
DC,f,1985-1989,110+,0.55933,1.00000,1.79,18,18,33,33,1.79
DC,f,1990-1994,0,0.02381,0.02333,0.12,100000,2333,97947,7368390,73.68
DC,f,1990-1994,1-4,0.00090,0.00361,1.39,97667,353,389750,7270443,74.44
DC,f,1990-1994,5-9,0.00023,0.00113,2.13,97315,110,486260,6880693,70.71
DC,f,1990-1994,10-14,0.00038,0.00190,3.12,97205,185,485678,6394434,65.78
DC,f,1990-1994,15-19,0.00063,0.00315,2.94,97020,306,484472,5908756,60.90
DC,f,1990-1994,20-24,0.00074,0.00368,2.7,96714,356,482753,5424284,56.09
DC,f,1990-1994,25-29,0.00106,0.00530,2.66,96358,510,480599,4941531,51.28
DC,f,1990-1994,30-34,0.00215,0.01072,2.6,95848,1027,476775,4460932,46.54
DC,f,1990-1994,35-39,0.00341,0.01691,2.64,94820,1603,470317,3984157,42.02
DC,f,1990-1994,40-44,0.00358,0.01776,2.68,93217,1655,462241,3513841,37.70
DC,f,1990-1994,45-49,0.00518,0.02561,2.66,91562,2345,452323,3051599,33.33
DC,f,1990-1994,50-54,0.00791,0.03882,2.65,89216,3464,437930,2599276,29.13
DC,f,1990-1994,55-59,0.01066,0.05202,2.71,85753,4461,418567,2161346,25.20
DC,f,1990-1994,60-64,0.01593,0.07665,2.53,81292,6231,391095,1742779,21.44
DC,f,1990-1994,65-69,0.02104,0.10013,2.6,75061,7516,357281,1351684,18.01
DC,f,1990-1994,70-74,0.02901,0.13560,2.6,67545,9159,315699,994403,14.72
DC,f,1990-1994,75-79,0.03959,0.18019,2.51,58386,10521,265770,678704,11.62
DC,f,1990-1994,80-84,0.07592,0.31960,2.53,47865,15298,201509,412934,8.63
