DE: Delaware, Lifetables (period 5x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02321	0.02274	0.11	100000	2274	97982	6955573	69.56
1960-1969	1-4	0.00088	0.00351	1.63	97726	343	390088	6857591	70.17
1960-1969	5-9	0.00048	0.00237	2.34	97382	231	486297	6467503	66.41
1960-1969	10-14	0.00040	0.00198	2.83	97151	192	485340	5981206	61.57
1960-1969	15-19	0.00089	0.00446	2.71	96959	432	483806	5495866	56.68
1960-1969	20-24	0.00119	0.00593	2.42	96527	573	481161	5012060	51.92
1960-1969	25-29	0.00127	0.00631	2.37	95954	605	478182	4530899	47.22
1960-1969	30-34	0.00160	0.00797	2.59	95349	760	474913	4052717	42.50
1960-1969	35-39	0.00241	0.01196	2.71	94589	1132	470355	3577804	37.82
1960-1969	40-44	0.00386	0.01915	2.74	93457	1790	463239	3107449	33.25
1960-1969	45-49	0.00636	0.03133	2.66	91667	2872	451620	2644210	28.85
1960-1969	50-54	0.01037	0.05062	2.67	88796	4495	433511	2192591	24.69
1960-1969	55-59	0.01520	0.07334	2.62	84301	6183	406791	1759080	20.87
1960-1969	60-64	0.02303	0.10913	2.6	78118	8525	370133	1352289	17.31
1960-1969	65-69	0.03441	0.15874	2.57	69593	11047	321085	982156	14.11
1960-1969	70-74	0.05177	0.22986	2.56	58545	13457	259944	661071	11.29
1960-1969	75-79	0.07440	0.31335	2.48	45088	14128	189894	401126	8.90
1960-1969	80-84	0.10810	0.42415	2.46	30960	13132	121473	211233	6.82
1960-1969	85-89	0.16614	0.57552	2.33	17828	10261	61759	89759	5.03
1960-1969	90-94	0.24615	0.72352	2.15	7568	5476	22245	28000	3.70
1960-1969	95-99	0.34817	0.84165	1.93	2092	1761	5058	5756	2.75
1960-1969	100-104	0.46663	0.91785	1.7	331	304	652	698	2.11
1960-1969	105-109	0.59015	0.95875	1.48	27	26	44	46	1.68
1960-1969	110+	0.68809	1.00000	1.45	1	1	2	2	1.45
1970-1979	0	0.01598	0.01575	0.09	100000	1575	98571	7182536	71.83
1970-1979	1-4	0.00074	0.00296	1.55	98425	291	392987	7083965	71.97
1970-1979	5-9	0.00037	0.00186	2.27	98134	182	490171	6690978	68.18
