DE: Delaware, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02046	0.02009	0.11	100000	2009	98213	7337942	73.38
1960-1969	1	0.00126	0.00126	0.5	97991	124	97929	7239730	73.88
1960-1969	2	0.00074	0.00074	0.5	97867	72	97831	7141801	72.97
1960-1969	3	0.00069	0.00069	0.5	97795	68	97761	7043970	72.03
1960-1969	4	0.00056	0.00056	0.5	97727	55	97700	6946208	71.08
1960-1969	5	0.00045	0.00045	0.5	97673	44	97651	6848508	70.12
1960-1969	6	0.00054	0.00054	0.5	97629	53	97602	6750857	69.15
1960-1969	7	0.00033	0.00033	0.5	97576	32	97560	6653255	68.19
1960-1969	8	0.00032	0.00032	0.5	97544	31	97528	6555695	67.21
1960-1969	9	0.00036	0.00036	0.5	97513	35	97495	6458167	66.23
1960-1969	10	0.00022	0.00022	0.5	97478	21	97467	6360671	65.25
1960-1969	11	0.00022	0.00022	0.5	97457	21	97446	6263204	64.27
1960-1969	12	0.00027	0.00027	0.5	97435	26	97422	6165758	63.28
1960-1969	13	0.00048	0.00048	0.5	97409	47	97386	6068336	62.30
1960-1969	14	0.00030	0.00030	0.5	97362	30	97347	5970950	61.33
1960-1969	15	0.00032	0.00032	0.5	97333	31	97317	5873603	60.35
1960-1969	16	0.00042	0.00042	0.5	97302	41	97281	5776286	59.36
1960-1969	17	0.00050	0.00050	0.5	97261	49	97236	5679005	58.39
1960-1969	18	0.00037	0.00037	0.5	97212	36	97194	5581768	57.42
1960-1969	19	0.00049	0.00049	0.5	97176	47	97152	5484575	56.44
1960-1969	20	0.00077	0.00077	0.5	97128	75	97091	5387423	55.47
1960-1969	21	0.00063	0.00063	0.5	97054	61	97023	5290332	54.51
1960-1969	22	0.00060	0.00060	0.5	96992	58	96963	5193309	53.54
1960-1969	23	0.00050	0.00050	0.5	96934	49	96910	5096345	52.58
1960-1969	24	0.00058	0.00058	0.5	96885	56	96857	4999436	51.60
1960-1969	25	0.00092	0.00092	0.5	96829	89	96785	4902578	50.63
1960-1969	26	0.00106	0.00106	0.5	96740	103	96689	4805794	49.68
1960-1969	27	0.00076	0.00076	0.5	96637	74	96601	4709105	48.73
1960-1969	28	0.00090	0.00090	0.5	96564	87	96520	4612504	47.77
