DE: Delaware, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02405	0.02355	0.12	100000	2355	97928	7276877	72.77
1959	1-4	0.00069	0.00277	1.67	97645	270	389950	7178949	73.52
1959	5-9	0.00025	0.00123	1.04	97375	119	486400	6788998	69.72
1959	10-14	0.00018	0.00089	3.94	97255	86	486185	6302598	64.80
1959	15-19	0.00061	0.00306	3.03	97169	297	485261	5816413	59.86
1959	20-24	0.00015	0.00073	2.49	96872	71	484185	5331152	55.03
1959	25-29	0.00098	0.00486	2.45	96802	471	482810	4846968	50.07
1959	30-34	0.00092	0.00458	2.17	96331	441	480405	4364157	45.30
1959	35-39	0.00182	0.00906	2.61	95890	868	477376	3883752	40.50
1959	40-44	0.00300	0.01488	2.49	95022	1414	471561	3406376	35.85
1959	45-49	0.00467	0.02311	2.7	93608	2163	463064	2934815	31.35
1959	50-54	0.00799	0.03922	2.72	91445	3587	449039	2471751	27.03
1959	55-59	0.01015	0.04977	3.03	87858	4373	430682	2022712	23.02
1959	60-64	0.01621	0.07796	2.56	83485	6509	401548	1592030	19.07
1959	65-69	0.02292	0.10876	2.67	76977	8372	365338	1190482	15.47
1959	70-74	0.04193	0.19038	2.58	68604	13061	311465	825144	12.03
1959	75-79	0.06777	0.28927	2.47	55544	16067	237090	513679	9.25
1959	80-84	0.09751	0.39295	2.53	39476	15512	159087	276589	7.01
1959	85-89	0.16691	0.57989	2.37	23964	13897	83260	117503	4.90
1959	90-94	0.26909	0.75934	2.13	10067	7645	28409	34243	3.40
1959	95-99	0.40207	0.88533	1.84	2423	2145	5335	5834	2.41
1959	100-104	0.55150	0.95044	1.55	278	264	479	499	1.79
1959	105-109	0.69381	0.97760	1.33	14	13	19	20	1.44
1959	110+	0.79560	1.00000	1.26	0	0	0	0	1.26
1960	0	0.01924	0.01891	0.11	100000	1891	98311	7287956	72.88
1960	1-4	0.00073	0.00291	1.58	98109	285	391745	7189645	73.28
1960	5-9	0.00045	0.00224	2	97823	220	488458	6797900	69.49
1960	10-14	0.00030	0.00149	3.21	97604	146	487759	6309443	64.64
1960	15-19	0.00045	0.00223	2.39	97458	217	486722	5821684	59.74
1960	20-24	0.00058	0.00289	2.38	97241	281	485467	5334962	54.86
1960	25-29	0.00069	0.00343	1.57	96960	332	483660	4849496	50.02
1960	30-34	0.00110	0.00546	2.67	96627	528	481905	4365835	45.18
1960	35-39	0.00209	0.01042	2.44	96100	1001	477933	3883930	40.42
1960	40-44	0.00362	0.01796	2.81	95099	1708	471750	3405997	35.82
1960	45-49	0.00574	0.02835	2.91	93391	2647	461425	2934247	31.42
1960	50-54	0.00632	0.03112	2.55	90744	2824	446796	2472822	27.25
1960	55-59	0.00947	0.04625	2.46	87920	4067	429255	2026026	23.04
1960	60-64	0.01782	0.08548	2.61	83853	7168	402137	1596771	19.04
1960	65-69	0.02380	0.11238	2.52	76685	8618	362033	1194635	15.58
1960	70-74	0.04134	0.18744	2.52	68067	12758	308651	832602	12.23
1960	75-79	0.06497	0.28216	2.67	55308	15606	240212	523950	9.47
1960	80-84	0.10386	0.41066	2.45	39702	16304	156979	283738	7.15
1960	85-89	0.15320	0.54436	2.34	23398	12737	83142	126760	5.42
1960	90-94	0.21964	0.67954	2.2	10661	7245	32984	43617	4.09
1960	95-99	0.30391	0.79643	2.01	3416	2721	8953	10633	3.11
1960	100-104	0.40336	0.88177	1.81	695	613	1520	1680	2.41
1960	105-109	0.51154	0.93494	1.61	82	77	150	159	1.94
1960	110+	0.60023	1.00000	1.67	5	5	9	9	1.67
1961	0	0.02121	0.02082	0.11	100000	2082	98152	7323172	73.23
1961	1-4	0.00099	0.00394	1.86	97918	386	390845	7225020	73.79
1961	5-9	0.00035	0.00173	1.18	97532	169	487013	6834174	70.07
1961	10-14	0.00037	0.00187	2.76	97363	182	486406	6347161	65.19
1961	15-19	0.00012	0.00062	3	97181	60	485783	5860755	60.31
1961	20-24	0.00042	0.00208	1.51	97120	202	484898	5374972	55.34
1961	25-29	0.00068	0.00341	2.36	96919	331	483719	4890074	50.46
1961	30-34	0.00183	0.00913	2.66	96588	881	480874	4406355	45.62
1961	35-39	0.00198	0.00987	2.65	95707	944	476316	3925481	41.02
1961	40-44	0.00293	0.01457	2.78	94762	1381	470748	3449165	36.40
1961	45-49	0.00421	0.02081	2.29	93381	1943	461631	2978417	31.90
1961	50-54	0.00723	0.03553	2.66	91438	3248	449584	2516785	27.52
1961	55-59	0.00957	0.04686	2.83	88190	4132	431967	2067201	23.44
1961	60-64	0.01366	0.06606	2.53	84057	5553	406543	1635234	19.45
1961	65-69	0.02524	0.11946	2.76	78504	9378	371519	1228691	15.65
1961	70-74	0.04050	0.18394	2.51	69126	12715	313966	857172	12.40
1961	75-79	0.06024	0.26297	2.59	56411	14834	246252	543206	9.63
1961	80-84	0.09490	0.38452	2.53	41577	15987	168466	296953	7.14
1961	85-89	0.16177	0.56799	2.38	25590	14535	89847	128487	5.02
1961	90-94	0.26045	0.74736	2.15	11055	8262	31723	38640	3.50
1961	95-99	0.38973	0.87691	1.86	2793	2449	6284	6917	2.48
1961	100-104	0.53675	0.94604	1.58	344	325	606	633	1.84
1961	105-109	0.67916	0.97564	1.35	19	18	27	27	1.47
1961	110+	0.78268	1.00000	1.28	0	0	1	1	1.28
1962	0	0.02263	0.02219	0.12	100000	2219	98039	7319350	73.19
1962	1-4	0.00085	0.00340	1.65	97781	332	390344	7221311	73.85
1962	5-9	0.00046	0.00228	1.96	97449	222	486569	6830967	70.10
1962	10-14	0.00018	0.00091	2.27	97227	89	485893	6344398	65.25
1962	15-19	0.00046	0.00231	3.14	97138	225	485275	5858505	60.31
1962	20-24	0.00059	0.00296	2.49	96914	287	483846	5373231	55.44
1962	25-29	0.00110	0.00546	2.65	96626	528	481891	4889384	50.60
1962	30-34	0.00086	0.00430	2.61	96099	413	479507	4407494	45.86
1962	35-39	0.00152	0.00759	3.02	95686	727	476989	3927986	41.05
1962	40-44	0.00255	0.01268	2.66	94959	1204	471972	3450997	36.34
1962	45-49	0.00456	0.02254	2.51	93755	2113	463511	2979025	31.77
1962	50-54	0.00736	0.03625	2.89	91642	3322	451214	2515514	27.45
1962	55-59	0.00991	0.04843	2.67	88320	4277	431622	2064300	23.37
1962	60-64	0.01300	0.06305	2.6	84043	5299	407485	1632678	19.43
1962	65-69	0.02516	0.11915	2.78	78744	9382	372852	1225193	15.56
1962	70-74	0.04282	0.19436	2.63	69361	13481	314815	852340	12.29
1962	75-79	0.06282	0.27158	2.51	55880	15176	241577	537525	9.62
1962	80-84	0.09939	0.39722	2.47	40704	16169	162684	295949	7.27
1962	85-89	0.15101	0.53973	2.36	24536	13242	87694	133264	5.43
1962	90-94	0.22211	0.68461	2.2	11293	7731	34809	45571	4.04
1962	95-99	0.31351	0.80770	2	3562	2877	9176	10762	3.02
1962	100-104	0.42166	0.89386	1.78	685	612	1452	1586	2.32
1962	105-109	0.53811	0.94437	1.56	73	69	128	134	1.84
1962	110+	0.63271	1.00000	1.58	4	4	6	6	1.58
1963	0	0.02111	0.02072	0.11	100000	2072	98160	7259677	72.60
1963	1-4	0.00094	0.00375	1.63	97928	368	390843	7161517	73.13
1963	5-9	0.00045	0.00227	3.22	97561	221	487410	6770674	69.40
1963	10-14	0.00036	0.00178	2.8	97339	173	486316	6283264	64.55
1963	15-19	0.00048	0.00238	3.14	97166	231	485403	5796948	59.66
1963	20-24	0.00076	0.00377	2.32	96935	365	483698	5311545	54.79
1963	25-29	0.00117	0.00582	2.54	96570	562	481468	4827848	49.99
1963	30-34	0.00081	0.00404	2.61	96008	388	479114	4346380	45.27
1963	35-39	0.00148	0.00740	2.43	95620	707	476285	3867266	40.44
1963	40-44	0.00267	0.01326	2.73	94913	1258	471708	3390981	35.73
1963	45-49	0.00436	0.02160	2.74	93655	2023	463699	2919273	31.17
1963	50-54	0.00740	0.03640	2.77	91632	3335	450730	2455574	26.80
1963	55-59	0.01190	0.05780	2.51	88297	5104	428781	2004844	22.71
1963	60-64	0.01640	0.07889	2.61	83193	6563	400259	1576063	18.94
1963	65-69	0.02618	0.12363	2.75	76630	9474	361861	1175804	15.34
1963	70-74	0.04038	0.18396	2.59	67156	12354	305966	813943	12.12
1963	75-79	0.06130	0.26661	2.56	54802	14611	238331	507977	9.27
1963	80-84	0.11224	0.43609	2.44	40192	17527	156162	269646	6.71
1963	85-89	0.16862	0.58052	2.32	22665	13157	78027	113484	5.01
1963	90-94	0.24477	0.72069	2.15	9507	6852	27993	35456	3.73
1963	95-99	0.34047	0.83396	1.94	2655	2215	6504	7464	2.81
1963	100-104	0.45094	0.90966	1.72	441	401	889	959	2.18
1963	105-109	0.56685	0.95254	1.52	40	38	67	70	1.75
1963	110+	0.65962	1.00000	1.52	2	2	3	3	1.52
1964	0	0.02002	0.01967	0.11	100000	1967	98248	7364439	73.64
1964	1-4	0.00103	0.00410	1.71	98033	402	391211	7266192	74.12
1964	5-9	0.00025	0.00127	2.55	97631	124	487851	6874981	70.42
1964	10-14	0.00025	0.00124	2.06	97507	121	487179	6387130	65.50
1964	15-19	0.00046	0.00228	1.63	97386	222	486181	5899951	60.58
1964	20-24	0.00034	0.00170	1.84	97164	165	485297	5413769	55.72
1964	25-29	0.00114	0.00570	2.33	96999	553	483517	4928472	50.81
1964	30-34	0.00131	0.00655	2.87	96446	631	480885	4444955	46.09
