DE: Delaware, Lifetables (period 5x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02584	0.02526	0.11	100000	2526	97763	6605276	66.05
1960-1969	1-4	0.00094	0.00377	1.59	97474	368	389011	6507513	66.76
1960-1969	5-9	0.00055	0.00274	2.37	97106	266	484833	6118502	63.01
1960-1969	10-14	0.00049	0.00245	2.86	96841	238	483694	5633670	58.17
1960-1969	15-19	0.00138	0.00690	2.74	96603	666	481511	5149976	53.31
1960-1969	20-24	0.00180	0.00894	2.46	95937	858	477503	4668465	48.66
1960-1969	25-29	0.00170	0.00844	2.4	95079	802	473312	4190962	44.08
1960-1969	30-34	0.00208	0.01033	2.55	94277	974	469000	3717650	39.43
1960-1969	35-39	0.00301	0.01496	2.65	93303	1395	463227	3248650	34.82
1960-1969	40-44	0.00492	0.02434	2.76	91907	2237	454521	2785423	30.31
1960-1969	45-49	0.00810	0.03976	2.65	89670	3566	439983	2330902	25.99
1960-1969	50-54	0.01394	0.06745	2.62	86104	5808	416714	1890919	21.96
1960-1969	55-59	0.02024	0.09652	2.61	80297	7750	382935	1474206	18.36
1960-1969	60-64	0.03152	0.14662	2.62	72547	10636	337466	1091271	15.04
1960-1969	65-69	0.04695	0.21037	2.53	61910	13024	277398	753805	12.18
1960-1969	70-74	0.06800	0.29133	2.54	48886	14242	209428	476407	9.75
1960-1969	75-79	0.09552	0.38296	2.41	34644	13267	138897	266979	7.71
1960-1969	80-84	0.13115	0.48935	2.41	21377	10461	79761	128082	5.99
1960-1969	85-89	0.19718	0.63993	2.26	10916	6985	35427	48321	4.43
1960-1969	90-94	0.28466	0.77536	2.06	3930	3048	10706	12894	3.28
1960-1969	95-99	0.39135	0.87486	1.84	883	772	1974	2188	2.48
1960-1969	100-104	0.50959	0.93503	1.61	110	103	203	214	1.94
1960-1969	105-109	0.62747	0.96631	1.42	7	7	11	11	1.59
1960-1969	110+	0.71843	1.00000	1.39	0	0	0	0	1.39
1970-1979	0	0.01833	0.01803	0.09	100000	1803	98367	6801330	68.01
1970-1979	1-4	0.00084	0.00334	1.64	98197	328	392013	6702962	68.26
1970-1979	5-9	0.00045	0.00226	2.18	97869	221	488722	6310949	64.48
1970-1979	10-14	0.00049	0.00245	2.76	97648	239	487703	5822227	59.62
1970-1979	15-19	0.00136	0.00676	2.85	97409	659	485625	5334524	54.76
1970-1979	20-24	0.00172	0.00856	2.42	96750	828	481610	4848899	50.12
1970-1979	25-29	0.00179	0.00889	2.53	95922	853	477505	4367289	45.53
1970-1979	30-34	0.00179	0.00889	2.58	95069	846	473298	3889784	40.92
1970-1979	35-39	0.00277	0.01378	2.63	94223	1298	468036	3416485	36.26
1970-1979	40-44	0.00406	0.02010	2.67	92925	1868	460276	2948449	31.73
1970-1979	45-49	0.00663	0.03267	2.65	91057	2974	448300	2488173	27.33
1970-1979	50-54	0.01135	0.05530	2.67	88083	4871	429081	2039873	23.16
1970-1979	55-59	0.01764	0.08471	2.65	83212	7049	399517	1610792	19.36
1970-1979	60-64	0.02727	0.12795	2.6	76163	9745	357401	1211275	15.90
1970-1979	65-69	0.04199	0.19066	2.59	66418	12663	301560	853874	12.86
1970-1979	70-74	0.06353	0.27420	2.51	53755	14740	232011	552314	10.27
1970-1979	75-79	0.08738	0.35865	2.5	39015	13993	160145	320303	8.21
1970-1979	80-84	0.12194	0.46342	2.41	25022	11596	95092	160158	6.40
1970-1979	85-89	0.17754	0.59914	2.29	13426	8044	45310	65067	4.85
1970-1979	90-94	0.25062	0.72846	2.13	5382	3921	15644	19756	3.67
1970-1979	95-99	0.34073	0.83331	1.93	1461	1218	3574	4113	2.81
