PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
FL,b,1960-1969,0,0.02755,0.02691,0.12,100000,2691,97645,7040741,70.41
FL,b,1960-1969,1,0.00218,0.00217,0.5,97309,212,97204,6943096,71.35
FL,b,1960-1969,2,0.00129,0.00129,0.5,97098,125,97035,6845893,70.51
FL,b,1960-1969,3,0.00091,0.00091,0.5,96972,88,96928,6748858,69.60
FL,b,1960-1969,4,0.00071,0.00071,0.5,96884,68,96850,6651929,68.66
FL,b,1960-1969,5,0.00064,0.00064,0.5,96816,62,96785,6555079,67.71
FL,b,1960-1969,6,0.00054,0.00054,0.5,96754,52,96728,6458294,66.75
FL,b,1960-1969,7,0.00047,0.00047,0.5,96702,45,96679,6361566,65.79
FL,b,1960-1969,8,0.00044,0.00044,0.5,96657,43,96635,6264887,64.82
FL,b,1960-1969,9,0.00045,0.00045,0.5,96614,43,96593,6168252,63.84
FL,b,1960-1969,10,0.00040,0.00040,0.5,96571,38,96552,6071659,62.87
FL,b,1960-1969,11,0.00042,0.00042,0.5,96533,41,96512,5975107,61.90
FL,b,1960-1969,12,0.00044,0.00044,0.5,96492,42,96471,5878595,60.92
FL,b,1960-1969,13,0.00055,0.00055,0.5,96450,53,96423,5782124,59.95
FL,b,1960-1969,14,0.00067,0.00067,0.5,96396,65,96364,5685701,58.98
FL,b,1960-1969,15,0.00076,0.00076,0.5,96332,73,96295,5589337,58.02
FL,b,1960-1969,16,0.00100,0.00100,0.5,96258,96,96210,5493042,57.07
FL,b,1960-1969,17,0.00112,0.00112,0.5,96162,108,96108,5396832,56.12
FL,b,1960-1969,18,0.00130,0.00130,0.5,96054,125,95992,5300724,55.18
FL,b,1960-1969,19,0.00132,0.00132,0.5,95929,126,95866,5204732,54.26
FL,b,1960-1969,20,0.00138,0.00138,0.5,95803,132,95737,5108866,53.33
FL,b,1960-1969,21,0.00141,0.00141,0.5,95671,135,95603,5013129,52.40
FL,b,1960-1969,22,0.00146,0.00146,0.5,95535,140,95465,4917526,51.47
FL,b,1960-1969,23,0.00142,0.00142,0.5,95396,136,95328,4822061,50.55
FL,b,1960-1969,24,0.00148,0.00147,0.5,95260,140,95190,4726733,49.62
FL,b,1960-1969,25,0.00149,0.00149,0.5,95120,141,95049,4631543,48.69
FL,b,1960-1969,26,0.00146,0.00146,0.5,94978,138,94909,4536494,47.76
FL,b,1960-1969,27,0.00163,0.00163,0.5,94840,154,94763,4441585,46.83
FL,b,1960-1969,28,0.00158,0.00158,0.5,94685,149,94611,4346823,45.91
FL,b,1960-1969,29,0.00168,0.00168,0.5,94536,158,94457,4252212,44.98
FL,b,1960-1969,30,0.00178,0.00178,0.5,94378,168,94294,4157755,44.05
FL,b,1960-1969,31,0.00172,0.00172,0.5,94210,162,94129,4063462,43.13
FL,b,1960-1969,32,0.00195,0.00195,0.5,94048,183,93956,3969333,42.21
FL,b,1960-1969,33,0.00207,0.00207,0.5,93865,195,93767,3875377,41.29
FL,b,1960-1969,34,0.00212,0.00211,0.5,93670,198,93571,3781610,40.37
FL,b,1960-1969,35,0.00248,0.00248,0.5,93472,232,93356,3688038,39.46
FL,b,1960-1969,36,0.00269,0.00268,0.5,93240,250,93115,3594682,38.55
FL,b,1960-1969,37,0.00267,0.00267,0.5,92990,248,92866,3501567,37.66
FL,b,1960-1969,38,0.00300,0.00299,0.5,92742,278,92603,3408701,36.75
FL,b,1960-1969,39,0.00307,0.00306,0.5,92465,283,92323,3316097,35.86
FL,b,1960-1969,40,0.00360,0.00359,0.5,92182,331,92016,3223774,34.97
FL,b,1960-1969,41,0.00379,0.00378,0.5,91850,347,91677,3131758,34.10
FL,b,1960-1969,42,0.00429,0.00428,0.5,91503,391,91307,3040082,33.22
FL,b,1960-1969,43,0.00468,0.00467,0.5,91111,425,90899,2948774,32.36
FL,b,1960-1969,44,0.00486,0.00484,0.5,90686,439,90467,2857875,31.51
FL,b,1960-1969,45,0.00547,0.00546,0.5,90247,492,90001,2767409,30.66
FL,b,1960-1969,46,0.00588,0.00587,0.5,89754,527,89491,2677408,29.83
FL,b,1960-1969,47,0.00652,0.00649,0.5,89228,579,88938,2587917,29.00
FL,b,1960-1969,48,0.00704,0.00702,0.5,88648,622,88337,2498979,28.19
FL,b,1960-1969,49,0.00754,0.00752,0.5,88026,662,87695,2410642,27.39
FL,b,1960-1969,50,0.00856,0.00852,0.5,87364,745,86992,2322946,26.59
FL,b,1960-1969,51,0.00881,0.00877,0.5,86620,759,86240,2235954,25.81
FL,b,1960-1969,52,0.00981,0.00976,0.5,85860,838,85441,2149714,25.04
FL,b,1960-1969,53,0.01067,0.01061,0.5,85022,902,84571,2064273,24.28
FL,b,1960-1969,54,0.01130,0.01124,0.5,84120,946,83647,1979702,23.53
FL,b,1960-1969,55,0.01200,0.01193,0.5,83174,992,82678,1896055,22.80
FL,b,1960-1969,56,0.01268,0.01260,0.5,82182,1036,81664,1813378,22.07
FL,b,1960-1969,57,0.01335,0.01326,0.5,81146,1076,80608,1731714,21.34
FL,b,1960-1969,58,0.01450,0.01440,0.5,80070,1153,79493,1651106,20.62
FL,b,1960-1969,59,0.01512,0.01500,0.5,78917,1184,78325,1571613,19.91
FL,b,1960-1969,60,0.01678,0.01664,0.5,77733,1294,77086,1493288,19.21
FL,b,1960-1969,61,0.01652,0.01639,0.5,76439,1253,75813,1416203,18.53
FL,b,1960-1969,62,0.01855,0.01838,0.5,75186,1382,74496,1340390,17.83
FL,b,1960-1969,63,0.01949,0.01931,0.5,73805,1425,73092,1265894,17.15
FL,b,1960-1969,64,0.02112,0.02090,0.5,72380,1513,71623,1192802,16.48
FL,b,1960-1969,65,0.02399,0.02370,0.5,70867,1680,70027,1121179,15.82
FL,b,1960-1969,66,0.02482,0.02452,0.5,69187,1696,68339,1051152,15.19
FL,b,1960-1969,67,0.02698,0.02662,0.5,67491,1797,66592,982813,14.56
FL,b,1960-1969,68,0.02932,0.02890,0.5,65694,1898,64745,916220,13.95
FL,b,1960-1969,69,0.03086,0.03039,0.5,63796,1939,62826,851475,13.35
FL,b,1960-1969,70,0.03441,0.03383,0.5,61857,2092,60811,788649,12.75
FL,b,1960-1969,71,0.03500,0.03440,0.5,59765,2056,58737,727838,12.18
FL,b,1960-1969,72,0.03986,0.03908,0.5,57709,2255,56581,669101,11.59
FL,b,1960-1969,73,0.04208,0.04121,0.5,55454,2285,54311,612520,11.05
FL,b,1960-1969,74,0.04622,0.04517,0.5,53168,2402,51967,558209,10.50
FL,b,1960-1969,75,0.05120,0.04992,0.5,50767,2534,49500,506242,9.97
FL,b,1960-1969,76,0.05502,0.05355,0.5,48232,2583,46941,456742,9.47
FL,b,1960-1969,77,0.05756,0.05595,0.5,45650,2554,44373,409801,8.98
FL,b,1960-1969,78,0.06380,0.06183,0.5,43096,2665,41763,365429,8.48
FL,b,1960-1969,79,0.06875,0.06646,0.5,40431,2687,39087,323665,8.01
FL,b,1960-1969,80,0.07834,0.07539,0.5,37744,2845,36321,284578,7.54
FL,b,1960-1969,81,0.08108,0.07792,0.5,34898,2719,33539,248257,7.11
FL,b,1960-1969,82,0.09141,0.08741,0.5,32179,2813,30773,214718,6.67
FL,b,1960-1969,83,0.10199,0.09704,0.5,29366,2850,27941,183945,6.26
FL,b,1960-1969,84,0.11305,0.10700,0.5,26517,2837,25098,156004,5.88
FL,b,1960-1969,85,0.12321,0.11606,0.5,23679,2748,22305,130906,5.53
FL,b,1960-1969,86,0.13501,0.12647,0.5,20931,2647,19608,108601,5.19
