GA: Georgia, Lifetables (period 1x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02917	0.02845	0.13	100000	2845	97523	6803812	68.04
1960-1969	1	0.00213	0.00213	0.5	97155	207	97051	6706289	69.03
1960-1969	2	0.00117	0.00117	0.5	96948	114	96891	6609238	68.17
1960-1969	3	0.00094	0.00094	0.5	96834	91	96789	6512347	67.25
1960-1969	4	0.00071	0.00071	0.5	96744	69	96709	6415558	66.32
1960-1969	5	0.00063	0.00063	0.5	96675	61	96644	6318849	65.36
1960-1969	6	0.00057	0.00057	0.5	96614	55	96586	6222205	64.40
1960-1969	7	0.00053	0.00053	0.5	96558	51	96533	6125619	63.44
1960-1969	8	0.00047	0.00047	0.5	96507	46	96484	6029086	62.47
1960-1969	9	0.00045	0.00045	0.5	96462	43	96440	5932602	61.50
1960-1969	10	0.00040	0.00040	0.5	96419	39	96399	5836162	60.53
1960-1969	11	0.00047	0.00047	0.5	96380	46	96357	5739763	59.55
1960-1969	12	0.00046	0.00046	0.5	96334	44	96312	5643406	58.58
1960-1969	13	0.00058	0.00058	0.5	96289	56	96261	5547094	57.61
1960-1969	14	0.00066	0.00066	0.5	96233	64	96201	5450833	56.64
1960-1969	15	0.00081	0.00081	0.5	96169	78	96130	5354632	55.68
1960-1969	16	0.00104	0.00104	0.5	96091	100	96041	5258502	54.72
1960-1969	17	0.00119	0.00119	0.5	95991	114	95934	5162461	53.78
1960-1969	18	0.00152	0.00152	0.5	95877	145	95804	5066527	52.84
1960-1969	19	0.00144	0.00144	0.5	95731	137	95663	4970723	51.92
1960-1969	20	0.00144	0.00144	0.5	95594	138	95525	4875060	51.00
1960-1969	21	0.00153	0.00153	0.5	95456	146	95383	4779535	50.07
1960-1969	22	0.00162	0.00162	0.5	95310	154	95233	4684152	49.15
1960-1969	23	0.00165	0.00164	0.5	95156	156	95078	4588919	48.23
1960-1969	24	0.00158	0.00158	0.5	94999	150	94925	4493841	47.30
1960-1969	25	0.00163	0.00163	0.5	94850	155	94772	4398916	46.38
1960-1969	26	0.00178	0.00178	0.5	94695	169	94611	4304144	45.45
1960-1969	27	0.00180	0.00179	0.5	94526	170	94441	4209534	44.53
1960-1969	28	0.00189	0.00189	0.5	94357	178	94267	4115092	43.61
1960-1969	29	0.00189	0.00188	0.5	94178	177	94090	4020825	42.69
1960-1969	30	0.00198	0.00198	0.5	94001	186	93908	3926735	41.77
1960-1969	31	0.00218	0.00217	0.5	93815	204	93713	3832827	40.86
1960-1969	32	0.00230	0.00230	0.5	93611	215	93504	3739114	39.94
1960-1969	33	0.00246	0.00245	0.5	93396	229	93281	3645611	39.03
1960-1969	34	0.00262	0.00262	0.5	93167	244	93045	3552329	38.13
1960-1969	35	0.00280	0.00280	0.5	92923	260	92793	3459284	37.23
1960-1969	36	0.00310	0.00309	0.5	92663	286	92520	3366491	36.33
1960-1969	37	0.00332	0.00332	0.5	92377	306	92223	3273971	35.44
1960-1969	38	0.00372	0.00371	0.5	92070	342	91899	3181748	34.56
1960-1969	39	0.00386	0.00385	0.5	91728	353	91551	3089849	33.68
1960-1969	40	0.00430	0.00429	0.5	91375	392	91179	2998297	32.81
1960-1969	41	0.00459	0.00458	0.5	90983	417	90774	2907119	31.95
1960-1969	42	0.00515	0.00514	0.5	90566	466	90333	2816344	31.10
1960-1969	43	0.00529	0.00528	0.5	90101	476	89863	2726011	30.26
1960-1969	44	0.00589	0.00587	0.5	89625	526	89362	2636148	29.41
1960-1969	45	0.00655	0.00653	0.5	89098	582	88808	2546787	28.58
1960-1969	46	0.00672	0.00670	0.5	88517	593	88220	2457979	27.77
1960-1969	47	0.00763	0.00760	0.5	87924	668	87590	2369758	26.95
1960-1969	48	0.00790	0.00787	0.5	87256	687	86913	2282169	26.15
1960-1969	49	0.00866	0.00863	0.5	86569	747	86196	2195256	25.36
1960-1969	50	0.01051	0.01045	0.5	85822	897	85374	2109060	24.57
1960-1969	51	0.01059	0.01053	0.5	84925	895	84478	2023686	23.83
1960-1969	52	0.01208	0.01201	0.5	84031	1009	83526	1939208	23.08
1960-1969	53	0.01256	0.01248	0.5	83021	1036	82503	1855682	22.35
1960-1969	54	0.01349	0.01340	0.5	81985	1099	81436	1773179	21.63
1960-1969	55	0.01463	0.01453	0.5	80887	1175	80299	1691743	20.92
1960-1969	56	0.01547	0.01535	0.5	79711	1224	79100	1611444	20.22
1960-1969	57	0.01666	0.01653	0.5	78488	1297	77839	1532344	19.52
1960-1969	58	0.01815	0.01798	0.5	77191	1388	76497	1454505	18.84
1960-1969	59	0.01925	0.01907	0.5	75803	1445	75080	1378008	18.18
1960-1969	60	0.02226	0.02202	0.5	74357	1637	73539	1302928	17.52
1960-1969	61	0.02204	0.02180	0.5	72720	1585	71928	1229389	16.91
1960-1969	62	0.02493	0.02462	0.5	71135	1752	70260	1157461	16.27
1960-1969	63	0.02589	0.02555	0.5	69384	1773	68497	1087202	15.67
1960-1969	64	0.02749	0.02712	0.5	67611	1834	66694	1018705	15.07
1960-1969	65	0.03298	0.03244	0.5	65777	2134	64710	952011	14.47
1960-1969	66	0.03214	0.03163	0.5	63643	2013	62637	887301	13.94
1960-1969	67	0.03499	0.03439	0.5	61630	2119	60571	824664	13.38
1960-1969	68	0.03698	0.03631	0.5	59511	2161	58430	764093	12.84
1960-1969	69	0.03891	0.03817	0.5	57350	2189	56255	705663	12.30
1960-1969	70	0.04507	0.04408	0.5	55161	2432	53945	649407	11.77
1960-1969	71	0.04230	0.04143	0.5	52729	2184	51637	595462	11.29
1960-1969	72	0.04844	0.04729	0.5	50545	2390	49350	543825	10.76
1960-1969	73	0.05074	0.04949	0.5	48155	2383	46963	494476	10.27
1960-1969	74	0.05375	0.05234	0.5	45772	2396	44574	447512	9.78
1960-1969	75	0.05993	0.05818	0.5	43376	2524	42114	402939	9.29
1960-1969	76	0.06252	0.06063	0.5	40852	2477	39614	360825	8.83
1960-1969	77	0.06303	0.06110	0.5	38375	2345	37203	321211	8.37
1960-1969	78	0.06992	0.06755	0.5	36031	2434	34814	284008	7.88
1960-1969	79	0.07589	0.07311	0.5	33597	2456	32368	249194	7.42
1960-1969	80	0.09297	0.08884	0.5	31140	2766	29757	216826	6.96
1960-1969	81	0.09377	0.08957	0.5	28374	2541	27103	187069	6.59
1960-1969	82	0.10759	0.10210	0.5	25832	2637	24514	159966	6.19
1960-1969	83	0.11933	0.11261	0.5	23195	2612	21889	135452	5.84
1960-1969	84	0.13501	0.12648	0.5	20583	2603	19281	113564	5.52
1960-1969	85	0.14145	0.13211	0.5	17980	2375	16792	94282	5.24
1960-1969	86	0.15399	0.14298	0.5	15604	2231	14489	77490	4.97
1960-1969	87	0.16581	0.15312	0.5	13373	2048	12349	63001	4.71
1960-1969	88	0.18423	0.16869	0.5	11326	1911	10370	50652	4.47
1960-1969	89	0.18604	0.17021	0.5	9415	1603	8614	40282	4.28
1960-1969	90	0.19953	0.18143	0.5	7813	1417	7104	31668	4.05
1960-1969	91	0.21378	0.19313	0.5	6395	1235	5778	24564	3.84
1960-1969	92	0.22880	0.20532	0.5	5160	1059	4630	18786	3.64
1960-1969	93	0.24461	0.21795	0.5	4101	894	3654	14156	3.45
1960-1969	94	0.26118	0.23101	0.5	3207	741	2836	10502	3.27
1960-1969	95	0.27851	0.24447	0.5	2466	603	2165	7666	3.11
1960-1969	96	0.29658	0.25828	0.5	1863	481	1623	5501	2.95
1960-1969	97	0.31535	0.27240	0.5	1382	376	1194	3879	2.81
1960-1969	98	0.33480	0.28679	0.5	1006	288	861	2685	2.67
1960-1969	99	0.35487	0.30139	0.5	717	216	609	1824	2.54
1960-1969	100	0.37551	0.31615	0.5	501	158	422	1215	2.42
1960-1969	101	0.39665	0.33100	0.5	343	113	286	793	2.31
1960-1969	102	0.41823	0.34589	0.5	229	79	190	507	2.21
1960-1969	103	0.44016	0.36076	0.5	150	54	123	317	2.12
1960-1969	104	0.46236	0.37554	0.5	96	36	78	194	2.03
1960-1969	105	0.48474	0.39017	0.5	60	23	48	117	1.95
1960-1969	106	0.50721	0.40460	0.5	36	15	29	68	1.87
1960-1969	107	0.52967	0.41877	0.5	22	9	17	39	1.81
1960-1969	108	0.55203	0.43262	0.5	13	5	10	22	1.75
1960-1969	109	0.57421	0.44612	0.5	7	3	6	12	1.71
1960-1969	110+	0.59610	1.00000	1.68	4	4	7	7	1.68
1970-1979	0	0.01873	0.01842	0.1	100000	1842	98342	7026080	70.26
1970-1979	1	0.00131	0.00131	0.5	98158	128	98094	6927737	70.58
1970-1979	2	0.00094	0.00094	0.5	98029	92	97984	6829644	69.67
1970-1979	3	0.00068	0.00068	0.5	97938	67	97904	6731660	68.73
1970-1979	4	0.00056	0.00056	0.5	97871	54	97844	6633756	67.78
1970-1979	5	0.00054	0.00054	0.5	97816	53	97790	6535912	66.82
1970-1979	6	0.00047	0.00047	0.5	97764	46	97741	6438122	65.85
1970-1979	7	0.00045	0.00045	0.5	97718	44	97696	6340382	64.88
1970-1979	8	0.00039	0.00039	0.5	97673	38	97654	6242686	63.91
1970-1979	9	0.00038	0.00038	0.5	97635	37	97617	6145032	62.94
1970-1979	10	0.00037	0.00037	0.5	97598	36	97580	6047415	61.96
1970-1979	11	0.00035	0.00035	0.5	97562	34	97545	5949835	60.99
1970-1979	12	0.00040	0.00040	0.5	97527	39	97508	5852291	60.01
1970-1979	13	0.00048	0.00048	0.5	97489	47	97465	5754783	59.03
1970-1979	14	0.00061	0.00061	0.5	97442	59	97412	5657317	58.06
1970-1979	15	0.00073	0.00073	0.5	97382	71	97347	5559905	57.09
1970-1979	16	0.00110	0.00110	0.5	97311	107	97258	5462559	56.14
1970-1979	17	0.00127	0.00127	0.5	97204	123	97143	5365301	55.20
1970-1979	18	0.00141	0.00141	0.5	97081	137	97013	5268158	54.27
1970-1979	19	0.00153	0.00153	0.5	96945	148	96871	5171145	53.34
1970-1979	20	0.00156	0.00156	0.5	96796	151	96721	5074275	52.42
1970-1979	21	0.00160	0.00160	0.5	96646	155	96568	4977554	51.50
1970-1979	22	0.00156	0.00156	0.5	96491	151	96416	4880985	50.58
1970-1979	23	0.00156	0.00155	0.5	96341	150	96266	4784570	49.66
1970-1979	24	0.00154	0.00154	0.5	96191	148	96117	4688304	48.74
1970-1979	25	0.00166	0.00166	0.5	96043	159	95963	4592187	47.81
1970-1979	26	0.00158	0.00158	0.5	95884	152	95808	4496224	46.89
1970-1979	27	0.00172	0.00171	0.5	95732	164	95650	4400417	45.97
1970-1979	28	0.00170	0.00170	0.5	95568	163	95486	4304767	45.04
1970-1979	29	0.00171	0.00171	0.5	95405	163	95323	4209281	44.12
1970-1979	30	0.00180	0.00180	0.5	95242	172	95156	4113957	43.19
1970-1979	31	0.00184	0.00183	0.5	95070	174	94983	4018801	42.27
1970-1979	32	0.00191	0.00191	0.5	94896	181	94805	3923818	41.35
1970-1979	33	0.00214	0.00214	0.5	94715	203	94614	3829013	40.43
1970-1979	34	0.00224	0.00223	0.5	94512	211	94407	3734399	39.51
1970-1979	35	0.00257	0.00257	0.5	94301	242	94180	3639992	38.60
1970-1979	36	0.00271	0.00271	0.5	94059	255	93932	3545812	37.70
1970-1979	37	0.00282	0.00282	0.5	93805	265	93673	3451880	36.80
1970-1979	38	0.00315	0.00315	0.5	93540	294	93393	3358207	35.90
1970-1979	39	0.00341	0.00341	0.5	93246	318	93087	3264814	35.01
1970-1979	40	0.00379	0.00378	0.5	92928	351	92752	3171727	34.13
1970-1979	41	0.00400	0.00399	0.5	92577	369	92392	3078975	33.26
1970-1979	42	0.00456	0.00455	0.5	92207	419	91998	2986583	32.39
1970-1979	43	0.00475	0.00474	0.5	91788	435	91571	2894585	31.54
1970-1979	44	0.00521	0.00520	0.5	91354	475	91116	2803014	30.68
1970-1979	45	0.00561	0.00559	0.5	90878	508	90624	2711898	29.84
1970-1979	46	0.00632	0.00630	0.5	90370	569	90086	2621274	29.01
1970-1979	47	0.00671	0.00669	0.5	89801	601	89501	2531188	28.19
1970-1979	48	0.00727	0.00724	0.5	89201	646	88878	2441687	27.37
1970-1979	49	0.00778	0.00775	0.5	88555	686	88212	2352809	26.57
1970-1979	50	0.00872	0.00868	0.5	87869	763	87487	2264598	25.77
1970-1979	51	0.00952	0.00947	0.5	87106	825	86693	2177110	24.99
1970-1979	52	0.01035	0.01030	0.5	86281	888	85837	2090417	24.23
1970-1979	53	0.01108	0.01102	0.5	85393	941	84922	2004580	23.47
1970-1979	54	0.01191	0.01184	0.5	84452	1000	83952	1919658	22.73
1970-1979	55	0.01265	0.01257	0.5	83452	1049	82927	1835706	22.00
1970-1979	56	0.01376	0.01367	0.5	82403	1126	81840	1752779	21.27
1970-1979	57	0.01491	0.01480	0.5	81276	1203	80675	1670939	20.56
1970-1979	58	0.01588	0.01575	0.5	80073	1261	79443	1590265	19.86
1970-1979	59	0.01725	0.01710	0.5	78812	1348	78138	1510822	19.17
1970-1979	60	0.01875	0.01857	0.5	77464	1439	76745	1432684	18.49
1970-1979	61	0.01988	0.01969	0.5	76026	1497	75277	1355939	17.84
1970-1979	62	0.02210	0.02185	0.5	74529	1629	73715	1280661	17.18
1970-1979	63	0.02350	0.02323	0.5	72900	1694	72053	1206947	16.56
1970-1979	64	0.02517	0.02486	0.5	71207	1770	70322	1134893	15.94
1970-1979	65	0.02716	0.02679	0.5	69436	1860	68506	1064572	15.33
1970-1979	66	0.02778	0.02740	0.5	67576	1852	66650	996066	14.74
1970-1979	67	0.03018	0.02974	0.5	65724	1954	64747	929416	14.14
1970-1979	68	0.03245	0.03193	0.5	63770	2036	62752	864669	13.56
1970-1979	69	0.03392	0.03335	0.5	61733	2059	60704	801917	12.99
1970-1979	70	0.03933	0.03857	0.5	59674	2302	58524	741213	12.42
1970-1979	71	0.04007	0.03928	0.5	57373	2254	56246	682689	11.90
1970-1979	72	0.04438	0.04342	0.5	55119	2393	53923	626443	11.37
1970-1979	73	0.04754	0.04644	0.5	52726	2448	51502	572520	10.86
1970-1979	74	0.05080	0.04954	0.5	50278	2491	49032	521019	10.36
1970-1979	75	0.05454	0.05309	0.5	47787	2537	46519	471986	9.88
1970-1979	76	0.05674	0.05517	0.5	45250	2497	44002	425468	9.40
1970-1979	77	0.06123	0.05941	0.5	42753	2540	41483	381466	8.92
1970-1979	78	0.06705	0.06487	0.5	40213	2609	38909	339983	8.45
1970-1979	79	0.07228	0.06976	0.5	37605	2623	36293	301074	8.01
1970-1979	80	0.08055	0.07743	0.5	34981	2709	33627	264780	7.57
1970-1979	81	0.08315	0.07984	0.5	32273	2576	30985	231153	7.16
1970-1979	82	0.09702	0.09253	0.5	29696	2748	28322	200169	6.74
1970-1979	83	0.10584	0.10052	0.5	26948	2709	25594	171847	6.38
1970-1979	84	0.11492	0.10868	0.5	24240	2634	22923	146253	6.03
1970-1979	85	0.12154	0.11458	0.5	21605	2476	20368	123330	5.71
1970-1979	86	0.13470	0.12620	0.5	19130	2414	17923	102962	5.38
1970-1979	87	0.14629	0.13632	0.5	16716	2279	15576	85040	5.09
1970-1979	88	0.15791	0.14635	0.5	14437	2113	13380	69463	4.81
1970-1979	89	0.17194	0.15833	0.5	12324	1951	11348	56083	4.55
1970-1979	90	0.18764	0.17155	0.5	10373	1779	9483	44735	4.31
1970-1979	91	0.19489	0.17758	0.5	8593	1526	7830	35251	4.10
1970-1979	92	0.20946	0.18960	0.5	7067	1340	6397	27421	3.88
1970-1979	93	0.22487	0.20214	0.5	5727	1158	5148	21024	3.67
1970-1979	94	0.24112	0.21518	0.5	4570	983	4078	15875	3.47
1970-1979	95	0.25820	0.22868	0.5	3586	820	3176	11797	3.29
1970-1979	96	0.27611	0.24262	0.5	2766	671	2431	8621	3.12
1970-1979	97	0.29482	0.25694	0.5	2095	538	1826	6191	2.95
1970-1979	98	0.31430	0.27162	0.5	1557	423	1345	4365	2.80
1970-1979	99	0.33452	0.28659	0.5	1134	325	971	3019	2.66
1970-1979	100	0.35542	0.30179	0.5	809	244	687	2048	2.53
1970-1979	101	0.37693	0.31716	0.5	565	179	475	1361	2.41
1970-1979	102	0.39899	0.33263	0.5	386	128	322	886	2.30
1970-1979	103	0.42152	0.34814	0.5	257	90	213	564	2.19
1970-1979	104	0.44442	0.36362	0.5	168	61	137	352	2.10
1970-1979	105	0.46761	0.37900	0.5	107	40	87	214	2.01
1970-1979	106	0.49098	0.39420	0.5	66	26	53	128	1.93
1970-1979	107	0.51442	0.40918	0.5	40	16	32	74	1.85
1970-1979	108	0.53784	0.42385	0.5	24	10	19	43	1.79
1970-1979	109	0.56112	0.43818	0.5	14	6	11	24	1.74
1970-1979	110+	0.58416	1.00000	1.71	8	8	13	13	1.71
1980-1989	0	0.01329	0.01313	0.09	100000	1313	98799	7298472	72.98
1980-1989	1	0.00094	0.00094	0.5	98687	93	98640	7199673	72.95
1980-1989	2	0.00067	0.00067	0.5	98594	66	98561	7101033	72.02
1980-1989	3	0.00051	0.00051	0.5	98528	50	98503	7002472	71.07
1980-1989	4	0.00042	0.00042	0.5	98477	42	98457	6903969	70.11
1980-1989	5	0.00040	0.00040	0.5	98436	39	98416	6805513	69.14
1980-1989	6	0.00042	0.00042	0.5	98397	41	98376	6707096	68.16
1980-1989	7	0.00029	0.00029	0.5	98355	29	98341	6608720	67.19
1980-1989	8	0.00031	0.00031	0.5	98327	31	98312	6510379	66.21
1980-1989	9	0.00025	0.00025	0.5	98296	25	98284	6412068	65.23
1980-1989	10	0.00024	0.00024	0.5	98272	24	98260	6313784	64.25
1980-1989	11	0.00030	0.00030	0.5	98248	29	98233	6215524	63.26
1980-1989	12	0.00032	0.00032	0.5	98218	31	98203	6117291	62.28
1980-1989	13	0.00037	0.00037	0.5	98187	36	98169	6019088	61.30
1980-1989	14	0.00040	0.00040	0.5	98151	39	98132	5920919	60.32
1980-1989	15	0.00058	0.00058	0.5	98112	56	98084	5822787	59.35
1980-1989	16	0.00089	0.00089	0.5	98056	87	98012	5724703	58.38
1980-1989	17	0.00103	0.00103	0.5	97969	101	97918	5626691	57.43
1980-1989	18	0.00112	0.00112	0.5	97868	110	97813	5528773	56.49
1980-1989	19	0.00119	0.00119	0.5	97758	116	97700	5430960	55.56
1980-1989	20	0.00119	0.00119	0.5	97642	117	97584	5333260	54.62
1980-1989	21	0.00118	0.00117	0.5	97526	115	97468	5235676	53.69
1980-1989	22	0.00121	0.00121	0.5	97411	118	97352	5138208	52.75
1980-1989	23	0.00128	0.00128	0.5	97293	124	97231	5040856	51.81
1980-1989	24	0.00128	0.00128	0.5	97168	125	97106	4943625	50.88
1980-1989	25	0.00132	0.00132	0.5	97044	128	96980	4846519	49.94
1980-1989	26	0.00138	0.00138	0.5	96916	134	96849	4749539	49.01
1980-1989	27	0.00135	0.00135	0.5	96782	131	96716	4652690	48.07
1980-1989	28	0.00148	0.00148	0.5	96651	143	96580	4555974	47.14
1980-1989	29	0.00141	0.00141	0.5	96508	136	96440	4459394	46.21
1980-1989	30	0.00151	0.00151	0.5	96372	145	96299	4362954	45.27
1980-1989	31	0.00159	0.00159	0.5	96227	153	96150	4266655	44.34
1980-1989	32	0.00159	0.00159	0.5	96074	152	95997	4170505	43.41
1980-1989	33	0.00176	0.00176	0.5	95921	169	95837	4074507	42.48
1980-1989	34	0.00173	0.00173	0.5	95753	166	95670	3978671	41.55
1980-1989	35	0.00182	0.00182	0.5	95587	174	95500	3883001	40.62
1980-1989	36	0.00189	0.00189	0.5	95413	180	95323	3787501	39.70
1980-1989	37	0.00216	0.00216	0.5	95233	205	95130	3692178	38.77
1980-1989	38	0.00232	0.00232	0.5	95028	220	94917	3597047	37.85
1980-1989	39	0.00240	0.00239	0.5	94807	227	94694	3502130	36.94
1980-1989	40	0.00252	0.00251	0.5	94581	238	94462	3407436	36.03
1980-1989	41	0.00283	0.00282	0.5	94343	267	94210	3312974	35.12
1980-1989	42	0.00304	0.00303	0.5	94076	285	93934	3218765	34.21
1980-1989	43	0.00340	0.00339	0.5	93791	318	93632	3124831	33.32
1980-1989	44	0.00363	0.00363	0.5	93473	339	93304	3031199	32.43
1980-1989	45	0.00424	0.00423	0.5	93134	394	92937	2937895	31.54
1980-1989	46	0.00432	0.00431	0.5	92740	399	92540	2844958	30.68
1980-1989	47	0.00487	0.00485	0.5	92340	448	92116	2752418	29.81
1980-1989	48	0.00566	0.00565	0.5	91892	519	91633	2660302	28.95
1980-1989	49	0.00574	0.00572	0.5	91373	523	91112	2568669	28.11
1980-1989	50	0.00642	0.00640	0.5	90850	582	90560	2477558	27.27
1980-1989	51	0.00718	0.00715	0.5	90269	646	89946	2386998	26.44
1980-1989	52	0.00806	0.00803	0.5	89623	720	89263	2297052	25.63
1980-1989	53	0.00859	0.00855	0.5	88904	760	88523	2207788	24.83
1980-1989	54	0.00946	0.00941	0.5	88143	830	87728	2119265	24.04
1980-1989	55	0.01024	0.01019	0.5	87313	890	86868	2031537	23.27
1980-1989	56	0.01113	0.01106	0.5	86424	956	85945	1944668	22.50
1980-1989	57	0.01159	0.01153	0.5	85467	985	84975	1858723	21.75
1980-1989	58	0.01335	0.01326	0.5	84482	1121	83922	1773748	21.00
1980-1989	59	0.01413	0.01403	0.5	83362	1169	82777	1689826	20.27
1980-1989	60	0.01575	0.01563	0.5	82192	1285	81550	1607049	19.55
1980-1989	61	0.01684	0.01670	0.5	80907	1351	80232	1525500	18.85
1980-1989	62	0.01907	0.01889	0.5	79556	1503	78805	1445268	18.17
1980-1989	63	0.01991	0.01972	0.5	78053	1539	77284	1366463	17.51
1980-1989	64	0.02145	0.02123	0.5	76514	1624	75702	1289179	16.85
1980-1989	65	0.02308	0.02281	0.5	74890	1709	74036	1213477	16.20
1980-1989	66	0.02499	0.02468	0.5	73182	1806	72279	1139441	15.57
1980-1989	67	0.02571	0.02539	0.5	71376	1812	70470	1067162	14.95
1980-1989	68	0.02898	0.02856	0.5	69564	1987	68570	996692	14.33
1980-1989	69	0.03079	0.03032	0.5	67577	2049	66553	928122	13.73
1980-1989	70	0.03299	0.03245	0.5	65528	2127	64465	861569	13.15
1980-1989	71	0.03527	0.03465	0.5	63401	2197	62303	797104	12.57
1980-1989	72	0.04051	0.03970	0.5	61204	2430	59989	734802	12.01
1980-1989	73	0.04290	0.04200	0.5	58774	2469	57540	674812	11.48
1980-1989	74	0.04495	0.04396	0.5	56305	2475	55068	617273	10.96
1980-1989	75	0.04936	0.04817	0.5	53830	2593	52534	562205	10.44
1980-1989	76	0.05390	0.05249	0.5	51237	2689	49893	509671	9.95
1980-1989	77	0.05578	0.05426	0.5	48548	2634	47231	459778	9.47
1980-1989	78	0.06090	0.05910	0.5	45914	2714	44557	412548	8.99
1980-1989	79	0.06182	0.05996	0.5	43200	2590	41905	367991	8.52
1980-1989	80	0.07359	0.07098	0.5	40610	2882	39168	326086	8.03
