PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
GA,f,1960-1969,0,0.02538,0.02483,0.12,100000,2483,97825,7208412,72.08
GA,f,1960-1969,1,0.00207,0.00207,0.5,97517,202,97417,7110587,72.92
GA,f,1960-1969,2,0.00112,0.00112,0.5,97316,109,97261,7013170,72.07
GA,f,1960-1969,3,0.00086,0.00086,0.5,97207,84,97165,6915909,71.15
GA,f,1960-1969,4,0.00064,0.00064,0.5,97123,62,97092,6818744,70.21
GA,f,1960-1969,5,0.00053,0.00053,0.5,97061,52,97035,6721652,69.25
GA,f,1960-1969,6,0.00052,0.00052,0.5,97009,50,96984,6624617,68.29
GA,f,1960-1969,7,0.00047,0.00047,0.5,96959,46,96936,6527633,67.32
GA,f,1960-1969,8,0.00041,0.00041,0.5,96913,40,96893,6430697,66.36
GA,f,1960-1969,9,0.00039,0.00039,0.5,96873,38,96854,6333804,65.38
GA,f,1960-1969,10,0.00033,0.00033,0.5,96836,32,96820,6236949,64.41
GA,f,1960-1969,11,0.00038,0.00038,0.5,96804,37,96786,6140130,63.43
GA,f,1960-1969,12,0.00037,0.00037,0.5,96767,35,96749,6043344,62.45
GA,f,1960-1969,13,0.00040,0.00040,0.5,96732,38,96712,5946595,61.48
GA,f,1960-1969,14,0.00045,0.00045,0.5,96693,43,96672,5849882,60.50
GA,f,1960-1969,15,0.00053,0.00053,0.5,96650,51,96625,5753211,59.53
GA,f,1960-1969,16,0.00063,0.00063,0.5,96599,60,96569,5656586,58.56
GA,f,1960-1969,17,0.00072,0.00072,0.5,96538,70,96504,5560017,57.59
GA,f,1960-1969,18,0.00079,0.00079,0.5,96469,76,96431,5463514,56.64
GA,f,1960-1969,19,0.00083,0.00083,0.5,96393,80,96353,5367083,55.68
GA,f,1960-1969,20,0.00087,0.00087,0.5,96313,84,96271,5270730,54.72
GA,f,1960-1969,21,0.00084,0.00084,0.5,96230,80,96189,5174458,53.77
GA,f,1960-1969,22,0.00078,0.00078,0.5,96149,75,96112,5078269,52.82
GA,f,1960-1969,23,0.00094,0.00094,0.5,96074,90,96029,4982158,51.86
GA,f,1960-1969,24,0.00094,0.00094,0.5,95984,90,95939,4886129,50.91
GA,f,1960-1969,25,0.00099,0.00099,0.5,95894,95,95846,4790190,49.95
GA,f,1960-1969,26,0.00107,0.00107,0.5,95799,103,95747,4694343,49.00
GA,f,1960-1969,27,0.00110,0.00110,0.5,95696,105,95643,4598596,48.05
GA,f,1960-1969,28,0.00125,0.00124,0.5,95591,119,95532,4502953,47.11
GA,f,1960-1969,29,0.00131,0.00131,0.5,95472,125,95410,4407421,46.16
GA,f,1960-1969,30,0.00140,0.00140,0.5,95347,133,95281,4312011,45.22
GA,f,1960-1969,31,0.00156,0.00155,0.5,95214,148,95140,4216731,44.29
GA,f,1960-1969,32,0.00168,0.00168,0.5,95066,160,94986,4121591,43.36
GA,f,1960-1969,33,0.00184,0.00184,0.5,94906,175,94819,4026605,42.43
GA,f,1960-1969,34,0.00201,0.00201,0.5,94731,190,94636,3931786,41.50
GA,f,1960-1969,35,0.00215,0.00215,0.5,94541,203,94440,3837150,40.59
GA,f,1960-1969,36,0.00238,0.00237,0.5,94338,224,94226,3742710,39.67
GA,f,1960-1969,37,0.00245,0.00245,0.5,94114,230,93999,3648483,38.77
GA,f,1960-1969,38,0.00283,0.00283,0.5,93884,265,93752,3554484,37.86
GA,f,1960-1969,39,0.00293,0.00292,0.5,93619,274,93482,3460732,36.97
GA,f,1960-1969,40,0.00329,0.00329,0.5,93345,307,93192,3367250,36.07
GA,f,1960-1969,41,0.00342,0.00341,0.5,93038,317,92880,3274058,35.19
GA,f,1960-1969,42,0.00393,0.00393,0.5,92721,364,92539,3181179,34.31
GA,f,1960-1969,43,0.00388,0.00387,0.5,92357,357,92178,3088640,33.44
GA,f,1960-1969,44,0.00426,0.00426,0.5,92000,391,91804,2996461,32.57
GA,f,1960-1969,45,0.00464,0.00463,0.5,91608,424,91396,2904657,31.71
GA,f,1960-1969,46,0.00488,0.00487,0.5,91184,444,90962,2813261,30.85
GA,f,1960-1969,47,0.00532,0.00530,0.5,90741,481,90500,2722299,30.00
GA,f,1960-1969,48,0.00571,0.00569,0.5,90259,514,90002,2631799,29.16
GA,f,1960-1969,49,0.00595,0.00593,0.5,89746,532,89480,2541796,28.32
GA,f,1960-1969,50,0.00748,0.00745,0.5,89214,665,88881,2452317,27.49
GA,f,1960-1969,51,0.00723,0.00720,0.5,88549,638,88230,2363435,26.69
GA,f,1960-1969,52,0.00835,0.00832,0.5,87911,731,87545,2275205,25.88
GA,f,1960-1969,53,0.00827,0.00824,0.5,87180,718,86821,2187660,25.09
