GA: Georgia, Lifetables (period 1x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03879	0.03755	0.15	100000	3755	96805	6431550	64.32
1959	1	0.00263	0.00262	0.5	96245	252	96119	6334745	65.82
1959	2	0.00154	0.00154	0.5	95993	147	95919	6238626	64.99
1959	3	0.00095	0.00095	0.5	95845	91	95800	6142707	64.09
1959	4	0.00058	0.00058	0.5	95754	55	95726	6046908	63.15
1959	5	0.00072	0.00072	0.5	95699	68	95664	5951182	62.19
1959	6	0.00069	0.00069	0.5	95630	66	95597	5855517	61.23
1959	7	0.00073	0.00073	0.5	95565	70	95530	5759920	60.27
1959	8	0.00078	0.00078	0.5	95495	74	95458	5664390	59.32
1959	9	0.00070	0.00070	0.5	95420	67	95387	5568932	58.36
1959	10	0.00055	0.00055	0.5	95354	53	95327	5473545	57.40
1959	11	0.00052	0.00052	0.5	95301	50	95276	5378218	56.43
1959	12	0.00075	0.00075	0.5	95251	72	95215	5282942	55.46
1959	13	0.00061	0.00061	0.5	95179	58	95150	5187727	54.50
1959	14	0.00098	0.00098	0.5	95121	94	95074	5092577	53.54
1959	15	0.00103	0.00103	0.5	95027	98	94978	4997503	52.59
1959	16	0.00126	0.00126	0.5	94929	119	94870	4902525	51.64
1959	17	0.00146	0.00146	0.5	94810	138	94741	4807655	50.71
1959	18	0.00240	0.00240	0.5	94672	227	94558	4712914	49.78
1959	19	0.00193	0.00193	0.5	94445	182	94354	4618356	48.90
1959	20	0.00216	0.00216	0.5	94262	203	94161	4524002	47.99
1959	21	0.00223	0.00223	0.5	94059	209	93955	4429842	47.10
1959	22	0.00210	0.00209	0.5	93850	196	93752	4335887	46.20
1959	23	0.00226	0.00226	0.5	93653	212	93548	4242135	45.30
1959	24	0.00200	0.00200	0.5	93442	187	93348	4148588	44.40
1959	25	0.00208	0.00208	0.5	93255	194	93158	4055239	43.49
1959	26	0.00256	0.00256	0.5	93061	238	92942	3962081	42.58
1959	27	0.00227	0.00226	0.5	92823	210	92718	3869139	41.68
1959	28	0.00200	0.00199	0.5	92613	185	92520	3776422	40.78
1959	29	0.00237	0.00237	0.5	92428	219	92319	3683901	39.86
1959	30	0.00218	0.00218	0.5	92209	201	92109	3591583	38.95
1959	31	0.00343	0.00343	0.5	92008	315	91850	3499474	38.03
1959	32	0.00217	0.00216	0.5	91693	198	91594	3407624	37.16
1959	33	0.00246	0.00246	0.5	91494	225	91382	3316030	36.24
1959	34	0.00328	0.00327	0.5	91269	299	91120	3224648	35.33
1959	35	0.00305	0.00305	0.5	90971	277	90832	3133528	34.45
1959	36	0.00386	0.00385	0.5	90693	349	90519	3042696	33.55
1959	37	0.00390	0.00390	0.5	90344	352	90168	2952178	32.68
1959	38	0.00502	0.00501	0.5	89992	451	89767	2862009	31.80
1959	39	0.00506	0.00505	0.5	89542	452	89316	2772242	30.96
1959	40	0.00484	0.00483	0.5	89089	430	88874	2682927	30.11
1959	41	0.00415	0.00414	0.5	88659	367	88476	2594052	29.26
1959	42	0.00818	0.00815	0.5	88292	719	87932	2505577	28.38
1959	43	0.00706	0.00704	0.5	87573	616	87264	2417645	27.61
1959	44	0.00729	0.00726	0.5	86956	632	86641	2330380	26.80
1959	45	0.00884	0.00880	0.5	86325	760	85945	2243739	25.99
1959	46	0.00906	0.00902	0.5	85565	772	85179	2157795	25.22
1959	47	0.00950	0.00945	0.5	84793	801	84392	2072616	24.44
1959	48	0.01116	0.01110	0.5	83992	932	83526	1988223	23.67
1959	49	0.01118	0.01112	0.5	83060	924	82598	1904698	22.93
1959	50	0.01298	0.01290	0.5	82136	1059	81606	1822100	22.18
1959	51	0.01452	0.01441	0.5	81077	1168	80492	1740493	21.47
1959	52	0.01627	0.01614	0.5	79908	1290	79263	1660001	20.77
1959	53	0.01610	0.01597	0.5	78618	1255	77991	1580738	20.11
1959	54	0.01818	0.01802	0.5	77363	1394	76666	1502747	19.42
1959	55	0.01919	0.01901	0.5	75969	1444	75247	1426081	18.77
1959	56	0.02014	0.01994	0.5	74525	1486	73782	1350833	18.13
1959	57	0.02046	0.02025	0.5	73039	1479	72299	1277051	17.48
1959	58	0.02606	0.02572	0.5	71560	1841	70639	1204752	16.84
1959	59	0.02590	0.02557	0.5	69719	1782	68828	1134112	16.27
1959	60	0.03021	0.02976	0.5	67936	2022	66926	1065285	15.68
1959	61	0.03002	0.02958	0.5	65915	1950	64940	998359	15.15
1959	62	0.03298	0.03245	0.5	63965	2075	62927	933419	14.59
1959	63	0.03678	0.03612	0.5	61890	2235	60772	870492	14.07
1959	64	0.03664	0.03598	0.5	59654	2147	58581	809720	13.57
1959	65	0.04026	0.03947	0.5	57508	2270	56373	751139	13.06
1959	66	0.04125	0.04042	0.5	55238	2233	54121	694766	12.58
1959	67	0.04215	0.04128	0.5	53005	2188	51911	640645	12.09
1959	68	0.04638	0.04533	0.5	50817	2303	49665	588734	11.59
1959	69	0.04983	0.04862	0.5	48513	2359	47334	539069	11.11
1959	70	0.05384	0.05243	0.5	46155	2420	44945	491735	10.65
1959	71	0.05125	0.04997	0.5	43735	2186	42642	446791	10.22
1959	72	0.05835	0.05669	0.5	41549	2356	40371	404149	9.73
1959	73	0.05880	0.05712	0.5	39194	2239	38074	363777	9.28
1959	74	0.06191	0.06005	0.5	36955	2219	35845	325703	8.81
1959	75	0.07080	0.06838	0.5	34736	2375	33548	289858	8.34
1959	76	0.07088	0.06845	0.5	32360	2215	31253	256310	7.92
1959	77	0.07607	0.07329	0.5	30145	2209	29041	225057	7.47
1959	78	0.08533	0.08183	0.5	27936	2286	26793	196017	7.02
1959	79	0.08876	0.08498	0.5	25650	2180	24560	169224	6.60
1959	80	0.11876	0.11210	0.5	23470	2631	22155	144664	6.16
1959	81	0.10454	0.09935	0.5	20839	2070	19804	122509	5.88
1959	82	0.13286	0.12458	0.5	18769	2338	17600	102705	5.47
1959	83	0.14365	0.13402	0.5	16430	2202	15329	85106	5.18
1959	84	0.15578	0.14452	0.5	14228	2056	13200	69776	4.90
1959	85	0.16731	0.15439	0.5	12172	1879	11233	56576	4.65
1959	86	0.20727	0.18780	0.5	10293	1933	9326	45343	4.41
1959	87	0.20753	0.18802	0.5	8360	1572	7574	36017	4.31
1959	88	0.19522	0.17786	0.5	6788	1207	6184	28443	4.19
1959	89	0.20850	0.18881	0.5	5581	1054	5054	22259	3.99
1959	90	0.22152	0.19943	0.5	4527	903	4076	17205	3.80
1959	91	0.23512	0.21039	0.5	3624	762	3243	13129	3.62
1959	92	0.24929	0.22166	0.5	2862	634	2545	9886	3.45
1959	93	0.26402	0.23323	0.5	2227	519	1968	7342	3.30
1959	94	0.27929	0.24507	0.5	1708	419	1499	5374	3.15
1959	95	0.29509	0.25715	0.5	1289	332	1124	3876	3.01
1959	96	0.31140	0.26945	0.5	958	258	829	2752	2.87
1959	97	0.32819	0.28193	0.5	700	197	601	1923	2.75
1959	98	0.34543	0.29456	0.5	502	148	428	1322	2.63
1959	99	0.36309	0.30730	0.5	354	109	300	894	2.52
1959	100	0.38113	0.32012	0.5	246	79	206	594	2.42
1959	101	0.39950	0.33299	0.5	167	56	139	388	2.32
1959	102	0.41816	0.34585	0.5	111	39	92	249	2.23
1959	103	0.43705	0.35867	0.5	73	26	60	156	2.15
1959	104	0.45613	0.37142	0.5	47	17	38	97	2.07
1959	105	0.47534	0.38406	0.5	29	11	24	59	2.00
1959	106	0.49462	0.39655	0.5	18	7	14	35	1.93
1959	107	0.51391	0.40886	0.5	11	4	9	20	1.87
1959	108	0.53317	0.42095	0.5	6	3	5	12	1.82
1959	109	0.55233	0.43280	0.5	4	2	3	7	1.78
1959	110+	0.57133	1.00000	1.75	2	2	4	4	1.75
1960	0	0.03948	0.03820	0.15	100000	3820	96756	6394625	63.95
1960	1	0.00226	0.00226	0.5	96180	217	96071	6297868	65.48
1960	2	0.00152	0.00152	0.5	95963	146	95890	6201797	64.63
1960	3	0.00105	0.00105	0.5	95816	101	95766	6105908	63.73
1960	4	0.00076	0.00076	0.5	95716	73	95679	6010141	62.79
1960	5	0.00066	0.00066	0.5	95643	63	95611	5914462	61.84
1960	6	0.00050	0.00050	0.5	95579	48	95556	5818851	60.88
1960	7	0.00053	0.00053	0.5	95532	51	95506	5723296	59.91
1960	8	0.00080	0.00080	0.5	95481	76	95443	5627789	58.94
1960	9	0.00047	0.00047	0.5	95405	45	95382	5532346	57.99
1960	10	0.00058	0.00058	0.5	95360	56	95332	5436964	57.02
1960	11	0.00065	0.00064	0.5	95304	61	95273	5341633	56.05
1960	12	0.00066	0.00066	0.5	95242	63	95211	5246359	55.08
1960	13	0.00083	0.00083	0.5	95180	79	95140	5151148	54.12
1960	14	0.00066	0.00066	0.5	95101	63	95069	5056008	53.16
1960	15	0.00093	0.00093	0.5	95038	88	94994	4960939	52.20
1960	16	0.00121	0.00120	0.5	94950	114	94893	4865945	51.25
1960	17	0.00140	0.00140	0.5	94835	133	94769	4771052	50.31
1960	18	0.00201	0.00200	0.5	94702	190	94608	4676283	49.38
1960	19	0.00167	0.00167	0.5	94513	158	94434	4581676	48.48
1960	20	0.00200	0.00200	0.5	94355	189	94260	4487242	47.56
1960	21	0.00175	0.00174	0.5	94166	164	94084	4392982	46.65
1960	22	0.00246	0.00245	0.5	94002	231	93886	4298898	45.73
1960	23	0.00203	0.00202	0.5	93771	190	93676	4205011	44.84
1960	24	0.00180	0.00180	0.5	93581	168	93497	4111335	43.93
1960	25	0.00185	0.00185	0.5	93413	173	93327	4017838	43.01
1960	26	0.00265	0.00265	0.5	93241	247	93117	3924511	42.09
1960	27	0.00261	0.00260	0.5	92993	242	92872	3831394	41.20
1960	28	0.00235	0.00235	0.5	92751	218	92643	3738522	40.31
