PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
GA,m,1960-1964,0,0.03544,0.03439,0.14,100000,3439,97043,6425290,64.25
GA,m,1960-1964,1-4,0.00136,0.00540,1.57,96561,522,384977,6328247,65.54
GA,m,1960-1964,5-9,0.00057,0.00286,2.31,96039,275,479457,5943270,61.88
GA,m,1960-1964,10-14,0.00063,0.00316,2.81,95764,303,478158,5463813,57.05
GA,m,1960-1964,15-19,0.00153,0.00762,2.79,95462,727,475702,4985655,52.23
GA,m,1960-1964,20-24,0.00210,0.01042,2.58,94735,988,471288,4509952,47.61
GA,m,1960-1964,25-29,0.00237,0.01176,2.56,93747,1102,466049,4038665,43.08
GA,m,1960-1964,30-34,0.00287,0.01423,2.63,92645,1318,460095,3572616,38.56
GA,m,1960-1964,35-39,0.00414,0.02050,2.65,91327,1872,452243,3112521,34.08
GA,m,1960-1964,40-44,0.00639,0.03148,2.66,89455,2816,440698,2660278,29.74
GA,m,1960-1964,45-49,0.00966,0.04722,2.64,86639,4091,423544,2219581,25.62
GA,m,1960-1964,50-54,0.01575,0.07588,2.61,82548,6264,397796,1796037,21.76
GA,m,1960-1964,55-59,0.02255,0.10692,2.57,76284,8156,361620,1398241,18.33
GA,m,1960-1964,60-64,0.03332,0.15404,2.55,68128,10495,314945,1036621,15.22
GA,m,1960-1964,65-69,0.04851,0.21607,2.47,57633,12453,256694,721676,12.52
GA,m,1960-1964,70-74,0.06211,0.26824,2.46,45180,12119,195138,464982,10.29
GA,m,1960-1964,75-79,0.08034,0.33338,2.45,33061,11022,137187,269844,8.16
GA,m,1960-1964,80-84,0.13482,0.49998,2.42,22039,11019,81731,132657,6.02
GA,m,1960-1964,85-89,0.19513,0.63243,2.22,11020,6969,35717,50925,4.62
GA,m,1960-1964,90-94,0.24699,0.72092,2.11,4051,2920,11823,15208,3.75
GA,m,1960-1964,95-99,0.31982,0.81096,1.96,1130,917,2866,3385,2.99
GA,m,1960-1964,100-104,0.40246,0.87914,1.8,214,188,467,519,2.43
GA,m,1960-1964,105-109,0.49108,0.92558,1.63,26,24,49,52,2.02
GA,m,1960-1964,110+,0.56348,1.00000,1.77,2,2,3,3,1.77
GA,m,1965-1969,0,0.02994,0.02917,0.13,100000,2917,97448,6413080,64.13
GA,m,1965-1969,1-4,0.00125,0.00498,1.57,97083,483,387159,6315632,65.05
GA,m,1965-1969,5-9,0.00061,0.00307,2.32,96600,296,482204,5928473,61.37
GA,m,1965-1969,10-14,0.00066,0.00331,2.8,96304,319,480818,5446269,56.55
GA,m,1965-1969,15-19,0.00183,0.00912,2.82,95985,876,478020,4965451,51.73
GA,m,1965-1969,20-24,0.00239,0.01187,2.52,95109,1129,472744,4487432,47.18
GA,m,1965-1969,25-29,0.00256,0.01272,2.51,93981,1195,466928,4014687,42.72
GA,m,1965-1969,30-34,0.00303,0.01503,2.59,92786,1394,460568,3547759,38.24
GA,m,1965-1969,35-39,0.00433,0.02143,2.66,91391,1958,452381,3087191,33.78
GA,m,1965-1969,40-44,0.00646,0.03183,2.65,89433,2847,440471,2634810,29.46
