PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
HI,b,1960-1964,0,0.02211,0.02168,0.11,100000,2168,98071,7225206,72.25
HI,b,1960-1964,1,0.00148,0.00148,0.5,97832,145,97760,7127135,72.85
HI,b,1960-1964,2,0.00084,0.00084,0.5,97687,82,97646,7029376,71.96
HI,b,1960-1964,3,0.00055,0.00055,0.5,97605,54,97578,6931729,71.02
HI,b,1960-1964,4,0.00050,0.00050,0.5,97552,48,97527,6834151,70.06
HI,b,1960-1964,5,0.00049,0.00049,0.5,97503,48,97479,6736623,69.09
HI,b,1960-1964,6,0.00036,0.00036,0.5,97455,35,97438,6639144,68.12
HI,b,1960-1964,7,0.00040,0.00040,0.5,97421,39,97401,6541706,67.15
HI,b,1960-1964,8,0.00028,0.00028,0.5,97382,27,97368,6444305,66.18
HI,b,1960-1964,9,0.00027,0.00027,0.5,97354,27,97341,6346937,65.19
HI,b,1960-1964,10,0.00035,0.00035,0.5,97328,34,97311,6249596,64.21
HI,b,1960-1964,11,0.00041,0.00041,0.5,97293,39,97274,6152285,63.23
HI,b,1960-1964,12,0.00040,0.00040,0.5,97254,38,97235,6055012,62.26
HI,b,1960-1964,13,0.00045,0.00045,0.5,97215,44,97193,5957777,61.28
HI,b,1960-1964,14,0.00037,0.00037,0.5,97171,35,97154,5860584,60.31
HI,b,1960-1964,15,0.00056,0.00056,0.5,97136,55,97108,5763430,59.33
HI,b,1960-1964,16,0.00065,0.00065,0.5,97081,63,97050,5666322,58.37
HI,b,1960-1964,17,0.00075,0.00075,0.5,97018,72,96982,5569272,57.40
HI,b,1960-1964,18,0.00077,0.00077,0.5,96946,75,96909,5472290,56.45
HI,b,1960-1964,19,0.00104,0.00104,0.5,96871,101,96821,5375381,55.49
HI,b,1960-1964,20,0.00139,0.00139,0.5,96770,134,96703,5278561,54.55
HI,b,1960-1964,21,0.00081,0.00080,0.5,96636,78,96597,5181857,53.62
HI,b,1960-1964,22,0.00096,0.00096,0.5,96558,93,96512,5085260,52.67
HI,b,1960-1964,23,0.00105,0.00105,0.5,96465,101,96414,4988749,51.72
HI,b,1960-1964,24,0.00102,0.00102,0.5,96364,98,96314,4892334,50.77
HI,b,1960-1964,25,0.00085,0.00085,0.5,96265,82,96224,4796020,49.82
HI,b,1960-1964,26,0.00086,0.00086,0.5,96183,83,96142,4699796,48.86
HI,b,1960-1964,27,0.00110,0.00110,0.5,96100,105,96048,4603654,47.90
HI,b,1960-1964,28,0.00086,0.00086,0.5,95995,83,95954,4507606,46.96
HI,b,1960-1964,29,0.00104,0.00104,0.5,95912,100,95862,4411653,46.00
HI,b,1960-1964,30,0.00136,0.00136,0.5,95813,130,95748,4315790,45.04
HI,b,1960-1964,31,0.00103,0.00103,0.5,95683,99,95633,4220043,44.10
HI,b,1960-1964,32,0.00105,0.00105,0.5,95584,101,95534,4124409,43.15
HI,b,1960-1964,33,0.00124,0.00124,0.5,95483,118,95424,4028876,42.19
HI,b,1960-1964,34,0.00145,0.00144,0.5,95365,138,95296,3933451,41.25
HI,b,1960-1964,35,0.00159,0.00159,0.5,95227,152,95152,3838155,40.31
HI,b,1960-1964,36,0.00139,0.00138,0.5,95076,132,95010,3743003,39.37
HI,b,1960-1964,37,0.00191,0.00191,0.5,94944,181,94853,3647994,38.42
HI,b,1960-1964,38,0.00180,0.00180,0.5,94763,171,94677,3553140,37.50
HI,b,1960-1964,39,0.00242,0.00241,0.5,94592,228,94478,3458463,36.56
HI,b,1960-1964,40,0.00254,0.00254,0.5,94364,239,94244,3363985,35.65
HI,b,1960-1964,41,0.00240,0.00240,0.5,94124,226,94011,3269741,34.74
HI,b,1960-1964,42,0.00284,0.00284,0.5,93898,267,93765,3175730,33.82
HI,b,1960-1964,43,0.00282,0.00281,0.5,93632,263,93500,3081965,32.92
HI,b,1960-1964,44,0.00336,0.00336,0.5,93368,313,93212,2988465,32.01
HI,b,1960-1964,45,0.00340,0.00340,0.5,93055,316,92897,2895253,31.11
HI,b,1960-1964,46,0.00405,0.00404,0.5,92739,375,92552,2802356,30.22
HI,b,1960-1964,47,0.00441,0.00440,0.5,92364,406,92161,2709805,29.34
HI,b,1960-1964,48,0.00545,0.00544,0.5,91958,500,91708,2617644,28.47
HI,b,1960-1964,49,0.00608,0.00606,0.5,91458,555,91181,2525936,27.62
HI,b,1960-1964,50,0.00637,0.00635,0.5,90903,577,90615,2434755,26.78
HI,b,1960-1964,51,0.00751,0.00749,0.5,90326,676,89988,2344140,25.95
HI,b,1960-1964,52,0.00762,0.00759,0.5,89650,680,89310,2254152,25.14
HI,b,1960-1964,53,0.00846,0.00842,0.5,88970,749,88595,2164842,24.33
HI,b,1960-1964,54,0.00920,0.00916,0.5,88220,808,87816,2076247,23.53
HI,b,1960-1964,55,0.00975,0.00971,0.5,87412,848,86988,1988431,22.75
HI,b,1960-1964,56,0.01018,0.01013,0.5,86564,877,86125,1901443,21.97
HI,b,1960-1964,57,0.01180,0.01174,0.5,85687,1006,85184,1815317,21.19
HI,b,1960-1964,58,0.01280,0.01271,0.5,84681,1077,84143,1730133,20.43
HI,b,1960-1964,59,0.01253,0.01245,0.5,83604,1041,83084,1645991,19.69
HI,b,1960-1964,60,0.01589,0.01576,0.5,82563,1301,81913,1562907,18.93
