PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
HI,m,1960-1969,0,0.02367,0.02319,0.11,100000,2319,97933,7050101,70.50
HI,m,1960-1969,1-4,0.00080,0.00319,1.54,97681,312,389960,6952168,71.17
HI,m,1960-1969,5-9,0.00043,0.00216,2.24,97369,210,486268,6562208,67.39
HI,m,1960-1969,10-14,0.00039,0.00194,2.65,97159,188,485355,6075941,62.54
HI,m,1960-1969,15-19,0.00094,0.00467,2.75,96971,453,483838,5590586,57.65
HI,m,1960-1969,20-24,0.00122,0.00608,2.5,96518,587,481123,5106748,52.91
HI,m,1960-1969,25-29,0.00111,0.00551,2.59,95931,529,478379,4625625,48.22
HI,m,1960-1969,30-34,0.00155,0.00773,2.66,95402,738,475280,4147245,43.47
HI,m,1960-1969,35-39,0.00209,0.01040,2.73,94664,985,471089,3671965,38.79
HI,m,1960-1969,40-44,0.00334,0.01655,2.73,93680,1551,464874,3200876,34.17
HI,m,1960-1969,45-49,0.00524,0.02588,2.7,92129,2384,455162,2736003,29.70
HI,m,1960-1969,50-54,0.00918,0.04494,2.68,89745,4033,439365,2280841,25.41
HI,m,1960-1969,55-59,0.01305,0.06330,2.66,85711,5425,415847,1841476,21.48
HI,m,1960-1969,60-64,0.02038,0.09717,2.61,80286,7801,382817,1425629,17.76
HI,m,1960-1969,65-69,0.03255,0.15078,2.56,72484,10930,335768,1042812,14.39
HI,m,1960-1969,70-74,0.05095,0.22693,2.59,61555,13969,274147,707044,11.49
HI,m,1960-1969,75-79,0.07139,0.30264,2.49,47586,14402,201718,432897,9.10
HI,m,1960-1969,80-84,0.10442,0.41310,2.47,33185,13709,131283,231178,6.97
HI,m,1960-1969,85-89,0.16180,0.56578,2.34,19476,11019,68102,99895,5.13
HI,m,1960-1969,90-94,0.24130,0.71630,2.16,8457,6058,25104,31793,3.76
HI,m,1960-1969,95-99,0.34294,0.83708,1.94,2399,2008,5856,6689,2.79
HI,m,1960-1969,100-104,0.46104,0.91523,1.71,391,358,776,832,2.13
HI,m,1960-1969,105-109,0.58420,0.95731,1.49,33,32,54,56,1.70
HI,m,1960-1969,110+,0.68179,1.00000,1.47,1,1,2,2,1.47
HI,m,1970-1979,0,0.01586,0.01563,0.09,100000,1563,98574,7311503,73.12
HI,m,1970-1979,1-4,0.00061,0.00244,1.71,98437,240,393200,7212929,73.27
HI,m,1970-1979,5-9,0.00029,0.00144,2.23,98197,141,490594,6819729,69.45
HI,m,1970-1979,10-14,0.00029,0.00146,2.68,98056,143,489948,6329135,64.55
HI,m,1970-1979,15-19,0.00109,0.00544,2.91,97913,533,488452,5839187,59.64
HI,m,1970-1979,20-24,0.00117,0.00585,2.48,97380,570,485465,5350736,54.95
HI,m,1970-1979,25-29,0.00146,0.00729,2.56,96810,705,482331,4865271,50.26
HI,m,1970-1979,30-34,0.00141,0.00703,2.52,96105,676,478849,4382940,45.61
HI,m,1970-1979,35-39,0.00179,0.00889,2.72,95429,848,475212,3904091,40.91
HI,m,1970-1979,40-44,0.00286,0.01418,2.61,94581,1341,469704,3428879,36.25
HI,m,1970-1979,45-49,0.00478,0.02365,2.68,93239,2205,461075,2959175,31.74
HI,m,1970-1979,50-54,0.00774,0.03803,2.68,91034,3462,447155,2498100,27.44
HI,m,1970-1979,55-59,0.01106,0.05388,2.65,87572,4718,426753,2050945,23.42
HI,m,1970-1979,60-64,0.01653,0.07952,2.6,82854,6589,398485,1624192,19.60
HI,m,1970-1979,65-69,0.02484,0.11732,2.64,76265,8947,360189,1225707,16.07
HI,m,1970-1979,70-74,0.03844,0.17593,2.59,67318,11843,308077,865518,12.86
HI,m,1970-1979,75-79,0.05938,0.25874,2.52,55475,14354,241728,557441,10.05
HI,m,1970-1979,80-84,0.09029,0.36838,2.5,41121,15148,167771,315713,7.68
HI,m,1970-1979,85-89,0.14042,0.51373,2.39,25973,13343,95026,147942,5.70
HI,m,1970-1979,90-94,0.21113,0.66603,2.23,12630,8412,39842,52916,4.19
HI,m,1970-1979,95-99,0.30392,0.79797,2.02,4218,3366,11075,13074,3.10
HI,m,1970-1979,100-104,0.41541,0.89063,1.79,852,759,1827,1999,2.35
HI,m,1970-1979,105-109,0.53651,0.94419,1.57,93,88,164,172,1.85
HI,m,1970-1979,110+,0.63511,1.00000,1.57,5,5,8,8,1.57
HI,m,1980-1989,0,0.01040,0.01031,0.07,100000,1031,99045,7494525,74.95
HI,m,1980-1989,1-4,0.00048,0.00190,1.67,98969,188,395438,7395480,74.72
HI,m,1980-1989,5-9,0.00024,0.00118,2.42,98781,116,493605,7000042,70.86
HI,m,1980-1989,10-14,0.00028,0.00141,3.11,98665,139,493062,6506437,65.94
HI,m,1980-1989,15-19,0.00090,0.00451,2.88,98526,444,491689,6013376,61.03
HI,m,1980-1989,20-24,0.00121,0.00605,2.47,98082,594,488905,5521687,56.30
HI,m,1980-1989,25-29,0.00122,0.00606,2.43,97488,591,485924,5032782,51.62
HI,m,1980-1989,30-34,0.00142,0.00708,2.53,96897,686,482795,4546858,46.92
HI,m,1980-1989,35-39,0.00173,0.00863,2.61,96211,830,479075,4064063,42.24
HI,m,1980-1989,40-44,0.00254,0.01265,2.71,95381,1206,474141,3584989,37.59
HI,m,1980-1989,45-49,0.00401,0.01988,2.74,94175,1872,466643,3110848,33.03
HI,m,1980-1989,50-54,0.00639,0.03150,2.67,92303,2908,454730,2644205,28.65
HI,m,1980-1989,55-59,0.01000,0.04883,2.63,89395,4366,436641,2189475,24.49
HI,m,1980-1989,60-64,0.01490,0.07196,2.62,85029,6119,410608,1752834,20.61
HI,m,1980-1989,65-69,0.02175,0.10340,2.62,78910,8159,375131,1342226,17.01
HI,m,1980-1989,70-74,0.03329,0.15417,2.61,70751,10908,327677,967095,13.67
HI,m,1980-1989,75-79,0.04958,0.22186,2.63,59843,13277,267798,639418,10.68
HI,m,1980-1989,80-84,0.08326,0.34529,2.53,46566,16079,193108,371619,7.98
HI,m,1980-1989,85-89,0.13354,0.49636,2.42,30487,15133,113320,178511,5.86
HI,m,1980-1989,90-94,0.20642,0.65828,2.25,15355,10108,48966,65192,4.25
HI,m,1980-1989,95-99,0.30398,0.79892,2.03,5247,4192,13790,16226,3.09
HI,m,1980-1989,100-104,0.42239,0.89549,1.78,1055,945,2237,2435,2.31
HI,m,1980-1989,105-109,0.55077,0.94889,1.55,110,105,190,199,1.80
HI,m,1980-1989,110+,0.65462,1.00000,1.53,6,6,9,9,1.53
HI,m,1990-1999,0,0.00780,0.00775,0.07,100000,775,99277,7588293,75.88
HI,m,1990-1999,1-4,0.00033,0.00133,1.69,99225,132,396598,7489017,75.47
HI,m,1990-1999,5-9,0.00017,0.00087,2.56,99094,86,495258,7092419,71.57
HI,m,1990-1999,10-14,0.00022,0.00112,2.56,99008,111,494767,6597160,66.63
HI,m,1990-1999,15-19,0.00076,0.00377,3.01,98897,373,493742,6102394,61.70
HI,m,1990-1999,20-24,0.00107,0.00536,2.56,98523,528,491331,5608652,56.93
HI,m,1990-1999,25-29,0.00120,0.00598,2.55,97995,586,488540,5117321,52.22
HI,m,1990-1999,30-34,0.00159,0.00791,2.69,97410,771,485271,4628781,47.52
HI,m,1990-1999,35-39,0.00215,0.01069,2.56,96639,1033,480674,4143510,42.88
HI,m,1990-1999,40-44,0.00292,0.01448,2.71,95606,1384,474865,3662837,38.31
HI,m,1990-1999,45-49,0.00401,0.01984,2.68,94222,1870,466769,3187971,33.83
HI,m,1990-1999,50-54,0.00577,0.02845,2.58,92352,2628,455411,2721202,29.47
HI,m,1990-1999,55-59,0.00927,0.04535,2.63,89724,4069,438986,2265791,25.25
HI,m,1990-1999,60-64,0.01316,0.06379,2.61,85655,5464,415212,1826806,21.33
HI,m,1990-1999,65-69,0.01994,0.09515,2.59,80192,7630,382579,1411594,17.60
HI,m,1990-1999,70-74,0.03018,0.14072,2.61,72561,10211,338369,1029015,14.18
HI,m,1990-1999,75-79,0.04529,0.20436,2.61,62351,12742,281350,690646,11.08
HI,m,1990-1999,80-84,0.07759,0.32601,2.55,49609,16173,208436,409296,8.25
HI,m,1990-1999,85-89,0.12752,0.48054,2.44,33436,16067,125997,200860,6.01
HI,m,1990-1999,90-94,0.20155,0.64980,2.27,17368,11286,55997,74863,4.31
HI,m,1990-1999,95-99,0.30233,0.79777,2.04,6082,4852,16050,18866,3.10
HI,m,1990-1999,100-104,0.42580,0.89800,1.78,1230,1105,2594,2817,2.29
HI,m,1990-1999,105-109,0.55969,0.95170,1.53,125,119,213,222,1.77
HI,m,1990-1999,110+,0.66748,1.00000,1.5,6,6,9,9,1.50
HI,m,2000-2009,0,0.00759,0.00753,0.07,100000,753,99296,7738222,77.38
HI,m,2000-2009,1-4,0.00033,0.00132,1.52,99247,132,396661,7638926,76.97
HI,m,2000-2009,5-9,0.00012,0.00060,2.75,99115,59,495443,7242265,73.07
HI,m,2000-2009,10-14,0.00017,0.00087,2.78,99056,86,495088,6746823,68.11
HI,m,2000-2009,15-19,0.00063,0.00313,3,98970,309,494229,6251734,63.17
HI,m,2000-2009,20-24,0.00088,0.00441,2.52,98660,435,492220,5757506,58.36
HI,m,2000-2009,25-29,0.00094,0.00470,2.61,98225,462,490020,5265285,53.60
HI,m,2000-2009,30-34,0.00127,0.00634,2.63,97763,620,487348,4775265,48.85
HI,m,2000-2009,35-39,0.00168,0.00836,2.65,97143,812,483806,4287917,44.14
HI,m,2000-2009,40-44,0.00248,0.01233,2.75,96331,1187,478981,3804112,39.49
HI,m,2000-2009,45-49,0.00406,0.02009,2.63,95144,1912,471192,3325131,34.95
HI,m,2000-2009,50-54,0.00546,0.02697,2.58,93232,2514,460081,2853939,30.61
HI,m,2000-2009,55-59,0.00785,0.03855,2.65,90718,3498,445383,2393858,26.39
HI,m,2000-2009,60-64,0.01152,0.05607,2.63,87221,4890,424526,1948475,22.34
HI,m,2000-2009,65-69,0.01731,0.08315,2.62,82330,6845,395385,1523949,18.51
HI,m,2000-2009,70-74,0.02518,0.11877,2.62,75485,8965,356060,1128564,14.95
HI,m,2000-2009,75-79,0.04030,0.18387,2.62,66520,12231,303494,772504,11.61
HI,m,2000-2009,80-84,0.06821,0.29307,2.6,54289,15910,233240,469010,8.64
HI,m,2000-2009,85-89,0.12002,0.46070,2.48,38378,17681,147314,235770,6.14
HI,m,2000-2009,90-94,0.20124,0.65099,2.29,20698,13474,66955,88456,4.27
HI,m,2000-2009,95-99,0.31574,0.81417,2.03,7224,5881,18627,21501,2.98
HI,m,2000-2009,100-104,0.45712,0.91581,1.73,1342,1229,2689,2874,2.14
HI,m,2000-2009,105-109,0.60673,0.96361,1.46,113,109,179,185,1.64
HI,m,2000-2009,110+,0.72285,1.00000,1.38,4,4,6,6,1.38
HI,m,2010-2019,0,0.00627,0.00623,0.06,100000,623,99416,7870057,78.70
