IA: Iowa, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02094	0.02056	0.11	100000	2056	98164	7212317	72.12
1960-1964	1	0.00134	0.00134	0.5	97944	131	97879	7114154	72.63
1960-1964	2	0.00079	0.00079	0.5	97813	78	97774	7016275	71.73
1960-1964	3	0.00069	0.00069	0.5	97735	67	97702	6918501	70.79
1960-1964	4	0.00061	0.00060	0.5	97668	59	97639	6820799	69.84
1960-1964	5	0.00048	0.00048	0.5	97609	47	97586	6723160	68.88
1960-1964	6	0.00045	0.00045	0.5	97562	44	97540	6625575	67.91
1960-1964	7	0.00046	0.00046	0.5	97518	45	97496	6528034	66.94
1960-1964	8	0.00042	0.00042	0.5	97474	41	97453	6430538	65.97
1960-1964	9	0.00034	0.00034	0.5	97433	33	97416	6333085	65.00
1960-1964	10	0.00033	0.00033	0.5	97400	33	97383	6235669	64.02
1960-1964	11	0.00039	0.00039	0.5	97367	38	97348	6138285	63.04
1960-1964	12	0.00039	0.00039	0.5	97329	38	97310	6040937	62.07
1960-1964	13	0.00040	0.00040	0.5	97291	39	97271	5943628	61.09
1960-1964	14	0.00062	0.00062	0.5	97252	60	97222	5846356	60.12
1960-1964	15	0.00069	0.00069	0.5	97192	67	97158	5749134	59.15
1960-1964	16	0.00087	0.00087	0.5	97125	84	97083	5651976	58.19
1960-1964	17	0.00107	0.00107	0.5	97041	104	96989	5554893	57.24
1960-1964	18	0.00113	0.00113	0.5	96937	110	96882	5457904	56.30
1960-1964	19	0.00133	0.00132	0.5	96827	128	96763	5361022	55.37
1960-1964	20	0.00116	0.00116	0.5	96699	112	96643	5264259	54.44
1960-1964	21	0.00138	0.00138	0.5	96587	133	96520	5167617	53.50
1960-1964	22	0.00111	0.00111	0.5	96454	107	96400	5071096	52.58
1960-1964	23	0.00124	0.00124	0.5	96347	120	96287	4974696	51.63
1960-1964	24	0.00126	0.00126	0.5	96227	121	96167	4878409	50.70
1960-1964	25	0.00126	0.00126	0.5	96106	121	96046	4782243	49.76
1960-1964	26	0.00119	0.00119	0.5	95985	114	95928	4686197	48.82
1960-1964	27	0.00105	0.00105	0.5	95871	101	95821	4590269	47.88
1960-1964	28	0.00106	0.00106	0.5	95771	101	95720	4494448	46.93
1960-1964	29	0.00106	0.00106	0.5	95670	102	95619	4398727	45.98
1960-1964	30	0.00120	0.00120	0.5	95568	114	95511	4303109	45.03
1960-1964	31	0.00097	0.00097	0.5	95454	92	95408	4207598	44.08
1960-1964	32	0.00124	0.00124	0.5	95361	118	95302	4112190	43.12
1960-1964	33	0.00124	0.00124	0.5	95243	118	95184	4016888	42.18
1960-1964	34	0.00138	0.00138	0.5	95125	131	95059	3921704	41.23
1960-1964	35	0.00150	0.00149	0.5	94994	142	94923	3826645	40.28
1960-1964	36	0.00165	0.00165	0.5	94852	156	94773	3731722	39.34
1960-1964	37	0.00178	0.00178	0.5	94695	169	94611	3636948	38.41
1960-1964	38	0.00175	0.00175	0.5	94527	165	94444	3542338	37.47
1960-1964	39	0.00218	0.00217	0.5	94362	205	94259	3447893	36.54
1960-1964	40	0.00224	0.00223	0.5	94157	210	94051	3353634	35.62
1960-1964	41	0.00258	0.00258	0.5	93946	242	93825	3259583	34.70
1960-1964	42	0.00255	0.00255	0.5	93704	239	93584	3165758	33.78
1960-1964	43	0.00289	0.00288	0.5	93465	270	93330	3072174	32.87
1960-1964	44	0.00360	0.00360	0.5	93195	335	93028	2978843	31.96
1960-1964	45	0.00375	0.00374	0.5	92860	347	92687	2885816	31.08
1960-1964	46	0.00429	0.00428	0.5	92513	396	92315	2793129	30.19
1960-1964	47	0.00447	0.00446	0.5	92117	411	91912	2700814	29.32
1960-1964	48	0.00477	0.00476	0.5	91707	436	91488	2608902	28.45
1960-1964	49	0.00576	0.00574	0.5	91270	524	91008	2517414	27.58
1960-1964	50	0.00593	0.00592	0.5	90746	537	90477	2426406	26.74
1960-1964	51	0.00677	0.00675	0.5	90209	609	89905	2335928	25.89
1960-1964	52	0.00739	0.00736	0.5	89600	659	89270	2246024	25.07
1960-1964	53	0.00776	0.00773	0.5	88941	688	88597	2156753	24.25
1960-1964	54	0.00849	0.00846	0.5	88253	747	87879	2068157	23.43
1960-1964	55	0.00925	0.00921	0.5	87506	806	87103	1980277	22.63
1960-1964	56	0.01021	0.01016	0.5	86701	881	86260	1893174	21.84
1960-1964	57	0.01113	0.01107	0.5	85820	950	85345	1806914	21.05
1960-1964	58	0.01231	0.01224	0.5	84870	1038	84351	1721569	20.28
1960-1964	59	0.01391	0.01382	0.5	83831	1158	83252	1637218	19.53
1960-1964	60	0.01506	0.01495	0.5	82673	1236	82055	1553966	18.80
1960-1964	61	0.01555	0.01543	0.5	81437	1256	80809	1471911	18.07
1960-1964	62	0.01660	0.01647	0.5	80181	1320	79520	1391102	17.35
1960-1964	63	0.01843	0.01826	0.5	78860	1440	78140	1311582	16.63
1960-1964	64	0.02035	0.02015	0.5	77420	1560	76641	1233441	15.93
1960-1964	65	0.02216	0.02192	0.5	75861	1663	75029	1156801	15.25
1960-1964	66	0.02346	0.02319	0.5	74198	1720	73338	1081772	14.58
1960-1964	67	0.02616	0.02583	0.5	72477	1872	71541	1008434	13.91
1960-1964	68	0.02820	0.02781	0.5	70606	1964	69624	936893	13.27
1960-1964	69	0.03156	0.03107	0.5	68642	2133	67576	867269	12.63
1960-1964	70	0.03388	0.03332	0.5	66509	2216	65402	799693	12.02
1960-1964	71	0.03713	0.03645	0.5	64294	2344	63122	734292	11.42
1960-1964	72	0.04110	0.04027	0.5	61950	2495	60703	671170	10.83
1960-1964	73	0.04471	0.04373	0.5	59455	2600	58155	610467	10.27
1960-1964	74	0.04892	0.04775	0.5	56855	2715	55498	552312	9.71
1960-1964	75	0.05459	0.05314	0.5	54140	2877	52702	496814	9.18
1960-1964	76	0.05897	0.05728	0.5	51263	2937	49795	444112	8.66
1960-1964	77	0.06579	0.06369	0.5	48327	3078	46788	394317	8.16
1960-1964	78	0.07238	0.06985	0.5	45249	3161	43668	347529	7.68
1960-1964	79	0.07928	0.07626	0.5	42088	3210	40483	303861	7.22
1960-1964	80	0.08738	0.08373	0.5	38879	3255	37251	263377	6.77
1960-1964	81	0.09456	0.09030	0.5	35623	3217	34015	226126	6.35
1960-1964	82	0.10803	0.10249	0.5	32407	3321	30746	192111	5.93
1960-1964	83	0.12188	0.11488	0.5	29085	3341	27415	161365	5.55
1960-1964	84	0.13353	0.12517	0.5	25744	3222	24133	133950	5.20
1960-1964	85	0.14562	0.13574	0.5	22522	3057	20993	109818	4.88
1960-1964	86	0.15611	0.14481	0.5	19465	2819	18055	88825	4.56
1960-1964	87	0.17923	0.16449	0.5	16646	2738	15277	70769	4.25
1960-1964	88	0.18790	0.17176	0.5	13908	2389	12713	55492	3.99
1960-1964	89	0.21901	0.19740	0.5	11519	2274	10382	42779	3.71
1960-1964	90	0.23818	0.21284	0.5	9245	1968	8261	32397	3.50
1960-1964	91	0.24156	0.21553	0.5	7278	1569	6493	24135	3.32
1960-1964	92	0.26469	0.23376	0.5	5709	1335	5042	17642	3.09
1960-1964	93	0.29552	0.25747	0.5	4374	1126	3811	12600	2.88
1960-1964	94	0.31976	0.27568	0.5	3248	895	2800	8789	2.71
1960-1964	95	0.34503	0.29427	0.5	2353	692	2007	5989	2.55
1960-1964	96	0.37124	0.31312	0.5	1660	520	1400	3982	2.40
1960-1964	97	0.39825	0.33212	0.5	1140	379	951	2582	2.26
1960-1964	98	0.42593	0.35115	0.5	762	267	628	1630	2.14
1960-1964	99	0.45411	0.37008	0.5	494	183	403	1002	2.03
1960-1964	100	0.48261	0.38879	0.5	311	121	251	600	1.93
1960-1964	101	0.51125	0.40717	0.5	190	77	152	349	1.83
1960-1964	102	0.53985	0.42510	0.5	113	48	89	197	1.75
1960-1964	103	0.56821	0.44250	0.5	65	29	51	109	1.67
1960-1964	104	0.59616	0.45926	0.5	36	17	28	58	1.60
1960-1964	105	0.62352	0.47533	0.5	20	9	15	30	1.54
1960-1964	106	0.65015	0.49065	0.5	10	5	8	15	1.49
1960-1964	107	0.67589	0.50517	0.5	5	3	4	8	1.44
1960-1964	108	0.70062	0.51886	0.5	3	1	2	4	1.40
1960-1964	109	0.72426	0.53171	0.5	1	1	1	2	1.36
1960-1964	110+	0.74673	1.00000	1.34	1	1	1	1	1.34
1965-1969	0	0.01944	0.01910	0.1	100000	1910	98285	7230438	72.30
1965-1969	1	0.00109	0.00109	0.5	98090	107	98036	7132153	72.71
1965-1969	2	0.00080	0.00080	0.5	97983	78	97944	7034117	71.79
1965-1969	3	0.00061	0.00061	0.5	97905	60	97875	6936173	70.85
1965-1969	4	0.00057	0.00057	0.5	97845	56	97817	6838298	69.89
1965-1969	5	0.00040	0.00040	0.5	97790	39	97770	6740480	68.93
1965-1969	6	0.00041	0.00041	0.5	97750	40	97731	6642710	67.96
1965-1969	7	0.00037	0.00037	0.5	97711	36	97693	6544979	66.98
1965-1969	8	0.00041	0.00041	0.5	97675	40	97655	6447287	66.01
1965-1969	9	0.00038	0.00038	0.5	97635	37	97617	6349632	65.03
1965-1969	10	0.00034	0.00034	0.5	97598	33	97582	6252015	64.06
1965-1969	11	0.00037	0.00037	0.5	97565	36	97547	6154433	63.08
1965-1969	12	0.00040	0.00040	0.5	97530	39	97510	6056885	62.10
1965-1969	13	0.00037	0.00037	0.5	97490	36	97472	5959375	61.13
1965-1969	14	0.00048	0.00048	0.5	97454	47	97431	5861903	60.15
1965-1969	15	0.00052	0.00052	0.5	97407	50	97382	5764473	59.18
1965-1969	16	0.00099	0.00099	0.5	97357	97	97308	5667091	58.21
1965-1969	17	0.00117	0.00117	0.5	97260	114	97203	5569782	57.27
1965-1969	18	0.00151	0.00151	0.5	97146	147	97073	5472579	56.33
1965-1969	19	0.00151	0.00151	0.5	96999	146	96926	5375507	55.42
1965-1969	20	0.00142	0.00142	0.5	96853	138	96784	5278581	54.50
1965-1969	21	0.00132	0.00132	0.5	96715	127	96651	5181797	53.58
1965-1969	22	0.00141	0.00141	0.5	96588	136	96519	5085146	52.65
1965-1969	23	0.00123	0.00123	0.5	96451	119	96392	4988626	51.72
1965-1969	24	0.00109	0.00109	0.5	96333	105	96280	4892234	50.78
1965-1969	25	0.00124	0.00124	0.5	96228	119	96168	4795954	49.84
1965-1969	26	0.00117	0.00117	0.5	96109	112	96053	4699786	48.90
1965-1969	27	0.00101	0.00101	0.5	95996	97	95948	4603734	47.96
1965-1969	28	0.00110	0.00110	0.5	95900	106	95847	4507786	47.01
1965-1969	29	0.00115	0.00115	0.5	95794	110	95739	4411939	46.06
1965-1969	30	0.00118	0.00118	0.5	95683	113	95627	4316200	45.11
1965-1969	31	0.00137	0.00137	0.5	95571	131	95505	4220573	44.16
