IA: Iowa, Lifetables (period 1x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.01759	0.01731	0.1	100000	1731	98446	7575072	75.75
1960-1964	1	0.00131	0.00131	0.5	98269	129	98204	7476626	76.08
1960-1964	2	0.00068	0.00068	0.5	98140	67	98107	7378422	75.18
1960-1964	3	0.00060	0.00060	0.5	98073	59	98044	7280315	74.23
1960-1964	4	0.00053	0.00053	0.5	98014	52	97988	7182272	73.28
1960-1964	5	0.00038	0.00038	0.5	97962	37	97944	7084283	72.32
1960-1964	6	0.00036	0.00036	0.5	97925	35	97907	6986340	71.34
1960-1964	7	0.00042	0.00042	0.5	97890	41	97869	6888432	70.37
1960-1964	8	0.00040	0.00040	0.5	97849	39	97829	6790563	69.40
1960-1964	9	0.00027	0.00027	0.5	97809	26	97796	6692734	68.43
1960-1964	10	0.00017	0.00017	0.5	97783	17	97774	6594938	67.44
1960-1964	11	0.00026	0.00026	0.5	97766	26	97753	6497164	66.46
1960-1964	12	0.00035	0.00035	0.5	97740	34	97723	6399411	65.47
1960-1964	13	0.00031	0.00031	0.5	97706	30	97691	6301687	64.50
1960-1964	14	0.00042	0.00042	0.5	97676	41	97656	6203996	63.52
1960-1964	15	0.00036	0.00036	0.5	97635	35	97618	6106341	62.54
1960-1964	16	0.00046	0.00046	0.5	97601	45	97578	6008722	61.56
1960-1964	17	0.00056	0.00056	0.5	97556	54	97528	5911144	60.59
1960-1964	18	0.00069	0.00069	0.5	97501	67	97468	5813616	59.63
1960-1964	19	0.00072	0.00072	0.5	97434	70	97399	5716148	58.67
1960-1964	20	0.00047	0.00047	0.5	97364	46	97341	5618749	57.71
1960-1964	21	0.00070	0.00070	0.5	97318	69	97283	5521408	56.74
1960-1964	22	0.00051	0.00051	0.5	97249	50	97224	5424125	55.78
1960-1964	23	0.00056	0.00056	0.5	97200	54	97173	5326900	54.80
1960-1964	24	0.00067	0.00067	0.5	97146	65	97113	5229727	53.83
1960-1964	25	0.00066	0.00066	0.5	97080	64	97048	5132615	52.87
1960-1964	26	0.00079	0.00079	0.5	97016	77	96978	5035566	51.90
1960-1964	27	0.00069	0.00069	0.5	96940	67	96906	4938588	50.94
1960-1964	28	0.00071	0.00071	0.5	96872	69	96838	4841682	49.98
1960-1964	29	0.00071	0.00070	0.5	96804	68	96770	4744844	49.02
1960-1964	30	0.00080	0.00080	0.5	96736	77	96697	4648074	48.05
1960-1964	31	0.00075	0.00075	0.5	96658	73	96622	4551377	47.09
1960-1964	32	0.00099	0.00099	0.5	96586	96	96538	4454756	46.12
1960-1964	33	0.00087	0.00086	0.5	96490	83	96448	4358218	45.17
1960-1964	34	0.00101	0.00101	0.5	96407	98	96358	4261769	44.21
1960-1964	35	0.00117	0.00117	0.5	96309	113	96253	4165411	43.25
1960-1964	36	0.00118	0.00118	0.5	96196	114	96140	4069158	42.30
1960-1964	37	0.00135	0.00135	0.5	96083	130	96018	3973019	41.35
1960-1964	38	0.00137	0.00137	0.5	95953	131	95887	3877001	40.41
1960-1964	39	0.00163	0.00163	0.5	95822	156	95744	3781113	39.46
1960-1964	40	0.00178	0.00178	0.5	95665	170	95580	3685370	38.52
1960-1964	41	0.00211	0.00211	0.5	95495	202	95394	3589790	37.59
1960-1964	42	0.00186	0.00185	0.5	95294	177	95205	3494395	36.67
1960-1964	43	0.00223	0.00223	0.5	95117	212	95011	3399190	35.74
1960-1964	44	0.00254	0.00254	0.5	94905	241	94784	3304179	34.82
1960-1964	45	0.00291	0.00291	0.5	94664	275	94526	3209395	33.90
1960-1964	46	0.00299	0.00299	0.5	94389	282	94248	3114868	33.00
1960-1964	47	0.00328	0.00328	0.5	94107	308	93952	3020621	32.10
1960-1964	48	0.00312	0.00312	0.5	93798	292	93652	2926668	31.20
1960-1964	49	0.00408	0.00408	0.5	93506	381	93315	2833016	30.30
1960-1964	50	0.00405	0.00404	0.5	93125	376	92937	2739701	29.42
1960-1964	51	0.00487	0.00486	0.5	92749	450	92523	2646765	28.54
1960-1964	52	0.00445	0.00444	0.5	92298	409	92093	2554242	27.67
1960-1964	53	0.00485	0.00484	0.5	91889	444	91666	2462148	26.79
1960-1964	54	0.00531	0.00530	0.5	91444	485	91202	2370482	25.92
1960-1964	55	0.00594	0.00592	0.5	90960	539	90690	2279280	25.06
1960-1964	56	0.00614	0.00612	0.5	90421	554	90144	2188589	24.20
1960-1964	57	0.00670	0.00668	0.5	89867	600	89567	2098445	23.35
1960-1964	58	0.00758	0.00755	0.5	89267	674	88930	2008878	22.50
1960-1964	59	0.00903	0.00899	0.5	88593	796	88195	1919949	21.67
1960-1964	60	0.00946	0.00942	0.5	87797	827	87383	1831754	20.86
1960-1964	61	0.00943	0.00939	0.5	86970	816	86561	1744371	20.06
1960-1964	62	0.01081	0.01075	0.5	86153	926	85690	1657809	19.24
1960-1964	63	0.01238	0.01230	0.5	85227	1049	84703	1572119	18.45
1960-1964	64	0.01306	0.01298	0.5	84179	1092	83632	1487416	17.67
1960-1964	65	0.01470	0.01460	0.5	83086	1213	82480	1403784	16.90
1960-1964	66	0.01570	0.01558	0.5	81873	1275	81236	1321304	16.14
1960-1964	67	0.01865	0.01848	0.5	80598	1489	79853	1240069	15.39
1960-1964	68	0.01908	0.01890	0.5	79109	1495	78361	1160215	14.67
1960-1964	69	0.02207	0.02183	0.5	77614	1694	76767	1081854	13.94
1960-1964	70	0.02459	0.02429	0.5	75920	1844	74997	1005088	13.24
1960-1964	71	0.02683	0.02647	0.5	74075	1961	73095	930090	12.56
1960-1964	72	0.03143	0.03094	0.5	72114	2231	70998	856995	11.88
1960-1964	73	0.03285	0.03232	0.5	69883	2259	68753	785997	11.25
1960-1964	74	0.03828	0.03756	0.5	67624	2540	66354	717243	10.61
1960-1964	75	0.04386	0.04292	0.5	65084	2793	63687	650889	10.00
1960-1964	76	0.04829	0.04715	0.5	62291	2937	60822	587202	9.43
1960-1964	77	0.05395	0.05254	0.5	59354	3118	57795	526380	8.87
1960-1964	78	0.06059	0.05881	0.5	56236	3307	54582	468585	8.33
1960-1964	79	0.06555	0.06347	0.5	52928	3359	51249	414003	7.82
1960-1964	80	0.07478	0.07209	0.5	49569	3573	47782	362755	7.32
1960-1964	81	0.07972	0.07666	0.5	45996	3526	44233	314972	6.85
1960-1964	82	0.09407	0.08984	0.5	42470	3816	40562	270739	6.37
1960-1964	83	0.10497	0.09974	0.5	38654	3855	36726	230178	5.95
1960-1964	84	0.11904	0.11236	0.5	34799	3910	32844	193451	5.56
1960-1964	85	0.13183	0.12368	0.5	30889	3820	28979	160607	5.20
1960-1964	86	0.13871	0.12971	0.5	27069	3511	25313	131629	4.86
1960-1964	87	0.16493	0.15236	0.5	23557	3589	21763	106315	4.51
1960-1964	88	0.17647	0.16216	0.5	19968	3238	18349	84553	4.23
1960-1964	89	0.19834	0.18045	0.5	16730	3019	15221	66204	3.96
1960-1964	90	0.21983	0.19806	0.5	13711	2716	12353	50983	3.72
1960-1964	91	0.22645	0.20342	0.5	10996	2237	9877	38630	3.51
1960-1964	92	0.23564	0.21081	0.5	8759	1846	7836	28752	3.28
1960-1964	93	0.27572	0.24232	0.5	6912	1675	6075	20917	3.03
1960-1964	94	0.29999	0.26086	0.5	5237	1366	4554	14842	2.83
1960-1964	95	0.32543	0.27989	0.5	3871	1084	3329	10288	2.66
1960-1964	96	0.35195	0.29928	0.5	2788	834	2371	6958	2.50
1960-1964	97	0.37941	0.31891	0.5	1953	623	1642	4588	2.35
1960-1964	98	0.40767	0.33864	0.5	1330	451	1105	2946	2.21
1960-1964	99	0.43655	0.35833	0.5	880	315	722	1841	2.09
1960-1964	100	0.46587	0.37785	0.5	565	213	458	1118	1.98
1960-1964	101	0.49542	0.39706	0.5	351	139	282	660	1.88
1960-1964	102	0.52501	0.41585	0.5	212	88	168	379	1.79
