ID: Idaho, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02295	0.02249	0.11	100000	2249	98006	7107365	71.07
1959	1-4	0.00159	0.00634	1.8	97751	620	389638	7009359	71.71
1959	5-9	0.00056	0.00280	1.98	97131	272	484834	6619721	68.15
1959	10-14	0.00058	0.00291	2.63	96859	282	483627	6134887	63.34
1959	15-19	0.00107	0.00535	2.79	96577	517	481744	5651259	58.52
1959	20-24	0.00162	0.00808	2.26	96061	776	478178	5169515	53.82
1959	25-29	0.00111	0.00556	2.76	95285	530	475235	4691338	49.23
1959	30-34	0.00179	0.00889	2.43	94755	843	471609	4216102	44.49
1959	35-39	0.00186	0.00925	2.81	93913	869	467660	3744493	39.87
1959	40-44	0.00345	0.01711	2.71	93044	1592	461569	3276833	35.22
1959	45-49	0.00449	0.02222	2.61	91452	2033	452394	2815264	30.78
1959	50-54	0.00762	0.03742	2.59	89420	3346	439051	2362870	26.42
1959	55-59	0.01159	0.05642	2.65	86074	4856	418976	1923819	22.35
1959	60-64	0.01734	0.08318	2.58	81218	6756	389706	1504843	18.53
1959	65-69	0.02746	0.12897	2.65	74462	9604	349699	1115137	14.98
1959	70-74	0.04292	0.19455	2.6	64858	12618	293973	765438	11.80
1959	75-79	0.06790	0.29121	2.56	52240	15213	224066	471465	9.02
1959	80-84	0.11196	0.43554	2.45	37027	16127	144040	247399	6.68
1959	85-89	0.17074	0.58555	2.32	20900	12238	71678	103359	4.95
1959	90-94	0.25024	0.72916	2.14	8662	6316	25240	31681	3.66
1959	95-99	0.34943	0.84215	1.92	2346	1976	5654	6441	2.75
1959	100-104	0.46231	0.91524	1.7	370	339	733	787	2.13
1959	105-109	0.57857	0.95553	1.5	31	30	52	54	1.72
1959	110+	0.67038	1.00000	1.49	1	1	2	2	1.49
1960	0	0.02348	0.02300	0.11	100000	2300	97961	7139639	71.40
1960	1-4	0.00115	0.00457	1.61	97700	446	389733	7041678	72.07
1960	5-9	0.00048	0.00242	2.7	97253	235	485726	6651945	68.40
1960	10-14	0.00044	0.00218	3.02	97018	211	484673	6166218	63.56
1960	15-19	0.00117	0.00583	2.84	96807	564	482816	5681545	58.69
1960	20-24	0.00142	0.00706	2.43	96243	679	479469	5198730	54.02
1960	25-29	0.00164	0.00817	2.33	95563	781	475731	4719261	49.38
1960	30-34	0.00129	0.00642	2.3	94782	608	472270	4243530	44.77
1960	35-39	0.00177	0.00882	2.72	94174	830	468980	3771260	40.05
