ID: Idaho, Lifetables (period 1x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.01942	0.01909	0.11	100000	1909	98296	7543799	75.44
1960-1964	1	0.00174	0.00174	0.5	98091	171	98006	7445503	75.90
1960-1964	2	0.00105	0.00105	0.5	97921	103	97869	7347497	75.04
1960-1964	3	0.00075	0.00075	0.5	97818	74	97781	7249627	74.11
1960-1964	4	0.00040	0.00040	0.5	97744	39	97725	7151846	73.17
1960-1964	5	0.00050	0.00050	0.5	97705	49	97681	7054121	72.20
1960-1964	6	0.00038	0.00038	0.5	97656	37	97637	6956441	71.23
1960-1964	7	0.00046	0.00046	0.5	97619	45	97596	6858803	70.26
1960-1964	8	0.00021	0.00021	0.5	97574	20	97564	6761207	69.29
1960-1964	9	0.00045	0.00045	0.5	97554	43	97532	6663643	68.31
1960-1964	10	0.00029	0.00029	0.5	97510	29	97496	6566110	67.34
1960-1964	11	0.00049	0.00049	0.5	97482	48	97458	6468614	66.36
1960-1964	12	0.00020	0.00020	0.5	97434	19	97424	6371157	65.39
1960-1964	13	0.00026	0.00026	0.5	97415	25	97402	6273732	64.40
1960-1964	14	0.00039	0.00039	0.5	97390	38	97371	6176330	63.42
1960-1964	15	0.00056	0.00056	0.5	97352	55	97325	6078959	62.44
1960-1964	16	0.00087	0.00087	0.5	97298	85	97255	5981634	61.48
1960-1964	17	0.00078	0.00078	0.5	97212	76	97174	5884379	60.53
1960-1964	18	0.00065	0.00065	0.5	97136	63	97105	5787205	59.58
1960-1964	19	0.00119	0.00119	0.5	97073	115	97016	5690100	58.62
1960-1964	20	0.00106	0.00106	0.5	96958	103	96906	5593085	57.69
1960-1964	21	0.00092	0.00092	0.5	96855	89	96811	5496178	56.75
1960-1964	22	0.00112	0.00112	0.5	96766	109	96712	5399367	55.80
1960-1964	23	0.00040	0.00039	0.5	96658	38	96639	5302655	54.86
1960-1964	24	0.00097	0.00097	0.5	96620	93	96573	5206016	53.88
1960-1964	25	0.00052	0.00052	0.5	96526	50	96501	5109443	52.93
1960-1964	26	0.00127	0.00127	0.5	96476	122	96415	5012942	51.96
1960-1964	27	0.00091	0.00091	0.5	96354	87	96310	4916527	51.03
1960-1964	28	0.00064	0.00064	0.5	96267	62	96236	4820217	50.07
1960-1964	29	0.00101	0.00101	0.5	96205	97	96157	4723981	49.10
1960-1964	30	0.00085	0.00085	0.5	96108	81	96068	4627824	48.15
1960-1964	31	0.00079	0.00078	0.5	96027	75	95989	4531757	47.19
1960-1964	32	0.00072	0.00072	0.5	95952	69	95917	4435767	46.23
1960-1964	33	0.00071	0.00071	0.5	95882	68	95848	4339850	45.26
1960-1964	34	0.00116	0.00116	0.5	95814	111	95759	4244002	44.29
1960-1964	35	0.00115	0.00115	0.5	95704	110	95649	4148243	43.34
1960-1964	36	0.00148	0.00147	0.5	95594	141	95523	4052594	42.39
1960-1964	37	0.00151	0.00151	0.5	95453	145	95381	3957071	41.46
1960-1964	38	0.00160	0.00160	0.5	95308	152	95232	3861690	40.52
1960-1964	39	0.00172	0.00172	0.5	95156	164	95074	3766458	39.58
1960-1964	40	0.00162	0.00162	0.5	94992	153	94915	3671384	38.65
1960-1964	41	0.00222	0.00222	0.5	94839	210	94734	3576468	37.71
1960-1964	42	0.00113	0.00113	0.5	94628	107	94575	3481735	36.79
1960-1964	43	0.00257	0.00257	0.5	94521	243	94400	3387160	35.83
1960-1964	44	0.00242	0.00242	0.5	94279	228	94164	3292760	34.93
1960-1964	45	0.00282	0.00282	0.5	94050	265	93918	3198595	34.01
1960-1964	46	0.00239	0.00239	0.5	93786	224	93674	3104677	33.10
1960-1964	47	0.00390	0.00390	0.5	93562	365	93379	3011004	32.18
1960-1964	48	0.00404	0.00403	0.5	93197	375	93009	2917624	31.31
1960-1964	49	0.00336	0.00335	0.5	92822	311	92666	2824615	30.43
1960-1964	50	0.00415	0.00414	0.5	92511	383	92319	2731948	29.53
1960-1964	51	0.00439	0.00438	0.5	92127	404	91925	2639629	28.65
1960-1964	52	0.00484	0.00483	0.5	91723	443	91502	2547704	27.78
1960-1964	53	0.00487	0.00486	0.5	91280	443	91059	2456202	26.91
1960-1964	54	0.00647	0.00645	0.5	90837	585	90544	2365143	26.04
1960-1964	55	0.00562	0.00561	0.5	90252	506	89999	2274599	25.20
1960-1964	56	0.00650	0.00647	0.5	89746	581	89455	2184600	24.34
