ID: Idaho, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.01773	0.01745	0.1	100000	1745	98434	7490552	74.91
1959	1-4	0.00116	0.00461	1.95	98255	453	392092	7392118	75.23
1959	5-9	0.00052	0.00262	1.94	97802	256	488225	7000027	71.57
1959	10-14	0.00041	0.00206	2.63	97546	201	487253	6511801	66.76
1959	15-19	0.00060	0.00298	2.74	97345	290	486069	6024548	61.89
1959	20-24	0.00062	0.00308	2.2	97055	299	484436	5538480	57.07
1959	25-29	0.00074	0.00369	2.46	96756	357	482873	5054044	52.24
1959	30-34	0.00134	0.00667	2.16	96399	643	480173	4571171	47.42
1959	35-39	0.00113	0.00562	2.74	95756	538	477564	4090998	42.72
1959	40-44	0.00251	0.01248	2.84	95218	1188	473528	3613434	37.95
1959	45-49	0.00377	0.01871	2.65	94030	1759	466019	3139907	33.39
1959	50-54	0.00577	0.02839	2.32	92271	2619	454329	2673888	28.98
1959	55-59	0.00725	0.03568	2.78	89652	3199	441170	2219559	24.76
1959	60-64	0.01106	0.05384	2.54	86452	4655	420804	1778389	20.57
1959	65-69	0.01997	0.09544	2.68	81797	7807	390856	1357584	16.60
1959	70-74	0.03531	0.16315	2.67	73991	12072	341885	966729	13.07
1959	75-79	0.05321	0.23704	2.7	61919	14677	275833	624844	10.09
1959	80-84	0.09729	0.39058	2.48	47242	18452	189659	349011	7.39
1959	85-89	0.14742	0.53085	2.36	28790	15283	103673	159352	5.54
1959	90-94	0.21649	0.67483	2.21	13507	9115	42103	55680	4.12
1959	95-99	0.30554	0.79902	2.02	4392	3509	11486	13577	3.09
1959	100-104	0.41147	0.88760	1.8	883	784	1904	2091	2.37
1959	105-109	0.52645	0.94056	1.58	99	93	177	187	1.88
1959	110+	0.62037	1.00000	1.61	6	6	10	10	1.61
1960	0	0.02027	0.01991	0.11	100000	1991	98227	7548022	75.48
1960	1-4	0.00115	0.00461	1.7	98009	451	390996	7449795	76.01
1960	5-9	0.00039	0.00195	2.47	97557	190	487306	7058799	72.36
1960	10-14	0.00029	0.00144	2.47	97367	140	486482	6571493	67.49
1960	15-19	0.00083	0.00415	2.9	97227	404	485288	6085011	62.59
1960	20-24	0.00086	0.00428	2.57	96824	414	483113	5599723	57.83
1960	25-29	0.00096	0.00476	2.54	96410	459	480919	5116609	53.07
1960	30-34	0.00080	0.00401	2.35	95950	385	478732	4635690	48.31
1960	35-39	0.00113	0.00565	2.52	95565	540	476489	4156958	43.50
1960	40-44	0.00193	0.00959	2.58	95025	912	472919	3680469	38.73
1960	45-49	0.00322	0.01601	2.76	94114	1507	467200	3207551	34.08
1960	50-54	0.00538	0.02655	2.67	92607	2459	457295	2740350	29.59
1960	55-59	0.00765	0.03758	2.62	90148	3387	442687	2283055	25.33
1960	60-64	0.01023	0.04999	2.74	86760	4337	423995	1840368	21.21
1960	65-69	0.01784	0.08567	2.69	82424	7061	395825	1416373	17.18
1960	70-74	0.03036	0.14233	2.8	75362	10726	353255	1020548	13.54
1960	75-79	0.04961	0.22295	2.73	64636	14411	290489	667293	10.32
1960	80-84	0.08729	0.35965	2.55	50225	18064	206934	376804	7.50
1960	85-89	0.15037	0.54091	2.41	32162	17396	115691	169870	5.28
1960	90-94	0.24506	0.72518	2.19	14765	10707	43693	54179	3.67
1960	95-99	0.37155	0.86384	1.9	4058	3505	9434	10486	2.58
1960	100-104	0.51837	0.94026	1.61	553	519	1002	1052	1.90
1960	105-109	0.66353	0.97346	1.37	33	32	48	50	1.50
1960	110+	0.77057	1.00000	1.3	1	1	1	1	1.30
1961	0	0.01994	0.01959	0.11	100000	1959	98254	7512224	75.12
1961	1-4	0.00096	0.00384	1.38	98041	376	391176	7413970	75.62
1961	5-9	0.00053	0.00266	2	97664	260	487542	7022794	71.91
1961	10-14	0.00042	0.00211	2.32	97404	206	486470	6535252	67.09
1961	15-19	0.00079	0.00392	2.78	97198	381	485147	6048782	62.23
1961	20-24	0.00116	0.00579	2.25	96817	561	482545	5563635	57.47
1961	25-29	0.00085	0.00423	2.81	96256	408	480390	5081089	52.79
1961	30-34	0.00096	0.00480	2.62	95849	460	478151	4600700	48.00
1961	35-39	0.00192	0.00957	2.85	95389	912	474986	4122549	43.22
1961	40-44	0.00171	0.00854	2.75	94476	807	470569	3647563	38.61
1961	45-49	0.00388	0.01923	2.88	93670	1802	464538	3176994	33.92
1961	50-54	0.00504	0.02488	2.57	91868	2285	453782	2712456	29.53
1961	55-59	0.00756	0.03715	2.75	89583	3328	440428	2258674	25.21
1961	60-64	0.01202	0.05850	2.71	86255	5046	419730	1818246	21.08
1961	65-69	0.01955	0.09350	2.69	81209	7593	388486	1398516	17.22
1961	70-74	0.02853	0.13371	2.65	73616	9844	344982	1010030	13.72
1961	75-79	0.05284	0.23347	2.51	63773	14889	281797	665048	10.43
1961	80-84	0.08751	0.35922	2.51	48883	17560	200651	383251	7.84
1961	85-89	0.13606	0.50242	2.4	31324	15738	115668	182600	5.83
1961	90-94	0.20474	0.65433	2.24	15586	10198	49811	66932	4.29
1961	95-99	0.29531	0.78818	2.04	5388	4246	14379	17120	3.18
1961	100-104	0.40491	0.88402	1.81	1141	1009	2492	2741	2.40
1961	105-109	0.52503	0.94046	1.59	132	124	237	250	1.89
1961	110+	0.62339	1.00000	1.6	8	8	13	13	1.60
1962	0	0.01879	0.01848	0.11	100000	1848	98348	7575550	75.76
1962	1-4	0.00118	0.00470	1.37	98152	462	391396	7477203	76.18
1962	5-9	0.00043	0.00216	1.38	97691	211	487689	7085807	72.53
1962	10-14	0.00034	0.00168	2.63	97480	164	487009	6598118	67.69
1962	15-19	0.00082	0.00412	2.68	97315	401	485648	6111109	62.80
1962	20-24	0.00065	0.00325	2.74	96915	315	483863	5625460	58.05
1962	25-29	0.00096	0.00478	2.68	96599	462	481925	5141597	53.23
1962	30-34	0.00072	0.00357	2.98	96137	344	479993	4659672	48.47
