PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ID,m,1960-1969,0,0.02527,0.02472,0.11,100000,2472,97807,6805452,68.05
ID,m,1960-1969,1,0.00203,0.00203,0.5,97528,198,97429,6707644,68.78
ID,m,1960-1969,2,0.00146,0.00146,0.5,97331,142,97259,6610215,67.92
ID,m,1960-1969,3,0.00111,0.00111,0.5,97188,108,97134,6512955,67.01
ID,m,1960-1969,4,0.00095,0.00095,0.5,97080,92,97034,6415821,66.09
ID,m,1960-1969,5,0.00055,0.00055,0.5,96988,53,96962,6318787,65.15
ID,m,1960-1969,6,0.00064,0.00064,0.5,96935,62,96904,6221825,64.19
ID,m,1960-1969,7,0.00054,0.00054,0.5,96873,52,96847,6124921,63.23
ID,m,1960-1969,8,0.00055,0.00055,0.5,96821,53,96794,6028074,62.26
ID,m,1960-1969,9,0.00059,0.00059,0.5,96768,57,96739,5931280,61.29
ID,m,1960-1969,10,0.00046,0.00046,0.5,96711,45,96688,5834541,60.33
ID,m,1960-1969,11,0.00056,0.00056,0.5,96666,54,96639,5737852,59.36
ID,m,1960-1969,12,0.00068,0.00068,0.5,96612,66,96579,5641213,58.39
ID,m,1960-1969,13,0.00062,0.00062,0.5,96546,60,96517,5544634,57.43
ID,m,1960-1969,14,0.00123,0.00123,0.5,96487,118,96427,5448118,56.46
ID,m,1960-1969,15,0.00122,0.00122,0.5,96368,117,96310,5351690,55.53
ID,m,1960-1969,16,0.00168,0.00168,0.5,96251,162,96170,5255380,54.60
ID,m,1960-1969,17,0.00201,0.00200,0.5,96089,193,95993,5159210,53.69
ID,m,1960-1969,18,0.00250,0.00250,0.5,95897,240,95777,5063217,52.80
ID,m,1960-1969,19,0.00226,0.00225,0.5,95657,216,95549,4967440,51.93
ID,m,1960-1969,20,0.00218,0.00218,0.5,95442,208,95338,4871891,51.05
ID,m,1960-1969,21,0.00286,0.00286,0.5,95234,272,95097,4776553,50.16
ID,m,1960-1969,22,0.00252,0.00251,0.5,94961,239,94842,4681456,49.30
ID,m,1960-1969,23,0.00205,0.00205,0.5,94723,194,94626,4586614,48.42
ID,m,1960-1969,24,0.00249,0.00249,0.5,94528,235,94411,4491988,47.52
ID,m,1960-1969,25,0.00216,0.00216,0.5,94293,203,94191,4397577,46.64
ID,m,1960-1969,26,0.00213,0.00213,0.5,94090,200,93990,4303386,45.74
ID,m,1960-1969,27,0.00268,0.00268,0.5,93890,251,93764,4209396,44.83
ID,m,1960-1969,28,0.00225,0.00225,0.5,93638,210,93533,4115632,43.95
ID,m,1960-1969,29,0.00194,0.00193,0.5,93428,181,93338,4022099,43.05
ID,m,1960-1969,30,0.00203,0.00203,0.5,93247,189,93153,3928761,42.13
