PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IL,b,1960-1969,0,0.02461,0.02409,0.12,100000,2409,97872,6968691,69.69
IL,b,1960-1969,1,0.00148,0.00148,0.5,97591,144,97519,6870818,70.40
IL,b,1960-1969,2,0.00097,0.00097,0.5,97448,95,97400,6773299,69.51
IL,b,1960-1969,3,0.00074,0.00074,0.5,97353,72,97317,6675899,68.57
IL,b,1960-1969,4,0.00061,0.00061,0.5,97281,60,97251,6578582,67.62
IL,b,1960-1969,5,0.00053,0.00053,0.5,97222,52,97196,6481331,66.67
IL,b,1960-1969,6,0.00046,0.00046,0.5,97170,45,97147,6384135,65.70
IL,b,1960-1969,7,0.00041,0.00041,0.5,97125,40,97105,6286988,64.73
IL,b,1960-1969,8,0.00039,0.00039,0.5,97085,37,97066,6189883,63.76
IL,b,1960-1969,9,0.00036,0.00036,0.5,97048,35,97030,6092816,62.78
IL,b,1960-1969,10,0.00033,0.00033,0.5,97012,32,96996,5995787,61.80
IL,b,1960-1969,11,0.00034,0.00034,0.5,96980,33,96963,5898790,60.82
IL,b,1960-1969,12,0.00039,0.00039,0.5,96947,37,96928,5801827,59.85
IL,b,1960-1969,13,0.00043,0.00043,0.5,96910,42,96889,5704899,58.87
IL,b,1960-1969,14,0.00052,0.00052,0.5,96867,50,96843,5608010,57.89
IL,b,1960-1969,15,0.00064,0.00064,0.5,96818,62,96787,5511168,56.92
IL,b,1960-1969,16,0.00082,0.00082,0.5,96756,79,96716,5414381,55.96
IL,b,1960-1969,17,0.00099,0.00099,0.5,96677,96,96629,5317665,55.00
IL,b,1960-1969,18,0.00114,0.00114,0.5,96581,110,96526,5221036,54.06
IL,b,1960-1969,19,0.00124,0.00124,0.5,96471,120,96411,5124510,53.12
IL,b,1960-1969,20,0.00123,0.00123,0.5,96351,118,96292,5028099,52.19
IL,b,1960-1969,21,0.00128,0.00128,0.5,96233,123,96172,4931806,51.25
IL,b,1960-1969,22,0.00129,0.00129,0.5,96110,124,96048,4835635,50.31
IL,b,1960-1969,23,0.00127,0.00127,0.5,95987,122,95926,4739586,49.38
IL,b,1960-1969,24,0.00127,0.00127,0.5,95865,122,95804,4643661,48.44
IL,b,1960-1969,25,0.00129,0.00129,0.5,95743,124,95681,4547857,47.50
IL,b,1960-1969,26,0.00130,0.00130,0.5,95619,124,95558,4452175,46.56
IL,b,1960-1969,27,0.00139,0.00139,0.5,95496,133,95429,4356618,45.62
IL,b,1960-1969,28,0.00136,0.00136,0.5,95363,130,95298,4261189,44.68
IL,b,1960-1969,29,0.00147,0.00147,0.5,95233,140,95163,4165891,43.74
IL,b,1960-1969,30,0.00154,0.00154,0.5,95093,147,95020,4070728,42.81
IL,b,1960-1969,31,0.00158,0.00158,0.5,94947,150,94872,3975708,41.87
IL,b,1960-1969,32,0.00177,0.00177,0.5,94797,168,94713,3880836,40.94
IL,b,1960-1969,33,0.00177,0.00177,0.5,94629,167,94545,3786123,40.01
IL,b,1960-1969,34,0.00201,0.00201,0.5,94462,190,94367,3691578,39.08
IL,b,1960-1969,35,0.00221,0.00221,0.5,94272,208,94168,3597211,38.16
IL,b,1960-1969,36,0.00238,0.00238,0.5,94064,224,93952,3503042,37.24
IL,b,1960-1969,37,0.00250,0.00250,0.5,93840,234,93723,3409090,36.33
IL,b,1960-1969,38,0.00275,0.00274,0.5,93606,257,93478,3315367,35.42
IL,b,1960-1969,39,0.00296,0.00296,0.5,93349,276,93211,3221889,34.51
IL,b,1960-1969,40,0.00337,0.00336,0.5,93073,313,92916,3128678,33.62
IL,b,1960-1969,41,0.00348,0.00347,0.5,92760,322,92599,3035762,32.73
IL,b,1960-1969,42,0.00386,0.00386,0.5,92438,356,92260,2943163,31.84
IL,b,1960-1969,43,0.00432,0.00431,0.5,92082,396,91883,2850903,30.96
IL,b,1960-1969,44,0.00451,0.00450,0.5,91685,413,91479,2759020,30.09
IL,b,1960-1969,45,0.00527,0.00526,0.5,91273,480,91033,2667541,29.23
IL,b,1960-1969,46,0.00543,0.00542,0.5,90793,492,90547,2576508,28.38
IL,b,1960-1969,47,0.00606,0.00604,0.5,90301,545,90028,2485961,27.53
IL,b,1960-1969,48,0.00661,0.00659,0.5,89756,591,89460,2395933,26.69
IL,b,1960-1969,49,0.00718,0.00716,0.5,89165,638,88845,2306473,25.87
IL,b,1960-1969,50,0.00828,0.00825,0.5,88526,730,88161,2217627,25.05
IL,b,1960-1969,51,0.00859,0.00856,0.5,87796,751,87421,2129466,24.25
IL,b,1960-1969,52,0.00969,0.00964,0.5,87045,839,86625,2042046,23.46
IL,b,1960-1969,53,0.01030,0.01024,0.5,86206,883,85764,1955420,22.68
IL,b,1960-1969,54,0.01133,0.01127,0.5,85323,961,84842,1869656,21.91
IL,b,1960-1969,55,0.01238,0.01230,0.5,84361,1038,83842,1784814,21.16
IL,b,1960-1969,56,0.01310,0.01302,0.5,83324,1084,82781,1700972,20.41
IL,b,1960-1969,57,0.01435,0.01425,0.5,82239,1172,81653,1618190,19.68
IL,b,1960-1969,58,0.01546,0.01534,0.5,81067,1243,80445,1536537,18.95
IL,b,1960-1969,59,0.01689,0.01674,0.5,79824,1337,79155,1456092,18.24
IL,b,1960-1969,60,0.01892,0.01875,0.5,78487,1471,77751,1376936,17.54
IL,b,1960-1969,61,0.01961,0.01942,0.5,77016,1495,76268,1299185,16.87
IL,b,1960-1969,62,0.02177,0.02153,0.5,75520,1626,74707,1222917,16.19
IL,b,1960-1969,63,0.02336,0.02309,0.5,73894,1706,73041,1148210,15.54
IL,b,1960-1969,64,0.02489,0.02459,0.5,72188,1775,71301,1075169,14.89
IL,b,1960-1969,65,0.02861,0.02821,0.5,70413,1986,69420,1003868,14.26
IL,b,1960-1969,66,0.02890,0.02849,0.5,68427,1950,67452,934448,13.66
IL,b,1960-1969,67,0.03232,0.03180,0.5,66477,2114,65420,866996,13.04
IL,b,1960-1969,68,0.03484,0.03424,0.5,64363,2204,63261,801575,12.45
IL,b,1960-1969,69,0.03714,0.03646,0.5,62159,2267,61026,738314,11.88
IL,b,1960-1969,70,0.04279,0.04189,0.5,59893,2509,58638,677288,11.31
IL,b,1960-1969,71,0.04302,0.04211,0.5,57384,2416,56176,618650,10.78
IL,b,1960-1969,72,0.04939,0.04820,0.5,54967,2649,53643,562474,10.23
IL,b,1960-1969,73,0.05290,0.05154,0.5,52318,2697,50970,508831,9.73
IL,b,1960-1969,74,0.05822,0.05657,0.5,49622,2807,48218,457861,9.23
IL,b,1960-1969,75,0.06450,0.06249,0.5,46814,2925,45352,409643,8.75
IL,b,1960-1969,76,0.06698,0.06481,0.5,43889,2844,42467,364291,8.30
IL,b,1960-1969,77,0.07302,0.07045,0.5,41045,2892,39599,321825,7.84
IL,b,1960-1969,78,0.07897,0.07597,0.5,38153,2898,36704,282226,7.40
IL,b,1960-1969,79,0.08603,0.08248,0.5,35255,2908,33801,245522,6.96
IL,b,1960-1969,80,0.09952,0.09480,0.5,32347,3067,30814,211721,6.55
IL,b,1960-1969,81,0.10318,0.09812,0.5,29280,2873,27844,180907,6.18
IL,b,1960-1969,82,0.11619,0.10981,0.5,26407,2900,24957,153064,5.80
IL,b,1960-1969,83,0.12817,0.12045,0.5,23507,2831,22092,128106,5.45
IL,b,1960-1969,84,0.14107,0.13178,0.5,20676,2725,19314,106015,5.13
IL,b,1960-1969,85,0.15277,0.14193,0.5,17951,2548,16677,86701,4.83
IL,b,1960-1969,86,0.16456,0.15205,0.5,15404,2342,14232,70024,4.55
IL,b,1960-1969,87,0.18145,0.16635,0.5,13061,2173,11975,55791,4.27
IL,b,1960-1969,88,0.19362,0.17653,0.5,10889,1922,9928,43816,4.02
IL,b,1960-1969,89,0.21175,0.19148,0.5,8966,1717,8108,33889,3.78
IL,b,1960-1969,90,0.22909,0.20554,0.5,7250,1490,6505,25780,3.56
IL,b,1960-1969,91,0.24367,0.21721,0.5,5759,1251,5134,19276,3.35
IL,b,1960-1969,92,0.27002,0.23790,0.5,4508,1073,3972,14142,3.14
IL,b,1960-1969,93,0.29163,0.25451,0.5,3436,874,2999,10170,2.96
IL,b,1960-1969,94,0.31375,0.27121,0.5,2561,695,2214,7171,2.80
IL,b,1960-1969,95,0.33145,0.28433,0.5,1867,531,1601,4957,2.66
IL,b,1960-1969,96,0.35468,0.30125,0.5,1336,402,1135,3356,2.51
IL,b,1960-1969,97,0.37865,0.31838,0.5,934,297,785,2221,2.38
IL,b,1960-1969,98,0.40328,0.33561,0.5,636,214,530,1436,2.26
IL,b,1960-1969,99,0.42844,0.35285,0.5,423,149,348,907,2.14
IL,b,1960-1969,100,0.45403,0.37003,0.5,274,101,223,558,2.04
IL,b,1960-1969,101,0.47989,0.38703,0.5,172,67,139,335,1.95
IL,b,1960-1969,102,0.50591,0.40377,0.5,106,43,84,196,1.86
IL,b,1960-1969,103,0.53193,0.42018,0.5,63,26,50,112,1.78
IL,b,1960-1969,104,0.55782,0.43617,0.5,37,16,29,62,1.71
IL,b,1960-1969,105,0.58343,0.45167,0.5,21,9,16,34,1.64
IL,b,1960-1969,106,0.60863,0.46663,0.5,11,5,9,18,1.58
IL,b,1960-1969,107,0.63330,0.48099,0.5,6,3,5,9,1.53
IL,b,1960-1969,108,0.65732,0.49472,0.5,3,2,2,5,1.48
IL,b,1960-1969,109,0.68058,0.50779,0.5,2,1,1,2,1.45
IL,b,1960-1969,110+,0.70301,1.00000,1.42,1,1,1,1,1.42
IL,b,1970-1979,0,0.01902,0.01870,0.1,100000,1870,98319,7149975,71.50
IL,b,1970-1979,1,0.00116,0.00115,0.5,98130,113,98073,7051656,71.86
IL,b,1970-1979,2,0.00077,0.00077,0.5,98017,75,97979,6953582,70.94
IL,b,1970-1979,3,0.00060,0.00060,0.5,97942,59,97912,6855603,70.00
IL,b,1970-1979,4,0.00049,0.00049,0.5,97882,48,97858,6757691,69.04
IL,b,1970-1979,5,0.00043,0.00043,0.5,97834,42,97813,6659833,68.07
IL,b,1970-1979,6,0.00038,0.00037,0.5,97792,37,97774,6562020,67.10
IL,b,1970-1979,7,0.00034,0.00034,0.5,97755,33,97739,6464246,66.13
IL,b,1970-1979,8,0.00033,0.00033,0.5,97722,33,97706,6366508,65.15
IL,b,1970-1979,9,0.00031,0.00031,0.5,97689,30,97674,6268802,64.17
IL,b,1970-1979,10,0.00032,0.00032,0.5,97659,31,97643,6171128,63.19
IL,b,1970-1979,11,0.00032,0.00032,0.5,97628,31,97613,6073485,62.21
IL,b,1970-1979,12,0.00031,0.00031,0.5,97597,30,97582,5975872,61.23
IL,b,1970-1979,13,0.00038,0.00038,0.5,97567,37,97548,5878290,60.25
IL,b,1970-1979,14,0.00050,0.00050,0.5,97530,48,97506,5780742,59.27
IL,b,1970-1979,15,0.00062,0.00062,0.5,97481,61,97451,5683237,58.30
IL,b,1970-1979,16,0.00087,0.00086,0.5,97421,84,97379,5585786,57.34
IL,b,1970-1979,17,0.00105,0.00105,0.5,97337,102,97286,5488407,56.39
IL,b,1970-1979,18,0.00127,0.00127,0.5,97234,123,97173,5391121,55.44
IL,b,1970-1979,19,0.00143,0.00143,0.5,97111,139,97042,5293949,54.51
IL,b,1970-1979,20,0.00140,0.00140,0.5,96972,135,96904,5196907,53.59
IL,b,1970-1979,21,0.00147,0.00146,0.5,96837,142,96766,5100003,52.67
IL,b,1970-1979,22,0.00152,0.00152,0.5,96695,147,96621,5003237,51.74
IL,b,1970-1979,23,0.00145,0.00145,0.5,96548,140,96478,4906615,50.82
IL,b,1970-1979,24,0.00144,0.00144,0.5,96408,138,96338,4810138,49.89
IL,b,1970-1979,25,0.00140,0.00140,0.5,96269,135,96202,4713799,48.96
IL,b,1970-1979,26,0.00138,0.00138,0.5,96134,132,96068,4617597,48.03
IL,b,1970-1979,27,0.00143,0.00143,0.5,96002,137,95933,4521529,47.10
IL,b,1970-1979,28,0.00138,0.00138,0.5,95865,133,95798,4425596,46.17
IL,b,1970-1979,29,0.00135,0.00134,0.5,95732,129,95668,4329797,45.23
IL,b,1970-1979,30,0.00148,0.00148,0.5,95603,142,95532,4234130,44.29
IL,b,1970-1979,31,0.00147,0.00147,0.5,95462,140,95392,4138597,43.35
IL,b,1970-1979,32,0.00154,0.00154,0.5,95322,147,95248,4043206,42.42
IL,b,1970-1979,33,0.00164,0.00164,0.5,95175,156,95096,3947957,41.48
IL,b,1970-1979,34,0.00175,0.00175,0.5,95018,166,94935,3852861,40.55
IL,b,1970-1979,35,0.00192,0.00192,0.5,94852,182,94761,3757926,39.62
IL,b,1970-1979,36,0.00207,0.00206,0.5,94670,195,94573,3663165,38.69
IL,b,1970-1979,37,0.00233,0.00233,0.5,94475,220,94365,3568592,37.77
IL,b,1970-1979,38,0.00242,0.00241,0.5,94255,228,94141,3474227,36.86
IL,b,1970-1979,39,0.00261,0.00260,0.5,94028,245,93905,3380086,35.95
IL,b,1970-1979,40,0.00296,0.00296,0.5,93783,277,93644,3286181,35.04
IL,b,1970-1979,41,0.00316,0.00316,0.5,93505,295,93358,3192537,34.14
IL,b,1970-1979,42,0.00356,0.00355,0.5,93210,331,93045,3099179,33.25
IL,b,1970-1979,43,0.00380,0.00379,0.5,92879,352,92703,3006134,32.37
IL,b,1970-1979,44,0.00408,0.00407,0.5,92527,377,92339,2913431,31.49
IL,b,1970-1979,45,0.00476,0.00475,0.5,92150,438,91931,2821093,30.61
IL,b,1970-1979,46,0.00506,0.00504,0.5,91712,462,91481,2729162,29.76
IL,b,1970-1979,47,0.00548,0.00547,0.5,91250,499,91000,2637681,28.91
IL,b,1970-1979,48,0.00590,0.00588,0.5,90751,534,90484,2546681,28.06
IL,b,1970-1979,49,0.00663,0.00660,0.5,90217,596,89919,2456196,27.23
IL,b,1970-1979,50,0.00712,0.00710,0.5,89621,636,89303,2366277,26.40
IL,b,1970-1979,51,0.00757,0.00754,0.5,88985,671,88650,2276974,25.59
IL,b,1970-1979,52,0.00835,0.00832,0.5,88314,734,87947,2188324,24.78
IL,b,1970-1979,53,0.00893,0.00889,0.5,87580,778,87191,2100377,23.98
IL,b,1970-1979,54,0.00971,0.00967,0.5,86802,839,86382,2013186,23.19
IL,b,1970-1979,55,0.01069,0.01063,0.5,85963,914,85506,1926804,22.41
IL,b,1970-1979,56,0.01162,0.01155,0.5,85049,982,84558,1841298,21.65
IL,b,1970-1979,57,0.01244,0.01236,0.5,84067,1039,83547,1756741,20.90
IL,b,1970-1979,58,0.01368,0.01359,0.5,83027,1128,82463,1673194,20.15
IL,b,1970-1979,59,0.01479,0.01468,0.5,81899,1202,81298,1590731,19.42
IL,b,1970-1979,60,0.01659,0.01645,0.5,80697,1327,80033,1509433,18.70
IL,b,1970-1979,61,0.01705,0.01691,0.5,79369,1342,78698,1429400,18.01
IL,b,1970-1979,62,0.01911,0.01893,0.5,78027,1477,77289,1350701,17.31
IL,b,1970-1979,63,0.02062,0.02041,0.5,76550,1562,75769,1273412,16.64
IL,b,1970-1979,64,0.02250,0.02225,0.5,74988,1668,74154,1197643,15.97
IL,b,1970-1979,65,0.02462,0.02432,0.5,73320,1783,72428,1123490,15.32
IL,b,1970-1979,66,0.02575,0.02542,0.5,71537,1819,70627,1051061,14.69
IL,b,1970-1979,67,0.02822,0.02783,0.5,69718,1940,68748,980434,14.06
IL,b,1970-1979,68,0.03013,0.02968,0.5,67778,2012,66772,911686,13.45
IL,b,1970-1979,69,0.03265,0.03213,0.5,65766,2113,64710,844914,12.85
IL,b,1970-1979,70,0.03633,0.03568,0.5,63653,2271,62518,780204,12.26
IL,b,1970-1979,71,0.03813,0.03741,0.5,61382,2297,60234,717687,11.69
IL,b,1970-1979,72,0.04181,0.04095,0.5,59085,2420,57876,657453,11.13
IL,b,1970-1979,73,0.04526,0.04426,0.5,56666,2508,55412,599577,10.58
IL,b,1970-1979,74,0.05022,0.04899,0.5,54158,2653,52831,544166,10.05
IL,b,1970-1979,75,0.05514,0.05367,0.5,51505,2764,50123,491335,9.54
IL,b,1970-1979,76,0.05921,0.05750,0.5,48741,2803,47339,441212,9.05
IL,b,1970-1979,77,0.06339,0.06144,0.5,45938,2823,44527,393873,8.57
IL,b,1970-1979,78,0.07020,0.06782,0.5,43115,2924,41653,349346,8.10
IL,b,1970-1979,79,0.07657,0.07374,0.5,40191,2964,38709,307693,7.66
IL,b,1970-1979,80,0.08489,0.08143,0.5,37227,3032,35711,268984,7.23
IL,b,1970-1979,81,0.09052,0.08660,0.5,34196,2961,32715,233273,6.82
