IL: Illinois, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02588	0.02531	0.12	100000	2531	97774	6957373	69.57
1959	1-4	0.00093	0.00373	1.56	97469	363	388993	6859600	70.38
1959	5-9	0.00048	0.00240	2.24	97106	233	484888	6470606	66.63
1959	10-14	0.00044	0.00220	2.64	96873	213	483862	5985718	61.79
1959	15-19	0.00091	0.00454	2.83	96660	439	482347	5501856	56.92
1959	20-24	0.00108	0.00537	2.55	96221	517	479840	5019509	52.17
1959	25-29	0.00121	0.00602	2.43	95704	576	477038	4539669	47.43
1959	30-34	0.00160	0.00795	2.61	95128	756	473833	4062631	42.71
1959	35-39	0.00235	0.01166	2.67	94372	1101	469294	3588798	38.03
1959	40-44	0.00370	0.01833	2.69	93271	1710	462400	3119504	33.45
1959	45-49	0.00611	0.03013	2.72	91561	2759	451525	2657104	29.02
1959	50-54	0.00938	0.04587	2.6	88802	4074	434216	2205579	24.84
1959	55-59	0.01436	0.06940	2.62	84729	5881	409638	1771363	20.91
1959	60-64	0.02178	0.10352	2.61	78848	8162	374764	1361724	17.27
1959	65-69	0.03404	0.15734	2.6	70686	11122	326776	986960	13.96
1959	70-74	0.05003	0.22289	2.56	59564	13276	265372	660184	11.08
1959	75-79	0.07716	0.32352	2.51	46288	14975	194091	394812	8.53
1959	80-84	0.11962	0.45683	2.41	31313	14305	119586	200721	6.41
1959	85-89	0.17839	0.60405	2.33	17008	10274	57592	81135	4.77
1959	90-94	0.26523	0.75258	2.13	6734	5068	19108	23543	3.50
1959	95-99	0.36168	0.85253	1.9	1666	1421	3928	4434	2.66
1959	100-104	0.47725	0.92221	1.67	246	227	475	507	2.06
1959	105-109	0.59638	0.95994	1.47	19	18	31	32	1.67
1959	110+	0.69047	1.00000	1.45	1	1	1	1	1.45
1960	0	0.02565	0.02508	0.12	100000	2508	97792	6955171	69.55
1960	1-4	0.00104	0.00417	1.57	97492	406	388979	6857378	70.34
1960	5-9	0.00046	0.00230	2.29	97086	223	484825	6468399	66.63
1960	10-14	0.00041	0.00204	2.7	96863	197	483859	5983575	61.77
1960	15-19	0.00088	0.00440	2.84	96665	425	482410	5499716	56.89
1960	20-24	0.00111	0.00552	2.47	96240	532	479856	5017306	52.13
1960	25-29	0.00119	0.00593	2.61	95708	567	477185	4537450	47.41
1960	30-34	0.00166	0.00829	2.61	95141	789	473823	4060265	42.68
1960	35-39	0.00244	0.01213	2.62	94352	1144	469042	3586442	38.01
1960	40-44	0.00375	0.01859	2.64	93208	1733	461952	3117400	33.45
1960	45-49	0.00604	0.02978	2.69	91475	2724	451089	2655449	29.03
1960	50-54	0.00975	0.04763	2.61	88751	4228	433629	2204359	24.84
1960	55-59	0.01464	0.07072	2.63	84523	5978	408445	1770730	20.95
1960	60-64	0.02197	0.10444	2.63	78545	8203	373294	1362286	17.34
1960	65-69	0.03317	0.15342	2.56	70342	10792	325408	988991	14.06
1960	70-74	0.05031	0.22410	2.57	59550	13345	265282	663583	11.14
1960	75-79	0.07431	0.31355	2.51	46205	14488	194969	398301	8.62
1960	80-84	0.11829	0.45442	2.45	31717	14413	121849	203332	6.41
1960	85-89	0.18188	0.60935	2.29	17304	10544	57976	81483	4.71
1960	90-94	0.26499	0.74944	2.1	6760	5066	19118	23508	3.48
1960	95-99	0.37213	0.86131	1.88	1694	1459	3920	4390	2.59
1960	100-104	0.49336	0.92926	1.65	235	218	442	469	2.00
1960	105-109	0.61674	0.96447	1.44	17	16	26	27	1.61
1960	110+	0.71287	1.00000	1.4	1	1	1	1	1.40
1961	0	0.02479	0.02426	0.12	100000	2426	97858	6994697	69.95
1961	1-4	0.00100	0.00399	1.65	97574	389	389384	6896839	70.68
1961	5-9	0.00044	0.00217	2.33	97185	211	485360	6507455	66.96
1961	10-14	0.00046	0.00229	2.71	96974	222	484358	6022095	62.10
1961	15-19	0.00079	0.00392	2.7	96751	380	482882	5537736	57.24
1961	20-24	0.00119	0.00591	2.56	96372	570	480467	5054855	52.45
1961	25-29	0.00126	0.00627	2.52	95802	601	477519	4574388	47.75
1961	30-34	0.00155	0.00772	2.64	95202	735	474273	4096869	43.03
1961	35-39	0.00230	0.01145	2.6	94467	1081	469744	3622595	38.35
1961	40-44	0.00366	0.01816	2.65	93386	1696	462946	3152851	33.76
1961	45-49	0.00595	0.02934	2.67	91690	2691	452184	2689905	29.34
1961	50-54	0.00962	0.04703	2.64	88999	4185	435113	2237721	25.14
1961	55-59	0.01389	0.06720	2.61	84814	5699	410469	1802608	21.25
1961	60-64	0.02119	0.10087	2.62	79115	7980	376559	1392140	17.60
1961	65-69	0.03194	0.14821	2.57	71134	10543	330093	1015580	14.28
1961	70-74	0.04910	0.21903	2.54	60591	13272	270284	685487	11.31
1961	75-79	0.07290	0.30888	2.53	47320	14616	200495	415203	8.77
1961	80-84	0.11531	0.44533	2.45	32704	14564	126308	214708	6.57
1961	85-89	0.17398	0.59187	2.3	18140	10736	61710	88400	4.87
1961	90-94	0.25541	0.73683	2.13	7403	5455	21359	26690	3.61
1961	95-99	0.35069	0.84321	1.92	1948	1643	4685	5332	2.74
1961	100-104	0.46398	0.91614	1.7	305	280	603	647	2.12
1961	105-109	0.58197	0.95651	1.49	26	25	42	44	1.71
1961	110+	0.67590	1.00000	1.48	1	1	2	2	1.48
1962	0	0.02413	0.02362	0.12	100000	2362	97910	6985507	69.86
1962	1-4	0.00089	0.00355	1.59	97638	346	389717	6887596	70.54
1962	5-9	0.00040	0.00201	2.28	97292	196	485925	6497879	66.79
1962	10-14	0.00039	0.00196	2.7	97096	191	485040	6011954	61.92
1962	15-19	0.00084	0.00421	2.82	96905	408	483635	5526914	57.03
1962	20-24	0.00119	0.00594	2.5	96497	573	481056	5043279	52.26
