IL: Illinois, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02240	0.02196	0.12	100000	2196	98058	7290225	72.90
1959	1	0.00137	0.00137	0.5	97804	134	97737	7192167	73.54
1959	2	0.00101	0.00101	0.5	97670	98	97621	7094430	72.64
1959	3	0.00059	0.00059	0.5	97572	57	97543	6996809	71.71
1959	4	0.00049	0.00049	0.5	97515	48	97491	6899266	70.75
1959	5	0.00054	0.00054	0.5	97467	53	97440	6801775	69.79
1959	6	0.00040	0.00040	0.5	97414	39	97394	6704335	68.82
1959	7	0.00037	0.00037	0.5	97375	36	97356	6606941	67.85
1959	8	0.00032	0.00032	0.5	97338	32	97322	6509585	66.88
1959	9	0.00024	0.00024	0.5	97307	24	97295	6412262	65.90
1959	10	0.00038	0.00038	0.5	97283	37	97264	6314968	64.91
1959	11	0.00026	0.00026	0.5	97246	25	97233	6217703	63.94
1959	12	0.00026	0.00026	0.5	97221	25	97208	6120470	62.95
1959	13	0.00038	0.00038	0.5	97195	37	97177	6023262	61.97
1959	14	0.00043	0.00043	0.5	97159	42	97138	5926085	60.99
1959	15	0.00035	0.00035	0.5	97117	34	97100	5828947	60.02
1959	16	0.00045	0.00045	0.5	97083	44	97061	5731848	59.04
1959	17	0.00057	0.00057	0.5	97039	55	97012	5634786	58.07
1959	18	0.00072	0.00072	0.5	96984	69	96950	5537775	57.10
1959	19	0.00051	0.00051	0.5	96915	49	96890	5440825	56.14
1959	20	0.00052	0.00052	0.5	96866	50	96841	5343935	55.17
1959	21	0.00056	0.00056	0.5	96816	54	96789	5247094	54.20
1959	22	0.00077	0.00077	0.5	96762	74	96724	5150305	53.23
1959	23	0.00060	0.00060	0.5	96687	58	96658	5053580	52.27
1959	24	0.00081	0.00081	0.5	96630	78	96590	4956922	51.30
1959	25	0.00086	0.00086	0.5	96551	83	96510	4860332	50.34
1959	26	0.00087	0.00087	0.5	96468	84	96426	4763822	49.38
1959	27	0.00082	0.00082	0.5	96384	79	96345	4667396	48.42
1959	28	0.00082	0.00082	0.5	96305	79	96266	4571051	47.46
1959	29	0.00080	0.00080	0.5	96226	77	96188	4474785	46.50
1959	30	0.00101	0.00101	0.5	96149	97	96101	4378598	45.54
1959	31	0.00119	0.00119	0.5	96052	115	95995	4282497	44.59
1959	32	0.00134	0.00134	0.5	95938	129	95873	4186502	43.64
1959	33	0.00128	0.00128	0.5	95809	123	95747	4090629	42.70
1959	34	0.00132	0.00132	0.5	95686	126	95623	3994882	41.75
1959	35	0.00175	0.00175	0.5	95560	167	95476	3899259	40.80
1959	36	0.00169	0.00168	0.5	95393	161	95312	3803782	39.87
1959	37	0.00186	0.00185	0.5	95232	177	95144	3708470	38.94
1959	38	0.00188	0.00188	0.5	95056	178	94966	3613326	38.01
1959	39	0.00216	0.00216	0.5	94877	205	94775	3518360	37.08
1959	40	0.00222	0.00222	0.5	94673	210	94568	3423585	36.16
1959	41	0.00273	0.00272	0.5	94462	257	94334	3329017	35.24
1959	42	0.00307	0.00306	0.5	94205	288	94061	3234683	34.34
1959	43	0.00313	0.00313	0.5	93917	294	93770	3140623	33.44
1959	44	0.00333	0.00332	0.5	93623	311	93467	3046853	32.54
1959	45	0.00331	0.00331	0.5	93312	308	93158	2953385	31.65
1959	46	0.00372	0.00372	0.5	93004	346	92831	2860227	30.75
1959	47	0.00439	0.00438	0.5	92658	406	92455	2767397	29.87
1959	48	0.00532	0.00530	0.5	92252	489	92007	2674942	29.00
1959	49	0.00536	0.00535	0.5	91763	491	91517	2582935	28.15
1959	50	0.00574	0.00572	0.5	91272	522	91011	2491417	27.30
1959	51	0.00535	0.00533	0.5	90750	484	90508	2400406	26.45
1959	52	0.00709	0.00707	0.5	90266	638	89947	2309898	25.59
1959	53	0.00666	0.00664	0.5	89628	595	89330	2219952	24.77
1959	54	0.00748	0.00745	0.5	89033	663	88701	2130621	23.93
1959	55	0.00836	0.00832	0.5	88369	736	88002	2041920	23.11
1959	56	0.00847	0.00843	0.5	87634	739	87264	1953919	22.30
1959	57	0.00905	0.00901	0.5	86895	783	86503	1866654	21.48
1959	58	0.01070	0.01064	0.5	86112	916	85654	1780151	20.67
1959	59	0.01100	0.01094	0.5	85195	932	84729	1694497	19.89
1959	60	0.01206	0.01199	0.5	84263	1010	83758	1609768	19.10
1959	61	0.01322	0.01313	0.5	83253	1093	82706	1526010	18.33
1959	62	0.01631	0.01617	0.5	82160	1329	81495	1443304	17.57
1959	63	0.01726	0.01712	0.5	80831	1383	80139	1361808	16.85
1959	64	0.01799	0.01783	0.5	79447	1417	78739	1281669	16.13
1959	65	0.02013	0.01993	0.5	78031	1555	77253	1202930	15.42
1959	66	0.02116	0.02094	0.5	76475	1601	75675	1125677	14.72
1959	67	0.02571	0.02538	0.5	74874	1900	73924	1050003	14.02
1959	68	0.02783	0.02745	0.5	72974	2003	71972	976079	13.38
1959	69	0.03098	0.03051	0.5	70971	2165	69888	904106	12.74
1959	70	0.03617	0.03553	0.5	68805	2445	67583	834218	12.12
1959	71	0.03140	0.03092	0.5	66361	2052	65335	766635	11.55
1959	72	0.03961	0.03884	0.5	64309	2498	63060	701301	10.91
1959	73	0.04518	0.04418	0.5	61811	2731	60445	638241	10.33
1959	74	0.04833	0.04719	0.5	59080	2788	57686	577795	9.78
1959	75	0.05415	0.05272	0.5	56292	2968	54808	520109	9.24
1959	76	0.05984	0.05810	0.5	53324	3098	51775	465301	8.73
1959	77	0.06345	0.06150	0.5	50226	3089	48681	413527	8.23
1959	78	0.07627	0.07347	0.5	47137	3463	45405	364845	7.74
1959	79	0.07849	0.07553	0.5	43674	3299	42024	319440	7.31
1959	80	0.08883	0.08506	0.5	40375	3434	38658	277416	6.87
1959	81	0.10124	0.09636	0.5	36941	3560	35161	238758	6.46
1959	82	0.10947	0.10379	0.5	33381	3465	31649	203597	6.10
1959	83	0.12208	0.11505	0.5	29917	3442	28196	171948	5.75
1959	84	0.12342	0.11625	0.5	26475	3078	24936	143752	5.43
1959	85	0.13745	0.12861	0.5	23397	3009	21892	118816	5.08
1959	86	0.14151	0.13216	0.5	20388	2694	19041	96924	4.75
1959	87	0.17063	0.15721	0.5	17693	2782	16303	77883	4.40
1959	88	0.18744	0.17138	0.5	14912	2556	13634	61581	4.13
1959	89	0.19897	0.18097	0.5	12356	2236	11238	47947	3.88
1959	90	0.22660	0.20354	0.5	10120	2060	9090	36709	3.63
1959	91	0.23179	0.20772	0.5	8060	1674	7223	27618	3.43
1959	92	0.24994	0.22217	0.5	6386	1419	5677	20395	3.19
1959	93	0.29635	0.25811	0.5	4967	1282	4326	14719	2.96
1959	94	0.33621	0.28783	0.5	3685	1061	3155	10392	2.82
1959	95	0.31641	0.27319	0.5	2624	717	2266	7238	2.76
1959	96	0.33915	0.28998	0.5	1907	553	1631	4972	2.61
1959	97	0.36266	0.30700	0.5	1354	416	1146	3341	2.47
1959	98	0.38685	0.32415	0.5	939	304	786	2194	2.34
1959	99	0.41161	0.34135	0.5	634	217	526	1408	2.22
1959	100	0.43682	0.35851	0.5	418	150	343	882	2.11
1959	101	0.46236	0.37554	0.5	268	101	218	539	2.01
1959	102	0.48810	0.39235	0.5	167	66	135	321	1.92
1959	103	0.51391	0.40885	0.5	102	42	81	187	1.84
1959	104	0.53964	0.42497	0.5	60	26	47	106	1.76
1959	105	0.56516	0.44064	0.5	35	15	27	58	1.69
1959	106	0.59034	0.45580	0.5	19	9	15	31	1.63
1959	107	0.61506	0.47040	0.5	11	5	8	17	1.57
1959	108	0.63920	0.48439	0.5	6	3	4	8	1.52
1959	109	0.66265	0.49774	0.5	3	1	2	4	1.48
1959	110+	0.68533	1.00000	1.46	1	1	2	2	1.46
1960	0	0.02181	0.02140	0.11	100000	2140	98105	7294897	72.95
1960	1	0.00173	0.00173	0.5	97860	169	97776	7196792	73.54
1960	2	0.00083	0.00083	0.5	97692	81	97651	7099016	72.67
1960	3	0.00075	0.00075	0.5	97611	74	97574	7001365	71.73
1960	4	0.00050	0.00050	0.5	97537	49	97513	6903791	70.78
1960	5	0.00052	0.00052	0.5	97488	51	97463	6806278	69.82
1960	6	0.00043	0.00043	0.5	97438	42	97417	6708815	68.85
1960	7	0.00031	0.00031	0.5	97396	30	97381	6611398	67.88
1960	8	0.00037	0.00037	0.5	97366	36	97348	6514017	66.90
1960	9	0.00028	0.00028	0.5	97329	27	97316	6416670	65.93
1960	10	0.00034	0.00034	0.5	97302	33	97285	6319354	64.95
1960	11	0.00033	0.00033	0.5	97269	32	97253	6222069	63.97
1960	12	0.00020	0.00020	0.5	97237	19	97227	6124816	62.99
1960	13	0.00041	0.00041	0.5	97217	40	97198	6027589	62.00
1960	14	0.00043	0.00043	0.5	97178	42	97157	5930391	61.03
1960	15	0.00035	0.00035	0.5	97136	34	97119	5833234	60.05
1960	16	0.00040	0.00040	0.5	97103	39	97083	5736115	59.07
1960	17	0.00064	0.00064	0.5	97064	62	97033	5639032	58.10
1960	18	0.00056	0.00056	0.5	97002	55	96974	5541999	57.13
1960	19	0.00082	0.00082	0.5	96947	80	96907	5445025	56.16
1960	20	0.00054	0.00054	0.5	96867	52	96841	5348118	55.21
1960	21	0.00083	0.00083	0.5	96815	81	96775	5251277	54.24
1960	22	0.00056	0.00056	0.5	96734	54	96707	5154502	53.29
1960	23	0.00055	0.00055	0.5	96680	54	96653	5057795	52.31
1960	24	0.00073	0.00073	0.5	96627	70	96591	4961141	51.34
1960	25	0.00066	0.00066	0.5	96556	64	96524	4864550	50.38
1960	26	0.00070	0.00069	0.5	96492	67	96459	4768025	49.41
1960	27	0.00092	0.00092	0.5	96425	89	96381	4671567	48.45
1960	28	0.00088	0.00088	0.5	96336	85	96294	4575186	47.49
1960	29	0.00087	0.00087	0.5	96251	84	96209	4478892	46.53
1960	30	0.00125	0.00125	0.5	96167	120	96107	4382683	45.57
1960	31	0.00103	0.00103	0.5	96048	98	95998	4286575	44.63
1960	32	0.00125	0.00125	0.5	95949	120	95889	4190577	43.68
1960	33	0.00106	0.00106	0.5	95829	101	95778	4094688	42.73
1960	34	0.00185	0.00185	0.5	95728	177	95639	3998910	41.77
1960	35	0.00179	0.00179	0.5	95551	171	95465	3903271	40.85
1960	36	0.00210	0.00210	0.5	95380	200	95280	3807806	39.92
1960	37	0.00168	0.00167	0.5	95180	159	95100	3712526	39.01
1960	38	0.00211	0.00211	0.5	95020	200	94920	3617426	38.07
1960	39	0.00197	0.00196	0.5	94820	186	94727	3522505	37.15
1960	40	0.00270	0.00270	0.5	94634	255	94506	3427778	36.22
1960	41	0.00257	0.00256	0.5	94379	242	94258	3333272	35.32
1960	42	0.00290	0.00289	0.5	94137	272	94000	3239014	34.41
1960	43	0.00337	0.00336	0.5	93864	316	93706	3145014	33.51
1960	44	0.00340	0.00339	0.5	93548	317	93390	3051308	32.62
1960	45	0.00385	0.00384	0.5	93231	358	93052	2957918	31.73
1960	46	0.00385	0.00384	0.5	92873	357	92694	2864866	30.85
1960	47	0.00417	0.00416	0.5	92516	385	92324	2772172	29.96
1960	48	0.00488	0.00486	0.5	92131	448	91907	2679848	29.09
1960	49	0.00570	0.00569	0.5	91683	521	91422	2587941	28.23
1960	50	0.00563	0.00561	0.5	91162	511	90906	2496519	27.39
1960	51	0.00644	0.00642	0.5	90650	582	90359	2405613	26.54
1960	52	0.00684	0.00681	0.5	90068	614	89761	2315254	25.71
1960	53	0.00683	0.00681	0.5	89454	609	89150	2225493	24.88
1960	54	0.00811	0.00808	0.5	88845	718	88486	2136343	24.05
1960	55	0.00869	0.00865	0.5	88128	762	87747	2047856	23.24
1960	56	0.00819	0.00816	0.5	87365	713	87009	1960110	22.44
1960	57	0.01012	0.01007	0.5	86653	872	86217	1873101	21.62
1960	58	0.01023	0.01018	0.5	85780	873	85344	1786884	20.83
1960	59	0.01236	0.01228	0.5	84907	1043	84386	1701540	20.04
1960	60	0.01266	0.01258	0.5	83865	1055	83337	1617154	19.28
1960	61	0.01328	0.01319	0.5	82810	1092	82264	1533817	18.52
1960	62	0.01588	0.01576	0.5	81718	1288	81074	1451553	17.76
1960	63	0.01718	0.01703	0.5	80430	1370	79745	1370479	17.04
1960	64	0.01850	0.01833	0.5	79060	1449	78336	1290734	16.33
1960	65	0.02227	0.02203	0.5	77611	1710	76756	1212398	15.62
1960	66	0.01999	0.01979	0.5	75901	1502	75150	1135642	14.96
1960	67	0.02338	0.02311	0.5	74399	1719	73539	1060492	14.25
1960	68	0.02466	0.02436	0.5	72680	1771	71795	986952	13.58
1960	69	0.02859	0.02819	0.5	70909	1999	69910	915158	12.91
1960	70	0.03257	0.03205	0.5	68910	2208	67806	845248	12.27
1960	71	0.03317	0.03263	0.5	66702	2176	65614	777442	11.66
1960	72	0.04004	0.03925	0.5	64525	2533	63259	711828	11.03
1960	73	0.04176	0.04090	0.5	61993	2536	60725	648569	10.46
1960	74	0.04844	0.04729	0.5	59457	2812	58051	587844	9.89
1960	75	0.05481	0.05334	0.5	56645	3022	55134	529793	9.35
1960	76	0.05384	0.05243	0.5	53624	2811	52218	474659	8.85
1960	77	0.06021	0.05845	0.5	50812	2970	49327	422441	8.31
1960	78	0.06984	0.06749	0.5	47842	3229	46228	373114	7.80
1960	79	0.07764	0.07474	0.5	44614	3334	42946	326886	7.33
1960	80	0.09068	0.08675	0.5	41279	3581	39489	283940	6.88
1960	81	0.08756	0.08388	0.5	37698	3162	36117	244451	6.48
1960	82	0.10885	0.10323	0.5	34536	3565	32753	208334	6.03
1960	83	0.11589	0.10954	0.5	30971	3393	29274	175580	5.67
1960	84	0.13398	0.12556	0.5	27578	3463	25847	146306	5.31
1960	85	0.14320	0.13363	0.5	24115	3222	22504	120459	5.00
1960	86	0.15460	0.14351	0.5	20893	2998	19394	97955	4.69
1960	87	0.17324	0.15943	0.5	17895	2853	16468	78561	4.39
1960	88	0.18375	0.16829	0.5	15042	2531	13776	62093	4.13
1960	89	0.20208	0.18354	0.5	12510	2296	11362	48317	3.86
1960	90	0.23697	0.21186	0.5	10214	2164	9132	36955	3.62
1960	91	0.21850	0.19698	0.5	8050	1586	7257	27823	3.46
1960	92	0.26022	0.23026	0.5	6464	1488	5720	20565	3.18
1960	93	0.28611	0.25030	0.5	4976	1246	4353	14845	2.98
1960	94	0.31207	0.26995	0.5	3730	1007	3227	10492	2.81
1960	95	0.32769	0.28156	0.5	2723	767	2340	7265	2.67
1960	96	0.35199	0.29931	0.5	1957	586	1664	4925	2.52
1960	97	0.37708	0.31726	0.5	1371	435	1154	3261	2.38
1960	98	0.40285	0.33531	0.5	936	314	779	2108	2.25
1960	99	0.42916	0.35334	0.5	622	220	512	1329	2.14
1960	100	0.45588	0.37125	0.5	402	149	328	816	2.03
1960	101	0.48285	0.38895	0.5	253	98	204	489	1.93
1960	102	0.50993	0.40633	0.5	155	63	123	285	1.84
1960	103	0.53695	0.42330	0.5	92	39	72	162	1.76
1960	104	0.56375	0.43979	0.5	53	23	41	89	1.69
1960	105	0.59019	0.45571	0.5	30	14	23	48	1.62
1960	106	0.61611	0.47101	0.5	16	8	12	25	1.56
1960	107	0.64139	0.48565	0.5	9	4	6	13	1.51
1960	108	0.66591	0.49958	0.5	4	2	3	6	1.46
1960	109	0.68957	0.51277	0.5	2	1	2	3	1.43
1960	110+	0.71227	1.00000	1.4	1	1	2	2	1.40
1961	0	0.02148	0.02108	0.11	100000	2108	98131	7329175	73.29
1961	1	0.00155	0.00154	0.5	97892	151	97816	7231045	73.87
1961	2	0.00086	0.00086	0.5	97741	84	97699	7133228	72.98
1961	3	0.00069	0.00069	0.5	97656	68	97623	7035530	72.04
1961	4	0.00065	0.00065	0.5	97589	64	97557	6937907	71.09
1961	5	0.00053	0.00053	0.5	97525	52	97499	6840350	70.14
1961	6	0.00047	0.00047	0.5	97473	46	97450	6742851	69.18
1961	7	0.00030	0.00030	0.5	97427	29	97412	6645401	68.21
1961	8	0.00034	0.00034	0.5	97398	33	97381	6547989	67.23
1961	9	0.00030	0.00030	0.5	97365	29	97350	6450607	66.25
1961	10	0.00026	0.00026	0.5	97335	25	97323	6353257	65.27
1961	11	0.00028	0.00028	0.5	97310	27	97297	6255935	64.29
1961	12	0.00035	0.00035	0.5	97283	34	97266	6158638	63.31
1961	13	0.00042	0.00042	0.5	97250	41	97229	6061371	62.33
1961	14	0.00043	0.00043	0.5	97209	42	97188	5964142	61.35
1961	15	0.00027	0.00027	0.5	97167	26	97154	5866954	60.38
1961	16	0.00033	0.00033	0.5	97141	32	97125	5769800	59.40
1961	17	0.00060	0.00060	0.5	97109	59	97080	5672675	58.42
1961	18	0.00067	0.00067	0.5	97050	65	97018	5575596	57.45
1961	19	0.00041	0.00041	0.5	96985	40	96965	5478578	56.49
1961	20	0.00071	0.00071	0.5	96945	68	96911	5381613	55.51
1961	21	0.00052	0.00052	0.5	96876	50	96851	5284703	54.55
1961	22	0.00073	0.00073	0.5	96827	71	96791	5187851	53.58
1961	23	0.00072	0.00072	0.5	96756	70	96721	5091060	52.62
1961	24	0.00078	0.00078	0.5	96686	75	96648	4994339	51.66
1961	25	0.00082	0.00082	0.5	96611	80	96571	4897691	50.70
1961	26	0.00089	0.00089	0.5	96531	86	96488	4801120	49.74
1961	27	0.00101	0.00101	0.5	96445	97	96397	4704631	48.78
1961	28	0.00081	0.00081	0.5	96348	78	96309	4608235	47.83
1961	29	0.00095	0.00095	0.5	96271	91	96225	4511925	46.87
1961	30	0.00092	0.00092	0.5	96179	88	96135	4415700	45.91
1961	31	0.00116	0.00115	0.5	96091	111	96035	4319565	44.95
1961	32	0.00131	0.00131	0.5	95980	126	95917	4223530	44.00
1961	33	0.00090	0.00090	0.5	95854	86	95811	4127613	43.06
1961	34	0.00143	0.00143	0.5	95768	137	95699	4031802	42.10
1961	35	0.00153	0.00153	0.5	95631	146	95558	3936102	41.16
1961	36	0.00169	0.00168	0.5	95485	161	95404	3840544	40.22
