PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IL,f,1960-1969,0,0.02139,0.02099,0.11,100000,2099,98138,7328301,73.28
IL,f,1960-1969,1,0.00140,0.00140,0.5,97901,137,97832,7230163,73.85
IL,f,1960-1969,2,0.00088,0.00088,0.5,97763,86,97721,7132331,72.96
IL,f,1960-1969,3,0.00065,0.00065,0.5,97678,64,97646,7034611,72.02
IL,f,1960-1969,4,0.00051,0.00051,0.5,97614,50,97589,6936965,71.07
IL,f,1960-1969,5,0.00046,0.00046,0.5,97564,45,97542,6839376,70.10
IL,f,1960-1969,6,0.00041,0.00041,0.5,97519,40,97499,6741834,69.13
IL,f,1960-1969,7,0.00034,0.00034,0.5,97479,33,97463,6644335,68.16
IL,f,1960-1969,8,0.00031,0.00031,0.5,97446,30,97431,6546873,67.18
IL,f,1960-1969,9,0.00025,0.00025,0.5,97416,24,97404,6449442,66.21
IL,f,1960-1969,10,0.00029,0.00029,0.5,97392,28,97378,6352038,65.22
IL,f,1960-1969,11,0.00025,0.00025,0.5,97364,25,97351,6254660,64.24
IL,f,1960-1969,12,0.00028,0.00028,0.5,97339,27,97325,6157308,63.26
IL,f,1960-1969,13,0.00034,0.00034,0.5,97312,33,97295,6059983,62.27
IL,f,1960-1969,14,0.00036,0.00036,0.5,97279,35,97262,5962688,61.29
IL,f,1960-1969,15,0.00044,0.00044,0.5,97244,43,97223,5865426,60.32
IL,f,1960-1969,16,0.00050,0.00050,0.5,97201,48,97177,5768203,59.34
IL,f,1960-1969,17,0.00060,0.00060,0.5,97153,58,97124,5671026,58.37
IL,f,1960-1969,18,0.00071,0.00071,0.5,97095,69,97061,5573902,57.41
IL,f,1960-1969,19,0.00066,0.00066,0.5,97026,64,96994,5476841,56.45
IL,f,1960-1969,20,0.00067,0.00067,0.5,96962,65,96929,5379847,55.48
IL,f,1960-1969,21,0.00072,0.00072,0.5,96896,70,96861,5282918,54.52
IL,f,1960-1969,22,0.00074,0.00074,0.5,96826,72,96790,5186057,53.56
IL,f,1960-1969,23,0.00072,0.00072,0.5,96755,70,96720,5089266,52.60
IL,f,1960-1969,24,0.00077,0.00077,0.5,96685,75,96647,4992547,51.64
IL,f,1960-1969,25,0.00082,0.00082,0.5,96610,79,96570,4895899,50.68
IL,f,1960-1969,26,0.00081,0.00080,0.5,96530,78,96492,4799329,49.72
IL,f,1960-1969,27,0.00093,0.00093,0.5,96453,89,96408,4702838,48.76
IL,f,1960-1969,28,0.00089,0.00089,0.5,96363,86,96320,4606430,47.80
IL,f,1960-1969,29,0.00099,0.00099,0.5,96278,95,96230,4510109,46.84
IL,f,1960-1969,30,0.00116,0.00116,0.5,96182,111,96127,4413879,45.89
IL,f,1960-1969,31,0.00115,0.00115,0.5,96071,110,96016,4317752,44.94
IL,f,1960-1969,32,0.00136,0.00136,0.5,95961,131,95896,4221736,43.99
IL,f,1960-1969,33,0.00129,0.00129,0.5,95830,124,95768,4125841,43.05
