PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IN,b,1960-1964,0,0.02402,0.02352,0.12,100000,2352,97918,7039209,70.39
IN,b,1960-1964,1-4,0.00095,0.00378,1.6,97648,369,389704,6941290,71.08
IN,b,1960-1964,5-9,0.00046,0.00230,2.32,97279,224,485795,6551586,67.35
IN,b,1960-1964,10-14,0.00047,0.00233,2.73,97055,226,484761,6065792,62.50
IN,b,1960-1964,15-19,0.00093,0.00466,2.74,96829,452,483121,5581031,57.64
IN,b,1960-1964,20-24,0.00127,0.00632,2.5,96377,609,480362,5097909,52.90
IN,b,1960-1964,25-29,0.00118,0.00590,2.55,95768,565,477456,4617548,48.22
IN,b,1960-1964,30-34,0.00148,0.00737,2.66,95204,702,474375,4140092,43.49
IN,b,1960-1964,35-39,0.00214,0.01062,2.68,94502,1004,470180,3665716,38.79
IN,b,1960-1964,40-44,0.00332,0.01649,2.66,93498,1542,463875,3195537,34.18
IN,b,1960-1964,45-49,0.00544,0.02686,2.7,91956,2470,454087,2731661,29.71
IN,b,1960-1964,50-54,0.00887,0.04344,2.66,89486,3888,438316,2277574,25.45
IN,b,1960-1964,55-59,0.01344,0.06514,2.66,85598,5576,414924,1839259,21.49
IN,b,1960-1964,60-64,0.02039,0.09726,2.64,80022,7783,381713,1424335,17.80
IN,b,1960-1964,65-69,0.03055,0.14236,2.6,72239,10284,336565,1042622,14.43
IN,b,1960-1964,70-74,0.04739,0.21241,2.56,61955,13160,277706,706056,11.40
IN,b,1960-1964,75-79,0.07174,0.30458,2.52,48795,14862,207168,428350,8.78
IN,b,1960-1964,80-84,0.11355,0.44098,2.47,33933,14964,131786,221182,6.52
IN,b,1960-1964,85-89,0.18117,0.60937,2.31,18969,11559,63805,89396,4.71
IN,b,1960-1964,90-94,0.26634,0.75227,2.11,7410,5574,20929,25592,3.45
IN,b,1960-1964,95-99,0.38007,0.86803,1.87,1836,1593,4193,4662,2.54
IN,b,1960-1964,100-104,0.50879,0.93561,1.62,242,227,445,470,1.94
IN,b,1960-1964,105-109,0.63808,0.96874,1.41,16,15,24,24,1.56
IN,b,1960-1964,110+,0.73698,1.00000,1.36,0,0,1,1,1.36
IN,b,1965-1969,0,0.02237,0.02194,0.11,100000,2194,98049,7043586,70.44
IN,b,1965-1969,1-4,0.00089,0.00357,1.64,97806,349,390403,6945537,71.01
IN,b,1965-1969,5-9,0.00045,0.00223,2.29,97457,217,486697,6555134,67.26
IN,b,1965-1969,10-14,0.00042,0.00212,2.67,97240,206,485719,6068437,62.41
IN,b,1965-1969,15-19,0.00111,0.00555,2.85,97034,538,484010,5582718,57.53
IN,b,1965-1969,20-24,0.00131,0.00652,2.49,96496,629,480896,5098707,52.84
IN,b,1965-1969,25-29,0.00135,0.00674,2.57,95866,646,477761,4617811,48.17
IN,b,1965-1969,30-34,0.00160,0.00799,2.63,95220,761,474293,4140050,43.48
IN,b,1965-1969,35-39,0.00232,0.01153,2.72,94459,1090,469808,3665757,38.81
IN,b,1965-1969,40-44,0.00350,0.01738,2.71,93370,1623,463126,3195949,34.23
IN,b,1965-1969,45-49,0.00545,0.02689,2.67,91747,2467,452978,2732823,29.79
IN,b,1965-1969,50-54,0.00873,0.04278,2.68,89280,3820,437531,2279845,25.54
IN,b,1965-1969,55-59,0.01338,0.06483,2.64,85460,5540,414222,1842314,21.56
IN,b,1965-1969,60-64,0.02065,0.09839,2.61,79920,7863,380786,1428093,17.87
IN,b,1965-1969,65-69,0.03053,0.14222,2.6,72056,10248,335639,1047307,14.53
IN,b,1965-1969,70-74,0.04656,0.20933,2.59,61808,12939,277886,711668,11.51
IN,b,1965-1969,75-79,0.07137,0.30342,2.53,48870,14828,207758,433782,8.88
IN,b,1965-1969,80-84,0.11104,0.43325,2.47,34042,14748,132827,226025,6.64
IN,b,1965-1969,85-89,0.17464,0.59491,2.32,19293,11478,65722,93198,4.83
IN,b,1965-1969,90-94,0.26068,0.74489,2.12,7815,5822,22332,27476,3.52
IN,b,1965-1969,95-99,0.37354,0.86313,1.88,1994,1721,4607,5144,2.58
IN,b,1965-1969,100-104,0.50149,0.93291,1.63,273,255,508,537,1.97
IN,b,1965-1969,105-109,0.63096,0.96746,1.42,18,18,28,29,1.58
IN,b,1965-1969,110+,0.73059,1.00000,1.37,1,1,1,1,1.37
IN,b,1970-1974,0,0.01861,0.01830,0.1,100000,1830,98353,7134178,71.34
IN,b,1970-1974,1-4,0.00080,0.00319,1.68,98170,313,391952,7035825,71.67
IN,b,1970-1974,5-9,0.00041,0.00204,2.31,97857,199,488748,6643873,67.89
IN,b,1970-1974,10-14,0.00041,0.00206,2.75,97657,202,487833,6155125,63.03
IN,b,1970-1974,15-19,0.00105,0.00525,2.8,97456,511,486157,5667292,58.15
IN,b,1970-1974,20-24,0.00127,0.00634,2.54,96944,615,483207,5181135,53.44
IN,b,1970-1974,25-29,0.00129,0.00642,2.53,96330,619,480119,4697928,48.77
IN,b,1970-1974,30-34,0.00146,0.00726,2.58,95711,695,476873,4217808,44.07
IN,b,1970-1974,35-39,0.00217,0.01080,2.65,95016,1026,472664,3740935,39.37
IN,b,1970-1974,40-44,0.00332,0.01647,2.67,93990,1548,466346,3268271,34.77
IN,b,1970-1974,45-49,0.00541,0.02672,2.68,92442,2470,456474,2801925,30.31
