IN: Indiana, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02718	0.02655	0.12	100000	2655	97658	6744990	67.45
1959	1-4	0.00097	0.00388	1.59	97345	377	388471	6647331	68.29
1959	5-9	0.00051	0.00253	2.35	96968	246	484190	6258861	64.55
1959	10-14	0.00057	0.00285	2.65	96722	276	482965	5774670	59.70
1959	15-19	0.00140	0.00697	2.9	96447	672	480823	5291705	54.87
1959	20-24	0.00170	0.00846	2.63	95774	811	476947	4810882	50.23
1959	25-29	0.00154	0.00766	2.45	94964	727	472967	4333935	45.64
1959	30-34	0.00176	0.00875	2.67	94237	825	469264	3860969	40.97
1959	35-39	0.00245	0.01216	2.64	93412	1136	464383	3391705	36.31
1959	40-44	0.00444	0.02197	2.77	92276	2027	456852	2927322	31.72
1959	45-49	0.00707	0.03480	2.69	90249	3141	443991	2470470	27.37
1959	50-54	0.01170	0.05697	2.68	87108	4962	424044	2026479	23.26
1959	55-59	0.01757	0.08438	2.64	82146	6931	394388	1602435	19.51
1959	60-64	0.02720	0.12777	2.63	75215	9610	353303	1208047	16.06
1959	65-69	0.03924	0.17965	2.65	65604	11786	300364	854745	13.03
1959	70-74	0.05809	0.25389	2.52	53819	13664	235234	554380	10.30
1959	75-79	0.08814	0.36100	2.5	40155	14496	164467	319146	7.95
1959	80-84	0.12855	0.48237	2.41	25659	12377	96282	154679	6.03
1959	85-89	0.20113	0.64961	2.27	13282	8628	42896	58397	4.40
1959	90-94	0.27842	0.76991	2.1	4654	3583	12869	15500	3.33
1959	95-99	0.39480	0.87748	1.83	1071	940	2380	2631	2.46
1959	100-104	0.51562	0.93734	1.61	131	123	238	251	1.92
1959	105-109	0.63541	0.96787	1.41	8	8	13	13	1.57
1959	110+	0.72726	1.00000	1.38	0	0	0	0	1.38
1960	0	0.02810	0.02742	0.12	100000	2742	97588	6712228	67.12
1960	1-4	0.00104	0.00415	1.6	97258	403	388063	6614640	68.01
1960	5-9	0.00062	0.00311	2.41	96854	301	483491	6226577	64.29
1960	10-14	0.00056	0.00280	2.49	96553	270	482087	5743086	59.48
1960	15-19	0.00130	0.00647	2.89	96283	623	480102	5260999	54.64
1960	20-24	0.00183	0.00910	2.44	95660	870	476066	4780897	49.98
1960	25-29	0.00156	0.00775	2.45	94789	735	472076	4304831	45.41
1960	30-34	0.00173	0.00863	2.63	94055	812	468347	3832755	40.75
1960	35-39	0.00280	0.01392	2.66	93243	1298	463178	3364408	36.08
1960	40-44	0.00422	0.02089	2.7	91944	1921	455297	2901230	31.55
1960	45-49	0.00698	0.03434	2.74	90023	3091	443141	2445933	27.17
1960	50-54	0.01195	0.05812	2.67	86932	5053	422878	2002792	23.04
1960	55-59	0.01806	0.08655	2.59	81879	7087	392332	1579914	19.30
1960	60-64	0.02680	0.12595	2.61	74792	9420	351442	1187582	15.88
1960	65-69	0.04081	0.18584	2.6	65372	12149	297667	836141	12.79
1960	70-74	0.06170	0.26720	2.5	53223	14221	230507	538473	10.12
1960	75-79	0.08819	0.36172	2.52	39002	14108	159968	307966	7.90
1960	80-84	0.13215	0.49129	2.39	24894	12230	92551	147998	5.95
1960	85-89	0.20571	0.65915	2.28	12664	8347	40579	55447	4.38
1960	90-94	0.26659	0.75781	2.15	4316	3271	12270	14868	3.44
1960	95-99	0.39021	0.87385	1.84	1045	914	2341	2598	2.49
1960	100-104	0.50640	0.93372	1.62	132	123	243	257	1.95
1960	105-109	0.62256	0.96529	1.43	9	8	14	14	1.60
1960	110+	0.71255	1.00000	1.4	0	0	0	0	1.40
1961	0	0.02839	0.02770	0.12	100000	2770	97566	6745412	67.45
1961	1-4	0.00104	0.00414	1.63	97230	403	387967	6647846	68.37
1961	5-9	0.00042	0.00207	2.54	96827	201	483643	6259878	64.65
1961	10-14	0.00056	0.00280	2.66	96627	270	482502	5776235	59.78
1961	15-19	0.00121	0.00605	2.72	96356	583	480451	5293733	54.94
1961	20-24	0.00189	0.00941	2.5	95774	901	476616	4813282	50.26
1961	25-29	0.00131	0.00654	2.35	94873	621	472720	4336666	45.71
1961	30-34	0.00185	0.00923	2.65	94252	870	469213	3863946	41.00
1961	35-39	0.00269	0.01339	2.76	93382	1250	464113	3394733	36.35
1961	40-44	0.00407	0.02014	2.55	92132	1855	456119	2930620	31.81
1961	45-49	0.00676	0.03328	2.73	90276	3005	444573	2474501	27.41
1961	50-54	0.01157	0.05633	2.67	87272	4916	424927	2029928	23.26
1961	55-59	0.01784	0.08548	2.57	82356	7040	394693	1605001	19.49
1961	60-64	0.02636	0.12399	2.61	75316	9339	354243	1210309	16.07
1961	65-69	0.03954	0.18064	2.61	65978	11918	301415	856065	12.98
1961	70-74	0.05970	0.26015	2.53	54059	14063	235578	554650	10.26
1961	75-79	0.08560	0.35235	2.49	39996	14092	164631	319073	7.98
1961	80-84	0.13144	0.48793	2.36	25904	12639	96157	154442	5.96
1961	85-89	0.20202	0.65046	2.26	13264	8628	42709	58284	4.39
1961	90-94	0.27662	0.77177	2.14	4636	3578	12936	15575	3.36
1961	95-99	0.38864	0.87275	1.84	1058	924	2376	2640	2.49
1961	100-104	0.50470	0.93308	1.62	135	126	249	263	1.96
1961	105-109	0.62091	0.96497	1.43	9	9	14	14	1.60
1961	110+	0.71103	1.00000	1.41	0	0	0	0	1.41
1962	0	0.02663	0.02602	0.12	100000	2602	97701	6735276	67.35
1962	1-4	0.00092	0.00367	1.51	97398	357	388702	6637575	68.15
1962	5-9	0.00052	0.00260	2.3	97041	252	484524	6248873	64.39
1962	10-14	0.00064	0.00317	2.76	96789	307	483255	5764349	59.56
1962	15-19	0.00122	0.00609	2.7	96482	588	481055	5281094	54.74
1962	20-24	0.00190	0.00944	2.45	95894	906	477162	4800039	50.06
1962	25-29	0.00145	0.00725	2.58	94988	688	473279	4322877	45.51
1962	30-34	0.00180	0.00896	2.7	94300	845	469556	3849598	40.82
1962	35-39	0.00236	0.01173	2.73	93455	1097	464786	3380042	36.17
1962	40-44	0.00419	0.02075	2.79	92358	1916	457553	2915256	31.56
1962	45-49	0.00674	0.03318	2.67	90442	3001	445209	2457703	27.17
1962	50-54	0.01180	0.05741	2.66	87441	5020	425457	2012494	23.02
1962	55-59	0.01796	0.08625	2.71	82421	7109	395859	1587037	19.26
1962	60-64	0.02774	0.13007	2.61	75312	9796	353114	1191178	15.82
1962	65-69	0.04109	0.18689	2.59	65516	12244	298010	838064	12.79
1962	70-74	0.06019	0.26155	2.5	53272	13933	231475	540054	10.14
1962	75-79	0.08747	0.35857	2.49	39339	14106	161263	308579	7.84
1962	80-84	0.13451	0.49743	2.38	25233	12552	93312	147316	5.84
1962	85-89	0.20493	0.65456	2.24	12681	8301	40505	54004	4.26
1962	90-94	0.30844	0.80078	2	4381	3508	11373	13499	3.08
1962	95-99	0.39876	0.87981	1.82	873	768	1925	2126	2.44
1962	100-104	0.51672	0.93751	1.6	105	98	190	201	1.91
1962	105-109	0.63356	0.96741	1.41	7	6	10	10	1.57
1962	110+	0.72339	1.00000	1.38	0	0	0	0	1.38
1963	0	0.02593	0.02535	0.11	100000	2535	97756	6683793	66.84
1963	1-4	0.00107	0.00429	1.58	97465	418	388849	6586037	67.57
1963	5-9	0.00059	0.00294	2.3	97047	286	484465	6197188	63.86
1963	10-14	0.00055	0.00277	2.81	96762	268	483224	5712723	59.04
1963	15-19	0.00140	0.00696	2.78	96494	672	480979	5229499	54.20
1963	20-24	0.00197	0.00983	2.48	95822	941	476741	4748520	49.56
1963	25-29	0.00165	0.00820	2.48	94881	778	472439	4271779	45.02
1963	30-34	0.00192	0.00957	2.5	94103	901	468265	3799340	40.37
1963	35-39	0.00266	0.01320	2.66	93202	1230	463124	3331075	35.74
1963	40-44	0.00417	0.02062	2.63	91971	1897	455364	2867952	31.18
1963	45-49	0.00741	0.03645	2.69	90075	3283	442785	2412588	26.78
1963	50-54	0.01210	0.05879	2.6	86792	5102	421721	1969803	22.70
1963	55-59	0.01884	0.09024	2.66	81689	7371	391218	1548082	18.95
1963	60-64	0.02803	0.13135	2.62	74318	9762	348316	1156864	15.57
1963	65-69	0.04268	0.19303	2.53	64556	12461	291950	808548	12.52
1963	70-74	0.06349	0.27366	2.48	52095	14256	224563	516598	9.92
1963	75-79	0.08971	0.36465	2.43	37839	13798	153801	292035	7.72
1963	80-84	0.13855	0.50822	2.38	24041	12218	88188	138234	5.75
1963	85-89	0.21035	0.66768	2.27	11823	7894	37528	50046	4.23
1963	90-94	0.29527	0.78547	2.02	3929	3086	10452	12519	3.19
1963	95-99	0.39619	0.87771	1.83	843	740	1867	2067	2.45
1963	100-104	0.51048	0.93504	1.61	103	96	189	199	1.94
1963	105-109	0.62431	0.96554	1.42	7	6	10	11	1.59
1963	110+	0.71248	1.00000	1.4	0	0	0	0	1.40
1964	0	0.02685	0.02623	0.12	100000	2623	97684	6720184	67.20
1964	1-4	0.00100	0.00401	1.83	97377	390	388661	6622500	68.01
1964	5-9	0.00055	0.00277	2.35	96987	268	484223	6233839	64.28
1964	10-14	0.00060	0.00298	2.73	96719	288	482938	5749616	59.45
1964	15-19	0.00153	0.00763	2.79	96430	736	480527	5266678	54.62
1964	20-24	0.00164	0.00814	2.51	95694	779	476528	4786151	50.01
1964	25-29	0.00174	0.00864	2.53	94915	820	472545	4309623	45.41
1964	30-34	0.00175	0.00873	2.78	94095	822	468651	3837078	40.78
1964	35-39	0.00271	0.01346	2.67	93273	1255	463439	3368427	36.11
1964	40-44	0.00433	0.02141	2.62	92018	1971	455396	2904988	31.57
1964	45-49	0.00714	0.03512	2.72	90047	3163	443023	2449592	27.20
1964	50-54	0.01125	0.05484	2.68	86885	4765	423374	2006569	23.09
1964	55-59	0.01818	0.08729	2.72	82120	7168	394239	1583195	19.28
1964	60-64	0.02754	0.12917	2.6	74951	9682	351568	1188957	15.86
1964	65-69	0.03962	0.18080	2.58	65270	11801	297824	837389	12.83
1964	70-74	0.06186	0.26846	2.54	53469	14354	232032	539564	10.09
1964	75-79	0.08662	0.35354	2.4	39114	13828	159649	307532	7.86
1964	80-84	0.13431	0.49970	2.44	25286	12635	94075	147884	5.85
1964	85-89	0.21086	0.66346	2.21	12650	8393	39804	53809	4.25
1964	90-94	0.28170	0.77373	2.09	4257	3294	11694	14005	3.29
1964	95-99	0.40536	0.88439	1.81	963	852	2102	2311	2.40
1964	100-104	0.52629	0.94093	1.59	111	105	199	209	1.88
1964	105-109	0.64501	0.96953	1.39	7	6	10	10	1.54
1964	110+	0.73546	1.00000	1.36	0	0	0	0	1.36
1965	0	0.02676	0.02614	0.12	100000	2614	97691	6702968	67.03
1965	1-4	0.00096	0.00384	1.51	97386	374	388611	6605277	67.83
1965	5-9	0.00054	0.00270	2.33	97012	262	484359	6216666	64.08
1965	10-14	0.00053	0.00263	2.72	96750	255	483170	5732307	59.25
1965	15-19	0.00152	0.00759	2.79	96496	733	480859	5249137	54.40
1965	20-24	0.00177	0.00878	2.37	95763	841	476604	4768278	49.79
1965	25-29	0.00169	0.00841	2.67	94922	798	472747	4291673	45.21
1965	30-34	0.00218	0.01087	2.64	94123	1023	468199	3818926	40.57
1965	35-39	0.00279	0.01388	2.65	93101	1292	462463	3350727	35.99
1965	40-44	0.00437	0.02162	2.66	91809	1985	454392	2888264	31.46
1965	45-49	0.00677	0.03334	2.75	89824	2995	442370	2433872	27.10
1965	50-54	0.01180	0.05745	2.71	86830	4989	422730	1991502	22.94
1965	55-59	0.01848	0.08857	2.65	81841	7249	392155	1568772	19.17
1965	60-64	0.02822	0.13217	2.61	74592	9859	349351	1176617	15.77
1965	65-69	0.04114	0.18696	2.57	64733	12102	294200	827266	12.78
1965	70-74	0.06060	0.26426	2.58	52631	13908	229506	533066	10.13
1965	75-79	0.08928	0.36493	2.5	38723	14131	158285	303559	7.84
1965	80-84	0.13043	0.48732	2.41	24591	11984	91881	145274	5.91
1965	85-89	0.20892	0.66354	2.25	12608	8366	40042	53393	4.23
1965	90-94	0.29760	0.79285	2.05	4242	3363	11301	13351	3.15
1965	95-99	0.41756	0.89261	1.79	879	784	1878	2050	2.33
1965	100-104	0.54544	0.94733	1.56	94	89	164	171	1.82
1965	105-109	0.66860	0.97351	1.36	5	5	7	7	1.49
1965	110+	0.76042	1.00000	1.32	0	0	0	0	1.32
1966	0	0.02617	0.02557	0.12	100000	2557	97737	6684722	66.85
1966	1-4	0.00091	0.00362	1.76	97443	353	388979	6586985	67.60
1966	5-9	0.00050	0.00251	2.22	97090	244	484771	6198006	63.84
1966	10-14	0.00050	0.00249	2.61	96846	241	483654	5713235	58.99
1966	15-19	0.00173	0.00862	2.75	96605	833	481154	5229581	54.13
1966	20-24	0.00201	0.01000	2.54	95772	957	476508	4748427	49.58
1966	25-29	0.00183	0.00911	2.38	94815	864	471815	4271919	45.06
1966	30-34	0.00216	0.01074	2.66	93951	1009	467396	3800104	40.45
1966	35-39	0.00300	0.01489	2.76	92942	1384	461611	3332708	35.86
1966	40-44	0.00401	0.01984	2.71	91557	1817	453620	2871097	31.36
1966	45-49	0.00702	0.03453	2.64	89741	3099	441383	2417477	26.94
1966	50-54	0.01183	0.05758	2.67	86642	4988	421567	1976094	22.81
1966	55-59	0.01797	0.08627	2.7	81653	7044	392033	1554527	19.04
1966	60-64	0.02880	0.13481	2.63	74609	10058	349177	1162495	15.58
1966	65-69	0.04319	0.19558	2.59	64551	12625	292311	813318	12.60
1966	70-74	0.06129	0.26633	2.54	51926	13829	225646	521007	10.03
1966	75-79	0.09074	0.36864	2.46	38097	14044	154774	295361	7.75
1966	80-84	0.13326	0.49503	2.4	24053	11907	89351	140586	5.84
1966	85-89	0.20786	0.65637	2.19	12146	7972	38355	51235	4.22
1966	90-94	0.30585	0.79605	1.99	4174	3323	10863	12880	3.09
1966	95-99	0.41067	0.88796	1.8	851	756	1841	2017	2.37
1966	100-104	0.53391	0.94353	1.57	95	90	169	177	1.85
1966	105-109	0.65400	0.97110	1.38	5	5	8	8	1.52
1966	110+	0.74480	1.00000	1.34	0	0	0	0	1.34
1967	0	0.02525	0.02470	0.11	100000	2470	97809	6710359	67.10
1967	1-4	0.00094	0.00377	1.73	97530	368	389284	6612550	67.80
1967	5-9	0.00047	0.00236	2.29	97162	229	485191	6223266	64.05
1967	10-14	0.00056	0.00282	2.84	96933	273	484074	5738075	59.20
1967	15-19	0.00166	0.00828	2.9	96660	800	481618	5254001	54.36
1967	20-24	0.00175	0.00871	2.59	95859	835	477284	4772384	49.79
1967	25-29	0.00172	0.00856	2.4	95025	813	473005	4295100	45.20
1967	30-34	0.00205	0.01019	2.49	94211	960	468642	3822095	40.57
1967	35-39	0.00278	0.01380	2.66	93251	1287	463250	3353452	35.96
1967	40-44	0.00434	0.02149	2.67	91964	1976	455215	2890203	31.43
1967	45-49	0.00719	0.03534	2.68	89988	3180	442556	2434987	27.06
1967	50-54	0.01102	0.05377	2.74	86808	4668	423486	1992431	22.95
1967	55-59	0.01847	0.08850	2.63	82140	7269	393482	1568945	19.10
1967	60-64	0.02856	0.13364	2.6	74871	10005	350334	1175463	15.70
1967	65-69	0.04171	0.18910	2.53	64866	12266	294075	825128	12.72
1967	70-74	0.06060	0.26430	2.59	52600	13902	229425	531054	10.10
1967	75-79	0.09304	0.37510	2.42	38698	14516	156019	301628	7.79
1967	80-84	0.13092	0.48993	2.43	24182	11847	90494	145610	6.02
1967	85-89	0.19641	0.63611	2.23	12334	7846	39948	55116	4.47
1967	90-94	0.27543	0.76948	2.13	4488	3454	12539	15168	3.38
1967	95-99	0.38105	0.86715	1.86	1035	897	2355	2628	2.54
1967	100-104	0.49516	0.92932	1.64	137	128	258	274	1.99
1967	105-109	0.61037	0.96278	1.45	10	9	15	16	1.63
1967	110+	0.70033	1.00000	1.43	0	0	1	1	1.43
1968	0	0.02415	0.02364	0.11	100000	2364	97896	6690271	66.90
1968	1-4	0.00089	0.00357	1.56	97636	349	389695	6592375	67.52
1968	5-9	0.00047	0.00237	2.11	97287	230	485772	6202680	63.76
1968	10-14	0.00054	0.00271	2.73	97057	263	484688	5716908	58.90
1968	15-19	0.00170	0.00846	3.02	96794	819	482347	5232221	54.06
1968	20-24	0.00192	0.00955	2.49	95975	916	477579	4749874	49.49
1968	25-29	0.00185	0.00919	2.51	95059	873	473119	4272295	44.94
1968	30-34	0.00204	0.01015	2.55	94186	956	468591	3799176	40.34
1968	35-39	0.00303	0.01505	2.65	93230	1403	462854	3330585	35.72
1968	40-44	0.00465	0.02302	2.74	91827	2114	454360	2867731	31.23
1968	45-49	0.00687	0.03382	2.64	89713	3034	441400	2413371	26.90
1968	50-54	0.01182	0.05755	2.7	86679	4988	421907	1971972	22.75
1968	55-59	0.01885	0.09020	2.61	81690	7368	390853	1550065	18.97
1968	60-64	0.02882	0.13465	2.57	74322	10007	347290	1159212	15.60
1968	65-69	0.04181	0.18988	2.59	64315	12212	292116	811921	12.62
