PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KS,b,1960-1964,0,0.02236,0.02192,0.11,100000,2192,98050,7199349,71.99
KS,b,1960-1964,1-4,0.00091,0.00363,1.56,97808,355,390364,7101300,72.60
KS,b,1960-1964,5-9,0.00041,0.00203,2.33,97452,198,486731,6710936,68.86
KS,b,1960-1964,10-14,0.00045,0.00225,2.7,97254,219,485765,6224205,64.00
KS,b,1960-1964,15-19,0.00108,0.00537,2.76,97035,521,484006,5738440,59.14
KS,b,1960-1964,20-24,0.00124,0.00620,2.37,96514,598,480995,5254434,54.44
KS,b,1960-1964,25-29,0.00114,0.00570,2.48,95916,547,478200,4773438,49.77
KS,b,1960-1964,30-34,0.00139,0.00694,2.57,95369,662,475238,4295238,45.04
KS,b,1960-1964,35-39,0.00196,0.00977,2.75,94707,925,471450,3820000,40.34
KS,b,1960-1964,40-44,0.00289,0.01437,2.65,93781,1347,465738,3348550,35.71
KS,b,1960-1964,45-49,0.00452,0.02236,2.66,92434,2066,457343,2882812,31.19
KS,b,1960-1964,50-54,0.00755,0.03711,2.66,90368,3353,443989,2425468,26.84
KS,b,1960-1964,55-59,0.01114,0.05429,2.65,87014,4724,423947,1981479,22.77
KS,b,1960-1964,60-64,0.01704,0.08191,2.63,82290,6740,395503,1557532,18.93
KS,b,1960-1964,65-69,0.02561,0.12061,2.59,75550,9112,355751,1162030,15.38
KS,b,1960-1964,70-74,0.04041,0.18415,2.59,66438,12235,302759,806278,12.14
KS,b,1960-1964,75-79,0.06401,0.27673,2.55,54203,15000,234328,503520,9.29
KS,b,1960-1964,80-84,0.10456,0.41442,2.5,39203,16247,155387,269192,6.87
KS,b,1960-1964,85-89,0.16697,0.57927,2.36,22956,13298,79642,113805,4.96
KS,b,1960-1964,90-94,0.25820,0.74271,2.14,9658,7173,27782,34163,3.54
KS,b,1960-1964,95-99,0.37507,0.86495,1.89,2485,2149,5731,6381,2.57
KS,b,1960-1964,100-104,0.50887,0.93603,1.62,336,314,617,651,1.94
KS,b,1960-1964,105-109,0.64304,0.96979,1.4,21,21,32,33,1.55
KS,b,1960-1964,110+,0.74487,1.00000,1.34,1,1,1,1,1.34
KS,b,1965-1969,0,0.01981,0.01946,0.1,100000,1946,98256,7226779,72.27
KS,b,1965-1969,1-4,0.00085,0.00341,1.65,98054,335,391428,7128523,72.70
KS,b,1965-1969,5-9,0.00041,0.00205,2.28,97719,200,488051,6737095,68.94
