PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KS,f,1960-1969,0,0.01787,0.01758,0.1,100000,1758,98423,7587282,75.87
KS,f,1960-1969,1,0.00133,0.00133,0.5,98242,130,98176,7488859,76.23
KS,f,1960-1969,2,0.00070,0.00070,0.5,98111,68,98077,7390682,75.33
KS,f,1960-1969,3,0.00062,0.00062,0.5,98043,61,98012,7292605,74.38
KS,f,1960-1969,4,0.00050,0.00050,0.5,97982,49,97957,7194593,73.43
KS,f,1960-1969,5,0.00047,0.00047,0.5,97933,46,97910,7096635,72.46
KS,f,1960-1969,6,0.00038,0.00038,0.5,97886,37,97868,6998726,71.50
KS,f,1960-1969,7,0.00029,0.00029,0.5,97849,29,97835,6900858,70.53
KS,f,1960-1969,8,0.00028,0.00028,0.5,97821,28,97807,6803023,69.55
KS,f,1960-1969,9,0.00023,0.00023,0.5,97793,23,97782,6705216,68.57
KS,f,1960-1969,10,0.00030,0.00030,0.5,97770,29,97756,6607434,67.58
KS,f,1960-1969,11,0.00028,0.00028,0.5,97741,27,97728,6509678,66.60
KS,f,1960-1969,12,0.00030,0.00030,0.5,97714,30,97699,6411951,65.62
KS,f,1960-1969,13,0.00037,0.00037,0.5,97685,36,97667,6314251,64.64
KS,f,1960-1969,14,0.00034,0.00033,0.5,97649,33,97632,6216585,63.66
KS,f,1960-1969,15,0.00047,0.00047,0.5,97616,46,97593,6118952,62.68
KS,f,1960-1969,16,0.00049,0.00049,0.5,97570,47,97546,6021359,61.71
KS,f,1960-1969,17,0.00068,0.00068,0.5,97522,66,97489,5923813,60.74
KS,f,1960-1969,18,0.00069,0.00069,0.5,97456,67,97423,5826324,59.78
KS,f,1960-1969,19,0.00077,0.00077,0.5,97389,75,97352,5728901,58.82
KS,f,1960-1969,20,0.00086,0.00086,0.5,97314,84,97272,5631550,57.87
KS,f,1960-1969,21,0.00069,0.00069,0.5,97230,67,97196,5534278,56.92
KS,f,1960-1969,22,0.00074,0.00074,0.5,97163,72,97127,5437081,55.96
KS,f,1960-1969,23,0.00063,0.00063,0.5,97091,62,97060,5339954,55.00
KS,f,1960-1969,24,0.00073,0.00073,0.5,97029,71,96994,5242894,54.03
KS,f,1960-1969,25,0.00081,0.00081,0.5,96959,79,96919,5145900,53.07
KS,f,1960-1969,26,0.00075,0.00075,0.5,96880,73,96844,5048981,52.12
KS,f,1960-1969,27,0.00067,0.00067,0.5,96807,64,96775,4952137,51.15
KS,f,1960-1969,28,0.00085,0.00085,0.5,96743,82,96702,4855362,50.19
KS,f,1960-1969,29,0.00084,0.00084,0.5,96661,81,96621,4758660,49.23
KS,f,1960-1969,30,0.00092,0.00092,0.5,96580,89,96536,4662039,48.27
KS,f,1960-1969,31,0.00086,0.00086,0.5,96491,83,96450,4565503,47.32
KS,f,1960-1969,32,0.00101,0.00101,0.5,96408,97,96360,4469054,46.36
KS,f,1960-1969,33,0.00096,0.00096,0.5,96311,92,96265,4372694,45.40
KS,f,1960-1969,34,0.00117,0.00117,0.5,96219,113,96163,4276429,44.44
KS,f,1960-1969,35,0.00141,0.00141,0.5,96107,135,96039,4180266,43.50
KS,f,1960-1969,36,0.00127,0.00127,0.5,95971,122,95911,4084227,42.56
KS,f,1960-1969,37,0.00139,0.00139,0.5,95850,133,95783,3988316,41.61
KS,f,1960-1969,38,0.00153,0.00153,0.5,95716,147,95643,3892533,40.67
KS,f,1960-1969,39,0.00173,0.00173,0.5,95570,165,95487,3796890,39.73
KS,f,1960-1969,40,0.00196,0.00196,0.5,95404,187,95311,3701403,38.80
KS,f,1960-1969,41,0.00194,0.00194,0.5,95217,185,95125,3606092,37.87
KS,f,1960-1969,42,0.00226,0.00225,0.5,95033,214,94926,3510967,36.94
KS,f,1960-1969,43,0.00228,0.00228,0.5,94819,216,94711,3416041,36.03
KS,f,1960-1969,44,0.00259,0.00259,0.5,94603,245,94480,3321330,35.11
KS,f,1960-1969,45,0.00283,0.00283,0.5,94358,267,94225,3226849,34.20
KS,f,1960-1969,46,0.00295,0.00295,0.5,94092,277,93953,3132625,33.29
KS,f,1960-1969,47,0.00328,0.00327,0.5,93814,307,93661,3038672,32.39
KS,f,1960-1969,48,0.00349,0.00348,0.5,93507,326,93345,2945011,31.49
KS,f,1960-1969,49,0.00376,0.00375,0.5,93182,349,93007,2851666,30.60
KS,f,1960-1969,50,0.00463,0.00462,0.5,92833,429,92618,2758659,29.72
KS,f,1960-1969,51,0.00436,0.00435,0.5,92404,402,92203,2666041,28.85
KS,f,1960-1969,52,0.00540,0.00538,0.5,92002,495,91754,2573838,27.98
KS,f,1960-1969,53,0.00486,0.00485,0.5,91507,443,91285,2482083,27.12
KS,f,1960-1969,54,0.00567,0.00565,0.5,91063,515,90806,2390798,26.25
KS,f,1960-1969,55,0.00574,0.00572,0.5,90549,518,90290,2299992,25.40
KS,f,1960-1969,56,0.00657,0.00655,0.5,90031,589,89736,2209703,24.54
KS,f,1960-1969,57,0.00719,0.00716,0.5,89441,641,89121,2119967,23.70
KS,f,1960-1969,58,0.00765,0.00762,0.5,88801,677,88463,2030846,22.87
KS,f,1960-1969,59,0.00819,0.00816,0.5,88124,719,87765,1942383,22.04
KS,f,1960-1969,60,0.00889,0.00886,0.5,87406,774,87019,1854618,21.22
KS,f,1960-1969,61,0.00969,0.00964,0.5,86632,835,86214,1767599,20.40
KS,f,1960-1969,62,0.01139,0.01133,0.5,85796,972,85310,1681386,19.60
KS,f,1960-1969,63,0.01138,0.01131,0.5,84824,959,84345,1596075,18.82
KS,f,1960-1969,64,0.01332,0.01323,0.5,83865,1110,83310,1511731,18.03
KS,f,1960-1969,65,0.01439,0.01429,0.5,82755,1183,82164,1428421,17.26
KS,f,1960-1969,66,0.01529,0.01518,0.5,81572,1238,80953,1346257,16.50
KS,f,1960-1969,67,0.01661,0.01648,0.5,80334,1324,79673,1265304,15.75
KS,f,1960-1969,68,0.01903,0.01885,0.5,79011,1490,78266,1185631,15.01
KS,f,1960-1969,69,0.01961,0.01942,0.5,77521,1505,76769,1107365,14.28
KS,f,1960-1969,70,0.02385,0.02357,0.5,76016,1792,75120,1030597,13.56
KS,f,1960-1969,71,0.02589,0.02556,0.5,74224,1897,73276,955476,12.87
KS,f,1960-1969,72,0.02922,0.02880,0.5,72327,2083,71286,882201,12.20
KS,f,1960-1969,73,0.03154,0.03105,0.5,70244,2181,69153,810915,11.54
KS,f,1960-1969,74,0.03777,0.03707,0.5,68063,2523,66801,741761,10.90
KS,f,1960-1969,75,0.04057,0.03976,0.5,65540,2606,64237,674960,10.30
KS,f,1960-1969,76,0.04466,0.04368,0.5,62934,2749,61559,610723,9.70
KS,f,1960-1969,77,0.05029,0.04905,0.5,60185,2952,58709,549164,9.12
KS,f,1960-1969,78,0.05591,0.05439,0.5,57232,3113,55676,490455,8.57
KS,f,1960-1969,79,0.06265,0.06074,0.5,54120,3287,52476,434779,8.03
KS,f,1960-1969,80,0.06995,0.06758,0.5,50832,3435,49115,382303,7.52
KS,f,1960-1969,81,0.08160,0.07841,0.5,47397,3716,45539,333188,7.03
KS,f,1960-1969,82,0.08840,0.08466,0.5,43681,3698,41832,287649,6.59
KS,f,1960-1969,83,0.09858,0.09395,0.5,39983,3756,38105,245817,6.15
KS,f,1960-1969,84,0.11463,0.10841,0.5,36226,3927,34263,207713,5.73
KS,f,1960-1969,85,0.12234,0.11529,0.5,32299,3724,30437,173450,5.37
KS,f,1960-1969,86,0.13822,0.12928,0.5,28575,3694,26728,143013,5.00
