PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KS,m,1960-1964,0,0.02543,0.02487,0.11,100000,2487,97795,6867562,68.68
KS,m,1960-1964,1,0.00158,0.00158,0.5,97513,154,97436,6769767,69.42
KS,m,1960-1964,2,0.00110,0.00110,0.5,97359,107,97306,6672331,68.53
KS,m,1960-1964,3,0.00082,0.00082,0.5,97252,80,97212,6575026,67.61
KS,m,1960-1964,4,0.00051,0.00051,0.5,97172,50,97148,6477814,66.66
KS,m,1960-1964,5,0.00049,0.00049,0.5,97123,48,97099,6380666,65.70
KS,m,1960-1964,6,0.00055,0.00055,0.5,97075,53,97048,6283567,64.73
KS,m,1960-1964,7,0.00052,0.00052,0.5,97022,51,96996,6186519,63.76
KS,m,1960-1964,8,0.00046,0.00046,0.5,96971,44,96949,6089523,62.80
KS,m,1960-1964,9,0.00042,0.00042,0.5,96927,40,96906,5992574,61.83
KS,m,1960-1964,10,0.00045,0.00045,0.5,96886,44,96864,5895667,60.85
KS,m,1960-1964,11,0.00051,0.00051,0.5,96842,49,96818,5798803,59.88
KS,m,1960-1964,12,0.00045,0.00045,0.5,96793,44,96771,5701986,58.91
KS,m,1960-1964,13,0.00069,0.00069,0.5,96749,66,96716,5605215,57.94
KS,m,1960-1964,14,0.00077,0.00077,0.5,96682,75,96645,5508499,56.98
KS,m,1960-1964,15,0.00092,0.00092,0.5,96608,89,96563,5411854,56.02
KS,m,1960-1964,16,0.00137,0.00137,0.5,96519,132,96453,5315291,55.07
KS,m,1960-1964,17,0.00161,0.00161,0.5,96386,155,96309,5218838,54.14
KS,m,1960-1964,18,0.00173,0.00173,0.5,96231,166,96148,5122529,53.23
KS,m,1960-1964,19,0.00190,0.00190,0.5,96065,183,95973,5026382,52.32
KS,m,1960-1964,20,0.00182,0.00182,0.5,95882,175,95795,4930408,51.42
KS,m,1960-1964,21,0.00206,0.00206,0.5,95707,197,95609,4834614,50.51
KS,m,1960-1964,22,0.00173,0.00173,0.5,95510,166,95427,4739005,49.62
KS,m,1960-1964,23,0.00165,0.00165,0.5,95345,157,95266,4643578,48.70
KS,m,1960-1964,24,0.00153,0.00153,0.5,95187,146,95114,4548312,47.78
KS,m,1960-1964,25,0.00169,0.00169,0.5,95042,160,94961,4453198,46.86
KS,m,1960-1964,26,0.00163,0.00163,0.5,94881,154,94804,4358236,45.93
KS,m,1960-1964,27,0.00154,0.00154,0.5,94727,145,94654,4263432,45.01
KS,m,1960-1964,28,0.00150,0.00150,0.5,94581,142,94511,4168778,44.08
KS,m,1960-1964,29,0.00157,0.00157,0.5,94440,149,94365,4074268,43.14
KS,m,1960-1964,30,0.00155,0.00155,0.5,94291,146,94218,3979902,42.21
KS,m,1960-1964,31,0.00192,0.00191,0.5,94145,180,94055,3885684,41.27
KS,m,1960-1964,32,0.00167,0.00167,0.5,93965,157,93887,3791629,40.35
KS,m,1960-1964,33,0.00173,0.00173,0.5,93808,162,93727,3697742,39.42
KS,m,1960-1964,34,0.00194,0.00194,0.5,93646,182,93555,3604015,38.49
KS,m,1960-1964,35,0.00179,0.00178,0.5,93464,167,93381,3510459,37.56
KS,m,1960-1964,36,0.00211,0.00211,0.5,93298,196,93199,3417079,36.63
KS,m,1960-1964,37,0.00238,0.00238,0.5,93101,221,92990,3323879,35.70
KS,m,1960-1964,38,0.00265,0.00264,0.5,92880,245,92757,3230889,34.79
KS,m,1960-1964,39,0.00327,0.00326,0.5,92634,302,92483,3138132,33.88
KS,m,1960-1964,40,0.00324,0.00324,0.5,92332,299,92183,3045648,32.99
KS,m,1960-1964,41,0.00303,0.00303,0.5,92033,279,91894,2953465,32.09
KS,m,1960-1964,42,0.00363,0.00363,0.5,91755,333,91588,2861571,31.19
KS,m,1960-1964,43,0.00351,0.00350,0.5,91422,320,91262,2769983,30.30
KS,m,1960-1964,44,0.00480,0.00479,0.5,91102,437,90884,2678721,29.40
KS,m,1960-1964,45,0.00479,0.00478,0.5,90665,433,90449,2587837,28.54
KS,m,1960-1964,46,0.00542,0.00541,0.5,90232,488,89988,2497388,27.68
KS,m,1960-1964,47,0.00585,0.00583,0.5,89744,523,89483,2407400,26.83
KS,m,1960-1964,48,0.00624,0.00622,0.5,89221,555,88944,2317917,25.98
KS,m,1960-1964,49,0.00738,0.00735,0.5,88666,652,88340,2228974,25.14
KS,m,1960-1964,50,0.00808,0.00805,0.5,88014,708,87660,2140633,24.32
KS,m,1960-1964,51,0.00901,0.00897,0.5,87306,783,86914,2052973,23.51
KS,m,1960-1964,52,0.01072,0.01066,0.5,86523,922,86061,1966059,22.72
KS,m,1960-1964,53,0.01086,0.01080,0.5,85600,925,85138,1879997,21.96
KS,m,1960-1964,54,0.01236,0.01228,0.5,84676,1040,84156,1794859,21.20
KS,m,1960-1964,55,0.01244,0.01236,0.5,83635,1034,83118,1710704,20.45
KS,m,1960-1964,56,0.01421,0.01411,0.5,82601,1165,82019,1627585,19.70
KS,m,1960-1964,57,0.01705,0.01691,0.5,81436,1377,80748,1545567,18.98
