KY: Kentucky, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02775	0.02710	0.13	100000	2710	97629	6977889	69.78
1960-1964	1	0.00194	0.00194	0.5	97290	188	97196	6880260	70.72
1960-1964	2	0.00112	0.00112	0.5	97102	109	97048	6783064	69.86
1960-1964	3	0.00080	0.00080	0.5	96993	77	96955	6686016	68.93
1960-1964	4	0.00065	0.00065	0.5	96916	63	96885	6589061	67.99
1960-1964	5	0.00061	0.00061	0.5	96853	59	96824	6492177	67.03
1960-1964	6	0.00054	0.00054	0.5	96794	53	96768	6395353	66.07
1960-1964	7	0.00044	0.00044	0.5	96741	42	96720	6298585	65.11
1960-1964	8	0.00042	0.00042	0.5	96699	41	96679	6201865	64.14
1960-1964	9	0.00041	0.00041	0.5	96659	40	96639	6105186	63.16
1960-1964	10	0.00039	0.00039	0.5	96619	38	96600	6008547	62.19
1960-1964	11	0.00047	0.00047	0.5	96581	46	96558	5911947	61.21
1960-1964	12	0.00042	0.00042	0.5	96535	40	96515	5815389	60.24
1960-1964	13	0.00054	0.00054	0.5	96495	52	96469	5718874	59.27
1960-1964	14	0.00061	0.00061	0.5	96443	59	96414	5622405	58.30
1960-1964	15	0.00066	0.00066	0.5	96385	64	96353	5525990	57.33
1960-1964	16	0.00102	0.00102	0.5	96321	98	96272	5429637	56.37
1960-1964	17	0.00113	0.00113	0.5	96223	109	96168	5333365	55.43
1960-1964	18	0.00115	0.00115	0.5	96114	111	96059	5237197	54.49
1960-1964	19	0.00129	0.00128	0.5	96003	123	95942	5141138	53.55
1960-1964	20	0.00118	0.00118	0.5	95880	113	95823	5045197	52.62
1960-1964	21	0.00128	0.00128	0.5	95767	123	95705	4949373	51.68
1960-1964	22	0.00136	0.00136	0.5	95644	130	95579	4853668	50.75
1960-1964	23	0.00145	0.00145	0.5	95514	139	95445	4758089	49.82
1960-1964	24	0.00136	0.00136	0.5	95375	130	95310	4662644	48.89
1960-1964	25	0.00144	0.00144	0.5	95245	137	95177	4567334	47.95
1960-1964	26	0.00156	0.00156	0.5	95108	149	95034	4472157	47.02
1960-1964	27	0.00131	0.00131	0.5	94959	125	94897	4377123	46.09
1960-1964	28	0.00161	0.00161	0.5	94835	152	94759	4282226	45.15
1960-1964	29	0.00143	0.00143	0.5	94682	135	94615	4187468	44.23
1960-1964	30	0.00153	0.00152	0.5	94547	144	94475	4092853	43.29
1960-1964	31	0.00163	0.00163	0.5	94403	154	94326	3998378	42.35
1960-1964	32	0.00192	0.00192	0.5	94249	181	94159	3904052	41.42
1960-1964	33	0.00197	0.00197	0.5	94069	185	93976	3809893	40.50
1960-1964	34	0.00210	0.00210	0.5	93883	197	93785	3715917	39.58
1960-1964	35	0.00231	0.00231	0.5	93686	216	93578	3622133	38.66
1960-1964	36	0.00251	0.00250	0.5	93470	234	93353	3528555	37.75
1960-1964	37	0.00255	0.00255	0.5	93236	238	93117	3435202	36.84
1960-1964	38	0.00286	0.00286	0.5	92998	266	92865	3342085	35.94
1960-1964	39	0.00322	0.00322	0.5	92733	298	92584	3249219	35.04
1960-1964	40	0.00337	0.00336	0.5	92435	311	92279	3156636	34.15
1960-1964	41	0.00342	0.00341	0.5	92124	314	91966	3064357	33.26
1960-1964	42	0.00397	0.00396	0.5	91809	363	91627	2972390	32.38
1960-1964	43	0.00435	0.00434	0.5	91446	397	91247	2880763	31.50
1960-1964	44	0.00484	0.00483	0.5	91049	440	90829	2789515	30.64
1960-1964	45	0.00496	0.00495	0.5	90609	448	90385	2698686	29.78
1960-1964	46	0.00531	0.00530	0.5	90161	478	89922	2608301	28.93
1960-1964	47	0.00614	0.00612	0.5	89683	549	89409	2518379	28.08
1960-1964	48	0.00686	0.00684	0.5	89134	610	88829	2428970	27.25
1960-1964	49	0.00717	0.00715	0.5	88525	633	88208	2340140	26.43
1960-1964	50	0.00760	0.00757	0.5	87892	665	87559	2251932	25.62
