PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,f,1960-1969,0,0.02283,0.02238,0.12,100000,2238,98024,7371615,73.72
KY,f,1960-1969,1,0.00160,0.00160,0.5,97762,157,97684,7273591,74.40
KY,f,1960-1969,2,0.00097,0.00097,0.5,97606,94,97559,7175907,73.52
KY,f,1960-1969,3,0.00072,0.00072,0.5,97512,70,97476,7078348,72.59
KY,f,1960-1969,4,0.00062,0.00062,0.5,97441,60,97411,6980871,71.64
KY,f,1960-1969,5,0.00052,0.00052,0.5,97381,50,97356,6883460,70.69
KY,f,1960-1969,6,0.00034,0.00034,0.5,97331,33,97314,6786104,69.72
KY,f,1960-1969,7,0.00041,0.00041,0.5,97297,40,97278,6688790,68.75
KY,f,1960-1969,8,0.00032,0.00032,0.5,97258,31,97242,6591513,67.77
KY,f,1960-1969,9,0.00035,0.00035,0.5,97227,34,97210,6494270,66.79
KY,f,1960-1969,10,0.00029,0.00029,0.5,97193,29,97178,6397061,65.82
KY,f,1960-1969,11,0.00037,0.00037,0.5,97164,36,97146,6299882,64.84
KY,f,1960-1969,12,0.00032,0.00032,0.5,97128,31,97113,6202736,63.86
KY,f,1960-1969,13,0.00036,0.00036,0.5,97098,35,97080,6105623,62.88
KY,f,1960-1969,14,0.00041,0.00041,0.5,97063,40,97043,6008543,61.90
KY,f,1960-1969,15,0.00053,0.00053,0.5,97023,52,96997,5911500,60.93
KY,f,1960-1969,16,0.00061,0.00061,0.5,96971,59,96942,5814503,59.96
KY,f,1960-1969,17,0.00065,0.00065,0.5,96912,63,96881,5717561,59.00
KY,f,1960-1969,18,0.00062,0.00062,0.5,96849,60,96819,5620681,58.04
KY,f,1960-1969,19,0.00068,0.00068,0.5,96789,66,96756,5523862,57.07
KY,f,1960-1969,20,0.00066,0.00066,0.5,96723,64,96691,5427106,56.11
KY,f,1960-1969,21,0.00069,0.00069,0.5,96659,67,96626,5330415,55.15
KY,f,1960-1969,22,0.00072,0.00072,0.5,96593,70,96558,5233789,54.18
KY,f,1960-1969,23,0.00073,0.00073,0.5,96523,71,96487,5137231,53.22
KY,f,1960-1969,24,0.00079,0.00079,0.5,96452,76,96414,5040743,52.26
KY,f,1960-1969,25,0.00085,0.00085,0.5,96376,82,96335,4944330,51.30
KY,f,1960-1969,26,0.00089,0.00089,0.5,96294,86,96251,4847995,50.35
KY,f,1960-1969,27,0.00077,0.00077,0.5,96208,74,96171,4751743,49.39
KY,f,1960-1969,28,0.00093,0.00093,0.5,96134,90,96089,4655572,48.43
KY,f,1960-1969,29,0.00098,0.00098,0.5,96044,94,95997,4559483,47.47
KY,f,1960-1969,30,0.00084,0.00084,0.5,95951,81,95910,4463486,46.52
KY,f,1960-1969,31,0.00114,0.00114,0.5,95870,110,95815,4367576,45.56
KY,f,1960-1969,32,0.00131,0.00131,0.5,95760,125,95698,4271760,44.61
KY,f,1960-1969,33,0.00132,0.00132,0.5,95635,127,95572,4176063,43.67
