KY: Kentucky, Lifetables (period 1x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03222	0.03135	0.13	100000	3135	97277	6662442	66.62
1959	1	0.00222	0.00222	0.5	96865	215	96758	6565165	67.78
1959	2	0.00092	0.00092	0.5	96650	89	96606	6468407	66.93
1959	3	0.00084	0.00084	0.5	96561	81	96521	6371801	65.99
1959	4	0.00064	0.00064	0.5	96480	62	96449	6275281	65.04
1959	5	0.00059	0.00059	0.5	96418	57	96390	6178832	64.08
1959	6	0.00061	0.00061	0.5	96361	59	96332	6082442	63.12
1959	7	0.00049	0.00049	0.5	96303	48	96279	5986110	62.16
1959	8	0.00065	0.00065	0.5	96255	63	96224	5889831	61.19
1959	9	0.00053	0.00053	0.5	96193	51	96167	5793607	60.23
1959	10	0.00056	0.00056	0.5	96142	54	96115	5697440	59.26
1959	11	0.00048	0.00048	0.5	96088	46	96065	5601325	58.29
1959	12	0.00046	0.00046	0.5	96042	44	96020	5505260	57.32
1959	13	0.00048	0.00048	0.5	95998	46	95975	5409240	56.35
1959	14	0.00055	0.00055	0.5	95952	53	95926	5313266	55.37
1959	15	0.00138	0.00138	0.5	95899	132	95833	5217340	54.40
1959	16	0.00173	0.00173	0.5	95767	166	95684	5121507	53.48
1959	17	0.00183	0.00183	0.5	95601	175	95514	5025823	52.57
1959	18	0.00170	0.00170	0.5	95427	162	95345	4930309	51.67
1959	19	0.00230	0.00230	0.5	95264	219	95155	4834964	50.75
1959	20	0.00261	0.00260	0.5	95045	247	94922	4739809	49.87
1959	21	0.00227	0.00227	0.5	94798	215	94691	4644888	49.00
1959	22	0.00242	0.00242	0.5	94583	229	94469	4550197	48.11
1959	23	0.00200	0.00200	0.5	94354	189	94260	4455728	47.22
1959	24	0.00178	0.00178	0.5	94166	168	94082	4361468	46.32
1959	25	0.00156	0.00156	0.5	93998	147	93925	4267386	45.40
1959	26	0.00259	0.00259	0.5	93851	243	93730	4173462	44.47
1959	27	0.00197	0.00196	0.5	93609	184	93517	4079732	43.58
