PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,m,1960-1969,0,0.02879,0.02808,0.12,100000,2808,97535,6637734,66.38
KY,m,1960-1969,1-4,0.00108,0.00432,1.6,97192,420,387760,6540199,67.29
KY,m,1960-1969,5-9,0.00057,0.00287,2.32,96772,277,483117,6152439,63.58
KY,m,1960-1969,10-14,0.00057,0.00282,2.8,96495,272,481876,5669322,58.75
KY,m,1960-1969,15-19,0.00163,0.00812,2.85,96223,781,479434,5187445,53.91
KY,m,1960-1969,20-24,0.00203,0.01010,2.53,95441,964,474823,4708012,49.33
KY,m,1960-1969,25-29,0.00212,0.01055,2.56,94477,996,469951,4233189,44.81
KY,m,1960-1969,30-34,0.00248,0.01233,2.64,93481,1153,464685,3763237,40.26
KY,m,1960-1969,35-39,0.00345,0.01714,2.66,92328,1582,457938,3298552,35.73
KY,m,1960-1969,40-44,0.00531,0.02623,2.69,90746,2380,448241,2840615,31.30
KY,m,1960-1969,45-49,0.00833,0.04084,2.66,88365,3609,433374,2392373,27.07
KY,m,1960-1969,50-54,0.01277,0.06200,2.65,84756,5255,411448,1958999,23.11
KY,m,1960-1969,55-59,0.01864,0.08923,2.61,79502,7094,380578,1547551,19.47
KY,m,1960-1969,60-64,0.02736,0.12844,2.62,72408,9300,339879,1166973,16.12
KY,m,1960-1969,65-69,0.03988,0.18170,2.56,63108,11467,287555,827095,13.11
KY,m,1960-1969,70-74,0.05802,0.25398,2.55,51641,13116,226076,539540,10.45
KY,m,1960-1969,75-79,0.08270,0.34225,2.48,38525,13185,159430,313464,8.14
KY,m,1960-1969,80-84,0.12895,0.48413,2.43,25340,12268,95138,154034,6.08
KY,m,1960-1969,85-89,0.19385,0.63295,2.26,13072,8274,42682,58896,4.51
KY,m,1960-1969,90-94,0.27600,0.76207,2.06,4798,3656,13248,16214,3.38
KY,m,1960-1969,95-99,0.37185,0.86000,1.88,1142,982,2640,2966,2.60
