LA: Louisiana, Lifetables (period 5x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03146	0.03063	0.14	100000	3063	97352	6823233	68.23
1960-1964	1-4	0.00136	0.00541	1.54	96937	524	386461	6725880	69.38
1960-1964	5-9	0.00049	0.00243	2.27	96413	235	481427	6339420	65.75
1960-1964	10-14	0.00051	0.00256	2.69	96179	246	480326	5857993	60.91
1960-1964	15-19	0.00105	0.00523	2.82	95933	502	478568	5377667	56.06
1960-1964	20-24	0.00156	0.00779	2.53	95430	743	475319	4899099	51.34
1960-1964	25-29	0.00166	0.00829	2.54	94687	785	471509	4423780	46.72
1960-1964	30-34	0.00204	0.01017	2.62	93902	955	467243	3952272	42.09
1960-1964	35-39	0.00296	0.01469	2.61	92948	1365	461470	3485028	37.49
1960-1964	40-44	0.00442	0.02189	2.63	91583	2005	453164	3023559	33.01
1960-1964	45-49	0.00687	0.03380	2.67	89578	3028	440838	2570395	28.69
1960-1964	50-54	0.01079	0.05261	2.65	86550	4553	422060	2129557	24.60
1960-1964	55-59	0.01562	0.07533	2.64	81997	6177	395422	1707497	20.82
1960-1964	60-64	0.02404	0.11371	2.63	75821	8622	358704	1312075	17.31
1960-1964	65-69	0.03573	0.16418	2.53	67199	11032	308769	953371	14.19
1960-1964	70-74	0.05090	0.22634	2.56	56166	12713	249752	644601	11.48
1960-1964	75-79	0.07006	0.29786	2.49	43453	12943	184757	394849	9.09
1960-1964	80-84	0.11181	0.43529	2.46	30510	13281	118778	210092	6.89
1960-1964	85-89	0.16138	0.56168	2.29	17230	9677	59966	91314	5.30
1960-1964	90-94	0.21803	0.67535	2.18	7552	5100	23392	31348	4.15
1960-1964	95-99	0.29125	0.78047	2.03	2452	1914	6570	7955	3.24
1960-1964	100-104	0.37734	0.86230	1.85	538	464	1230	1385	2.57
1960-1964	105-109	0.47235	0.91820	1.67	74	68	144	155	2.09
1960-1964	110+	0.55103	1.00000	1.81	6	6	11	11	1.81
1965-1969	0	0.02766	0.02700	0.12	100000	2700	97637	6816766	68.17
1965-1969	1-4	0.00119	0.00476	1.62	97300	463	388097	6719129	69.06
1965-1969	5-9	0.00052	0.00259	2.23	96837	251	483490	6331032	65.38
1965-1969	10-14	0.00051	0.00253	2.75	96586	244	482378	5847542	60.54
1965-1969	15-19	0.00135	0.00671	2.85	96342	647	480319	5365164	55.69
1965-1969	20-24	0.00178	0.00887	2.58	95695	849	476418	4884845	51.05
1965-1969	25-29	0.00190	0.00947	2.53	94846	898	472012	4408427	46.48
1965-1969	30-34	0.00227	0.01127	2.59	93948	1059	467187	3936415	41.90
1965-1969	35-39	0.00319	0.01582	2.67	92889	1470	461024	3469228	37.35
1965-1969	40-44	0.00470	0.02323	2.66	91419	2124	452129	3008204	32.91
