LA: Louisiana, Lifetables (period 5x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02754	0.02689	0.13	100000	2689	97661	7190312	71.90
1960-1964	1-4	0.00125	0.00500	1.59	97311	486	388068	7092652	72.89
1960-1964	5-9	0.00045	0.00222	2.1	96824	215	483497	6704583	69.24
1960-1964	10-14	0.00039	0.00193	2.71	96609	186	482619	6221087	64.39
1960-1964	15-19	0.00058	0.00292	2.73	96423	281	481478	5738468	59.51
1960-1964	20-24	0.00086	0.00428	2.64	96142	412	479737	5256990	54.68
1960-1964	25-29	0.00103	0.00514	2.7	95730	492	477516	4777254	49.90
1960-1964	30-34	0.00145	0.00724	2.65	95238	689	474571	4299738	45.15
1960-1964	35-39	0.00229	0.01138	2.57	94549	1076	470133	3825167	40.46
1960-1964	40-44	0.00338	0.01679	2.63	93473	1569	463642	3355034	35.89
1960-1964	45-49	0.00501	0.02476	2.64	91904	2276	454150	2891392	31.46
1960-1964	50-54	0.00743	0.03653	2.67	89628	3274	440503	2437242	27.19
1960-1964	55-59	0.01077	0.05252	2.69	86354	4535	421290	1996739	23.12
1960-1964	60-64	0.01730	0.08311	2.65	81818	6800	393088	1575449	19.26
1960-1964	65-69	0.02612	0.12272	2.54	75018	9206	352456	1182361	15.76
1960-1964	70-74	0.03971	0.18135	2.61	65812	11935	300521	829905	12.61
1960-1964	75-79	0.05968	0.26009	2.53	53877	14013	234786	529385	9.83
1960-1964	80-84	0.09896	0.39677	2.5	39864	15817	159831	294598	7.39
1960-1964	85-89	0.14904	0.53239	2.32	24047	12803	85903	134767	5.60
1960-1964	90-94	0.20510	0.65297	2.22	11245	7342	35799	48864	4.35
1960-1964	95-99	0.28023	0.76774	2.06	3902	2996	10691	13065	3.35
1960-1964	100-104	0.36966	0.85697	1.87	906	777	2101	2374	2.62
1960-1964	105-109	0.46895	0.91704	1.68	130	119	253	273	2.11
1960-1964	110+	0.55124	1.00000	1.81	11	11	20	20	1.81
1965-1969	0	0.02480	0.02428	0.12	100000	2428	97870	7224625	72.25
1965-1969	1-4	0.00106	0.00421	1.57	97572	411	389292	7126756	73.04
1965-1969	5-9	0.00046	0.00228	2.22	97162	221	485192	6737463	69.34
1965-1969	10-14	0.00031	0.00157	2.52	96940	152	484325	6252271	64.50
1965-1969	15-19	0.00065	0.00322	2.69	96788	312	483219	5767946	59.59
1965-1969	20-24	0.00091	0.00452	2.73	96476	436	481391	5284726	54.78
1965-1969	25-29	0.00112	0.00556	2.59	96040	534	478913	4803335	50.01
1965-1969	30-34	0.00162	0.00806	2.64	95506	770	475716	4324422	45.28
1965-1969	35-39	0.00230	0.01144	2.69	94736	1084	471180	3848706	40.63
1965-1969	40-44	0.00344	0.01708	2.66	93652	1599	464511	3377526	36.06
1965-1969	45-49	0.00486	0.02403	2.64	92053	2212	455040	2913015	31.65
