PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
LA,m,1960-1969,0,0.03299,0.03207,0.13,100000,3207,97221,6453712,64.54
LA,m,1960-1969,1,0.00230,0.00230,0.5,96793,223,96681,6356491,65.67
LA,m,1960-1969,2,0.00141,0.00141,0.5,96570,136,96502,6259810,64.82
LA,m,1960-1969,3,0.00101,0.00101,0.5,96434,97,96385,6163308,63.91
LA,m,1960-1969,4,0.00086,0.00086,0.5,96337,83,96296,6066923,62.98
LA,m,1960-1969,5,0.00067,0.00067,0.5,96254,65,96222,5970627,62.03
LA,m,1960-1969,6,0.00060,0.00060,0.5,96190,58,96161,5874405,61.07
LA,m,1960-1969,7,0.00051,0.00051,0.5,96132,49,96107,5778245,60.11
LA,m,1960-1969,8,0.00050,0.00050,0.5,96083,48,96059,5682137,59.14
LA,m,1960-1969,9,0.00049,0.00049,0.5,96035,47,96011,5586079,58.17
LA,m,1960-1969,10,0.00053,0.00053,0.5,95988,51,95963,5490067,57.20
LA,m,1960-1969,11,0.00055,0.00055,0.5,95937,53,95911,5394105,56.23
LA,m,1960-1969,12,0.00062,0.00062,0.5,95884,60,95854,5298194,55.26
LA,m,1960-1969,13,0.00074,0.00074,0.5,95825,71,95789,5202340,54.29
LA,m,1960-1969,14,0.00089,0.00089,0.5,95754,85,95711,5106550,53.33
LA,m,1960-1969,15,0.00112,0.00112,0.5,95669,108,95615,5010839,52.38
LA,m,1960-1969,16,0.00140,0.00140,0.5,95561,133,95494,4915224,51.44
LA,m,1960-1969,17,0.00184,0.00183,0.5,95428,175,95340,4819730,50.51
LA,m,1960-1969,18,0.00214,0.00213,0.5,95253,203,95151,4724390,49.60
LA,m,1960-1969,19,0.00255,0.00255,0.5,95049,242,94928,4629239,48.70
LA,m,1960-1969,20,0.00241,0.00241,0.5,94807,228,94693,4534310,47.83
LA,m,1960-1969,21,0.00250,0.00250,0.5,94579,237,94461,4439617,46.94
LA,m,1960-1969,22,0.00263,0.00263,0.5,94343,248,94219,4345156,46.06
LA,m,1960-1969,23,0.00260,0.00260,0.5,94095,245,93972,4250937,45.18
LA,m,1960-1969,24,0.00249,0.00249,0.5,93850,233,93733,4156965,44.29
LA,m,1960-1969,25,0.00265,0.00264,0.5,93617,247,93493,4063232,43.40
LA,m,1960-1969,26,0.00265,0.00265,0.5,93369,247,93246,3969739,42.52
LA,m,1960-1969,27,0.00236,0.00236,0.5,93122,220,93012,3876494,41.63
LA,m,1960-1969,28,0.00242,0.00242,0.5,92902,224,92790,3783481,40.73
LA,m,1960-1969,29,0.00272,0.00272,0.5,92678,252,92552,3690691,39.82
LA,m,1960-1969,30,0.00267,0.00266,0.5,92426,246,92303,3598139,38.93
LA,m,1960-1969,31,0.00263,0.00263,0.5,92180,242,92059,3505836,38.03
LA,m,1960-1969,32,0.00273,0.00273,0.5,91938,251,91813,3413778,37.13
LA,m,1960-1969,33,0.00303,0.00303,0.5,91687,278,91548,3321965,36.23
LA,m,1960-1969,34,0.00307,0.00307,0.5,91409,280,91269,3230417,35.34
LA,m,1960-1969,35,0.00346,0.00345,0.5,91129,314,90972,3139148,34.45
LA,m,1960-1969,36,0.00353,0.00352,0.5,90815,320,90655,3048176,33.56
LA,m,1960-1969,37,0.00363,0.00363,0.5,90495,328,90331,2957521,32.68
LA,m,1960-1969,38,0.00454,0.00453,0.5,90167,408,89963,2867190,31.80
LA,m,1960-1969,39,0.00444,0.00443,0.5,89759,397,89560,2777227,30.94
LA,m,1960-1969,40,0.00472,0.00471,0.5,89361,420,89151,2687667,30.08
LA,m,1960-1969,41,0.00543,0.00542,0.5,88941,482,88700,2598516,29.22
LA,m,1960-1969,42,0.00603,0.00601,0.5,88459,531,88193,2509816,28.37
LA,m,1960-1969,43,0.00614,0.00613,0.5,87928,539,87658,2421622,27.54
LA,m,1960-1969,44,0.00667,0.00665,0.5,87389,581,87098,2333964,26.71
LA,m,1960-1969,45,0.00779,0.00776,0.5,86808,673,86471,2246866,25.88
LA,m,1960-1969,46,0.00818,0.00815,0.5,86134,702,85783,2160395,25.08
LA,m,1960-1969,47,0.00885,0.00881,0.5,85432,753,85056,2074612,24.28
LA,m,1960-1969,48,0.01020,0.01015,0.5,84679,859,84250,1989556,23.50
LA,m,1960-1969,49,0.01122,0.01115,0.5,83820,935,83353,1905306,22.73
LA,m,1960-1969,50,0.01281,0.01273,0.5,82885,1055,82357,1821954,21.98
LA,m,1960-1969,51,0.01244,0.01237,0.5,81830,1012,81324,1739596,21.26
LA,m,1960-1969,52,0.01444,0.01434,0.5,80818,1159,80239,1658272,20.52
LA,m,1960-1969,53,0.01567,0.01555,0.5,79659,1239,79040,1578034,19.81
LA,m,1960-1969,54,0.01693,0.01679,0.5,78421,1317,77762,1498994,19.11
LA,m,1960-1969,55,0.01763,0.01748,0.5,77104,1348,76430,1421231,18.43
LA,m,1960-1969,56,0.01995,0.01975,0.5,75756,1496,75008,1344801,17.75
LA,m,1960-1969,57,0.02120,0.02098,0.5,74260,1558,73481,1269793,17.10
LA,m,1960-1969,58,0.02342,0.02315,0.5,72702,1683,71860,1196313,16.46
LA,m,1960-1969,59,0.02455,0.02425,0.5,71019,1722,70158,1124452,15.83
LA,m,1960-1969,60,0.02737,0.02700,0.5,69297,1871,68361,1054295,15.21
LA,m,1960-1969,61,0.02781,0.02743,0.5,67425,1849,66501,985933,14.62
LA,m,1960-1969,62,0.03223,0.03172,0.5,65576,2080,64536,919433,14.02
LA,m,1960-1969,63,0.03420,0.03362,0.5,63496,2135,62429,854896,13.46
LA,m,1960-1969,64,0.03796,0.03725,0.5,61361,2286,60218,792468,12.91
LA,m,1960-1969,65,0.04364,0.04270,0.5,59075,2523,57814,732250,12.40
LA,m,1960-1969,66,0.04235,0.04147,0.5,56552,2345,55380,674436,11.93
LA,m,1960-1969,67,0.04647,0.04542,0.5,54207,2462,52976,619056,11.42
LA,m,1960-1969,68,0.05234,0.05100,0.5,51745,2639,50426,566080,10.94
LA,m,1960-1969,69,0.05393,0.05251,0.5,49106,2579,47817,515654,10.50
LA,m,1960-1969,70,0.05989,0.05815,0.5,46527,2705,45175,467837,10.06
LA,m,1960-1969,71,0.05866,0.05699,0.5,43822,2497,42573,422662,9.64
LA,m,1960-1969,72,0.06854,0.06627,0.5,41325,2738,39955,380089,9.20
LA,m,1960-1969,73,0.06891,0.06662,0.5,38586,2570,37301,340134,8.81
LA,m,1960-1969,74,0.07768,0.07478,0.5,36016,2693,34669,302833,8.41
LA,m,1960-1969,75,0.08211,0.07887,0.5,33323,2628,32009,268163,8.05
LA,m,1960-1969,76,0.08240,0.07914,0.5,30695,2429,29480,236155,7.69
LA,m,1960-1969,77,0.08726,0.08361,0.5,28265,2363,27084,206675,7.31
LA,m,1960-1969,78,0.09352,0.08934,0.5,25902,2314,24745,179591,6.93
LA,m,1960-1969,79,0.09855,0.09392,0.5,23588,2215,22480,154846,6.56
LA,m,1960-1969,80,0.12087,0.11398,0.5,21372,2436,20154,132366,6.19
LA,m,1960-1969,81,0.11568,0.10935,0.5,18936,2071,17901,112211,5.93
LA,m,1960-1969,82,0.13188,0.12372,0.5,16866,2087,15822,94310,5.59
LA,m,1960-1969,83,0.14479,0.13501,0.5,14779,1995,13781,78488,5.31
LA,m,1960-1969,84,0.15884,0.14716,0.5,12784,1881,11843,64707,5.06
LA,m,1960-1969,85,0.16465,0.15212,0.5,10902,1659,10073,52864,4.85
LA,m,1960-1969,86,0.17319,0.15939,0.5,9244,1473,8507,42790,4.63
LA,m,1960-1969,87,0.19640,0.17884,0.5,7771,1390,7076,34283,4.41
LA,m,1960-1969,88,0.19396,0.17681,0.5,6381,1128,5817,27208,4.26
LA,m,1960-1969,89,0.20549,0.18634,0.5,5253,979,4763,21391,4.07
LA,m,1960-1969,90,0.21751,0.19618,0.5,4274,838,3855,16628,3.89
LA,m,1960-1969,91,0.23004,0.20631,0.5,3435,709,3081,12773,3.72
LA,m,1960-1969,92,0.24306,0.21672,0.5,2727,591,2431,9692,3.55
LA,m,1960-1969,93,0.25658,0.22740,0.5,2136,486,1893,7261,3.40
LA,m,1960-1969,94,0.27057,0.23833,0.5,1650,393,1453,5368,3.25
LA,m,1960-1969,95,0.28504,0.24948,0.5,1257,314,1100,3914,3.11
LA,m,1960-1969,96,0.29996,0.26084,0.5,943,246,820,2814,2.98
LA,m,1960-1969,97,0.31532,0.27238,0.5,697,190,602,1994,2.86
LA,m,1960-1969,98,0.33110,0.28407,0.5,507,144,435,1392,2.74
LA,m,1960-1969,99,0.34726,0.29589,0.5,363,107,309,957,2.63
LA,m,1960-1969,100,0.36378,0.30780,0.5,256,79,216,647,2.53
LA,m,1960-1969,101,0.38063,0.31978,0.5,177,57,149,431,2.43
LA,m,1960-1969,102,0.39778,0.33179,0.5,120,40,100,282,2.34
LA,m,1960-1969,103,0.41518,0.34381,0.5,80,28,67,182,2.26
LA,m,1960-1969,104,0.43279,0.35580,0.5,53,19,43,115,2.18
