MA: Massachusetts, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01786	0.01758	0.1	100000	1758	98424	7463876	74.64
1960-1969	1	0.00097	0.00097	0.5	98242	95	98195	7365452	74.97
1960-1969	2	0.00065	0.00065	0.5	98147	64	98115	7267258	74.04
1960-1969	3	0.00047	0.00047	0.5	98084	46	98061	7169142	73.09
1960-1969	4	0.00043	0.00043	0.5	98037	43	98016	7071082	72.13
1960-1969	5	0.00039	0.00039	0.5	97995	38	97976	6973066	71.16
1960-1969	6	0.00036	0.00036	0.5	97957	35	97939	6875090	70.19
1960-1969	7	0.00035	0.00035	0.5	97921	34	97904	6777151	69.21
1960-1969	8	0.00026	0.00026	0.5	97887	25	97874	6679247	68.23
1960-1969	9	0.00025	0.00025	0.5	97862	25	97850	6581372	67.25
1960-1969	10	0.00025	0.00025	0.5	97837	24	97825	6483523	66.27
1960-1969	11	0.00023	0.00023	0.5	97813	22	97802	6385697	65.28
1960-1969	12	0.00023	0.00023	0.5	97791	23	97779	6287895	64.30
1960-1969	13	0.00024	0.00024	0.5	97768	23	97756	6190116	63.31
1960-1969	14	0.00024	0.00024	0.5	97745	24	97733	6092360	62.33
1960-1969	15	0.00030	0.00030	0.5	97721	29	97706	5994627	61.34
1960-1969	16	0.00041	0.00041	0.5	97692	40	97672	5896921	60.36
1960-1969	17	0.00041	0.00041	0.5	97652	40	97632	5799249	59.39
1960-1969	18	0.00039	0.00039	0.5	97612	38	97593	5701616	58.41
1960-1969	19	0.00045	0.00045	0.5	97574	44	97552	5604023	57.43
1960-1969	20	0.00046	0.00046	0.5	97530	44	97508	5506471	56.46
1960-1969	21	0.00046	0.00046	0.5	97486	45	97463	5408963	55.48
1960-1969	22	0.00057	0.00057	0.5	97441	55	97413	5311500	54.51
1960-1969	23	0.00052	0.00052	0.5	97385	50	97360	5214086	53.54
1960-1969	24	0.00057	0.00057	0.5	97335	55	97307	5116726	52.57
1960-1969	25	0.00059	0.00059	0.5	97280	57	97251	5019419	51.60
1960-1969	26	0.00062	0.00062	0.5	97222	60	97192	4922167	50.63
1960-1969	27	0.00065	0.00065	0.5	97163	63	97131	4824975	49.66
1960-1969	28	0.00060	0.00060	0.5	97100	59	97070	4727844	48.69
1960-1969	29	0.00069	0.00069	0.5	97041	67	97007	4630774	47.72
1960-1969	30	0.00080	0.00080	0.5	96974	77	96935	4533766	46.75
1960-1969	31	0.00098	0.00097	0.5	96896	94	96849	4436832	45.79
1960-1969	32	0.00089	0.00089	0.5	96802	86	96758	4339983	44.83
1960-1969	33	0.00096	0.00096	0.5	96715	93	96669	4243224	43.87
1960-1969	34	0.00122	0.00122	0.5	96622	118	96563	4146555	42.92
1960-1969	35	0.00115	0.00115	0.5	96504	111	96449	4049992	41.97
1960-1969	36	0.00140	0.00140	0.5	96394	135	96326	3953543	41.01
1960-1969	37	0.00143	0.00143	0.5	96259	138	96190	3857217	40.07
1960-1969	38	0.00167	0.00167	0.5	96121	160	96041	3761027	39.13
1960-1969	39	0.00174	0.00173	0.5	95961	166	95877	3664986	38.19
1960-1969	40	0.00195	0.00194	0.5	95794	186	95701	3569109	37.26
1960-1969	41	0.00216	0.00216	0.5	95608	206	95505	3473408	36.33
1960-1969	42	0.00235	0.00235	0.5	95402	224	95290	3377903	35.41
1960-1969	43	0.00277	0.00277	0.5	95178	264	95046	3282613	34.49
1960-1969	44	0.00284	0.00283	0.5	94914	269	94779	3187568	33.58
1960-1969	45	0.00315	0.00315	0.5	94645	298	94496	3092788	32.68
1960-1969	46	0.00349	0.00348	0.5	94347	328	94183	2998292	31.78
1960-1969	47	0.00391	0.00390	0.5	94019	367	93836	2904109	30.89
1960-1969	48	0.00406	0.00405	0.5	93652	380	93462	2810274	30.01
1960-1969	49	0.00454	0.00453	0.5	93273	423	93061	2716811	29.13
1960-1969	50	0.00507	0.00506	0.5	92850	469	92615	2623750	28.26
1960-1969	51	0.00524	0.00522	0.5	92380	483	92139	2531135	27.40
1960-1969	52	0.00599	0.00597	0.5	91898	549	91623	2438996	26.54
1960-1969	53	0.00639	0.00637	0.5	91349	582	91058	2347373	25.70
1960-1969	54	0.00687	0.00685	0.5	90767	622	90456	2256315	24.86
1960-1969	55	0.00735	0.00733	0.5	90145	661	89815	2165859	24.03
1960-1969	56	0.00811	0.00807	0.5	89485	722	89123	2076044	23.20
1960-1969	57	0.00855	0.00852	0.5	88762	756	88384	1986920	22.38
1960-1969	58	0.00981	0.00976	0.5	88006	859	87577	1898536	21.57
1960-1969	59	0.01029	0.01023	0.5	87147	892	86701	1810960	20.78
1960-1969	60	0.01108	0.01102	0.5	86255	951	85780	1724258	19.99
1960-1969	61	0.01177	0.01170	0.5	85304	998	84805	1638479	19.21
1960-1969	62	0.01396	0.01386	0.5	84306	1169	83722	1553673	18.43
1960-1969	63	0.01475	0.01465	0.5	83137	1218	82528	1469952	17.68
1960-1969	64	0.01597	0.01584	0.5	81920	1298	81271	1387423	16.94
1960-1969	65	0.01823	0.01807	0.5	80622	1457	79894	1306153	16.20
1960-1969	66	0.01945	0.01926	0.5	79165	1525	78403	1226259	15.49
1960-1969	67	0.02211	0.02187	0.5	77640	1698	76791	1147856	14.78
1960-1969	68	0.02385	0.02357	0.5	75942	1790	75047	1071065	14.10
1960-1969	69	0.02550	0.02518	0.5	74152	1867	73219	996018	13.43
1960-1969	70	0.02984	0.02940	0.5	72285	2125	71223	922800	12.77
1960-1969	71	0.03054	0.03008	0.5	70160	2110	69105	851577	12.14
1960-1969	72	0.03701	0.03634	0.5	68050	2473	66813	782472	11.50
1960-1969	73	0.04055	0.03974	0.5	65577	2606	64274	715658	10.91
1960-1969	74	0.04413	0.04318	0.5	62971	2719	61611	651385	10.34
1960-1969	75	0.04931	0.04812	0.5	60252	2899	58802	589773	9.79
1960-1969	76	0.05207	0.05075	0.5	57353	2911	55897	530971	9.26
1960-1969	77	0.05621	0.05467	0.5	54442	2976	52954	475073	8.73
1960-1969	78	0.06433	0.06233	0.5	51466	3208	49862	422120	8.20
1960-1969	79	0.06991	0.06755	0.5	48258	3260	46628	372258	7.71
1960-1969	80	0.08290	0.07960	0.5	44998	3582	43207	325630	7.24
1960-1969	81	0.08376	0.08039	0.5	41417	3330	39752	282422	6.82
1960-1969	82	0.09752	0.09298	0.5	38087	3541	36316	242671	6.37
1960-1969	83	0.10864	0.10304	0.5	34545	3560	32766	206354	5.97
1960-1969	84	0.11941	0.11268	0.5	30986	3491	29240	173589	5.60
1960-1969	85	0.13363	0.12526	0.5	27494	3444	25772	144349	5.25
1960-1969	86	0.14430	0.13459	0.5	24050	3237	22432	118577	4.93
1960-1969	87	0.15948	0.14771	0.5	20813	3074	19276	96145	4.62
1960-1969	88	0.17143	0.15790	0.5	17739	2801	16339	76868	4.33
1960-1969	89	0.18849	0.17226	0.5	14938	2573	13652	60530	4.05
1960-1969	90	0.21265	0.19221	0.5	12365	2377	11177	46878	3.79
1960-1969	91	0.22177	0.19964	0.5	9988	1994	8991	35701	3.57
1960-1969	92	0.24375	0.21727	0.5	7994	1737	7126	26710	3.34
1960-1969	93	0.27179	0.23928	0.5	6257	1497	5509	19584	3.13
1960-1969	94	0.28761	0.25145	0.5	4760	1197	4162	14076	2.96
1960-1969	95	0.31054	0.26880	0.5	3563	958	3084	9914	2.78
1960-1969	96	0.33444	0.28653	0.5	2605	747	2232	6830	2.62
1960-1969	97	0.35923	0.30453	0.5	1859	566	1576	4598	2.47
1960-1969	98	0.38478	0.32270	0.5	1293	417	1084	3022	2.34
1960-1969	99	0.41099	0.34093	0.5	876	299	726	1938	2.21
1960-1969	100	0.43772	0.35912	0.5	577	207	473	1211	2.10
1960-1969	101	0.46481	0.37716	0.5	370	139	300	738	1.99
1960-1969	102	0.49211	0.39494	0.5	230	91	185	438	1.90
1960-1969	103	0.51946	0.41236	0.5	139	57	111	253	1.81
1960-1969	104	0.54669	0.42934	0.5	82	35	64	142	1.73
1960-1969	105	0.57365	0.44579	0.5	47	21	36	78	1.66
1960-1969	106	0.60017	0.46164	0.5	26	12	20	41	1.60
1960-1969	107	0.62612	0.47684	0.5	14	7	11	22	1.54
1960-1969	108	0.65137	0.49134	0.5	7	4	6	11	1.49
1960-1969	109	0.67579	0.50511	0.5	4	2	3	5	1.46
1960-1969	110+	0.69929	1.00000	1.43	2	2	3	3	1.43
1970-1979	0	0.01184	0.01171	0.09	100000	1171	98930	7702391	77.02
1970-1979	1	0.00074	0.00074	0.5	98829	73	98793	7603461	76.94
1970-1979	2	0.00050	0.00050	0.5	98756	49	98732	7504668	75.99
1970-1979	3	0.00038	0.00038	0.5	98707	38	98688	7405937	75.03
1970-1979	4	0.00031	0.00031	0.5	98669	31	98654	7307249	74.06
1970-1979	5	0.00031	0.00031	0.5	98638	31	98623	7208595	73.08
1970-1979	6	0.00022	0.00022	0.5	98608	22	98597	7109972	72.10
1970-1979	7	0.00028	0.00028	0.5	98586	28	98572	7011375	71.12
1970-1979	8	0.00019	0.00019	0.5	98558	19	98549	6912803	70.14
1970-1979	9	0.00018	0.00018	0.5	98540	18	98531	6814254	69.15
1970-1979	10	0.00021	0.00021	0.5	98522	21	98511	6715723	68.16
1970-1979	11	0.00018	0.00018	0.5	98501	18	98492	6617212	67.18
