PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MA,f,1959,0,0.01834,0.01804,0.1,100000,1804,98384,7395901,73.96
MA,f,1959,1-4,0.00072,0.00286,1.69,98196,281,392134,7297517,74.32
MA,f,1959,5-9,0.00039,0.00193,2.21,97915,189,489048,6905383,70.52
MA,f,1959,10-14,0.00027,0.00134,2.79,97726,131,488340,6416334,65.66
MA,f,1959,15-19,0.00039,0.00195,2.26,97595,191,487452,5927994,60.74
MA,f,1959,20-24,0.00059,0.00296,2.77,97404,288,486379,5440542,55.86
MA,f,1959,25-29,0.00058,0.00290,2.66,97116,282,484923,4954163,51.01
MA,f,1959,30-34,0.00110,0.00548,2.71,96834,531,482955,4469241,46.15
MA,f,1959,35-39,0.00157,0.00781,2.79,96304,752,479857,3986286,41.39
MA,f,1959,40-44,0.00223,0.01111,2.56,95551,1061,475166,3506429,36.70
MA,f,1959,45-49,0.00401,0.01988,2.63,94490,1879,468004,3031263,32.08
MA,f,1959,50-54,0.00591,0.02915,2.69,92611,2699,456821,2563259,27.68
MA,f,1959,55-59,0.00938,0.04591,2.68,89912,4127,439965,2106438,23.43
MA,f,1959,60-64,0.01460,0.07056,2.65,85784,6053,414690,1666473,19.43
MA,f,1959,65-69,0.02356,0.11151,2.6,79731,8890,377324,1251783,15.70
MA,f,1959,70-74,0.03752,0.17239,2.65,70841,12212,325446,874459,12.34
MA,f,1959,75-79,0.06425,0.27755,2.55,58628,16272,253250,549013,9.36
MA,f,1959,80-84,0.10343,0.41135,2.51,42356,17423,168459,295763,6.98
MA,f,1959,85-89,0.16193,0.56495,2.32,24933,14086,86985,127304,5.11
MA,f,1959,90-94,0.24452,0.72157,2.16,10847,7827,32010,40319,3.72
MA,f,1959,95-99,0.34787,0.84175,1.93,3020,2542,7308,8309,2.75
MA,f,1959,100-104,0.46914,0.91920,1.69,478,439,936,1001,2.09
MA,f,1959,105-109,0.59478,0.95989,1.47,39,37,62,65,1.67
MA,f,1959,110+,0.69363,1.00000,1.44,2,2,2,2,1.44
MA,f,1960,0,0.01813,0.01784,0.1,100000,1784,98401,7393403,73.93
MA,f,1960,1-4,0.00066,0.00265,1.62,98216,260,392246,7295002,74.28
MA,f,1960,5-9,0.00044,0.00218,2.15,97956,214,489169,6902756,70.47
MA,f,1960,10-14,0.00025,0.00126,2.55,97742,123,488409,6413586,65.62
MA,f,1960,15-19,0.00040,0.00199,2.82,97619,194,487672,5925178,60.70
MA,f,1960,20-24,0.00051,0.00255,2.66,97425,248,486543,5437506,55.81
MA,f,1960,25-29,0.00064,0.00317,2.4,97176,309,485080,4950963,50.95
MA,f,1960,30-34,0.00093,0.00463,2.67,96868,449,483294,4465884,46.10
MA,f,1960,35-39,0.00149,0.00743,2.74,96419,716,480475,3982590,41.30
MA,f,1960,40-44,0.00265,0.01316,2.74,95703,1259,475670,3502115,36.59
MA,f,1960,45-49,0.00387,0.01917,2.71,94444,1811,468082,3026445,32.04
MA,f,1960,50-54,0.00596,0.02937,2.68,92633,2721,456864,2558363,27.62
MA,f,1960,55-59,0.00883,0.04331,2.74,89913,3894,440774,2101499,23.37
MA,f,1960,60-64,0.01525,0.07366,2.71,86019,6336,415575,1660725,19.31
MA,f,1960,65-69,0.02408,0.11402,2.68,79682,9085,377313,1245150,15.63
